index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,31.0,0,,41.0,0,,0,0.2,15557,15,0,0.0,150.0,False,-0.004774941109059655,0,0.2,15657,5,0,0.0,50.0,False,-0.0015916470363532182,0,0.2,22054,0,0,0.0,0.0,False,0.0,0,0.2,22054,0,0,0.0,0.0,False,0.0,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.2,48166,0,0,0.0,0.0,False,0.0,0,0.2,48166,0,0,0.0,0.0,False,0.0,0.0,241154,0.0,0.0,10,0,0,0,0,0.0,265,265,88,0.0,0.0,0,0,88,200,1.2306045889854431,1.2306045889854431
1,88,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,31.0,0,,41.0,0,,0,0.2,15477,23,0,0.0,230.0,False,-0.007321576367224804,0,0.2,15537,17,0,0.0,170.0,False,-0.005411599923600942,0,0.2,22054,0,0,0.0,0.0,False,0.0,0,0.2,22054,0,0,0.0,0.0,False,0.0,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.2,48166,0,0,0.0,0.0,False,0.0,0,0.2,48166,0,0,0.0,0.0,False,0.0,0.0,240954,0.0,0.0,8,0,0,42,0,0.0,43,85,46,1025.0,129.0,63,25,46,200,2.437113580002915,3.6677181689883582
2,46,0,0,0,10.0,20,10.0,12.60377358490566,8,4.75,20.0,0,,31.0,0,,41.0,0,,3,0.23,15319,34,0,0.0,340.0,False,-0.013879162157000064,5,0.25,15397,26,0,0.0,260.0,False,-0.011459858661743172,0,0.2,22016,0,8,0.8,160.0,False,0.0019044164323932166,0,0.2,22054,0,0,0.0,0.0,False,0.0,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.2,48166,0,0,0.0,0.0,False,0.0,0,0.2,48166,0,0,0.0,0.0,False,0.0,0.1,240618,0.0,0.0,9,0,0,17,2,2.0,23,40,50,290.0,123.0,20,26,50,200,1.8632005940307863,5.5309187630191445
3,50,0,0,0,10.0,20,10.0,8.883506343713956,39,4.333333333333333,18.482142857142858,11,12.272727272727273,30.102040816326532,4,20.0,41.0,0,,19,0.41700000000000004,14815,45,0,0.0,450.0,False,-0.04246514292990387,20,0.44500000000000006,15002,35,0,0.0,350.0,False,-0.033742917170688225,0,0.2,21942,14,13,1.0,364.63694595485254,False,0.003188467986643044,6,0.26,21945,5,10,1.0,229.23896028999837,False,0.00025480548403918225,0,0.2,34750,0,0,0.0,0.0,False,0.0,4,0.24000000000000002,34547,1,10,1.0,319.50255102040813,False,-0.0012445676112170633,0,0.2,48166,0,0,0.0,0.0,False,0.0,0,0.2,48086,4,0,0.0,120.40816326530613,False,-0.0004109936130744656,0.375,239253,0.0,0.0,11,0,0,27,11,11.0,21,48,43,335.0,122.0,25,25,43,250,2.019621836952865,7.55054059997201
4,43,0,0,0,10.0,20,10.0,8.311082446522626,15,5.333333333333333,18.28900709219858,6,16.666666666666668,30.102040816326532,0,,41.0,20,41.0,5,0.44800000000000006,14630,56,0,0.0,560.0,False,-0.0507417075189406,10,0.5250000000000001,14792,44,0,0.0,440.0,False,-0.04424778761061947,0,0.2,21977,9,18,1.0,404.00186967827807,False,0.005667948437432644,0,0.254,21930,5,19,1.0,389.04654698438617,False,0.0031977543072545544,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.23600000000000002,34447,0,17,0.7,511.734693877551,False,-0.0013563353398914463,9,0.29000000000000004,48032,0,0,0.0,0.0,False,-0.002782045426234273,11,0.31000000000000005,47906,4,0,0.0,120.40816326530613,False,-0.004148069558762295,0.3375,238464,0.0,0.0,13,0,0,16,13,13.0,27,43,43,348.0,120.0,22,21,43,300,1.5670152719831094,9.117555871955119
5,43,0,0,0,10.0,20,10.0,7.776553389079792,19,5.421052631578948,18.5152627511592,1,30.0,32.33887733887734,4,57.0,41.0,20,41.0,9,0.5330000000000001,14399,65,0,0.0,650.0,False,-0.06258356146940855,10,0.6150000000000001,14567,55,0,0.0,550.0,False,-0.05507098745782135,0,0.2,21937,4,28,1.0,549.5335705887768,False,0.007153658533344912,0,0.254,21897,9,28,1.0,588.4163375341758,False,0.006221464077586245,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.23600000000000002,34645,0,14,0.1,452.7442827442827,False,0.003492723492723546,10,0.38100000000000006,47870,0,0,0.0,0.0,False,-0.0061454137773533195,10,0.399,47524,8,0,0.0,258.7110187110187,False,-0.01064328552598282,0.2625,237589,0.0,0.0,10,0,0,19,16,16.0,23,42,37,308.0,90.0,21,22,37,458,1.7043546159984544,10.821910487953573
6,37,0,0,0,10.0,20,10.0,7.131134380424775,28,5.0,19.210128267182967,3,30.0,35.94948265368229,6,62.0,41.0,20,41.0,13,0.6540000000000001,14052,77,0,0.0,770.0,False,-0.0808556694467435,15,0.7550000000000001,14282,63,0,0.0,630.0,False,-0.07066912841408289,0,0.2,21960,1,36,1.0,698.6957519990116,False,0.01157830216738483,0,0.254,21824,20,37,1.0,853.3974334942652,False,0.00891895877152146,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.23600000000000002,34927,0,11,0.3,395.4443091905052,False,0.01078337135525917,9,0.4610000000000001,47736,0,0,0.0,0.0,False,-0.008927459203587593,11,0.49900000000000005,46970,14,0,0.0,503.29275715155205,False,-0.01960622890470927,0.2875,236501,0.0,0.0,14,0,0,24,18,18.0,19,43,34,280.0,60.0,21,16,34,662,1.5973171860096045,12.419227673963178
7,34,0,0,0,10.0,20,10.0,6.6643629552828925,28,4.857142857142857,18.832972401289286,7,16.428571428571427,36.863485039598025,4,47.0,41.0,20,41.0,13,0.7710000000000001,13702,89,0,0.0,890.0,False,-0.09931877506844082,15,0.8900000000000001,13997,71,0,0.0,710.0,False,-0.08626726937034443,0,0.2,22006,0,40,1.0,753.3188960515714,False,0.014902486987656866,0,0.254,21757,29,46,1.0,1059.583256162511,False,0.010555528615274187,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.23600000000000002,35000,0,14,0.7,516.0887905543724,False,0.01461998259790473,11,0.562,47370,0,4,0.4,164.0,False,-0.014823734584561724,9,0.5780000000000001,46834,14,0,0.0,516.0887905543724,False,-0.02229696476192357,0.3875,235416,0.0,0.0,14,0,0,14,16,16.0,24,38,45,245.0,68.0,16,18,45,503,1.2196036049863324,13.63883127894951
8,45,0,0,0,10.0,20,10.0,6.677497585604055,5,7.0,18.299304615211014,6,14.166666666666666,37.716639067099564,4,47.0,41.00000000000001,20,41.0,0,0.758,13672,92,0,0.0,920.0,False,-0.10027376329025275,5,0.925,13777,88,0,0.0,880.0,False,-0.0948621633666518,0,0.2,22091,0,34,0.0,622.1763569171744,False,0.015783448737579905,0,0.254,21722,24,56,1.0,1185.021000506314,False,0.011812392321264005,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.23600000000000002,35103,0,16,0.6,603.466225073593,False,0.018841240648541008,4,0.5910000000000001,47308,0,4,0.4,164.00000000000003,False,-0.016110949632520865,12,0.6890000000000001,46620,14,0,0.0,528.0329469393939,False,-0.026615943332024758,0.25,235043,0.0,0.0,17,0,0,19,10,10.0,25,44,47,318.0,87.0,24,21,47,637,1.547441010014154,15.186272288963664
9,47,0,0,0,10.000000000000002,20,10.0,6.707972369990811,12,7.0,17.83336420707952,6,14.166666666666666,38.510556757712514,4,47.0,41.00000000000001,20,41.0,2,0.778,13512,105,0,0.0,1050.0000000000002,False,-0.10632202202839498,10,1.0200000000000002,13597,95,0,0.0,950.0000000000001,False,-0.10409371617750048,0,0.2,22132,0,35,0.7,624.1677472477832,False,0.017687669974784218,0,0.254,21682,19,66,1.0,1304.4535126970736,False,0.012706391418723886,0,0.2,34750,0,0,0.0,0.0,False,0.0,0,0.23600000000000002,35206,0,18,0.6,693.1900216388252,False,0.023096259304155844,9,0.6770000000000002,47148,0,4,0.4,164.00000000000003,False,-0.019432794917576712,7,0.7470000000000001,46532,14,0,0.0,539.1477946079752,False,-0.028327577600299293,0.3375,234559,0.0,0.0,16,0,0,24,12,11.5,22,46,43,380.0,74.0,27,20,43,596,1.445642888022121,16.631915176985785
