index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,28.0,0,,37.0,0,,0,0.2,13509,0,10,1.0,160.0,False,-0.001469615695495628,0,0.2,13509,10,0,0.0,100.0,False,-0.00367403923873907,0,0.2,20413,0,0,0.0,0.0,False,0.0,0,0.2,20413,0,0,0.0,0.0,False,0.0,0,0.2,24443,0,0,0.0,0.0,False,0.0,0,0.2,24443,0,0,0.0,0.0,False,0.0,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.2,33812,0,0,0.0,0.0,False,0.0,0.125,184354,0.0,0.0,6,0,0,57,0,0.0,218,275,90,0.0,0.0,0,0,90,200,1.6751082600094378,1.6751082600094378
1,90,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,28.0,0,,37.0,0,,0,0.2,13419,0,19,0.9,304.0,False,-0.002792269821441693,0,0.2,13399,21,0,0.0,210.0,False,-0.007715482401352046,0,0.2,20413,0,0,0.0,0.0,False,0.0,0,0.2,20413,0,0,0.0,0.0,False,0.0,0,0.2,24443,0,0,0.0,0.0,False,0.0,0,0.2,24443,0,0,0.0,0.0,False,0.0,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.2,33812,0,0,0.0,0.0,False,0.0,0.1125,184154,0.0,0.0,6,0,0,35,0,0.0,37,72,67,957.0,403.0,58,32,67,200,2.813586217991542,4.48869447800098
2,67,0,0,0,10.0,20,10.0,14.166666666666666,15,8.666666666666666,19.672727272727272,10,4.7,28.0,0,,37.0,0,,0,0.2,13394,1,19,1.0,279.16666666666663,False,-0.005541675851764719,5,0.25,13259,30,0,0.0,300.0,False,-0.01469615695495628,10,0.30000000000000004,20143,0,0,0.0,0.0,False,-0.013226865232939793,0,0.2,20283,5,10,1.0,267.56060606060606,False,0.00018519095822779172,0,0.2,24437,0,4,0.4,112.0,False,0.0020455754203657487,0,0.2,24402,0,6,0.6,168.0,False,0.0017591948615145441,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.2,33812,0,0,0.0,0.0,False,0.0,0.375,183542,0.0,0.0,9,0,0,28,5,5.0,20,48,63,481.0,282.0,35,32,63,285,2.4658367509837262,6.954531228984706
3,63,0,0,0,10.0,20,10.0,12.898550724637682,15,8.333333333333334,18.276635514018693,4,1.0,28.0,0,,37.0,0,,0,0.2,13329,2,24,1.0,329.5652173913044,False,-0.008466264332746564,10,0.34500000000000003,13039,39,0,0.0,390.0,False,-0.027555294290543025,4,0.33000000000000007,20035,0,0,0.0,0.0,False,-0.01851761132611571,0,0.2,20158,10,20,1.0,494.5182175267507,False,-0.00037921379692481947,0,0.2,24437,0,4,0.0,112.0,False,0.0020455754203657487,0,0.2,24398,0,10,0.4,280.0,False,0.0038865932986949228,0,0.2,33812,0,0,0.0,0.0,False,0.0,0,0.2,33812,0,0,0.0,0.0,False,0.0,0.3,183020,0.0,0.0,8,0,0,26,3,3.0,14,40,52,373.0,165.0,26,37,52,245,2.4351914009894244,9.38972262997413
4,52,0,0,0,10.0,20,10.0,12.28848821081831,10,8.5,15.58782755705833,11,3.8181818181818183,28.0,0,,37.0,11,37.0,0,0.2,13229,2,34,1.0,437.80859916782254,False,-0.01183743849041724,10,0.43500000000000005,12814,49,0,0.0,490.0,False,-0.04041443162612977,10,0.42600000000000005,19749,0,0,0.0,0.0,False,-0.032528290795081564,0,0.2,20085,10,29,1.0,574.9318812628746,False,-0.0019856982985627506,0,0.2,24410,0,11,0.7,308.0,False,0.0049502925172851125,0,0.2,24383,0,14,0.4,392.0,False,0.005563965143394837,0,0.2,33812,0,0,0.0,0.0,False,0.0,11,0.31000000000000005,33657,0,0,0.0,0.0,False,-0.004584171300130131,0.3875,182139,0.0,0.0,7,0,0,21,9,9.0,17,38,45,304.0,90.0,24,28,45,212,2.151432320009917,11.541154949984048
5,45,0,0,0,10.0,20,10.0,14.6560447841533,28,20.142857142857142,17.048248879914183,26,20.03846153846154,28.0,0,,37.00000000000001,8,37.0,0,0.2,13653,2,21,1.0,327.7769404672193,False,0.015275807938394375,5,0.4750000000000001,12659,59,0,0.0,590.0,False,-0.04812991402748181,16,0.5760000000000001,18905,23,0,0.0,337.0890300355259,False,-0.06561776735326694,0,0.2,20390,5,29,1.0,567.6794414382778,False,0.012778117901295126,0,0.2,24232,0,20,0.9,560.0,False,0.0028228940801047334,0,0.2,24040,7,24,1.0,791.3377421593993,False,-0.00029992754245800946,0,0.2,33812,0,0,0.0,0.0,False,0.0,8,0.379,33562,0,0,0.0,0.0,False,-0.007393824677629244,0.4875,181253,0.0,0.0,10,0,0,15,6,6.0,15,30,38,246.0,114.0,18,27,38,1069,1.5912569680367596,13.132411918020807
6,38,0,0,0,10.0,20,10.0,16.71355826272272,14,29.0,13.959542128307303,43,8.837209302325581,31.416666666666668,15,41.666666666666664,37.0,12,37.0,0,0.2,13989,0,16,0.9,267.41693220356353,False,0.0377477012346081,0,0.4700000000000001,12529,72,0,0.0,720.0,False,-0.0529061650378426,38,0.9400000000000002,17234,37,0,0.0,618.4016557207407,False,-0.14058684035367797,0,0.2,20565,0,29,0.5,404.8267217209118,False,0.017362139855016754,0,0.2,24187,20,25,1.0,1064.6075092328128,False,0.01130400337996175,0,0.2,24330,10,24,1.0,893.595421283073,False,0.013656167845253786,0,0.2,33812,0,0,0.0,0.0,False,0.0,12,0.4910000000000001,32760,5,10,1.0,527.0833333333334,False,-0.02331889072912977,0.55,179406,0.0,0.0,11,0,0,15,7,7.0,15,30,44,156.0,121.0,16,22,44,1406,1.620602728042286,14.753014646063093
7,44,0,0,0,10.0,20,10.0,18.807469906953195,36,23.916666666666668,14.934717768342432,5,35.0,32.9140625,10,41.0,37.0,12,37.0,10,0.30000000000000004,14495,0,8,0.8,150.45975925562556,False,0.07063192590402027,10,0.5700000000000001,12284,84,0,0.0,840.0,False,-0.06650011022117716,0,0.9020000000000001,16458,63,0,0.0,1184.8706041380512,False,-0.16472662998731077,0,0.2,20655,0,34,1.0,507.7804041236427,False,0.024292862492618552,0,0.2,24392,10,30,1.0,1136.7690526834244,False,0.021166981399243685,0,0.2,24360,5,29,1.0,1029.1814013417122,False,0.01765702657901464,0,0.2,33812,0,0,0.0,0.0,False,0.0,2,0.4990000000000001,32706,5,10,1.0,534.5703125,False,-0.024805242036850823,0.6,179162,0.0,0.0,14,0,0,22,4,3.6666666666666665,13,35,50,252.0,168.0,22,22,50,1614,1.6865957010304555,16.43961034709355
8,50,0,0,0,10.0,20,10.0,17.889770022960285,70,16.428571428571427,13.969403174961357,9,3.5555555555555554,33.55990415335464,5,41.0,37.0,11,37.0,7,0.36000000000000004,14607,0,10,1.0,178.89770022960283,False,0.07990659490886919,55,1.11,11284,94,0,0.0,940.0,False,-0.13630685575721949,9,0.9920000000000002,16058,73,0,0.0,1305.9532116761009,False,-0.18135616490285347,0,0.2,19665,50,44,1.0,1509.142240846314,False,0.00032190860839443795,0,0.2,24380,4,40,1.0,1398.273778834031,False,0.026025319699587428,0,0.2,24545,0,34,1.0,1141.0367412140577,False,0.027513740973163173,0,0.2,33812,0,0,0.0,0.0,False,0.0,1,0.5070000000000001,32864,0,10,1.0,370.0,False,-0.022565952916124454,0.625,177215,0.0,0.0,10,0,0,21,8,6.8,19,40,37,352.0,174.0,27,23,37,701,1.7875398959731683,18.227150243066717
9,37,0,0,0,10.000000000000002,20,10.0,17.73431596334239,55,17.272727272727273,12.6142249395128,56,10.303571428571429,34.68141392824842,10,41.0,36.99999999999999,11,37.0,5,0.403,14737,2,10,1.0,197.3431596334239,False,0.09013679034585285,40,1.4550000000000003,10909,102,0,0.0,1020.0000000000002,False,-0.16092291865677125,46,1.4430000000000003,14251,73,0,0.0,1294.6050653239945,False,-0.2701561488922747,0,0.2,19060,95,44,1.0,2239.7859138560902,False,-0.011419538679858695,0,0.2,24510,19,45,1.0,1800.3339006219219,False,0.039568258818924125,0,0.2,24248,21,39,1.0,1617.473866931457,False,0.025108903713362798,0,0.2,33812,0,0,0.0,0.0,False,0.0,1,0.516,32817,0,10,1.0,369.99999999999994,False,-0.02395599195551875,0.625,174344,0.0,0.0,14,0,0,17,8,6.583333333333333,12,29,30,224.0,89.0,16,21,30,1214,2.342287116975058,20.569437360041775
