index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,22.0,0,,33.0,0,,38.0,0,,0,0.2,11627,0,9,0.9,126.0,False,-0.002304344115387898,0,0.2,11607.0,11,0,0.0,110.0,False,-0.004694034309123496,0,0.2,18210.0,0,0,0.0,0.0,False,0.0,0,0.2,18210,0,0,0.0,0.0,False,0.0,0,0.2,26119,0,0,0.0,0.0,False,0.0,0,0.2,26119,0,0,0.0,0.0,False,0.0,0,0.2,33003,0,0,0.0,0.0,False,0.0,0,0.2,33003,0,0,0.0,0.0,False,0.0,0.1125,177898,0.0,0.0,13,0,0,0,0,0.0,376,376,82,0.0,0.0,0,0,82,200,2.1107366459909827,2.1107366459909827
1,82,0,0,0,10.0,20,10.0,14.0,0,,22.0,0,,33.0,0,,38.0,0,,0,0.2,11587,0,13,0.4,182.0,False,-0.003328497055560297,0,0.2,11447.0,27,0,0.0,270.0,False,-0.01152172057693949,0,0.2,18210.0,0,0,0.0,0.0,False,0.0,0,0.2,18210,0,0,0.0,0.0,False,0.0,0,0.2,26119,0,0,0.0,0.0,False,0.0,0,0.2,26119,0,0,0.0,0.0,False,0.0,0,0.2,33003,0,0,0.0,0.0,False,0.0,0,0.2,33003,0,0,0.0,0.0,False,0.0,0.05,177698,0.0,0.0,11,0,0,37,0,0.0,36,73,46,899.0,182.0,53,29,46,200,2.9952603509882465,5.105996996979229
2,46,0,0,0,10.0,20,10.0,14.090909090909092,10,14.5,16.015384615384615,20,2.55,33.0,0,,38.0,0,,0,0.2,11632,0,13,1.0,183.1818181818182,False,0.0005625082436553655,0,0.2,11347.0,37,0,0.0,370.0,False,-0.015789024494324486,20,0.4,17589.0,0,0,0.0,0.0,False,-0.03410214168039539,0,0.2,18065,0,10,1.0,160.15384615384616,False,-0.0035652431039581572,0,0.2,26087,2,10,1.0,362.03076923076924,False,0.005705248463393866,0,0.2,26100,0,8,0.8,264.0,False,0.004326352463723726,0,0.2,33003,0,0,0.0,0.0,False,0.0,0,0.2,33003,0,0,0.0,0.0,False,0.0,0.475,176826,0.0,0.0,14,0,0,21,5,5.0,19,40,43,206.0,79.0,18,28,43,345,1.5239654029719532,6.629962399951182
3,43,0,0,0,10.0,20,10.0,15.287769784172662,20,18.25,15.1664,4,2.75,33.0,0,,38.0,0,,2,0.22000000000000003,11818,1,10,1.0,162.87769784172662,False,0.015570440293664178,5,0.25,11207.0,46,0,0.0,460.0,False,-0.02389690193735598,4,0.42000000000000004,17490.0,0,0,0.0,0.0,False,-0.039538714991762765,0,0.2,17700,10,20,1.0,456.2056978417266,False,-0.01548034876876101,0,0.2,26087,0,12,0.2,396.0,False,0.00635552662812512,0,0.2,26089,0,12,0.4,396.0,False,0.006432099238102531,0,0.2,33003,0,0,0.0,0.0,False,0.0,0,0.2,33003,0,0,0.0,0.0,False,0.0,0.325,176397,0.0,0.0,12,0,0,13,4,3.1333333333333333,20,33,42,166.0,84.0,15,28,42,200,1.4888477610074915,8.118810160958674
4,42,0,0,0,10.0,20,10.0,16.077199281867145,21,18.428571428571427,14.25852140077821,8,7.875,34.30612244897959,4,49.0,38.0,20,38.0,6,0.278,11948,3,10,1.0,190.77199281867144,False,0.027855764821143242,5,0.29500000000000004,11077.0,54,0,0.0,540.0,False,-0.03157804898864897,3,0.44600000000000006,17415.0,0,0,0.0,0.0,False,-0.04365733113673806,0,0.2,17373,21,25,1.0,694.0842199386653,False,-0.026905979683177705,0,0.2,26087,0,12,0.0,411.6734693877551,False,0.006655566242730417,0,0.2,26222,0,16,0.8,548.8979591836735,False,0.014451126750328802,13,0.33000000000000007,32772,0,0,0.0,0.0,False,-0.0069993636942096175,7,0.27,32720,0,4,0.4,152.0,False,-0.006272157076629398,0.4,175614,0.0,0.0,12,0,0,16,16,15.375,23,39,46,171.0,141.0,15,27,46,456,1.9234569810214452,10.042267141980119
5,46,0,0,0,10.0,20,10.0,15.839591398852559,32,15.28125,14.25852140077821,0,,34.30612244897959,0,,38.0,20,38.0,7,0.3420000000000001,12113,2,10,1.0,178.3959139885256,False,0.04140974285177633,15,0.44000000000000006,10772.0,65,0,0.0,650.0,False,-0.05291456857557395,0,0.44300000000000006,17415.0,0,0,0.0,0.0,False,-0.04365733113673806,0,0.2,16884,43,35,1.0,1180.1506791778975,False,-0.04041321583805888,0,0.2,26087,0,12,0.0,411.6734693877551,False,0.006655566242730417,0,0.2,26222,0,16,0.0,548.8979591836735,False,0.014451126750328802,11,0.42700000000000005,32595,0,0,0.0,0.0,False,-0.01236251249886374,5,0.31300000000000006,32821,0,0,0.0,0.0,False,-0.0055146501833166685,0.25,174909,0.0,0.0,14,0,0,21,15,14.411764705882353,22,43,48,179.0,114.0,17,29,48,352,1.6662631619838066,11.708530303963926
6,48,0,0,0,10.0,20,10.0,15.453311390434145,5,8.0,14.084130896727581,1,4.0,38.312602291325696,17,48.705882352941174,38.0,20,38.0,0,0.3350000000000001,11983,5,20,1.0,359.0662278086829,False,0.0380245040457746,5,0.4750000000000001,10657.0,72,0,0.0,720.0,False,-0.05974225484338994,1,0.45300000000000007,17393.0,0,0,0.0,0.0,False,-0.04486545853926414,0,0.2,16844,38,45,1.0,1221.0117231892386,False,-0.04148787141160801,0,0.2,26519,0,3,0.0,114.93780687397708,False,0.017514793959837193,0,0.2,26614,0,9,0.1,344.81342062193124,False,0.025552536862474308,9,0.506,32472,0,0,0.0,0.0,False,-0.016089446413962368,11,0.41800000000000004,31830,7,10,1.0,648.18821603928,False,-0.02572208259795658,0.3875,174312,0.0,0.0,16,0,0,24,13,13.0,19,43,43,179.0,187.0,20,28,43,1028,1.7059159809723496,13.414446284936275
7,43,0,0,0,10.0,20,10.0,16.54960943346507,58,18.275862068965516,15.604498164213538,24,18.958333333333332,35.45569620253164,9,18.0,38.0,20,38.0,3,0.36500000000000005,12492,2,10,1.0,185.49609433465068,False,0.07405889281960623,35,0.8200000000000001,10167.0,85,0,0.0,850.0,False,-0.09601433814116242,23,0.6820000000000002,16539.0,23,0,0.0,380.6410169696966,False,-0.0813113394571747,0,0.2,16447,63,54,1.0,1885.2682951758304,False,-0.045050293927077635,0,0.2,26519,0,3,0.0,106.36708860759492,False,0.01735072339307769,0,0.2,26321,14,10,1.0,573.019936324306,False,0.018703241631079066,13,0.6270000000000001,32238,0,0,0.0,0.0,False,-0.02317971093536951,0,0.4070000000000001,31934,6,13,1.0,706.7341772151899,False,-0.02168387453844814,0.5,172657,0.0,0.0,18,0,0,21,14,13.333333333333332,20,41,48,209.0,140.0,16,27,48,1039,1.5885858330293559,15.003032117965631
8,48,0,0,0,10.0,20,10.0,15.16756382553944,82,12.902439024390244,15.73944708028614,9,16.77777777777778,37.229635163360825,8,50.0,38.0,20,38.0,0,0.36200000000000004,12432,0,18,0.8,273.0161488597099,False,0.07267287483398956,82,1.6050000000000002,7925.0,99,0,0.0,990.0,False,-0.28138602031236665,8,0.7390000000000001,16441.0,23,0,0.0,348.85396798740715,False,-0.08756578890753958,0,0.2,15422,135,63,1.0,3039.2062825058515,False,-0.0696538637422885,0,0.2,26519,0,3,0.0,111.68890549008248,False,0.017452599745206212,0,0.2,26570,13,12,1.0,651.3684340040497,False,0.02973636881205347,9,0.7040000000000002,31911,0,4,0.4,152.0,False,-0.030785080144229312,0,0.40700000000000003,32152,0,12,1.0,456.0,False,-0.01887707178135321,0.525,169372,0.0,0.0,23,0,0,11,14,14.0,26,37,42,192.0,184.0,15,33,42,1051,1.487000408989843,16.490032526955474
9,42,0,0,0,10.000000000000002,20,10.0,14.72251641765812,30,11.833333333333334,16.933971312608723,17,21.88235294117647,38.04004162971447,4,50.0,38.0,20,38.0,2,0.382,12548,3,10,1.0,177.2251641765812,False,0.07848532748043781,10,1.6230000000000004,7740.0,106,0,0.0,1060.0000000000002,False,-0.29418793206452165,16,0.891,16334.0,23,0,0.0,338.61787760613674,False,-0.09372273812174259,0,0.2,15100,155,72,1.0,3501.235979244837,False,-0.07465030260173419,0,0.2,26519,0,3,0.0,114.12012488914343,False,0.017499140948909697,0,0.2,26398,20,18,1.0,1023.4001755870349,False,0.03027298471585884,3,0.7250000000000001,31838,0,4,0.4,152.0,False,-0.032997000272702484,1,0.4170000000000001,32601,0,0,0.0,0.0,False,-0.012180710844468685,0.425,169078,0.0,0.0,23,0,0,8,8,6.6,34,42,44,236.0,114.0,17,25,44,1003,1.5267022579791956,18.01673478493467
