index,contract,contract_id,type,level,id,perpetrator,perpetrator_type,victims,step,resolved
0,"07Buy@3, 04Ran@2 agreed on {'quantity': 8, 'time': 1, 'unit_price': 4} [id b4b2b0f2-2bf7-4261-bff5-11e4933e43a5]",b4b2b0f2-2bf7-4261-bff5-11e4933e43a5,product,1.0,eaffeda6-d44c-4978-82a4-9ca7ca28d4a8,04Ran@2,str,['07Buy@3'],-1,False
1,"07Buy@3, 05Ran@2 agreed on {'quantity': 1, 'time': 1, 'unit_price': 1} [id 1f5eb419-82f9-4215-870f-1deaea89b607]",1f5eb419-82f9-4215-870f-1deaea89b607,product,1.0,6f8801ac-793a-4006-93b5-9606cd316154,05Ran@2,str,['07Buy@3'],-1,False
2,"07Buy@3, 05Ran@2 agreed on {'quantity': 9, 'time': 1, 'unit_price': 10} [id 83511e42-32e2-46eb-aad4-8362cf3255a1]",83511e42-32e2-46eb-aad4-8362cf3255a1,product,1.0,f42d0999-6cfb-41e3-803e-d386095fcdf4,05Ran@2,str,['07Buy@3'],-1,False
3,"07Buy@3, 04Ran@2 agreed on {'quantity': 8, 'time': 1, 'unit_price': 4} [id 7b358326-59b2-4691-80e5-58d79e2abeea]",7b358326-59b2-4691-80e5-58d79e2abeea,product,1.0,018dcba2-636c-47bf-bb7c-20f30d2a342f,04Ran@2,str,['07Buy@3'],-1,False
4,"07Buy@3, 04Ran@2 agreed on {'quantity': 3, 'time': 1, 'unit_price': 1} [id 6d5652de-32eb-48db-a80e-c88c34a10bab]",6d5652de-32eb-48db-a80e-c88c34a10bab,product,1.0,d7c3c63b-e9d3-4583-8480-f36b78dabb24,04Ran@2,str,['07Buy@3'],-1,False
5,"02MyA@1, 00Buy@0 agreed on {'quantity': 3, 'time': 2, 'unit_price': 9} [id 81843cf8-5ff4-4b9f-a86c-1a8a13298955]",81843cf8-5ff4-4b9f-a86c-1a8a13298955,product,1.0,fc2dc5b7-ff2b-4621-be6a-b879787f8086,00Buy@0,str,['02MyA@1'],-1,False
6,"07Buy@3, 05Ran@2 agreed on {'quantity': 9, 'time': 2, 'unit_price': 3} [id e62ac10c-a9f3-4400-8a9e-4f8a817bedbb]",e62ac10c-a9f3-4400-8a9e-4f8a817bedbb,product,1.0,cf0fb9a6-8eb3-45b8-8694-8920d308360a,05Ran@2,str,['07Buy@3'],-1,False
7,"06Dec@3, 04Ran@2 agreed on {'quantity': 11, 'time': 2, 'unit_price': 3} [id 7cf3877f-3589-42b2-9b76-04d46bf9cea3]",7cf3877f-3589-42b2-9b76-04d46bf9cea3,product,1.0,e8c4607e-4a42-455e-8526-f7910224b704,04Ran@2,str,['06Dec@3'],-1,False
8,"06Dec@3, 05Ran@2 agreed on {'quantity': 8, 'time': 2, 'unit_price': 1} [id 378f5803-b0d2-4d45-ac3f-05cccdd911fa]",378f5803-b0d2-4d45-ac3f-05cccdd911fa,product,1.0,78194e89-c12b-4efb-945b-d9c4b1e46a2c,05Ran@2,str,['06Dec@3'],-1,False
9,"06Dec@3, 04Ran@2 agreed on {'quantity': 7, 'time': 2, 'unit_price': 3} [id ec0eeba3-e57d-40a6-b9bd-e7c4e64aba9e]",ec0eeba3-e57d-40a6-b9bd-e7c4e64aba9e,product,1.0,b3e3c151-b40d-44c4-8b25-e437b35e0909,04Ran@2,str,['06Dec@3'],-1,False
10,"07Buy@3, 05Ran@2 agreed on {'quantity': 5, 'time': 2, 'unit_price': 9} [id 1840974e-c9d7-45ab-9f9d-cd36ab57cfd8]",1840974e-c9d7-45ab-9f9d-cd36ab57cfd8,product,1.0,60611eec-c09b-4500-999d-ebde97bd3e06,05Ran@2,str,['07Buy@3'],-1,False
11,"07Buy@3, 04Ran@2 agreed on {'quantity': 1, 'time': 2, 'unit_price': 5} [id 83dc05e4-5ed1-4cd6-8271-3e3a89feebc7]",83dc05e4-5ed1-4cd6-8271-3e3a89feebc7,product,1.0,8e2417b7-6386-4424-9bea-cfbd0a1a4ab2,04Ran@2,str,['07Buy@3'],-1,False
12,"07Buy@3, 04Ran@2 agreed on {'quantity': 5, 'time': 2, 'unit_price': 5} [id 8da8a6d1-78e7-4229-a18c-5def32f52869]",8da8a6d1-78e7-4229-a18c-5def32f52869,product,1.0,07d77394-aee6-42ae-8b10-1bebd9e69970,04Ran@2,str,['07Buy@3'],-1,False
13,"07Buy@3, 05Ran@2 agreed on {'quantity': 9, 'time': 2, 'unit_price': 4} [id 0c36a90c-6758-490c-b1b5-d4104bdf3b27]",0c36a90c-6758-490c-b1b5-d4104bdf3b27,product,1.0,9e304803-40fd-4674-a8e8-3654feeace55,05Ran@2,str,['07Buy@3'],-1,False
14,"07Buy@3, 04Ran@2 agreed on {'quantity': 9, 'time': 2, 'unit_price': 4} [id 88360b81-50ea-4fb5-b081-fe9598ff27cd]",88360b81-50ea-4fb5-b081-fe9598ff27cd,product,1.0,3d45fc6e-0a6f-4a2d-9cb2-6ac5b0591c1e,04Ran@2,str,['07Buy@3'],-1,False
15,"03Ind@1, 00Buy@0 agreed on {'quantity': 1, 'time': 3, 'unit_price': 9} [id 54ed7f7d-0c6f-41d4-86f8-ebed87d32313]",54ed7f7d-0c6f-41d4-86f8-ebed87d32313,product,1.0,8c55d59f-02e7-4eed-8d2c-4a3978c806aa,00Buy@0,str,['03Ind@1'],-1,False
16,"02MyA@1, 00Buy@0 agreed on {'quantity': 3, 'time': 3, 'unit_price': 9} [id f44bbfbc-172d-480c-bfca-f164a1d0fae1]",f44bbfbc-172d-480c-bfca-f164a1d0fae1,product,1.0,46238011-6892-49d7-aaa2-215a7fd9c295,00Buy@0,str,['02MyA@1'],-1,False
17,"02MyA@1, 00Buy@0 agreed on {'quantity': 2, 'time': 3, 'unit_price': 9} [id fb5bb2db-22e7-422c-ac54-d9daf25552be]",fb5bb2db-22e7-422c-ac54-d9daf25552be,product,1.0,de1858ea-4d51-4a18-b623-f2099578e29d,00Buy@0,str,['02MyA@1'],-1,False
18,"02MyA@1, 00Buy@0 agreed on {'quantity': 2, 'time': 3, 'unit_price': 9} [id 6e262553-8290-488f-bf2b-446789bdbd66]",6e262553-8290-488f-bf2b-446789bdbd66,product,1.0,a898ef53-b53a-4e27-8cf5-33ab1b82153d,00Buy@0,str,['02MyA@1'],-1,False
19,"02MyA@1, 00Buy@0 agreed on {'quantity': 2, 'time': 3, 'unit_price': 9} [id c89b9082-625b-494f-ab0c-5a7a85bf0b1a]",c89b9082-625b-494f-ab0c-5a7a85bf0b1a,product,1.0,8aa83055-16a2-467b-a5e2-51322e38461b,00Buy@0,str,['02MyA@1'],-1,False
20,"02MyA@1, 00Buy@0 agreed on {'quantity': 2, 'time': 3, 'unit_price': 9} [id d89dee29-afa1-4f36-b461-0eec38041ef7]",d89dee29-afa1-4f36-b461-0eec38041ef7,product,1.0,797090dc-2fca-4373-9254-cc1b828bc0aa,00Buy@0,str,['02MyA@1'],-1,False
21,"02MyA@1, 00Buy@0 agreed on {'quantity': 2, 'time': 3, 'unit_price': 9} [id c213f8b9-fc13-4739-8672-721cea730a9f]",c213f8b9-fc13-4739-8672-721cea730a9f,product,1.0,9ecc4f08-0814-467a-bc01-794d4048494b,00Buy@0,str,['02MyA@1'],-1,False
22,"07Buy@3, 05Ran@2 agreed on {'quantity': 8, 'time': 3, 'unit_price': 4} [id 50b7c748-4016-4057-9751-7507cd6e8aab]",50b7c748-4016-4057-9751-7507cd6e8aab,product,1.0,8dd3174b-7ed7-4185-84ff-270bea5a568c,05Ran@2,str,['07Buy@3'],-1,False
23,"07Buy@3, 04Ran@2 agreed on {'quantity': 10, 'time': 3, 'unit_price': 3} [id c1892764-9b98-45e2-a5c5-336db3a5f10f]",c1892764-9b98-45e2-a5c5-336db3a5f10f,product,1.0,83e17b2f-d3da-437f-87e2-b02f95334f70,04Ran@2,str,['07Buy@3'],-1,False
24,"07Buy@3, 05Ran@2 agreed on {'quantity': 9, 'time': 3, 'unit_price': 6} [id e5b2a750-eb99-4847-88eb-69d3a8fcf160]",e5b2a750-eb99-4847-88eb-69d3a8fcf160,product,1.0,6cb4936f-7bd5-4bae-be15-d87d38f1c6f7,05Ran@2,str,['07Buy@3'],-1,False
25,"06Dec@3, 04Ran@2 agreed on {'quantity': 11, 'time': 3, 'unit_price': 7} [id 38f668ac-19f6-4886-a10c-c4cd1a746fee]",38f668ac-19f6-4886-a10c-c4cd1a746fee,product,1.0,900c3441-a116-47b9-9bd3-b163e59d899a,04Ran@2,str,['06Dec@3'],-1,False
26,"07Buy@3, 05Ran@2 agreed on {'quantity': 6, 'time': 3, 'unit_price': 1} [id 8990ff52-d3f1-408e-bfb6-28bf06548f34]",8990ff52-d3f1-408e-bfb6-28bf06548f34,product,1.0,cc0b7d97-03bd-4922-861b-34d4163bab2b,05Ran@2,str,['07Buy@3'],-1,False
27,"07Buy@3, 04Ran@2 agreed on {'quantity': 9, 'time': 3, 'unit_price': 7} [id e8d79fac-f126-4d6f-80ab-dcf8483e2512]",e8d79fac-f126-4d6f-80ab-dcf8483e2512,product,1.0,26063ef2-b540-4897-bbca-d9d4529179d3,04Ran@2,str,['07Buy@3'],-1,False
28,"07Buy@3, 04Ran@2 agreed on {'quantity': 8, 'time': 3, 'unit_price': 4} [id b5188096-2646-4fdf-ae44-797595178146]",b5188096-2646-4fdf-ae44-797595178146,product,1.0,510f575e-565b-41c6-a0c1-eb6c1f950755,04Ran@2,str,['07Buy@3'],-1,False
29,"07Buy@3, 05Ran@2 agreed on {'quantity': 9, 'time': 3, 'unit_price': 7} [id ca0439b2-70f4-42b3-a076-0aec77ff44f1]",ca0439b2-70f4-42b3-a076-0aec77ff44f1,product,1.0,c5883567-ea1b-4f75-9e97-50851e01ed80,05Ran@2,str,['07Buy@3'],-1,False
30,"07Buy@3, 05Ran@2 agreed on {'quantity': 9, 'time': 3, 'unit_price': 7} [id cb85013e-2eb5-46ef-bdb4-d3ffa0ef330a]",cb85013e-2eb5-46ef-bdb4-d3ffa0ef330a,product,1.0,8a0f07c4-5f5d-4388-a9e1-bc2ffa130c6a,05Ran@2,str,['07Buy@3'],-1,False
