index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,35.0,0,,41.0,0,,0,0.2,13141,8,0,0.0,80.0,False,-0.003025489751153468,0,0.2,13101,2,10,1.0,190.0,False,-0.0018909310944709174,0,0.2,20257,0,0,0.0,0.0,False,0.0,0,0.2,20257,0,0,0.0,0.0,False,0.0,0,0.2,27623,0,0,0.0,0.0,False,0.0,0,0.2,27623.0,0,0,0.0,0.0,False,0.0,0,0.2,33667,0,0,0.0,0.0,False,0.0,0,0.2,33667,0,0,0.0,0.0,False,0.0,0.125,189336,0.0,0.0,6,0,0,0,0,0.0,279,279,98,0.0,0.0,0,0,98,200,1.9316570833325386,1.9316570833325386
1,98,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,23.41891891891892,29,5.448275862068965,41.0,0,,0,0.2,13031,19,0,0.0,190.0,False,-0.0071855381589894865,0,0.2,13011,1,20,1.0,350.0,False,-0.0026473035322592845,0,0.2,20257,0,0,0.0,0.0,False,0.0,0,0.2,20257,0,0,0.0,0.0,False,0.0,19,0.39,26696,0,0,0.0,0.0,False,-0.033558990696158995,10,0.30000000000000004,27276.0,0,0,0.0,0.0,False,-0.012561995438583788,0,0.2,33667,0,0,0.0,0.0,False,0.0,0,0.2,33509,29,0,0.0,679.1486486486486,False,0.0053932433636595745,0.125,187704,0.0,0.0,5,0,0,28,5,5.0,78,106,52,1323.0,36.0,94,4,52,200,5.621748693287373,7.553405776619911
2,52,0,0,0,10.0,20,10.0,16.5,3,9.0,26.0,0,,13.74961715160796,64,3.6875,41.0,0,,3,0.23,12885,30,0,0.0,300.0,False,-0.014068527342863625,0,0.2,12921,0,30,1.0,495.0,False,-0.003970955298388926,0,0.2,20230,0,3,0.3,78.0,False,0.0005923878165572395,0,0.2,20257,0,0,0.0,0.0,False,0.0,33,0.7010000000000001,24723,0,0,0.0,0.0,False,-0.10498497628787605,31,0.6000000000000001,25470.0,0,0,0.0,0.0,False,-0.07794229446475763,0,0.2,33605,16,10,1.0,629.9938744257274,False,0.007514686108440362,0,0.2,33335,67,0,0.0,921.2243491577334,False,0.0038201257783250543,0.2875,183426,0.0,0.0,6,0,0,24,10,10.0,30,54,46,509.0,58.0,44,8,46,200,2.6620839796960354,10.215489756315947
3,46,0,0,0,10.0,20,10.0,15.92520775623269,29,15.068965517241379,26.0,0,,9.96993382564496,91,5.0879120879120885,41.0,0,,14,0.36700000000000005,12543,41,0,0.0,410.0,False,-0.03577641630738976,0,0.2,13142,0,24,0.9,382.20498614958456,False,0.008479123596913373,0,0.2,20086,6,13,1.0,433.55124653739614,False,0.0022597434599742725,0,0.2,19964,3,10,1.0,307.77562326869804,False,-0.006867363793535686,50,1.1680000000000004,21075,0,0,0.0,0.0,False,-0.23704883611483185,41,0.9790000000000003,22796.0,0,0,0.0,0.0,False,-0.1747456829453716,0,0.2,33500,24,20,1.0,1059.278411815479,False,0.010771354914537698,0,0.2,32977,140,0,0.0,1395.7907355902944,False,0.00023451355318710837,0.4875,176083,0.0,0.0,9,0,0,16,18,18.0,28,44,31,471.0,57.0,32,14,31,511,1.665477329865098,11.880967086181045
4,31,0,0,0,10.0,20,10.0,14.84958217270195,14,9.857142857142858,26.0,0,,8.912513960292772,29,2.0689655172413794,41.0,20,41.0,13,0.4830000000000001,12259,54,0,0.0,540.0,False,-0.052340972694954996,0,0.2,13081,0,30,0.7,445.4874651810585,False,0.0062585078731206755,0,0.2,20086,0,19,0.6,494.0,False,0.0037517895048625165,0,0.2,19826,7,20,1.0,623.9470752089137,False,-0.005875818847585749,20,1.3180000000000003,20072,0,0,0.0,0.0,False,-0.2733591572240524,9,1.0280000000000002,22427.0,0,0,0.0,0.0,False,-0.1881041161351048,0,0.2,33910,24,19,1.0,992.9003350470266,False,0.021963648900214308,9,0.29000000000000004,32834,159,0,0.0,1417.0897196865508,False,-0.0036966507308855063,0.4125,174495,0.0,0.0,10,0,0,14,10,10.0,17,31,30,226.0,66.0,19,12,30,660,1.4656306393444538,13.346597725525498
5,30,0,0,0,10.0,20,10.0,14.689499466352865,2,9.0,25.6734693877551,4,22.0,8.10814257632988,45,4.622222222222222,41.0,20,41.0,2,0.49000000000000005,12165,61,0,0.0,610.0,False,-0.05680357007790636,0,0.2,12951,3,40,1.0,617.5799786541146,False,0.0029339678789090766,0,0.2,20086,0,19,0.0,487.7959183673469,False,0.003598655239357869,0,0.2,19896,0,25,0.9,641.8367346938776,False,-0.0019786559042830683,17,1.4680000000000004,19195,4,0,0.0,102.6938775510204,False,-0.30324921482910944,28,1.2990000000000002,20944.0,0,0,0.0,0.0,False,-0.24179126090576694,0,0.2,34317,17,19,1.0,916.8384237976079,False,0.032923016957222405,10,0.38100000000000006,32503,201,0,0.0,1629.736657842306,False,-0.010370144981104498,0.3625,172057,0.0,0.0,11,0,0,7,10,10.0,21,28,27,201.0,87.0,16,14,27,698,1.4240442048758268,14.770641930401325
6,27,0,0,0,10.0,20,10.0,15.883093288561172,30,18.5,26.0499306518724,28,26.642857142857142,7.19239978504903,77,4.623376623376624,41.0,20,41.0,0,0.4880000000000001,12055,72,0,0.0,720.0,False,-0.06096361848574238,0,0.2,13416,2,20,1.0,337.66186577122346,False,0.02751916896495062,0,0.2,20392,0,13,0.0,338.6490984743412,False,0.01502317960394785,0,0.2,19781,20,13,1.0,656.3109642455647,False,-0.007298440927936825,37,1.8210000000000002,16021,32,0,0.0,833.5977808599168,False,-0.4049234735390812,40,1.6710000000000003,18436.0,0,0,0.0,0.0,False,-0.33258516453679904,0,0.2,34518,41,21,1.0,1155.8883911870103,False,0.04244346676548263,12,0.4910000000000001,32084,244,0,0.0,1754.9455475519633,False,-0.020956046758666285,0.375,166703,0.0,0.0,14,0,0,15,15,15.0,16,31,26,223.0,54.0,19,8,26,1829,1.4563122652471066,16.226954195648432
7,26,0,0,0,10.0,20,10.0,17.028052885075397,11,26.0,30.78031125588129,18,47.833333333333336,6.966254152274431,70,6.114285714285714,41.0,20,41.0,0,0.4880000000000001,11915,86,0,0.0,860.0,False,-0.06625822555026095,0,0.2,13642,0,17,0.8,289.47689904628174,False,0.042790897021642973,0,0.2,20833,0,4,0.0,123.12124502352516,False,0.031473595424384784,0,0.2,19915,21,14,1.0,788.5134681689215,False,0.0025796877170588756,31,2.0940000000000007,14163,35,0,0.0,1077.3108939558451,False,-0.46777484534706865,39,2.0210000000000004,15325.0,15,0,0.0,461.70466883821933,False,-0.43685145225286504,0,0.2,34792,46,20,1.0,1140.4476910046237,False,0.050352684988336074,9,0.5690000000000002,31713,299,0,0.0,2082.909991530055,False,-0.027105028788872575,0.35,162298,0.0,0.0,13,0,0,12,11,11.0,16,28,24,235.0,45.0,16,10,24,1798,1.3583867866545916,17.585340982303023
8,24,0,0,0,10.0,20,10.0,17.028052885075397,0,,32.59633267434441,21,39.04761904761905,6.248289594222668,67,3.029850746268657,41.00000000000001,20,41.0,0,0.4880000000000001,11845,93,0,0.0,930.0,False,-0.06890552908252023,0,0.2,13512,3,27,1.0,489.7574278970357,False,0.04053238892281352,0,0.2,20833,0,4,0.0,130.38533069737764,False,0.031652893584868835,7,0.27,20512,11,10,1.0,513.2719084792734,False,0.02525724215034993,39,2.4530000000000007,10739,56,0,0.0,1825.394629763287,False,-0.5781885633391868,28,2.262000000000001,13828.0,15,0,0.0,488.94499011516615,False,-0.490552347860204,0,0.2,35284,36,18,1.0,962.9384253920161,False,0.0623301515637273,8,0.6400000000000001,31416,366,0,0.0,2286.8739914854964,False,-0.03289758529887581,0.375,157969,0.0,0.0,11,0,0,11,13,12.142857142857142,16,27,28,190.0,54.0,15,9,28,900,2.224158326163888,19.80949930846691
9,28,0,0,0,10.000000000000002,20,10.0,18.697613004364534,20,26.0,30.30291085343149,44,25.818181818181817,6.196042414698268,32,5.65625,41.00000000000001,20,41.0,0,0.4880000000000001,11735,104,0,0.0,1040.0000000000002,False,-0.07306557749035625,0,0.2,13942,2,17,1.0,337.8594210741971,False,0.06731183046192413,0,0.2,20755,0,7,0.3,212.12037597402045,False,0.029819824652565132,34,0.603,19603,18,10,1.0,639.5861426128765,False,-0.01649834273059002,18,2.5940000000000007,9485,78,0,0.0,2363.627046567656,False,-0.6138430466175351,14,2.3740000000000006,12512.0,37,0,0.0,1121.2077015769653,False,-0.5267493085186807,0,0.2,35452,43,21,1.0,1127.4298238320257,False,0.06976311854088602,13,0.762,31128,381,0,0.0,2360.69216000004,False,-0.0403556574687373,0.4125,154612,0.0,0.0,12,0,0,18,15,14.5,14,32,23,290.0,52.0,21,7,23,1262,1.4831328969448805,21.292632205411792
