index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,27.0,0,,38.0,0,,49.0,0,,0,0.2,12275,1,10,1.0,180.0,False,-0.0016148566814695195,0,0.2,12295,0,9,0.9,153.0,False,-0.0010900282599919258,0,0.2,19594.0,0,0,0.0,0.0,False,0.0,0,0.2,19594.0,0,0,0.0,0.0,False,0.0,0,0.2,26847,0,0,0.0,0.0,False,0.0,0,0.2,26847,0,0,0.0,0.0,False,0.0,0,0.2,37374,0,0,0.0,0.0,False,0.0,0,0.2,37374,0,0,0.0,0.0,False,0.0,0.2375,192200,0.0,0.0,10,0,0,104,0,0.0,362,466,124,0.0,0.0,0,0,124,200,2.8097900804132223,2.8097900804132223
1,124,0,0,0,10.0,20,10.0,17.0,0,,27.0,0,,38.0,0,,49.0,0,,0,0.2,12155,3,20,1.0,370.0,False,-0.0036334275333064193,0,0.2,12215,0,17,0.8,289.0,False,-0.0020589422688736376,0,0.2,19594.0,0,0,0.0,0.0,False,0.0,0,0.2,19594.0,0,0,0.0,0.0,False,0.0,0,0.2,26847,0,0,0.0,0.0,False,0.0,0,0.2,26847,0,0,0.0,0.0,False,0.0,0,0.2,37374,0,0,0.0,0.0,False,0.0,0,0.2,37374,0,0,0.0,0.0,False,0.0,0.225,192000,0.0,0.0,9,0,0,55,0,0.0,59,114,45,1477.0,133.0,94,30,45,200,5.135927403345704,7.945717483758926
2,45,0,0,0,10.0,20,10.0,19.782608695652176,24,25.0,27.0,0,,38.0,0,,49.0,0,,0,0.2,12390,2,17,1.0,356.304347826087,False,0.014788225588457323,0,0.2,12380,1,16,1.0,326.5217391304348,False,0.012778431131628416,0,0.2,19319.0,11,0,0.0,217.60869565217394,False,-0.00848196652923916,0,0.2,19269.0,13,0,0.0,257.1739130434783,False,-0.010024142261828115,0,0.2,26847,0,0,0.0,0.0,False,0.0,0,0.2,26847,0,0,0.0,0.0,False,0.0,0,0.2,37374,0,0,0.0,0.0,False,0.0,0,0.2,37374,0,0,0.0,0.0,False,0.0,0.25,191800,0.0,0.0,12,0,0,20,0,0.0,35,55,38,551.0,85.0,35,10,38,800,2.2961348509415984,10.241852334700525
3,38,0,0,0,10.0,20,10.0,19.782608695652176,0,,27.0,0,,38.0,0,,49.0,0,,0,0.2,12270,4,27,1.0,574.1304347826087,False,0.013893033297642635,0,0.2,12300,0,25,0.9,494.5652173913044,False,0.01310315774692386,0,0.2,19319.0,11,0,0.0,217.60869565217394,False,-0.00848196652923916,0,0.2,19269.0,13,0,0.0,257.1739130434783,False,-0.010024142261828115,0,0.2,26847,0,0,0.0,0.0,False,0.0,0,0.2,26847,0,0,0.0,0.0,False,0.0,0,0.2,37374,0,0,0.0,0.0,False,0.0,0,0.2,37374,0,0,0.0,0.0,False,0.0,0.2375,191600,0.0,0.0,10,0,0,18,0,0.0,21,39,27,319.0,107.0,21,17,27,200,1.8423099238425493,12.084162258543074
4,27,0,0,0,10.0,20,10.0,20.41160593792173,12,23.666666666666668,25.93877551020408,4,14.0,41.5,5,73.0,49.0,13,49.0,0,0.2,12170,4,37,1.0,795.2294197031041,False,0.01474482921691983,0,0.2,12484,0,23,1.0,469.4669365721998,False,0.02694658605459024,1,0.21000000000000002,19017.0,23,0,0.0,469.4669365721998,False,-0.017467925472792686,3,0.23,19210.0,13,0,0.0,265.3508771929825,False,-0.01282660821698008,0,0.2,26805,0,3,0.3,124.5,False,0.0007542742205833054,5,0.25,26973,0,1,0.1,41.5,False,0.005466160092375312,0,0.2,37374,0,0,0.0,0.0,False,0.0,13,0.33000000000000007,36725,5,0,0.0,207.5,False,-0.014589019104190078,0.3,190758,0.0,0.0,10,0,0,19,11,11.0,17,36,26,225.0,86.0,17,10,26,484,1.6700068088248372,13.754169067367911
5,26,0,0,0,10.0,20,10.0,21.11132291269539,12,25.0,22.355155482815057,17,13.058823529411764,39.64492753623188,24,36.166666666666664,49.0,7,49.0,0,0.2,12330,8,35,1.0,818.8963019443386,False,0.02861914824159628,0,0.2,12424,0,29,0.6,612.2283644681663,False,0.027865497152529936,8,0.28900000000000003,18865.0,23,0,0.0,485.56042699199395,False,-0.024814728309890958,9,0.31700000000000006,18724.0,25,0,0.0,527.7830728173848,False,-0.030933370602802216,16,0.36000000000000004,26256,7,10,1.0,552.9353637420243,False,-0.011715734276790315,4,0.28500000000000003,27158,0,0,0.0,0.0,False,0.011584162103773233,0,0.2,37374,0,0,0.0,0.0,False,0.0,7,0.38700000000000007,35762,29,0,0.0,1149.7028985507245,False,-0.027750536488592065,0.325,188893,0.0,0.0,8,0,0,18,8,7.425,17,35,29,267.0,65.0,17,9,29,500,1.5021762354299426,15.256345302797854
6,29,0,0,0,10.0,20,10.0,23.462224366142625,66,25.984848484848484,20.679355127630988,12,13.0,39.6808972503618,7,40.0,49.0,6,49.0,2,0.22000000000000003,13159,9,10,1.0,324.62224366142624,False,0.07560041355112741,0,0.2,13068,0,9,0.9,211.16001929528363,False,0.06367218487263959,6,0.341,18033.0,51,0,0.0,1196.5734426732738,False,-0.049133065155831525,6,0.36800000000000005,17613.0,63,0,0.0,1478.1201350669853,False,-0.06338368543771085,0,0.3440000000000001,26310,9,14,1.0,741.6467576537441,False,-0.006189765008124799,1,0.29100000000000004,27183,0,0,0.0,0.0,False,0.012515364845234104,0,0.2,37374,0,0,0.0,0.0,False,0.0,6,0.44000000000000006,35400,36,0,0.0,1428.5123010130249,False,-0.03370642290077301,0.3625,188140,0.0,0.0,17,0,0,15,7,6.105263157894736,20,35,29,259.0,71.0,19,10,29,1612,1.8762147380039096,17.132560040801764
7,29,0,0,0,10.0,20,10.0,23.482455542550593,28,23.571428571428573,19.842924414220878,10,14.8,44.57341737082699,10,75.0,49.00000000000001,12,49.0,3,0.24800000000000003,13334,9,10,1.0,324.82455542550593,False,0.08973857712658476,6,0.26,13156,0,10,1.0,234.82455542550593,False,0.07173292512819962,9,0.42500000000000004,17507.0,66,0,0.0,1549.8420658083392,False,-0.06696330341409765,1,0.3720000000000001,17291.0,76,0,0.0,1784.666621233845,False,-0.0719948295081697,0,0.3440000000000001,26176,8,24,1.0,1228.5054122136148,False,-0.0021137294257530925,10,0.39,27407,0,1,0.1,44.57341737082699,False,0.021689079177763363,0,0.2,37374,0,0,0.0,0.0,False,0.0,12,0.554,34411,46,0,0.0,2050.3771990580412,False,-0.05184918393725527,0.3875,186656,0.0,0.0,10,0,0,15,14,12.412587412587413,22,37,30,277.0,73.0,18,11,30,200,1.4507024362683296,18.583262477070093
8,30,0,0,0,10.0,20,10.0,24.11867056071031,46,26.0,19.074724361825883,8,13.0,44.458618180715774,1,37.0,49.00000000000001,9,49.0,12,0.36500000000000005,13574,7,10,1.0,311.18670560710314,False,0.10856627798171588,14,0.394,13354,2,10,1.0,261.18670560710314,False,0.08878428363371427,0,0.41600000000000004,16909.0,89,0,0.0,2146.5616799032177,False,-0.08225574972177162,8,0.451,16541.0,99,0,0.0,2387.7483855103205,False,-0.09488240314610799,0,0.3440000000000001,26109,6,33,1.0,1581.582746134576,False,0.00196637885302969,0,0.38000000000000006,27407,0,1,0.0,44.458618180715774,False,0.021686941151352425,0,0.2,37374,0,0,0.0,0.0,False,0.0,9,0.6320000000000001,34230,47,0,0.0,2089.5550544936414,False,-0.05616799038778775,0.375,185498,0.0,0.0,10,0,0,15,9,7.257575757575758,22,37,31,297.0,84.0,19,11,31,237,1.460433468222618,20.04369594529271
9,31,0,0,0,10.000000000000002,20,10.0,24.487879918110515,40,26.0,17.96118326353551,15,13.2,42.23031356172854,10,29.0,49.00000000000001,8,49.0,16,0.5130000000000001,13798,6,10,1.0,304.87879918110514,False,0.12639801369322182,4,0.42000000000000004,13524,3,10,1.0,274.87879918110514,False,0.10306333464598724,7,0.4860000000000001,16353.0,105,0,0.0,2571.227391401604,False,-0.09979515690003052,8,0.523,15745.0,123,0,0.0,3012.0092299275934,False,-0.11957718613025434,0,0.3440000000000001,26215,10,33,1.0,1573.212180172397,False,0.00575878459739261,0,0.38000000000000006,27393,0,2,0.1,84.46062712345709,False,0.021910467223962806,0,0.2,37374,0,0,0.0,0.0,False,0.0,8,0.7030000000000001,33811,57,0,0.0,2407.1278730185268,False,-0.06313041321482141,0.3875,184213,0.0,0.0,10,0,0,15,13,11.321678321678322,23,38,29,216.0,110.0,18,13,29,490,2.628854935988784,22.672550881281495
