index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,34.0,0,,48.0,0,,0,0.2,21841,10,0,0.0,100.0,False,-0.0022788387037965454,0,0.2,21841,10,0,0.0,100.0,False,-0.0022788387037965454,0,0.2,30375,0,0,0.0,0.0,False,0.0,0,0.2,30375,0,0,0.0,0.0,False,0.0,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.2,57321,0,0,0.0,0.0,False,0.0,0,0.2,57321,0,0,0.0,0.0,False,0.0,0.0,306016,0.0,0.0,8,0,0,0,0,0.0,209,209,88,0.0,0.0,0,0,88,200,1.1177518954500556,1.1177518954500556
1,88,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,34.0,0,,48.0,0,,0,0.2,21731,21,0,0.0,210.0,False,-0.004785561277972745,0,0.2,21751,19,0,0.0,190.0,False,-0.004329793537213436,0,0.2,30375,0,0,0.0,0.0,False,0.0,0,0.2,30375,0,0,0.0,0.0,False,0.0,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.2,57321,0,0,0.0,0.0,False,0.0,0,0.2,57321,0,0,0.0,0.0,False,0.0,0.0,305816,0.0,0.0,9,0,0,30,0,0.0,35,65,45,778.0,283.0,50,38,45,200,2.5827314676716924,3.700483363121748
2,45,0,0,0,10.0,20,10.0,14.389830508474576,14,2.7857142857142856,26.717391304347824,1,14.0,34.0,0,,48.0,0,,9,0.29000000000000004,21425,32,0,0.0,320.0,False,-0.016225331571031402,5,0.25,21571,28,0,0.0,280.0,False,-0.010482658037464109,1,0.21000000000000002,30339,0,8,0.8,213.7391304347826,False,0.0023331544104491174,0,0.2,30354,0,6,0.6,160.30434782608694,False,0.0019473966720343688,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.2,43457,0,1,0.1,34.0,False,6.901152492466242e-05,0,0.2,57321,0,0,0.0,0.0,False,0.0,0,0.2,57321,0,0,0.0,0.0,False,0.0,0.1875,305259,0.0,0.0,9,0,0,14,5,5.0,28,42,41,357.0,149.0,26,19,41,200,2.0415523117408156,5.742035674862564
3,41,0,0,0,10.0,20,10.0,9.679245283018869,37,2.918918918918919,28.14870689655173,5,40.0,34.0,0,,48.0,0,,11,0.39100000000000007,21070,43,0,0.0,430.0,False,-0.029898363793810674,26,0.5050000000000001,20748,37,0,0.0,370.0,False,-0.04594138826853835,0,0.20900000000000002,30512,0,9,0.6,253.33836206896558,False,0.008680466865332737,0,0.2,30273,21,16,1.0,653.6434612882239,False,0.007401538457419295,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.2,43257,0,6,0.5,204.0,False,-0.002576430263854064,0,0.2,57321,0,0,0.0,0.0,False,0.0,0,0.2,57321,0,0,0.0,0.0,False,0.0,0.2625,303973,0.0,0.0,9,0,0,18,9,9.0,23,41,35,296.0,91.0,24,17,35,400,1.8579202136024833,7.599955888465047
4,35,0,0,0,10.0,20,10.0,9.349401788825647,5,4.0,30.126800606520096,11,37.63636363636363,33.578947368421055,12,32.0,48.0,20,48.0,5,0.43000000000000005,20850,56,0,0.0,560.0,False,-0.036962763775579964,0,0.4790000000000001,20678,44,0,0.0,440.0,False,-0.04753657536119593,0,0.20900000000000002,30726,0,3,0.0,90.38040181956029,False,0.013043298795383683,0,0.2,30453,16,21,1.0,782.2532413581323,False,0.01544449780013392,0,0.2,43471,0,0,0.0,0.0,False,0.0,6,0.26,42981,1,10,1.0,365.9162742907306,False,-0.007063142390435743,13,0.33000000000000007,56661,12,0,0.0,402.94736842105266,False,-0.007999272793382414,7,0.27,57234,0,0,0.0,0.0,False,-0.0015177683571465956,0.25,303054,0.0,0.0,12,0,0,15,9,8.5,18,33,36,202.0,74.0,16,19,36,614,1.3859352841973305,8.985891172662377
5,36,0,0,0,10.0,20,10.0,7.924381352748244,21,2.6666666666666665,31.067391967075682,5,40.0,33.578947368421055,0,,48.0,20,48.0,10,0.5250000000000001,20540,65,0,0.0,650.0,False,-0.04904060890570165,11,0.5890000000000002,20332,55,0,0.0,550.0,False,-0.06079941661729183,2,0.229,30817,5,10,1.0,350.29582643449805,False,0.02031762677258436,0,0.2,30442,12,31,1.0,1058.181727212325,False,0.019624390571396255,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.254,42781,0,16,0.6,537.2631578947369,False,-0.009693092430646488,13,0.44700000000000006,56394,12,0,0.0,402.94736842105266,False,-0.012657251544625414,7,0.3330000000000001,57141,0,0,0.0,0.0,False,-0.0031402103940964044,0.325,301918,0.0,0.0,8,0,0,12,13,12.4,26,38,26,226.0,52.0,21,15,26,200,1.5484129199758172,10.534304092638195
6,26,0,0,0,10.0,20,10.0,7.242622897633548,10,1.2,32.628065399856034,10,40.0,33.49171270718232,3,32.0,48.00000000000001,20,48.0,2,0.5350000000000001,20400,75,0,0.0,750.0,False,-0.053142518572535435,8,0.6580000000000001,20054,65,0,0.0,650.0,False,-0.07119092110660408,0,0.227,31009,3,15,1.0,511.14884969074114,False,0.029286400817954576,0,0.2,30638,4,36,1.0,1203.5808459853515,False,0.028470466600581903,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.254,42477,0,23,1.0,770.3093922651934,False,-0.014005780954369699,8,0.5140000000000001,56176,15,0,0.0,502.37569060773484,False,-0.015593101214147238,12,0.44600000000000006,56907,0,0,0.0,0.0,False,-0.00722248390642173,0.375,301132,0.0,0.0,11,0,0,10,11,11.0,19,29,18,181.0,38.0,13,13,18,696,1.245687355287373,11.779991447925568
7,18,0,0,0,10.0,20,10.0,5.993910060867748,25,1.56,34.440955502191784,15,40.666666666666664,33.49171270718232,0,,48.00000000000001,20,48.0,10,0.633,20057,86,0,0.0,860.0,False,-0.06626862950640354,15,0.8,19626,74,0,0.0,740.0,False,-0.0886468255776856,0,0.227,31182,11,20,1.0,754.7521207133809,False,0.03899180445618738,0,0.2,31036,1,36,1.0,1245.8683081397721,False,0.04226943717102512,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.254,41867,5,33,1.0,1277.4312968479758,False,-0.022205248362724816,10,0.6060000000000001,56007,15,0,0.0,502.37569060773484,False,-0.018541409861937752,10,0.534,56744,0,0,0.0,0.0,False,-0.01006611887440903,0.375,299990,0.0,0.0,12,0,0,6,14,14.0,19,25,20,133.0,33.0,10,8,20,810,1.278493082150817,13.058484530076385
8,20,0,0,0,10.0,20,10.0,5.674351381691103,7,1.0,34.440955502191784,0,,36.10773921881807,20,42.5,48.00000000000001,20,48.0,6,0.683,19831,96,0,0.0,960.0,False,-0.07429014174376737,1,0.7950000000000002,19505,84,0,0.0,840.0,False,-0.0918827765370767,0,0.227,31176,7,30,1.0,1072.9491247375913,False,0.04403208435782044,0,0.2,31035,0,38,0.2,1308.7563090832878,False,0.0432717087914944,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.254,42717,0,18,0.5,649.9393059387253,False,-0.009869346162513835,13,0.7260000000000002,55737,15,0,0.0,541.616088282271,False,-0.02290943905128772,7,0.5940000000000001,55797,10,10,1.0,841.0773921881807,False,-0.019250559200047302,0.3375,299269,0.0,0.0,11,0,0,12,10,10.0,19,31,16,131.0,42.0,15,5,16,1050,1.4564418336376548,14.51492636371404
9,16,0,0,0,10.000000000000002,20,10.0,5.382467001264177,15,3.466666666666667,34.440955502191784,0,,39.7888624761311,15,55.0,48.00000000000001,20,48.0,5,0.7270000000000001,19662,102,0,0.0,1020.0000000000002,False,-0.08062531334032177,10,0.8940000000000001,19183,98,0,0.0,980.0000000000002,False,-0.1033681236042113,0,0.227,31129,7,40,1.0,1415.3154890965207,False,0.04812041957360532,0,0.2,31030,0,43,0.5,1480.9610865942468,False,0.045941746281386746,0,0.2,43471,0,0,0.0,0.0,False,0.0,0,0.254,43542,0,3,0.0,119.3665874283933,False,0.0030062177937980566,9,0.8030000000000002,55266,20,0,0.0,795.777249522622,False,-0.028909324248332865,1,0.5970000000000002,55768,10,10,1.0,877.8886247613111,False,-0.019435384721469343,0.3125,299051,0.0,0.0,15,0,0,4,8,8.0,22,26,19,142.0,38.0,11,5,19,1505,1.067343750037253,15.582270113751292
