index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,13,10.0,16.0,0,,24.0,0,,38.0,0,,45.0,0,,0,0.2,12103,0,3,0.3,48.0,False,-0.0004945190801945109,0,0.2,12033,0,10,1.0,160.0,False,-0.0016483969339817028,0,0.2,19272,0,0,0.0,0.0,False,0.0,0,0.2,19272,0,0,0.0,0.0,False,0.0,0,0.2,30610,0,0,0.0,0.0,False,0.0,0,0.2,30610,0,0,0.0,0.0,False,0.0,0,0.2,39290,0,0,0.0,0.0,False,0.0,0,0.2,39290,0,0,0.0,0.0,False,0.0,0.1625,202480,0.0,0.0,9,0,0,129,0,0.0,394,523,174,0.0,0.0,0,0,174,130,3.568801208399236,3.568801208399236
1,174,0,0,0,10.0,13,10.0,16.0,0,,24.0,0,,38.0,0,,45.0,0,,0,0.2,12053,0,8,0.5,128.0,False,-0.0013187175471853622,0,0.2,11953,0,18,0.8,288.0,False,-0.002967114481167065,0,0.2,19272,0,0,0.0,0.0,False,0.0,0,0.2,19272,0,0,0.0,0.0,False,0.0,0,0.2,30610,0,0,0.0,0.0,False,0.0,0,0.2,30610,0,0,0.0,0.0,False,0.0,0,0.2,39290,0,0,0.0,0.0,False,0.0,0,0.2,39290,0,0,0.0,0.0,False,0.0,0.1625,202350,0.0,0.0,5,0,0,33,0,0.0,33,66,46,683.0,824.0,44,130,46,130,5.029275597073138,8.598076805472374
2,46,0,0,0,10.0,16,10.0,16.0,0,,23.102040816326532,4,13.0,38.0,0,,45.0,0,,0,0.2,12003,0,13,0.5,208.0,False,-0.0021429160141762135,0,0.2,11843,1,28,1.0,458.0,False,-0.005027610648644193,4,0.24000000000000002,19208,0,0,0.0,0.0,False,-0.0033208800332088003,0,0.2,19272,0,0,0.0,0.0,False,0.0,0,0.2,30558,0,4,0.4,152.0,False,0.0007840574975498204,0,0.2,30610,0,0,0.0,0.0,False,0.0,0,0.2,39290,0,0,0.0,0.0,False,0.0,0,0.2,39290,0,0,0.0,0.0,False,0.0,0.2375,202074,0.0,0.0,8,0,0,24,1,1.0,26,50,30,496.0,231.0,32,14,30,160,1.9328870484605432,10.530963853932917
3,30,0,0,0,10.000000000000002,16,10.0,16.0,0,,23.102040816326532,0,,41.27272727272727,10,56.0,45.0,0,,0,0.2,11933,0,20,0.7,320.0,False,-0.0032967938679634057,0,0.2,11753,0,38,1.0,608.0,False,-0.0062639083491304705,0,0.23600000000000002,19208,0,0,0.0,0.0,False,-0.0033208800332088003,0,0.2,19272,0,0,0.0,0.0,False,0.0,1,0.21000000000000002,30793,0,0,0.0,0.0,False,0.00597843841881738,5,0.25,30665,0,0,0.0,0.0,False,0.0017967984318850048,0,0.2,38730,0,10,1.0,450.0,False,-0.008526342580809367,0,0.2,39290,0,0,0.0,0.0,False,0.0,0.3375,201644,0.0,0.0,7,0,0,25,2,1.2,14,39,27,300.0,163.0,19,11,27,160,1.8052469966933131,12.33621085062623
4,27,0,0,0,10.000000000000004,10,10.0,16.0,0,,20.94117647058824,12,13.0,41.960396039603964,1,76.0,45.0,20,45.0,0,0.2,11893,0,24,0.4,384.0,False,-0.003956152641556087,0,0.2,11693,0,44,0.6,704.0,False,-0.007252946509519492,4,0.276,19144,0,0,0.0,0.0,False,-0.006641760066417601,8,0.28,19124,0,0,0.0,0.0,False,-0.007679535076795351,1,0.21900000000000003,30772,0,4,0.4,167.84158415841586,False,0.008034001701378858,0,0.24500000000000002,30561,0,8,0.8,335.6831683168317,False,0.003882443128337713,0,0.2,39045,0,3,0.0,135.0,False,-0.0045176889793840675,13,0.33000000000000007,38941,1,0,0.0,41.960396039603964,False,-0.008348684193947502,0.275,201173,0.0,0.0,8,0,0,19,12,12.0,20,39,23,300.0,117.0,18,9,23,415,1.6438637934625149,13.980074644088745
5,23,0,0,0,10.000000000000004,12,10.0,19.175675675675677,29,24.103448275862068,18.769894948913514,19,13.0,45.9362267493357,11,62.36363636363637,45.0,20,45.0,0,0.2,11893,0,24,0.0,460.21621621621625,False,-0.0008152882132936327,0,0.2,12272,2,25,1.0,499.39189189189193,False,0.03203626027742081,14,0.4120000000000001,18543,13,0,0.0,249.2837837837838,False,-0.03135938709568838,5,0.322,18644,16,0,0.0,306.81081081081084,False,-0.024626120516531402,2,0.23800000000000002,30983,0,5,0.5,229.6811337466785,False,0.01593729391941651,0,0.24500000000000002,30699,4,13,1.0,672.2505275370181,False,0.013888443768981058,6,0.26,38810,0,5,0.5,225.0,False,-0.009353525069992364,11,0.42700000000000005,38343,7,0,0.0,321.55358724534995,False,-0.02001077135091184,0.375,200187,0.0,0.0,10,0,0,18,14,13.066666666666666,15,33,25,212.0,90.0,13,10,25,1305,1.481211761943996,15.461286406032741
6,25,0,0,0,10.000000000000004,7,10.0,20.441309255079005,22,24.272727272727273,17.480388870264832,18,13.0,47.61248954558127,3,76.0,45.0,20,45.0,0,0.2,12077,0,16,0.0,327.0609480812641,False,0.008862645185908829,0,0.2,12552,0,20,0.9,408.8261851015801,False,0.051381611518238744,13,0.5280000000000001,17848,30,0,0.0,613.2392776523702,False,-0.057979470795652494,5,0.36700000000000005,18449,21,0,0.0,429.2674943566591,False,-0.03156736471677408,0,0.23600000000000002,31094,0,11,0.9,523.7373850013939,False,0.02436683085595226,0,0.24500000000000002,30582,3,23,1.0,1147.5284261591637,False,0.0178296051316427,8,0.3340000000000001,38914,0,0,0.0,0.0,False,-0.00956986510562484,7,0.4860000000000001,38028,10,0,0.0,476.1248954558127,False,-0.026061021946350082,0.35,199544,0.0,0.0,9,0,0,26,10,9.75,11,37,25,216.0,99.0,17,8,25,1012,1.586243667639792,17.047530073672533
7,25,0,0,0,10.000000000000002,8,10.0,21.53093139796095,36,23.944444444444443,16.799055761759988,13,13.0,49.6129363537557,10,59.3,45.00000000000001,20,45.0,0,0.2,12192,0,11,0.0,236.84024537757043,False,0.014622939313342565,11,0.31000000000000005,13010,0,8,0.8,172.2474511836876,False,0.07938050981553153,4,0.5550000000000002,17462,44,0,0.0,947.3609815102817,False,-0.06933994962872865,9,0.45200000000000007,17741,43,0,0.0,925.8300501123208,False,-0.05542159479783305,0,0.23600000000000002,31303,0,14,0.8,694.5811089525798,False,0.03398531703614148,0,0.24500000000000002,30797,0,26,0.8,1289.9363451976483,False,0.027179620143705424,10,0.42600000000000005,38454,0,5,0.5,225.00000000000003,False,-0.018414354797658437,10,0.5790000000000002,37540,15,0,0.0,744.1940453063355,False,-0.03507006814321292,0.36250000000000004,198499,0.0,0.0,9,0,0,17,15,14.785714285714285,18,35,33,236.0,102.0,16,9,33,1213,1.5631583938375115,18.610688467510045
8,33,0,0,0,10.000000000000002,6,10.0,21.889287743401685,12,25.0,16.524220621592868,6,13.0,53.646182492778856,20,64.25,45.00000000000001,20,45.0,0,0.2,12192,0,11,0.0,240.78216517741853,False,0.014785385526144296,4,0.3390000000000001,13174,0,6,0.6,131.33572646041011,False,0.09121139563423758,0,0.5510000000000002,17462,44,0,0.0,963.1286607096741,False,-0.06893086704260903,6,0.5030000000000001,17345,55,0,0.0,1203.9108258870926,False,-0.06875490800417468,0,0.23600000000000002,31795,0,10,0.6,536.4618249277886,False,0.04747569135785351,0,0.24500000000000002,31512,0,16,0.0,858.3389198844617,False,0.04348805814904377,7,0.4860000000000001,38018,0,10,1.0,450.00000000000006,False,-0.02664800203614151,8,0.6490000000000001,36705,25,0,0.0,1341.1545623194713,False,-0.04872544461288535,0.275,198203,0.0,0.0,10,0,0,23,9,8.0,16,39,39,269.0,177.0,18,15,39,1525,1.6227705925703049,20.23345906008035
9,39,0,0,0,10.000000000000004,9,10.0,22.137694054653757,22,23.318181818181817,16.183075078454507,8,13.0,54.88003265464225,5,71.0,45.00000000000001,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,5,0.385,13242,0,9,0.9,199.23924649188382,False,0.09961424406543662,4,0.5910000000000001,16885,66,0,0.0,1461.0878076071479,False,-0.08595143712102672,4,0.5370000000000001,17281,55,0,0.0,1217.5731730059567,False,-0.07172132697680687,0,0.23600000000000002,32150,0,5,0.0,274.40016327321126,False,0.05479255412076463,0,0.24500000000000002,31408,0,24,0.8,1317.1207837114139,False,0.04758446232785711,4,0.5190000000000001,38426,0,0,0.0,0.0,False,-0.021990328327818782,6,0.7010000000000001,36273,30,0,0.0,1646.4009796392675,False,-0.0558360781415212,0.21250000000000002,198117,0.0,0.0,13,0,0,18,8,7.454545454545455,22,40,38,316.0,173.0,21,18,38,1155,1.7006468828767538,21.934105942957103
