index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,35.0,0,,54.0,0,,0,0.2,15733,13,0,0.0,130.0,False,-0.0040975855764987705,0,0.2,15793,7,0,0.0,70.0,False,-0.002206392233499338,0,0.2,23001,0,0,0.0,0.0,False,0.0,0,0.2,23001,0,0,0.0,0.0,False,0.0,0,0.2,33822,0,0,0.0,0.0,False,0.0,0,0.2,33822,0,0,0.0,0.0,False,0.0,0,0.2,50081,0,0,0.0,0.0,False,0.0,0,0.2,50081,0,0,0.0,0.0,False,0.0,0.0,245334,0.0,0.0,10,0,0,0,0,0.0,536,536,118,0.0,0.0,0,0,118,200,1.7398024993017316,1.7398024993017316
1,118,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,35.0,0,,54.0,0,,0,0.2,15613,25,0,0.0,250.0,False,-0.007879972262497635,0,0.2,15713,15,0,0.0,150.0,False,-0.004727983357498582,0,0.2,23001,0,0,0.0,0.0,False,0.0,0,0.2,23001,0,0,0.0,0.0,False,0.0,0,0.2,33822,0,0,0.0,0.0,False,0.0,0,0.2,33822,0,0,0.0,0.0,False,0.0,0,0.2,50081,0,0,0.0,0.0,False,0.0,0,0.2,50081,0,0,0.0,0.0,False,0.0,0.0,245134,0.0,0.0,11,0,0,45,0,0.0,51,96,58,1124.0,319.0,75,43,58,200,3.8965657269582152,5.636368226259947
2,58,0,0,0,10.0,20,10.0,12.196969696969697,21,1.9047619047619047,24.0,0,,34.5,9,32.0,54.0,0,,7,0.27,15345,37,0,0.0,370.0,False,-0.0209922461072937,14,0.34,15328,23,0,0.0,230.0,False,-0.026476706801992055,0,0.2,22983,0,10,1.0,240.0,False,0.004434589800443459,0,0.2,22979,1,10,1.0,252.1969696969697,False,0.004525824305399073,9,0.29000000000000004,33732,0,0,0.0,0.0,False,-0.0026609898882384245,0,0.2,33822,0,0,0.0,0.0,False,0.0,0,0.2,49793,9,0,0.0,310.5,False,-0.0026507058565124497,0,0.2,50081,0,0,0.0,0.0,False,0.0,0.25,244063,0.0,0.0,12,0,0,14,6,6.0,36,50,49,336.0,134.0,27,31,49,200,1.8878847220912576,7.524252948351204
3,49,0,0,0,10.0,20,10.0,8.320568927789934,32,1.125,24.51063829787234,2,36.0,32.078125,9,19.0,54.0,0,,2,0.28300000000000003,15195,48,0,0.0,480.0,False,-0.026981025026791904,30,0.6260000000000001,14368,32,0,0.0,320.0,False,-0.08415810376347475,0,0.2,22963,10,20,1.0,573.4184552353461,False,0.01081297454970104,0,0.2,23035,3,18,1.0,466.1531961450719,False,0.011611521154407951,0,0.281,33696,0,1,0.1,32.078125,False,-0.003251166030985749,9,0.29000000000000004,33579,0,1,0.1,32.078125,False,-0.006710452885695701,0,0.2,49793,9,0,0.0,288.703125,False,-0.002868322068249436,0,0.2,49910,0,9,0.9,486.0,False,0.0014376709730237016,0.3875,242539,0.0,0.0,14,0,0,15,7,7.0,29,44,44,272.0,113.0,19,30,44,272,1.837512044236064,9.361764992587268
4,44,0,0,0,10.0,20,10.0,7.409329034857949,17,3.0,23.80933062880324,7,19.571428571428573,32.078125,0,,54.0,20,54.0,15,0.43100000000000005,14775,57,0,0.0,570.0,False,-0.050620941814284816,2,0.6160000000000001,14222,43,0,0.0,430.0,False,-0.08989472357057303,0,0.2,22963,0,30,1.0,714.2799188640972,False,0.013875047147169693,0,0.2,23121,10,21,1.0,574.0892335534476,False,0.017696822606700677,0,0.281,33660,0,2,0.1,64.15625,False,-0.0038413421737330733,0,0.281,33478,0,7,0.6,224.546875,False,-0.006851355996097215,11,0.31000000000000005,49542,9,0,0.0,288.703125,False,-0.007880202821429285,0,0.2,50396,0,0,0.0,0.0,False,0.006289810506978694,0.3375,242157,0.0,0.0,19,0,0,21,11,11.0,25,46,42,276.0,91.0,23,21,42,823,2.0570377418771386,11.418802734464407
5,42,0,0,0,10.0,20,10.0,6.82271645615962,9,1.0,22.97836013500099,6,16.833333333333332,30.664393095768375,20,27.0,54.0,20,54.0,0,0.41600000000000004,14725,62,0,0.0,620.0,False,-0.052196936266784344,9,0.7040000000000002,13877,58,0,0.0,580.0,False,-0.10691546365756792,0,0.2,22963,0,30,0.0,689.3508040500298,False,0.013333133430068932,0,0.2,23213,9,25,1.0,635.8634514804613,False,0.023039508097049216,8,0.36100000000000004,33674,0,0,0.0,0.0,False,-0.004375850038436521,3,0.31100000000000005,33441,0,6,0.6,183.98635857461025,False,-0.008544935861649132,12,0.41900000000000004,49275,9,0,0.0,275.9795378619154,False,-0.013338596095705792,8,0.28,49710,10,10,1.0,846.6439309576838,False,0.0010447468197288567,0.325,240878,0.0,0.0,15,0,0,19,15,14.1,19,38,51,193.0,98.0,17,25,51,301,3.3187864059582353,14.737589140422642
6,51,0,0,0,10.0,20,10.0,6.82271645615962,0,,22.97836013500099,0,,33.94487100737101,20,44.55,54.0,20,54.0,0,0.41600000000000004,14595,75,0,0.0,750.0,False,-0.05629452184328311,0,0.6950000000000001,13807,65,0,0.0,650.0,False,-0.10912185589106727,0,0.2,22963,0,30,0.0,689.3508040500298,False,0.013333133430068932,0,0.2,23213,0,34,0.9,781.2642445900336,False,0.026200257479892932,12,0.47300000000000003,33844,0,0,0.0,0.0,False,0.000650464194902726,2,0.32800000000000007,33493,0,0,0.0,0.0,False,-0.00972739636922713,10,0.5070000000000001,48468,18,0,0.0,611.0076781326783,False,-0.02610762885992014,0,0.272,49958,11,10,1.0,913.3935810810812,False,0.006663141521545895,0.2375,240341,0.0,0.0,18,0,0,12,9,8.25,27,39,59,250.0,166.0,17,34,59,740,1.814947122707963,16.552536263130605
7,59,0,0,0,10.0,20,10.0,6.5800058412327544,6,3.0,23.786605424864998,3,36.0,34.8545528604162,9,42.55555555555556,54.0,20,54.0,1,0.42600000000000005,14447,88,0,0.0,880.0,False,-0.061526823425581544,5,0.7450000000000001,13647,72,0,0.0,720.0,False,-0.1170018281535649,0,0.2,22963,0,30,0.0,713.5981627459499,False,0.013860227006346414,0,0.2,23303,0,37,0.6,880.104400720005,False,0.03226173646189304,5,0.5110000000000001,33857,0,2,0.2,69.7091057208324,False,0.002065358431210911,4,0.36600000000000005,33377,0,1,0.1,34.8545528604162,False,-0.012641852154508672,12,0.6170000000000001,47811,27,0,0.0,941.0729272312374,False,-0.03593106240658902,0,0.272,50390,1,12,1.0,682.8545528604162,False,0.012987505769257956,0.2375,239795,0.0,0.0,19,0,0,17,10,10.0,29,46,50,355.0,154.0,23,36,50,740,1.8882340975105762,18.44077036064118
8,50,0,0,0,10.0,20,10.0,6.0034337131264435,11,1.5454545454545454,26.891492279162943,19,34.0,36.726843107989,13,47.76923076923077,54.0,20,54.0,4,0.4650000000000001,14231,102,0,0.0,1020.0,False,-0.07073063102817878,7,0.81,13441,78,0,0.0,780.0,False,-0.12809682909916156,0,0.2,23609,0,11,0.0,295.80641507079235,False,0.03286392798293105,0,0.2,23286,1,47,1.0,1269.903570833785,False,0.03999616475009311,4,0.546,34049,0,0,0.0,0.0,False,0.006711607829223583,6,0.42200000000000004,32715,9,10,1.0,609.2918615923564,False,-0.02372284516598138,11,0.7150000000000001,47207,35,0,0.0,1285.439508779615,False,-0.04455342835826347,0,0.272,50613,0,9,0.6,486.0,False,0.0154749306124079,0.325,239151,0.0,0.0,19,0,0,12,15,14.083333333333334,28,40,42,281.0,128.0,19,31,42,1332,1.7101445635780692,20.15091492421925
9,42,0,0,0,10.000000000000002,20,10.0,5.795471905524127,5,2.2,27.496209194630413,4,36.0,36.55943649887645,17,35.76470588235294,54.0,20,54.0,1,0.4710000000000001,14113,112,0,0.0,1120.0000000000002,False,-0.0750173359389775,4,0.8430000000000002,13265,88,0,0.0,880.0000000000001,False,-0.1360398411397592,0,0.2,23681,0,9,0.0,247.46588275167372,False,0.034943391216722665,0,0.2,23347,0,51,0.6,1402.3066689261511,False,0.04552642643637568,5,0.5920000000000001,34056,0,2,0.2,73.1188729977529,False,0.007999510274344486,2,0.43600000000000005,32868,1,10,1.0,393.0905741833949,False,-0.022395325909416956,10,0.8040000000000003,46872,37,0,0.0,1352.6991504584287,False,-0.05057108334040425,1,0.28200000000000003,50621,5,10,1.0,722.7971824943822,False,0.017998813746674204,0.35000000000000003,238823,0.0,0.0,21,0,0,16,10,8.722222222222221,24,40,40,236.0,111.0,18,24,40,932,1.7508110431954265,21.901725967414677
