index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,27.0,0,,34.0,0,,0,0.2,13684,10,0,0.0,100.0,False,-0.003627394080092861,0,0.2,13684,10,0,0.0,100.0,False,-0.003627394080092861,0,0.2,24754,0,0,0.0,0.0,False,0.0,0,0.2,24754,0,0,0.0,0.0,False,0.0,0,0.2,35494,0,0,0.0,0.0,False,0.0,0,0.2,35494,0,0,0.0,0.0,False,0.0,0.0,147864,0.0,0.0,10,0,0,0,0,0.0,398,398,51,0.0,0.0,0,0,51,200,0.9048298159614205,0.9048298159614205
1,51,0,0,0,10.0,20,10.0,12.943396226415095,8,7.0,27.0,0,,34.0,0,,8,0.28,13494,21,0,0.0,210.0,False,-0.013421358096343587,0,0.2,13594,19,0,0.0,190.0,False,-0.006892048752176436,0,0.2,24698,0,8,0.8,216.0,False,0.0021006705986911208,0,0.2,24754,0,0,0.0,0.0,False,0.0,0,0.2,35494,0,0,0.0,0.0,False,0.0,0,0.2,35494,0,0,0.0,0.0,False,0.0,0.13333333333333333,147528,0.0,0.0,11,0,0,17,1,1.0,25,42,21,333.0,223.0,20,31,21,200,1.376798746176064,2.2816285621374846
2,21,0,0,0,10.0,20,10.0,9.666214382632292,26,3.6538461538461537,27.0,0,,34.0,0,,8,0.35200000000000004,13312,32,0,0.0,320.0,False,-0.022634939059779455,18,0.38000000000000006,13150,28,0,0.0,280.0,False,-0.03583865351131747,0,0.2,24612,9,18,1.0,572.9959294436907,False,0.005837358193497862,0,0.2,24745,0,7,0.7,189.0,False,0.003453987234386362,0,0.2,35494,0,0,0.0,0.0,False,0.0,0,0.2,35494,0,0,0.0,0.0,False,0.0,0.2833333333333333,146807,0.0,0.0,11,0,0,11,5,5.0,16,27,22,165.0,120.0,10,11,22,200,0.9219565540552139,3.2035851161926985
3,22,0,0,0,10.0,20,10.0,8.952570646084899,14,5.571428571428571,27.0,0,,34.0,20,34.0,10,0.44400000000000006,13062,45,0,0.0,450.0,False,-0.03605629715612304,4,0.402,13020,35,0,0.0,350.0,False,-0.0427307022634939,0,0.2,24612,0,27,0.9,729.0,False,0.008988446311707199,0,0.2,24667,4,17,1.0,494.8102825843396,False,0.006479968542141432,13,0.33000000000000007,35290,0,0,0.0,0.0,False,-0.005747450273285625,7,0.27,35419,0,0,0.0,0.0,False,-0.0021130331887079506,0.31666666666666665,146070,0.0,0.0,12,0,0,13,14,14.0,15,28,15,115.0,92.0,8,14,15,200,0.782205100171268,3.9857902163639665
4,15,0,0,0,10.0,20,10.0,8.952570646084899,0,,28.357142857142858,11,33.90909090909091,34.0,20,34.0,0,0.43400000000000005,12962,55,0,0.0,550.0,False,-0.0396836912362159,0,0.398,12920,45,0,0.0,450.0,False,-0.046358096343586765,0,0.2,24940,0,19,0.0,538.7857142857143,False,0.01839673818949902,0,0.2,24712,0,18,0.4,510.42857142857144,False,0.008613326561940948,11,0.42700000000000005,34769,1,10,1.0,368.35714285714283,False,-0.01523698170314497,9,0.35300000000000004,35311,0,0,0.0,0.0,False,-0.0051558009804474,0.2333333333333333,145614,0.0,0.0,13,0,0,13,10,10.0,15,28,10,122.0,52.0,7,8,10,573,0.6582266921177506,4.644016908481717
5,10,0,0,0,10.0,20,10.0,7.834198382272835,25,4.6,28.801526717557252,2,40.0,34.0,20,34.0,12,0.554,12709,66,0,0.0,660.0,False,-0.054048171793383636,13,0.528,12594,54,0,0.0,540.0,False,-0.06674405107370865,0,0.2,24940,0,19,0.0,547.2290076335878,False,0.018567282209614303,0,0.2,24677,15,26,1.0,866.352670390581,False,0.014388637601813463,0,0.41600000000000004,35029,0,3,0.3,102.0,False,-0.011663943201667887,10,0.44400000000000006,35177,0,0,0.0,0.0,False,-0.008931086944272271,0.21666666666666667,145126,0.0,0.0,16,0,0,12,10,10.0,12,24,2,65.0,31.0,4,6,2,620,0.5035456418991089,5.147562550380826
6,2,0,0,0,10.0,20,10.0,7.789139361307935,5,7.0,32.06194163192376,20,39.75,34.0,20,34.0,5,0.5920000000000001,12559,76,0,0.0,760.0,False,-0.06130295995356935,0,0.5150000000000001,12494,64,0,0.0,640.0,False,-0.0703714451538015,0,0.2,25330,0,9,0.0,288.55747468731386,False,0.029097468584618993,0,0.2,25047,10,26,1.0,911.5018760430971,False,0.03024767463931279,7,0.4860000000000001,34256,10,10,1.0,660.6194163192376,False,-0.02557306282302303,10,0.534,35057,0,0,0.0,0.0,False,-0.012311940046204992,0.3333333333333333,144743,0.0,0.0,14,0,0,10,10,9.4,9,19,6,12.0,13.0,1,1,6,995,0.39165339432656765,5.539215944707394
7,6,0,0,0,10.0,20,10.0,7.617243917295618,7,5.571428571428571,33.33075918460054,10,41.0,34.0,20,34.0,5,0.6370000000000001,12379,89,0,0.0,890.0,False,-0.06964596633778293,2,0.5350000000000001,12394,71,0,0.0,710.0,False,-0.07508705745792223,0,0.2,25330,0,9,0.0,299.97683266140484,False,0.02932812540723533,0,0.2,25418,7,26,1.0,919.9204462206833,False,0.045405196053580905,1,0.48900000000000005,34589,0,10,1.0,340.0,False,-0.020707725249337915,9,0.6140000000000001,34540,0,10,1.0,340.0,False,-0.022088240265960443,0.5,144650,0.0,0.0,18,0,0,12,7,6.5,12,24,11,58.0,27.0,4,2,11,916,0.5195324067026377,6.058748351410031
8,11,0,0,0,10.0,20,10.0,7.617243917295618,0,,34.485408193324,14,39.714285714285715,34.0,20,34.0,0,0.6320000000000001,12269,100,0,0.0,1000.0,False,-0.07363609982588508,0,0.5330000000000001,12304,80,0,0.0,800.0,False,-0.0783517121300058,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,25623,0,28,0.7,965.591429413072,False,0.0546091829484744,0,0.4880000000000001,34895,0,1,0.0,34.0,False,-0.016397137544373698,1,0.6150000000000001,34317,4,10,1.0,477.94163277329596,False,-0.026427823959355234,0.2833333333333333,145089,0.0,0.0,21,0,0,13,1,0.5,16,29,12,103.0,51.0,7,4,12,1368,0.6129100946709514,6.671658446080983
9,12,0,0,0,10.000000000000002,20,10.0,7.011660258062883,19,4.421052631578948,35.30321151338369,10,41.0,33.99999999999999,20,34.0,10,0.7320000000000002,12084,107,0,0.0,1070.0000000000002,False,-0.08451828206616367,9,0.623,12015,93,0,0.0,930.0000000000001,False,-0.09460243760882182,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,25949,9,28,1.0,1051.594864697309,False,0.06951593408534605,7,0.558,34646,0,5,0.5,169.99999999999997,False,-0.021496590973122218,2,0.6340000000000001,34437,0,9,0.9,305.99999999999994,False,-0.025469093367893166,0.39999999999999997,144812,0.0,0.0,15,0,0,11,11,10.0,17,28,16,115.0,72.0,7,5,16,916,0.7289978498592973,7.40065629594028
10,16,0,0,0,10.000000000000002,20,10.0,6.671214236946502,13,4.3076923076923075,34.82104411898379,8,30.5,33.99999999999999,20,34.0,5,0.7720000000000002,11929,118,0,0.0,1180.0000000000002,False,-0.0917730702263494,8,0.6940000000000002,11793,102,0,0.0,1020.0000000000002,False,-0.10744341265235055,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,26137,12,30,1.0,1124.685894412872,False,0.07858701410707096,4,0.5910000000000001,34541,0,8,0.8,271.99999999999994,False,-0.02301797486899194,2,0.6520000000000001,34729,0,0,0.0,0.0,False,-0.021552938524821097,0.3,144810,0.0,0.0,19,0,0,11,6,6.0,21,32,16,147.0,78.0,10,6,16,920,0.71797776222229,8.11863405816257
11,16,0,0,0,10.000000000000002,20,10.0,6.621481531744081,1,2.0,35.22371675363319,5,41.0,33.99999999999999,20,34.0,0,0.7670000000000001,11789,132,0,0.0,1320.0000000000002,False,-0.0968514219384794,1,0.6960000000000001,11718,108,0,0.0,1080.0000000000002,False,-0.11070806732443413,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,26340,3,35,1.0,1252.694530972394,False,0.08937332412887607,5,0.6370000000000001,34564,0,5,0.5,169.99999999999997,False,-0.023806840592776244,7,0.7200000000000002,34653,0,0,0.0,0.0,False,-0.023694145489378485,0.25,144745,0.0,0.0,13,0,0,8,7,6.666666666666667,18,26,15,136.0,99.0,8,8,15,643,0.7787582250311971,8.897392283193767
12,15,0,0,0,10.000000000000002,20,10.0,6.527822631386847,15,6.0,35.22371675363319,0,,34.0,20,34.0,10,0.8670000000000002,11519,147,0,0.0,1470.0000000000002,False,-0.11099825885084155,5,0.7450000000000001,11603,113,0,0.0,1130.0000000000002,False,-0.11723737666860128,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,26250,8,45,1.0,1637.2898349645884,False,0.09350589470317103,5,0.6820000000000002,34695,0,0,0.0,0.0,False,-0.022510846903702034,10,0.8130000000000002,34525,0,0,0.0,0.0,False,-0.02730038879810672,0.16666666666666666,144273,0.0,0.0,12,0,0,4,10,9.333333333333332,23,27,10,116.0,83.0,7,8,10,302,0.6893184017390013,9.586710684932768
13,10,0,0,0,10.000000000000002,20,10.0,6.3486975686542735,3,1.0,35.22371675363319,0,,34.0,20,34.0,0,0.8570000000000002,11409,158,0,0.0,1580.0000000000002,False,-0.1149883923389437,3,0.77,11465,122,0,0.0,1220.0000000000002,False,-0.123984329657574,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,26247,1,55,1.0,1943.6531190184796,False,0.09957285931603935,9,0.7670000000000001,34589,0,0,0.0,0.0,False,-0.025497267143742605,11,0.913,34379,0,0,0.0,0.0,False,-0.03141376007212487,0.16666666666666666,143770,0.0,0.0,12,0,0,4,10,10.0,21,25,8,70.0,56.0,5,5,8,200,0.5501572508364916,10.13686793576926
14,8,0,0,0,10.000000000000002,20,10.0,6.571563099755305,13,8.0,35.22371675363319,0,,34.0,20,34.0,13,0.9870000000000001,11172,167,0,0.0,1670.0000000000002,False,-0.1289175856065003,0,0.7670000000000001,11355,133,0,0.0,1330.0000000000002,False,-0.12797446314567615,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,26143,4,65,1.0,2315.8278413851785,False,0.10288898443453948,11,0.8680000000000001,34444,0,0,0.0,0.0,False,-0.029582464641911308,9,0.9920000000000002,34274,0,0,0.0,0.0,False,-0.034372006536315995,0.16666666666666666,143069,0.0,0.0,12,0,0,1,10,10.0,24,25,5,76.0,24.0,5,3,5,200,0.4617028869688511,10.598570822738111
15,5,0,0,0,10.000000000000002,20,10.0,5.752155994524805,16,1.3125,35.546212509564356,5,40.0,33.99999999999999,20,34.0,0,0.9740000000000002,11052,179,0,0.0,1790.0000000000002,False,-0.1332704585026117,16,0.9270000000000003,10967,141,0,0.0,1410.0000000000002,False,-0.15322112594312245,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,26322,10,70,1.0,2545.756435614753,False,0.11476441051173054,7,0.9270000000000003,34170,0,5,0.5,169.99999999999997,False,-0.03490730827745534,13,1.1130000000000002,34067,0,0,0.0,0.0,False,-0.04020397813714994,0.25,142259,0.0,0.0,10,0,0,0,13,13.0,23,23,6,47.0,21.0,3,2,6,400,0.4529072605073452,11.051478083245456
16,6,0,0,0,10.000000000000002,20,10.0,5.873990652273153,10,7.0,35.842318659779245,11,37.63636363636363,33.99999999999999,20,34.0,10,1.0740000000000003,10802,192,0,0.0,1920.0000000000005,False,-0.1466918165989553,0,0.911,10897,148,0,0.0,1480.0000000000002,False,-0.15576030179918746,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,26666,10,69,1.0,2531.8598940474994,False,0.12838046162332348,3,0.9500000000000002,33905,1,10,1.0,375.8423186597792,False,-0.03947368120443203,12,1.2200000000000002,33883,0,0,0.0,0.0,False,-0.04538795289344678,0.3333333333333333,141834,0.0,0.0,14,0,0,2,10,10.0,23,25,10,66.0,36.0,4,2,10,784,0.498883543536067,11.550361626781523
17,10,0,0,0,10.000000000000002,20,10.0,5.931925464846411,5,7.0,34.5408488870698,11,26.272727272727273,33.99999999999999,20,34.0,5,1.1140000000000003,10652,202,0,0.0,2020.0000000000005,False,-0.15394660475914104,0,0.911,10797,158,0,0.0,1580.0000000000002,False,-0.15938769587928034,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,26920,5,68,1.0,2378.4373516449787,False,0.13554248508614725,0,0.9470000000000003,34161,0,7,0.7,237.99999999999994,False,-0.034202963881219364,10,1.3080000000000003,33542,0,5,0.5,169.99999999999997,False,-0.05260043951090325,0.3666666666666667,141753,0.0,0.0,18,0,0,2,7,7.0,26,28,13,106.0,57.0,6,4,13,829,0.6294772354885936,12.179838862270117
18,13,0,0,0,10.000000000000002,20,10.0,5.867086723401088,10,5.3,34.955994410033185,5,41.0,33.99999999999999,20,34.0,5,1.1590000000000003,10537,209,0,0.0,2090.0000000000005,False,-0.1597504352872896,5,0.9610000000000003,10592,171,0,0.0,1710.0000000000002,False,-0.16954439930354034,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,27072,5,73,1.0,2581.123025549428,False,0.14577690525873455,7,1.0170000000000001,34117,0,5,0.5,169.99999999999997,False,-0.03640051839747563,1,1.3080000000000003,33705,0,0,0.0,0.0,False,-0.050402884994646985,0.25,141704,0.0,0.0,18,0,0,6,8,7.666666666666666,21,27,16,123.0,78.0,7,6,16,779,0.6624669125303626,12.84230577480048
19,16,0,0,0,10.000000000000002,20,10.0,5.776058631111636,9,4.888888888888889,35.35885056961974,5,41.0,33.99999999999999,20,34.0,5,1.2040000000000002,10422,216,0,0.0,2160.0000000000005,False,-0.1655542658154382,4,0.9960000000000002,10398,184,0,0.0,1840.0000000000002,False,-0.1789030760301799,0,0.2,25681,0,0,0.0,0.0,False,0.037448493172820556,0,0.2,27233,4,78,1.0,2781.094578954786,False,0.1563200811778861,6,1.0700000000000003,34022,0,5,0.5,169.99999999999997,False,-0.03907702710317237,9,1.3970000000000002,33595,0,0,0.0,0.0,False,-0.05350200033808531,0.25,141351,0.0,0.0,13,0,0,6,10,9.333333333333334,25,31,13,162.0,93.0,10,6,13,507,1.0785773219540715,13.920883096754551
