index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,41.0,0,,0,0.2,21974,10,0,0.0,100.0,False,-0.00226510827217541,0,0.2,21974,10,0,0.0,100.0,False,-0.00226510827217541,0,0.2,32696,0,0,0.0,0.0,False,0.0,0,0.2,32696,0,0,0.0,0.0,False,0.0,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.2,50424,0,0,0.0,0.0,False,0.0,0.0,210188,0.0,0.0,11,0,0,131,0,0.0,448,579,104,0.0,0.0,0,0,104,200,1.1777428081259131,1.1777428081259131
1,104,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,41.0,0,,0,0.2,21854,22,0,0.0,220.0,False,-0.004983238198785902,0,0.2,21894,18,0,0.0,180.0,False,-0.004077194889915738,0,0.2,32696,0,0,0.0,0.0,False,0.0,0,0.2,32696,0,0,0.0,0.0,False,0.0,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.2,50424,0,0,0.0,0.0,False,0.0,0.0,209988,0.0,0.0,12,0,0,23,0,0.0,31,54,34,542.0,536.0,33,71,34,200,2.924340546131134,4.102083354257047
2,34,0,0,0,10.0,20,10.0,13.971014492753623,24,6.416666666666667,27.0,0,,41.0,0,,15,0.35000000000000003,21514,31,0,0.0,310.0,False,-0.018347377004620823,9,0.29000000000000004,21576,29,0,0.0,290.0,False,-0.015991664401558393,0,0.2,32590,6,10,1.0,353.82608695652175,False,0.0021688599057456594,0,0.2,32648,0,8,0.8,216.0,False,0.0018350868607780767,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.2,50424,0,0,0.0,0.0,False,0.0,0.3,209176,0.0,0.0,11,0,0,17,6,6.0,23,40,26,325.0,225.0,19,15,26,200,1.2701942548155785,5.372277609072626
3,26,0,0,0,10.0,20,10.0,12.004439511653718,28,7.642857142857143,27.0,0,,41.0,7,41.0,20,0.5350000000000001,21039,41,0,0.0,410.0,False,-0.037600797318111806,8,0.36100000000000004,21302,39,0,0.0,390.0,False,-0.02613934946090423,0,0.2,32485,11,20,1.0,672.0488346281909,False,0.0038238444248255552,0,0.2,32539,3,18,1.0,522.0133185349612,False,0.003181020897586173,0,0.2,50424,0,0,0.0,0.0,False,0.0,7,0.27,50332,0,0,0.0,0.0,False,-0.0018245280025384737,0.3333333333333333,208121,0.0,0.0,12,0,0,17,12,12.0,13,30,21,205.0,160.0,12,14,21,200,1.030712348408997,6.402989957481623
4,21,0,0,0,10.0,20,10.0,11.387395047295144,13,7.538461538461538,28.3,5,40.0,41.0,13,41.0,10,0.6150000000000001,20834,47,0,0.0,470.0,False,-0.04552867627072574,3,0.383,21099,53,0,0.0,530.0,False,-0.03216453746489082,0,0.2,32432,9,30,1.0,951.4865554256563,False,0.006476121779814869,0,0.2,32694,0,21,0.8,594.3000000000001,False,0.009027098115977534,0,0.2,50424,0,0,0.0,0.0,False,0.0,13,0.393,49896,0,5,0.5,205.0,False,-0.008438442011740441,0.3833333333333333,207379,0.0,0.0,13,0,0,15,10,10.0,14,29,19,149.0,108.0,9,12,19,400,0.9076696317642927,7.310659589245915
5,19,0,0,0,10.0,20,10.0,10.7750833493783,14,7.071428571428571,27.9765625,19,27.210526315789473,41.0,10,41.0,10,0.7050000000000001,20579,58,0,0.0,580.0,False,-0.05458910935942738,4,0.42000000000000004,20921,62,0,0.0,620.0,False,-0.03818972546887741,0,0.2,32702,6,26,1.0,792.0411250962698,False,0.012295710868244806,0,0.2,32842,0,23,0.7,643.4609375,False,0.014305433959811598,0,0.2,50424,0,0,0.0,0.0,False,0.0,5,0.4300000000000001,49530,9,10,1.0,661.7890625,False,-0.011167409740401396,0.45,206998,0.0,0.0,17,0,0,15,7,7.0,16,31,22,125.0,103.0,9,10,22,922,0.8838468426838517,8.194506431929767
6,22,0,0,0,10.0,20,10.0,10.696643859253193,10,10.0,29.82914201183432,10,40.5,41.0,12,41.0,10,0.7950000000000002,20339,68,0,0.0,680.0,False,-0.06319652079369394,0,0.41600000000000004,20821,72,0,0.0,720.0,False,-0.04045483374105282,0,0.2,32852,1,31,1.0,935.4000462261172,False,0.019075728624695948,0,0.2,32997,0,23,0.5,686.0702662721894,False,0.019697673511625102,0,0.2,50424,0,0,0.0,0.0,False,0.0,2,0.44500000000000006,49517,9,10,1.0,678.4622781065088,False,-0.011259893323551168,0.4166666666666667,206950,0.0,0.0,16,0,0,17,4,3.3333333333333335,18,35,20,208.0,99.0,14,8,20,933,0.9710917696356773,9.165598201565444
7,20,0,0,0,10.0,20,10.0,9.81426812775238,19,5.684210526315789,31.335474308300398,10,40.5,41.00000000000001,8,41.0,10,0.8850000000000002,20119,75,0,0.0,750.0,False,-0.07157742140074295,9,0.506,20496,85,0,0.0,850.0,False,-0.05223339675636495,0,0.2,33002,1,36,1.0,1137.8913432265667,False,0.02676002176453647,0,0.2,33144,0,27,0.9,846.0578063241107,False,0.026640228259177147,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.44300000000000006,49440,9,12,1.0,774.0192687747037,False,-0.011839409122890845,0.48333333333333334,206625,0.0,0.0,19,0,0,14,4,4.0,17,31,20,150.0,102.0,11,9,20,933,0.8373056584969163,10.00290386006236
8,20,0,0,0,10.0,20,10.0,8.694202459330773,17,2.2941176470588234,32.03828756763047,5,41.0,41.0,8,41.0,0,0.8750000000000002,20019,85,0,0.0,850.0,False,-0.07384252967291836,17,0.6670000000000001,19990,95,0,0.0,950.0,False,-0.0728911841986047,0,0.2,33176,4,41,1.0,1348.3466001101724,False,0.035300137633199426,0,0.2,33136,0,31,0.4,993.1869145965445,False,0.028645505789646235,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.44300000000000006,49563,4,14,1.0,702.1531502705219,False,-0.010112712693652642,0.39999999999999997,206308,0.0,0.0,16,0,0,19,3,3.0,14,33,17,165.0,103.0,12,8,17,733,1.0208923565223813,11.023796216584742
9,17,0,0,0,10.000000000000002,20,10.0,8.377527324149643,12,5.666666666666667,32.63350772423611,5,40.0,41.0,8,41.0,5,0.925,19839,97,0,0.0,970.0000000000002,False,-0.07927878952613934,7,0.7200000000000002,19764,103,0,0.0,1030.0000000000002,False,-0.08131738697109722,0,0.2,33125,0,51,1.0,1664.3088939360416,False,0.03857213258404768,0,0.2,33319,0,32,0.6,1044.2722471755555,False,0.035023737569971174,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.44300000000000006,49691,0,15,0.9,615.0,False,-0.008438442011740441,0.4166666666666667,206162,0.0,0.0,16,0,0,17,4,4.0,14,31,18,189.0,86.0,12,5,18,728,0.8334462428465486,11.85724245943129
