index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,41.0,0,,0,0.2,14437,0,8,0.8,144.0,False,-0.0005510780464283254,0,0.2,14397.0,12,0,0.0,120.0,False,-0.0041330853482124405,0,0.2,26338,0,0,0.0,0.0,False,0.0,0,0.2,26338,0,0,0.0,0.0,False,0.0,0,0.2,34529,0,0,0.0,0.0,False,0.0,0,0.2,34529,0,0,0.0,0.0,False,0.0,0.13333333333333333,150568,0.0,0.0,8,0,0,0,0,0.0,382,382,115,0.0,0.0,0,0,115,200,1.621689253486693,1.621689253486693
1,115,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,41.0,0,,0,0.2,14357,0,16,0.8,288.0,False,-0.0011021560928566507,0,0.2,14277.0,24,0,0.0,240.0,False,-0.008266170696424881,0,0.2,26338,0,0,0.0,0.0,False,0.0,0,0.2,26338,0,0,0.0,0.0,False,0.0,0,0.2,34529,0,0,0.0,0.0,False,0.0,0,0.2,34529,0,0,0.0,0.0,False,0.0,0.13333333333333333,150368,0.0,0.0,8,0,0,53,0,0.0,32,85,77,1242.0,268.0,71,44,77,200,6.5024833073839545,8.124172560870647
2,77,0,0,0,10.0,20,10.0,12.81159420289855,24,3.0833333333333335,28.0,0,,41.0,0,,0,0.2,14307,0,21,1.0,269.04347826086956,False,-0.005199301568475988,19,0.39,13682.0,34,0,0.0,340.0,False,-0.04580836260935455,0,0.2,26319,4,10,1.0,331.2463768115942,False,0.005566982626083837,0,0.2,26283,0,10,1.0,280.0,False,0.0032272761789050044,0,0.2,34529,0,0,0.0,0.0,False,0.0,0,0.2,34529,0,0,0.0,0.0,False,0.0,0.5,149649,0.0,0.0,8,0,0,41,3,3.0,35,76,56,385.0,180.0,60,17,56,250,6.776626570150256,14.900799131020904
3,56,0,0,0,10.0,20,10.0,11.932452276064613,6,2.8333333333333335,28.0,0,,41.0,20,41.0,0,0.2,14177,3,31,1.0,399.906020558003,False,-0.009647102687951966,6,0.43100000000000005,13492.0,41,0,0.0,410.0,False,-0.05648549975890335,0,0.2,26319,0,14,0.4,392.0,False,0.006720328043131597,0,0.2,26266,0,16,0.6,448.0,False,0.005771129166983066,10,0.30000000000000004,34383,0,0,0.0,0.0,False,-0.004228329809725159,10,0.30000000000000004,34379,0,0,0.0,0.0,False,-0.004344174462046396,0.3333333333333333,149016,0.0,0.0,7,0,0,30,10,10.0,23,53,53,356.0,181.0,37,19,53,200,2.7667567944154143,17.667555925436318
4,53,0,0,0,10.0,20,10.0,10.819254003260141,43,9.232558139534884,28.0,0,,41.0,20,41.0,0,0.2,14067,4,41,1.0,483.5894141336658,False,-0.014342170760705902,43,0.8550000000000002,12282.0,50,0,0.0,500.0,False,-0.13673624027002823,0,0.2,26319,0,14,0.0,392.0,False,0.006720328043131597,0,0.2,25869,33,26,1.0,1085.0353821075846,False,0.002791316389011773,9,0.38000000000000006,34253,0,0,0.0,0.0,False,-0.007993281010165368,11,0.4,34197,0,0,0.0,0.0,False,-0.009615106142662689,0.3333333333333333,146987,0.0,0.0,9,0,0,16,14,14.0,23,39,43,313.0,189.0,23,30,43,200,2.057986075989902,19.72554200142622
5,43,0,0,0,10.0,20,10.0,10.819254003260141,0,,28.0,0,,41.0,20,41.0,0,0.2,13977,3,51,1.0,581.7819541662673,False,-0.01715981421208692,0,0.812,12172.0,61,0,0.0,610.0,False,-0.14052490183922298,0,0.2,26319,0,14,0.0,392.0,False,0.006720328043131597,0,0.2,25869,23,36,1.0,1256.8428420749833,False,0.006052905347311569,11,0.4810000000000001,34071,0,0,0.0,0.0,False,-0.013264212690781662,9,0.47900000000000004,34077,0,0,0.0,0.0,False,-0.013090445712299805,0.3333333333333333,146485,0.0,0.0,8,0,0,14,8,8.0,20,34,42,204.0,165.0,17,26,42,200,2.9390389304608107,22.66458093188703
6,42,0,0,0,10.0,20,10.0,12.011525510254174,8,26.0,28.0,0,,41.0,20,41.0,0,0.2,14045,7,53,1.0,706.6108520434713,False,-0.008176246743698014,0,0.812,12112.0,67,0,0.0,670.0,False,-0.1425914445133292,0,0.2,26319,0,14,0.0,392.0,False,0.006720328043131597,0,0.2,25661,21,46,1.0,1540.2420357153376,False,0.0035356146198522805,12,0.5900000000000001,33873,0,0,0.0,0.0,False,-0.018998522980682903,8,0.55,33971,0,0,0.0,0.0,False,-0.016160328998812593,0.3333333333333333,145981,0.0,0.0,9,0,0,14,7,7.0,14,28,31,147.0,164.0,13,29,31,408,1.8691937485709786,24.53377468045801
7,31,0,0,0,10.0,20,10.0,13.039590729243942,19,18.0,26.25,7,15.0,41.00000000000001,20,41.0,0,0.2,14257,10,44,1.0,673.7419920867335,False,0.00529523979082222,0,0.812,12042.0,74,0,0.0,740.0,False,-0.1450024109664531,0,0.2,26319,0,14,0.0,367.5,False,0.006255220593818817,0,0.2,25424,30,49,1.0,1677.4377218773184,False,-0.0028582709036882982,8,0.6580000000000001,33763,0,0,0.0,0.0,False,-0.022184250919516927,12,0.6620000000000001,33676,7,0,0.0,183.75,False,-0.02204306524950042,0.3333333333333333,145481,0.0,0.0,10,0,0,9,8,8.0,19,28,16,141.0,101.0,11,20,16,647,1.2548452038317919,25.7886198842898
8,16,0,0,0,10.0,20,10.0,16.40753702918994,70,21.2,26.25,0,,41.00000000000001,20,41.0,26,0.4600000000000001,14999,7,10,1.0,234.0753702918994,False,0.04126456465839702,0,0.812,11912.0,87,0,0.0,870.0,False,-0.14947992009368327,0,0.2,26319,0,14,0.0,367.5,False,0.006255220593818817,0,0.2,23940,90,59,1.0,3025.4283326270943,False,-0.03361249273621581,11,0.7600000000000002,33591,0,0,0.0,0.0,False,-0.027165570969330127,9,0.7400000000000002,33554,7,0,0.0,183.75,False,-0.025576327145298155,0.3333333333333333,144315,0.0,0.0,11,0,0,7,10,9.272727272727273,18,25,9,126.0,46.0,9,7,9,928,0.9854864915832877,26.77410637587309
9,9,0,0,0,10.000000000000002,20,10.0,16.40753702918994,0,,27.67374517374517,5,41.0,41.00000000000001,20,41.0,0,0.43400000000000005,14909,6,20,1.0,388.1507405837988,False,0.04037165876502715,0,0.812,11802.0,98,0,0.0,980.0000000000002,False,-0.15326858166287802,0,0.2,26319,0,14,0.0,387.4324324324324,False,0.006633617443094263,0,0.2,24145,80,64,1.0,3083.7226534548863,False,-0.02472240387548632,10,0.8490000000000002,33236,0,5,0.5,205.00000000000003,False,-0.03447826464710823,10,0.8310000000000002,33400,7,0,0.0,193.7162162162162,False,-0.029892029653100102,0.4166666666666667,143811,0.0,0.0,9,0,0,4,8,8.0,16,20,10,41.0,29.0,4,5,10,405,0.7315095756202936,27.505615951493382
