index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,23.0,0,,30.0,0,,0,0.2,12665,11,0,0.0,110.0,False,-0.004305283757338552,0,0.2,12685.0,9,0,0.0,90.0,False,-0.0035225048923679062,0,0.2,18797,0,0,0.0,0.0,False,0.0,0,0.2,18797,0,0,0.0,0.0,False,0.0,0,0.2,24363,0,0,0.0,0.0,False,0.0,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.0,111670,0.0,0.0,11,0,0,116,0,0.0,386,502,56,0.0,0.0,0,0,56,200,0.6750370617955923,0.6750370617955923
1,56,0,0,0,10.0,20,10.0,17.0,0,,23.0,0,,30.0,0,,0,0.2,12585,19,0,0.0,190.0,False,-0.007436399217221135,0,0.2,12565.0,21,0,0.0,210.0,False,-0.00821917808219178,0,0.2,18797,0,0,0.0,0.0,False,0.0,0,0.2,18797,0,0,0.0,0.0,False,0.0,0,0.2,24363,0,0,0.0,0.0,False,0.0,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.0,111470,0.0,0.0,12,0,0,36,0,0.0,29,65,33,735.0,174.0,43,13,33,200,1.6393454065546393,2.3143824683502316
2,33,0,0,0,10.0,20,10.0,16.081632653061224,4,5.75,23.0,0,,30.0,0,,1,0.21000000000000002,12453,31,0,0.0,310.0,False,-0.013072407045009785,3,0.23,12435.0,29,0,0.0,290.0,False,-0.015264187866927592,0,0.2,18792,0,2,0.2,46.0,False,0.0009575996169601532,0,0.2,18779,0,2,0.2,46.0,False,0.00026599989360004254,0,0.2,24363,0,0,0.0,0.0,False,0.0,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.06666666666666667,111185,0.0,0.0,10,0,0,20,4,4.0,18,38,27,230.0,131.0,15,18,27,200,1.1701644668355584,3.48454693518579
3,27,0,0,0,10.0,20,10.0,13.542649727767696,11,3.3636363636363638,24.1,5,34.0,30.0,9,30.0,1,0.21900000000000003,12341,41,0,0.0,410.0,False,-0.01792563600782779,10,0.32700000000000007,12126.0,39,0,0.0,390.0,False,-0.03553816046966732,0,0.2,18755,1,12,1.0,302.74264972776774,False,0.0058185521553378245,3,0.23,18865,0,0,0.0,0.0,False,0.003617598552960579,9,0.29000000000000004,24091,0,5,0.5,150.0,False,-0.008086032097853302,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.25,110541,0.0,0.0,11,0,0,22,11,10.6,14,36,26,194.0,81.0,14,13,26,200,1.1238219942897558,4.608368929475546
4,26,0,0,0,10.0,20,10.0,12.574306414560876,7,5.714285714285714,21.71818181818182,10,11.0,30.0,10,30.0,1,0.228,12199,54,0,0.0,540.0,False,-0.02395303326810176,6,0.377,11957.0,46,0,0.0,460.0,False,-0.046027397260273974,0,0.2,18856,0,4,0.2,86.87272727272727,False,0.005449612365609578,0,0.227,18834,0,6,0.6,130.3090909090909,False,0.005434619644333929,5,0.33100000000000007,24092,0,10,1.0,300.0,False,-0.004966547633706851,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.3,110301,0.0,0.0,15,0,0,21,6,5.5,15,36,21,202.0,77.0,15,11,21,430,1.267254190519452,5.875623119994998
5,21,0,0,0,10.0,20,10.0,11.45193419757988,7,3.2857142857142856,21.71818181818182,0,,30.0,5,30.0,2,0.24700000000000003,12095,62,0,0.0,620.0,False,-0.028962818003913895,5,0.42100000000000004,11737.0,58,0,0.0,580.0,False,-0.05855185909980431,0,0.2,18838,0,6,0.2,130.3090909090909,False,0.005647419559213963,0,0.227,18829,0,11,0.5,238.9,False,0.008057136777145328,0,0.32600000000000007,24242,0,5,0.0,150.0,False,-0.0018881090177728522,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.11666666666666665,110104,0.0,0.0,14,0,0,18,2,2.0,14,32,22,156.0,70.0,11,10,22,350,1.063117035664618,6.938740155659616
6,22,0,0,0,10.0,20,10.0,10.937663567165236,3,2.0,25.324460431654675,20,34.25,30.0,10,30.0,0,0.24500000000000002,11975,74,0,0.0,740.0,False,-0.03365949119373777,3,0.44600000000000006,11600.0,66,0,0.0,660.0,False,-0.06614481409001957,4,0.24000000000000002,19065,0,3,0.3,75.97338129496403,False,0.016278485431051856,0,0.227,19169,0,1,0.0,25.324460431654675,False,0.02046402246187309,5,0.37600000000000006,23665,10,10,1.0,553.2446043165468,False,-0.017295805025724514,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.21666666666666667,109837,0.0,0.0,17,0,0,22,5,4.466666666666667,12,34,25,167.0,69.0,13,9,25,835,1.7997998017817736,8.73853995744139
7,25,0,0,0,10.0,20,10.0,9.885750433869955,7,2.4285714285714284,27.97310108509423,25,34.6,30.0,11,30.0,0,0.24500000000000002,11855,86,0,0.0,860.0,False,-0.038356164383561646,7,0.5130000000000001,11381.0,74,0,0.0,740.0,False,-0.08015655577299413,2,0.256,19184,0,0,0.0,0.0,False,0.020588391764643294,19,0.41700000000000004,19160,0,7,0.7,195.81170759565958,False,0.02452018161397195,1,0.38100000000000006,23094,25,10,1.0,999.3275271273557,False,-0.03157805838510544,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.2833333333333333,109037,0.0,0.0,14,0,0,21,8,6.533333333333333,17,38,27,244.0,57.0,16,9,27,440,1.1686416510492563,9.907181608490646
8,27,0,0,0,10.0,20,10.0,8.102970867930617,18,3.0555555555555554,28.764463089137898,10,35.0,29.999999999999996,11,30.0,2,0.265,11751,94,0,0.0,940.0,False,-0.043365949119373776,16,0.6660000000000001,10886.0,86,0,0.0,860.0,False,-0.11420743639921722,5,0.30400000000000005,19192,3,10,1.0,311.95354349517083,False,0.02931195253219047,0,0.398,19307,0,7,0.5,201.35124162396528,False,0.03248793003202554,1,0.39,23038,25,10,1.0,1019.1115772284475,False,-0.03347059932626428,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.4166666666666667,108537,0.0,0.0,16,0,0,21,8,7.5,18,39,24,219.0,88.0,15,12,24,645,1.01294154394418,10.920123152434826
9,24,0,0,0,10.000000000000002,20,10.0,7.605953755653577,8,3.75,28.764463089137898,0,,29.999999999999996,10,30.0,2,0.28300000000000003,11647,102,0,0.0,1020.0000000000002,False,-0.04837573385518591,6,0.7100000000000002,10648.0,98,0,0.0,980.0000000000002,False,-0.1281409001956947,0,0.29900000000000004,19187,0,18,0.8,517.7603356044822,False,0.03452041111891487,0,0.398,19282,0,10,0.3,287.644630891379,False,0.03345333380037719,0,0.389,23338,15,10,1.0,731.4669463370684,False,-0.027060153791875662,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.35000000000000003,108465,0.0,0.0,18,0,0,18,3,3.0,17,35,30,207.0,76.0,14,10,30,500,1.1057643247768283,12.025887477211654
