index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,34.0,0,,38.0,0,,0,0.2,13131,0,8,0.8,136.0,False,-0.0009083339641208085,0,0.2,13091,12,0,0.0,120.0,False,-0.004541669820604042,0,0.2,18100,0,0,0.0,0.0,False,0.0,0,0.2,18100,0,0,0.0,0.0,False,0.0,0,0.2,24793.0,0,0,0.0,0.0,False,0.0,0,0.2,24793,0,0,0.0,0.0,False,0.0,0,0.2,30209,0,0,0.0,0.0,False,0.0,0,0.2,30209,0,0,0.0,0.0,False,0.0,0.1,172426,0.0,0.0,11,0,0,53,0,0.0,212,265,72,0.0,0.0,0,0,72,200,0.9598912755027413,0.9598912755027413
1,72,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,31.96078431372549,6,16.666666666666668,38.0,0,,0,0.2,13031,0,18,1.0,306.0,False,-0.002043751419271819,0,0.2,12991,22,0,0.0,220.0,False,-0.00832639467110741,0,0.2,18100,0,0,0.0,0.0,False,0.0,0,0.2,18100,0,0,0.0,0.0,False,0.0,2,0.22000000000000003,24739.0,0,0,0.0,0.0,False,-0.0021780341225345863,4,0.24000000000000002,24701,0,0,0.0,0.0,False,-0.003710724801355221,0,0.2,30209,0,0,0.0,0.0,False,0.0,0,0.2,30109,0,6,0.6,228.0,False,0.00046343804826376244,0.2,171980,0.0,0.0,11,0,0,45,2,2.0,40,85,37,1013.0,80.0,64,8,37,200,2.9180883625522256,3.877979638054967
2,37,0,0,0,10.0,20,10.0,16.82608695652174,1,9.0,26.0,0,,29.187145557655956,7,11.0,38.0,0,,0,0.2,12931,0,28,1.0,471.1304347826087,False,-0.0033634685193169303,1,0.21000000000000002,12879,32,0,0.0,320.0,False,-0.013019453485731587,0,0.2,18100,0,0,0.0,0.0,False,0.0,0,0.2,18091,0,1,0.1,26.0,False,0.00022099447513812155,7,0.28800000000000003,24529.0,0,0,0.0,0.0,False,-0.0106481668212802,0,0.23600000000000002,24701,0,0,0.0,0.0,False,-0.003710724801355221,0,0.2,30132,0,7,0.7,266.0,False,0.0018537521930550498,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.225,171472,0.0,0.0,12,0,0,25,2,2.0,23,48,31,242.0,76.0,26,11,31,200,1.7156622037291527,5.59364184178412
3,31,0,0,0,10.0,20,10.0,18.662921348314608,12,25.0,26.0,0,,24.47099512655243,16,10.4375,38.0,0,,0,0.2,13121,1,26,1.0,495.2359550561798,False,0.011930813528732927,0,0.20900000000000002,12789,41,0,0.0,410.0,False,-0.016425705851184618,0,0.2,18100,0,0,0.0,0.0,False,0.0,0,0.2,17791,2,11,1.0,323.3258426966292,False,-0.00814017009125338,16,0.44100000000000006,23952.0,0,0,0.0,0.0,False,-0.033920864760214574,0,0.23600000000000002,24701,0,0,0.0,0.0,False,-0.003710724801355221,0,0.2,29965,6,17,1.0,792.8259707593146,False,0.005045284033885878,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.375,170528,0.0,0.0,12,0,0,17,2,2.0,24,41,19,295.0,141.0,18,13,19,500,1.299916977994144,6.893558819778264
4,19,0,0,0,10.0,20,10.0,20.219803161348047,19,24.157894736842106,26.0,0,,21.418285559027307,9,2.0,38.0,12,38.0,0,0.2,13480,1,17,1.0,353.7366537429168,False,0.03374977873525529,0,0.20900000000000002,12689,51,0,0.0,510.0,False,-0.020210430701687987,0,0.2,17875,9,0,0.0,181.9782284521324,False,-0.007403916341101237,0,0.2,17557,2,21,1.0,586.4396063226961,False,-0.01380001087506365,9,0.5150000000000001,23601.0,0,0,0.0,0.0,False,-0.04807808655668939,0,0.23600000000000002,24701,0,0,0.0,0.0,False,-0.003710724801355221,0,0.2,30403,5,15,1.0,677.0914277951365,False,0.017628710447137243,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.375,170415,0.0,0.0,23,0,0,16,1,1.0,17,33,16,180.0,78.0,11,8,16,1115,0.9337943065911531,7.827353126369417
5,16,0,0,0,10.0,20,10.0,20.68948543454286,14,22.714285714285715,26.0,0,,20.323210858778356,4,4.0,38.0,10,38.0,0,0.2,13678,3,13,1.0,298.9633106490572,False,0.04666426881572395,0,0.20900000000000002,12609,59,0,0.0,590.0,False,-0.023238210582090683,0,0.2,17875,9,0,0.0,186.20536891088574,False,-0.007287144505224115,0,0.2,17239,6,31,1.0,930.1369126072572,False,-0.021874670922451368,4,0.546,23453.0,0,0,0.0,0.0,False,-0.05404751341104344,0,0.23600000000000002,24701,0,0,0.0,0.0,False,-0.003710724801355221,0,0.2,30767,0,14,0.9,532.0,False,0.027276639412095734,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.3625,170431,0.0,0.0,21,0,0,14,1,1.0,18,32,9,157.0,48.0,10,6,9,898,0.8403966845944524,8.667749810963869
6,9,0,0,0,10.0,20,10.0,21.08814603765201,15,22.866666666666667,28.181818181818183,10,38.0,17.50206774221206,21,9.80952380952381,38.0,7,38.0,0,0.2,13903,3,10,1.0,240.8814603765201,False,0.06149729242209221,2,0.229,12485,69,0,0.0,690.0,False,-0.02883960336083567,0,0.2,17875,9,0,0.0,189.79331433886807,False,-0.007188029990639075,0,0.2,17276,11,31,1.0,1105.605970050536,False,-0.014983260495841555,16,0.702,22811.0,0,0,0.0,0.0,False,-0.07994191909006575,5,0.28600000000000003,24206,10,0,0.0,281.8181818181818,False,-0.01799261521763837,0,0.2,30827,11,17,1.0,838.5227451643327,False,0.03433617043206213,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.375,169492,0.0,0.0,17,0,0,14,4,4.0,13,27,13,80.0,42.0,5,4,13,1171,0.688419533893466,9.356169344857335
7,13,0,0,0,10.0,20,10.0,20.32212620005965,17,17.0,28.181818181818183,0,,16.50722520961852,10,9.5,38.0,14,38.0,0,0.2,13833,0,20,1.0,406.44252400119296,False,0.062464708349148114,17,0.397,12287,82,0,0.0,820.0,False,-0.03890697146317463,0,0.2,17875,9,0,0.0,182.89913580053684,False,-0.007378476911587379,0,0.2,16987,18,41,1.0,1521.2528170556193,False,-0.01946815422498293,5,0.736,22611.0,0,0,0.0,0.0,False,-0.08800871213649014,5,0.33100000000000007,24091,10,0,0.0,281.8181818181818,False,-0.022631021219332397,0,0.2,31264,11,13,1.0,675.5794773058037,False,0.04610512558022113,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.375,169057,0.0,0.0,15,0,0,13,3,3.0,14,27,11,153.0,42.0,9,4,11,732,0.8054529810324311,10.161622325889766
8,11,0,0,0,10.0,20,10.0,20.482345859413304,33,20.87878787878788,33.68345323741007,20,47.3,15.048142706544384,13,6.923076923076923,38.0,9,38.0,13,0.33000000000000007,14149,0,10,1.0,204.82345859413303,False,0.07875344253251577,0,0.38000000000000006,12187,92,0,0.0,920.0,False,-0.042691696313677995,0,0.2,17875,9,0,0.0,184.34111273471973,False,-0.007338643294620972,0,0.2,17244,41,31,1.0,1883.9632305956577,False,0.0047503654860678104,9,0.8210000000000002,21514.0,15,0,0.0,505.2517985611511,False,-0.1220656677578117,4,0.36600000000000005,23799,15,0,0.0,505.2517985611511,False,-0.02990255720241301,0,0.2,31516,14,14,1.0,742.6739978916214,False,0.0555575159371648,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.375,168393,0.0,0.0,21,0,0,8,3,2.764705882352941,19,27,13,96.0,45.0,6,5,13,1888,0.6663620993494987,10.827984425239265
9,13,0,0,0,10.000000000000002,20,10.0,20.666540595230753,54,21.01851851851852,36.81054567749846,19,47.10526315789474,15.18585848913088,13,16.0,38.0,7,38.0,7,0.38700000000000007,14428,0,8,0.8,165.33232476184602,False,0.09837757644242852,37,0.7500000000000002,11666,104,0,0.0,1040.0000000000002,False,-0.07758685943531905,0,0.2,17569,18,0,0.0,371.99773071415353,False,-0.019060836168117334,0,0.2,17310,76,22,1.0,2380.4890901425033,False,0.022112958291229348,0,0.812,20619.0,34,0,0.0,1251.5585530349476,False,-0.14311381129683884,13,0.4920000000000001,23474,15,0,0.0,552.1581851624769,False,-0.04206513561968137,0,0.2,31574,17,17,1.0,904.1595943152249,False,0.06015027962387414,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.35,166749,0.0,0.0,19,0,0,11,4,3.7777777777777777,17,28,14,108.0,48.0,7,6,14,1561,0.6693086139857769,11.497293039225042
