index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,12.0,0,,20.0,0,,29.0,0,,42.0,0,,0,0.2,14901,10,0,0.0,100.0,False,-0.003333111125924938,0,0.2,14901,0,10,1.0,120.0,False,-0.002666488900739951,0,0.2,22707,0,0,0.0,0.0,False,0.0,0,0.2,22707,0,0,0.0,0.0,False,0.0,0,0.2,31365,0,0,0.0,0.0,False,0.0,0,0.2,31365.0,0,0,0.0,0.0,False,0.0,0,0.2,45890,0,0,0.0,0.0,False,0.0,0,0.2,45890,0,0,0.0,0.0,False,0.0,0.125,229726,0.0,0.0,6,0,0,55,0,0.0,185,240,108,0.0,0.0,0,0,108,200,2.0163048459216952,2.0163048459216952
1,108,0,0,0,10.0,20,10.0,12.0,0,,20.0,0,,20.73134328358209,22,3.8181818181818183,42.0,0,,0,0.2,14811,19,0,0.0,190.0,False,-0.006332911139257383,0,0.2,14791,1,20,1.0,250.0,False,-0.005666288914072395,0,0.2,22707,0,0,0.0,0.0,False,0.0,0,0.2,22707,0,0,0.0,0.0,False,0.0,0,0.2,31365,0,0,0.0,0.0,False,0.0,22,0.42000000000000004,30450.0,0,0,0.0,0.0,False,-0.029172644667623145,0,0.2,45887,0,3,0.3,126.0,False,0.0013074743952930922,0,0.2,45809,19,0,0.0,393.8955223880597,False,0.0025266454825458935,0.1625,228527,0.0,0.0,4,0,0,48,4,4.0,58,106,74,1535.0,110.0,96,12,74,200,5.659741832874715,7.676046678796411
2,74,0,0,0,10.0,20,10.0,11.4,5,6.0,19.404255319148938,2,6.0,13.062992125984252,54,4.5,42.0,0,,5,0.25,14636,32,0,0.0,320.0,False,-0.013665755616292246,0,0.2,14721,0,28,0.8,319.2,False,-0.008026131591227227,0,0.2,22677,0,5,0.5,97.0212765957447,False,0.0008151952392598675,2,0.22000000000000003,22670,0,0,0.0,0.0,False,-0.0016294534724974677,0,0.2,31365,0,0,0.0,0.0,False,0.0,54,0.9380000000000002,27070.0,2,0,0.0,38.808510638297875,False,-0.1363174157398645,0,0.2,45887,0,3,0.0,126.0,False,0.0013074743952930922,0,0.2,45566,73,0,0.0,953.5984251968504,False,0.0033296843015564125,0.1625,224592,0.0,0.0,5,0,0,19,9,9.0,39,58,42,630.0,91.0,47,27,42,200,2.802553966641426,10.478600645437837
3,42,0,0,0,10.0,20,10.0,10.133333333333333,15,6.333333333333333,15.911190053285969,14,5.357142857142857,12.836062505848226,4,7.0,42.0,0,,5,0.29500000000000004,14496,42,0,0.0,420.0,False,-0.019665355642957138,0,0.2,14681,0,28,1.0,283.73333333333335,False,-0.011874763904628572,0,0.2,22582,5,15,1.0,289.3345174659562,False,0.0008661319739717992,14,0.35800000000000004,22340,0,0,0.0,0.0,False,-0.01616241687585326,0,0.2,31355,0,5,0.5,64.18031252924112,False,0.0007042932014864124,4,0.9240000000000002,26893.0,11,0,0.0,175.02309058614566,False,-0.13978920627154237,0,0.2,45887,0,3,0.0,126.0,False,0.0013074743952930922,0,0.2,45538,77,0,0.0,988.3768129503134,False,0.0030984616795632497,0.3125,223772,0.0,0.0,8,0,0,11,6,6.0,20,31,39,245.0,125.0,21,21,39,260,1.7985893823206425,12.27719002775848
4,39,0,0,0,10.0,20,10.0,9.083783783783785,20,6.25,13.756796571581626,24,9.208333333333334,11.349879489123987,37,7.486486486486487,42.0,10,42.0,15,0.44000000000000006,14246,49,0,0.0,490.0,False,-0.03399773348443437,0,0.2,14586,3,33,1.0,329.7648648648649,False,-0.016673392944974847,0,0.2,22457,15,25,1.0,480.17667104629743,False,-0.0004365025972982341,24,0.5840000000000001,21814,0,0,0.0,0.0,False,-0.03932707975514159,5,0.25,31293,0,8,0.8,90.7990359129919,False,-0.0008480944378608193,27,1.1900000000000002,25571.0,27,0,0.0,371.4335074327039,False,-0.17880705392264143,0,0.2,45887,0,3,0.0,126.0,False,0.0013074743952930922,10,0.30000000000000004,45133,114,0,0.0,1293.8862617601346,False,-0.0023982756400071827,0.35,220987,0.0,0.0,6,0,0,11,13,12.5,18,29,36,242.0,81.0,19,20,36,235,1.6908725639805198,13.968062591738999
5,36,0,0,0,10.0,20,10.0,12.235205183585313,26,20.307692307692307,13.447102976197899,13,11.846153846153847,10.045092722154354,31,5.0,42.0,10,42.0,0,0.42500000000000004,14146,59,0,0.0,590.0,False,-0.03733084461035931,0,0.2,15014,3,17,1.0,237.99848812095033,False,0.008799362979832989,0,0.2,22457,5,35,1.0,531.8246300848531,False,0.0007007669459826269,13,0.6900000000000002,21081,26,0,0.0,318.11533477321814,False,-0.0646030885900115,0,0.24500000000000002,31288,0,13,0.5,130.58620538800662,False,-0.00037324716422756893,31,1.473,24004.0,35,0,0.0,470.6486041669265,False,-0.22718557940113301,0,0.2,45887,0,3,0.0,126.0,False,0.0013074743952930922,10,0.39,44840,145,0,0.0,1456.5384447123813,False,-0.007010912565783616,0.3125,218717,0.0,0.0,8,0,0,13,10,10.0,17,30,32,254.0,61.0,20,16,32,728,1.6926623824983835,15.660724974237382
6,32,0,0,0,10.0,20,10.0,13.98045890539778,23,20.304347826086957,10.596002543731641,50,6.48,9.244735861403864,15,2.0,41.99999999999999,9,42.0,5,0.4750000000000001,14006,69,0,0.0,690.0,False,-0.0433304446370242,1,0.21000000000000002,15331,3,10,1.0,169.8045890539778,False,0.02765830908119379,0,0.2,22482,0,43,1.0,455.62810938046056,False,0.00012392895099434795,48,1.1570000000000003,18878,44,0,0.0,615.1401918375024,False,-0.15508124825301658,0,0.24500000000000002,31189,10,23,1.0,318.5889502496053,False,-0.0005326167663062877,15,1.5920000000000003,23206.0,65,0,0.0,688.7401653425567,False,-0.24915128064175746,0,0.2,45887,0,3,0.0,125.99999999999997,False,0.0013074743952930922,9,0.4700000000000001,44698,160,0,0.0,1479.1577378246184,False,-0.009858817413111629,0.375,215677,0.0,0.0,8,0,0,8,13,12.055555555555555,17,25,31,196.0,64.0,15,17,31,260,1.6136393332853913,17.274364307522774
7,31,0,0,0,10.0,20,10.0,14.12704301150617,47,14.425531914893616,11.225276805898185,8,19.875,9.184745781325914,17,8.705882352941176,42.0,13,42.0,34,0.81,13719,76,0,0.0,760.0,False,-0.06012932471168589,3,0.23900000000000002,15456,6,10,1.0,201.2704301150617,False,0.03703987834527907,0,0.2,22214,24,50,1.0,900.3128725710573,False,-0.0018867998288841375,5,1.1590000000000003,18499,57,0,0.0,805.2414516558517,False,-0.16758617493161032,0,0.24500000000000002,31296,2,23,1.0,233.6997065822924,False,0.0015255811666235344,7,1.647,22835.0,71,0,0.0,796.9946532187711,False,-0.2592540307154668,0,0.2,45887,0,3,0.0,126.0,False,0.0013074743952930922,13,0.5910000000000001,44335,177,0,0.0,1625.7000032946867,False,-0.016172368671881873,0.375,214241,0.0,0.0,9,0,0,9,11,10.25,15,24,25,171.0,72.0,14,17,25,474,1.3566253073513508,18.630989614874125
8,25,0,0,0,10.0,20,10.0,15.193488151032726,26,20.46153846153846,12.701752369127027,26,18.73076923076923,8.816575280855323,24,6.708333333333333,42.0,10,42.0,0,0.7760000000000002,13629,85,0,0.0,850.0,False,-0.06312912472501833,16,0.396,15604,7,10,1.0,221.93488151032727,False,0.04759465640658375,0,0.2,22197,26,55,1.0,1093.6270722288373,False,0.001621241736663564,21,1.3640000000000003,17947,71,0,0.0,1078.7376587233236,False,-0.1858735707331809,0,0.24500000000000002,31392,0,17,0.3,149.8817797745405,False,0.003250147932002921,15,1.7900000000000003,21818.0,96,0,0.0,1219.3682274361945,False,-0.28494550888831194,0,0.2,45887,0,3,0.0,126.0,False,0.0013074743952930922,10,0.6780000000000002,44027,201,0,0.0,1772.13163145192,False,-0.021288607197080835,0.2875,212501,0.0,0.0,10,0,0,6,10,9.333333333333332,17,23,18,177.0,82.0,12,13,18,553,1.2503563025966287,19.881345917470753
9,18,0,0,0,10.000000000000002,20,10.0,14.919844463260969,37,13.891891891891891,14.819815251158522,33,22.454545454545453,8.815507886568195,10,8.8,42.0,12,42.0,23,1.006,13450,96,0,0.0,960.0000000000002,False,-0.07139524031731218,4,0.42000000000000004,15692,6,10,1.0,209.19844463260972,False,0.05303641239359408,0,0.2,22353,53,48,1.0,1502.1028886084405,False,0.01748586093734176,16,1.5030000000000003,17540,71,0,0.0,1059.3089568915289,False,-0.20422537198019264,0,0.24500000000000002,31336,0,26,0.9,229.20320505077308,False,0.0027292077961225828,10,1.8750000000000002,20847.0,120,0,0.0,1778.3778301390225,False,-0.3069922233358996,0,0.2,45887,0,3,0.0,126.0,False,0.0013074743952930922,12,0.788,43749,211,0,0.0,1860.0721640658892,False,-0.026388405272762164,0.3625,210854,0.0,0.0,8,0,0,10,11,10.285714285714285,14,24,21,219.0,40.0,14,4,21,870,1.277948803268373,21.159294720739126
10,21,0,0,0,10.000000000000002,20,10.0,14.578042691977487,21,12.0,14.644623082403513,17,13.235294117647058,9.065471248931567,1,44.0,42.0,14,42.0,21,1.1930000000000003,13307,104,0,0.0,1040.0000000000002,False,-0.07826144923671756,0,0.41600000000000004,15572,8,20,1.0,371.56085383954974,False,0.050448665216970535,0,0.2,22218,64,55,1.0,1738.4490018187523,False,0.016744814414470205,14,1.6270000000000004,17288,71,0,0.0,1035.0410311304015,False,-0.21585764233209143,0,0.24500000000000002,31296,2,35,1.0,346.5807398774119,False,0.0033250556333080227,0,1.8650000000000007,20706.0,125,0,0.0,1830.577885300439,False,-0.3106555414426839,0,0.2,45887,0,3,0.0,126.0,False,0.0013074743952930922,14,0.9160000000000001,43468,212,0,0.0,1921.8799047734924,False,-0.03183831003733391,0.375,209742,0.0,0.0,7,0,0,9,6,6.0,17,26,19,213.0,31.0,15,6,19,361,1.3172824112698436,22.47657713200897
11,19,0,0,0,10.000000000000002,20,10.0,14.771298570956327,14,17.0,13.867011777760016,18,7.888888888888889,9.199728940177177,30,9.766666666666667,42.0,12,42.0,0,1.1720000000000002,13187,116,0,0.0,1160.0000000000002,False,-0.08226118258782748,0,0.41600000000000004,15730,6,16,1.0,296.34077713530127,False,0.05847412762933475,0,0.2,22058,68,63,1.0,1878.0700448239113,False,0.012772934443649703,16,1.7730000000000004,16968,71,0,0.0,1048.7621985378992,False,-0.22964807771749018,0,0.24500000000000002,31390,8,38,1.0,460.52579394881286,False,0.00813846315875681,23,2.0950000000000006,19728.0,127,0,0.0,1761.110495775522,False,-0.34294419742108206,0,0.2,45843,0,4,0.1,168.0,False,0.0008062758770974068,12,1.0220000000000002,43033,241,0,0.0,2217.1346745826995,False,-0.03810051563976135,0.3875,207937,0.0,0.0,11,0,0,8,7,7.0,16,24,20,178.0,19.0,13,6,20,674,1.9404295096173882,24.417006641626358
12,20,0,0,0,10.000000000000002,20,10.0,14.940823153767644,13,17.0,14.589204729779434,4,40.0,9.025705540263848,21,7.857142857142857,42.0,11,42.0,0,1.1720000000000002,13107,124,0,0.0,1240.0000000000002,False,-0.08492767148856743,0,0.41600000000000004,15831,8,13,1.0,274.2307009989794,False,0.06447005869605286,0,0.2,21997,71,69,1.0,2067.4535702722837,False,0.014256695518392698,0,1.7570000000000003,16968,71,0,0.0,1060.7984439175027,False,-0.2293830439089817,0,0.24500000000000002,31518,0,38,0.8,342.9768105300262,False,0.010345557317551803,13,2.202000000000001,19095.0,131,0,0.0,1911.1858196011058,False,-0.36073352750516324,0,0.2,45843,0,4,0.0,168.0,False,0.0008062758770974068,11,1.12,42714,262,0,0.0,2364.734851549128,False,-0.04344372574036683,0.35,207073,0.0,0.0,9,0,0,7,4,4.0,18,25,24,225.0,40.0,15,5,24,709,0.9560985621064901,25.373105203732848
