index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,27.0,0,,34.0,0,,0,0.2,16789,0,6,0.6,96.0,False,-0.0007122084396700101,0,0.2,16709,14,0,0.0,140.0,False,-0.004154549231408392,0,0.2,27543,0,0,0.0,0.0,False,0.0,0,0.2,27543,0,0,0.0,0.0,False,0.0,0,0.2,39985,0,0,0.0,0.0,False,0.0,0,0.2,39985,0,0,0.0,0.0,False,0.0,0.09999999999999999,168554,0.0,0.0,12,0,0,0,0,0.0,581,581,46,0.0,0.0,0,0,46,200,1.067549405619502,1.067549405619502
1,46,0,0,0,10.0,20,10.0,16.0,0,,27.0,0,,34.0,0,,0,0.2,16679,1,16,1.0,266.0,False,-0.0021959760223158645,0,0.2,16619,23,0,0.0,230.0,False,-0.00682533088017093,0,0.2,27543,0,0,0.0,0.0,False,0.0,0,0.2,27543,0,0,0.0,0.0,False,0.0,0,0.2,39985,0,0,0.0,0.0,False,0.0,0,0.2,39985,0,0,0.0,0.0,False,0.0,0.16666666666666666,168354,0.0,0.0,10,0,0,32,0,0.0,24,56,32,630.0,123.0,35,11,32,200,3.25235877558589,4.319908181205392
2,32,0,0,0,10.0,20,10.0,13.651515151515152,21,8.619047619047619,27.0,0,,34.0,0,,0,0.2,16599,0,25,0.9,341.2878787878788,False,-0.004709838008550065,21,0.41000000000000003,16158,35,0,0.0,350.0,False,-0.030624962905810432,0,0.2,27407,6,10,1.0,351.9090909090909,False,0.0014506243130575512,0,0.2,27498,0,5,0.5,135.0,False,0.0008169044766365319,0,0.2,39985,0,0,0.0,0.0,False,0.0,0,0.2,39985,0,0,0.0,0.0,False,0.0,0.39999999999999997,167632,0.0,0.0,11,0,0,27,3,3.0,16,43,33,255.0,97.0,20,12,33,200,2.702658605761826,7.022566786967218
3,33,0,0,0,10.0,20,10.0,12.90922190201729,10,8.5,27.0,0,,34.0,20,34.0,0,0.2,16509,0,34,0.9,438.91354466858786,False,-0.007154325340714865,10,0.4890000000000001,15923,46,0,0.0,460.0,False,-0.04130808950086059,0,0.2,27407,0,16,0.6,432.0,False,0.002904549250263225,0,0.2,27413,0,15,1.0,405.0,False,0.0026322477580510476,5,0.25,39937,0,0,0.0,0.0,False,-0.001200450168813305,15,0.35000000000000003,39716,0,0,0.0,0.0,False,-0.006727522821057897,0.4166666666666667,166905,0.0,0.0,11,0,0,22,16,16.0,20,42,33,257.0,78.0,19,14,33,200,2.1597468182444572,9.182313605211675
4,33,0,0,0,10.0,20,10.0,12.545360213459826,5,8.0,27.0,0,,34.0,20,34.0,0,0.2,16419,0,43,0.9,539.4504891787725,False,-0.009512419455790467,5,0.5290000000000001,15758,57,0,0.0,570.0,False,-0.047836666864502345,0,0.2,27407,0,16,0.0,432.0,False,0.002904549250263225,0,0.2,27373,0,20,0.5,540.0,False,0.003630686562829031,10,0.34500000000000003,39801,0,0,0.0,0.0,False,-0.004601725647117669,10,0.43500000000000005,39579,0,0,0.0,0.0,False,-0.010153807677879205,0.2333333333333333,166337,0.0,0.0,12,0,0,20,14,14.0,18,38,25,243.0,80.0,16,17,25,200,1.8953916691243649,11.07770527433604
5,25,0,0,0,10.0,20,10.0,11.973286760754588,10,8.5,24.642857142857142,11,15.0,34.0,20,34.0,0,0.2,16369,0,47,0.9,562.7444777554656,False,-0.011788697318669866,5,0.5740000000000001,15598,68,0,0.0,680.0,False,-0.05406849071161493,0,0.2,27407,0,16,0.0,394.2857142857143,False,0.0022199054984155214,0,0.2,27453,0,19,1.0,468.2142857142857,False,0.005232078671791065,7,0.405,39562,1,10,1.0,364.64285714285717,False,-0.006019221493774477,13,0.5550000000000002,39372,0,0,0.0,0.0,False,-0.015330749030886583,0.48333333333333334,165761,0.0,0.0,13,0,0,20,11,11.0,15,35,24,168.0,39.0,11,14,24,405,1.385577779263258,12.463283053599298
6,24,0,0,0,10.0,20,10.0,15.566754484094675,27,24.037037037037038,28.93465909090909,20,39.75,34.0,20,34.0,0,0.2,16938,0,28,0.8,435.8691255546509,False,0.018216782169702978,0,0.5690000000000002,15478,80,0,0.0,800.0,False,-0.05762953290996498,0,0.2,27797,0,6,0.0,173.60795454545453,False,0.012373524208427838,0,0.2,27209,17,19,1.0,814.3933489568822,False,0.0026575418247264423,4,0.43800000000000006,39272,6,10,1.0,513.6079545454545,False,-0.011409179010310667,6,0.6020000000000001,39111,0,5,0.5,170.0,False,-0.0197323996498687,0.5499999999999999,165805,0.0,0.0,22,0,0,15,7,7.0,14,29,23,129.0,40.0,8,16,23,1984,1.5895745670422912,14.05285762064159
7,23,0,0,0,10.0,20,10.0,17.256475049711902,24,23.0,27.34934621944286,7,13.0,34.0,20,34.0,0,0.2,17390,0,14,1.0,241.59065069596664,False,0.03927801800391612,0,0.5690000000000002,15378,90,0,0.0,900.0,False,-0.060597068075256694,0,0.2,27797,0,6,0.0,164.09607731665716,False,0.012200850984218475,0,0.2,26748,31,22,1.0,1136.636343368812,False,-0.008230106681029494,2,0.45400000000000007,39597,0,6,0.6,204.0,False,-0.007152682255845942,3,0.6260000000000001,39167,0,7,0.7,238.0,False,-0.017481555583343755,0.5499999999999999,166077,0.0,0.0,21,0,0,23,4,2.833333333333333,14,37,17,147.0,42.0,14,9,17,1251,1.9221306759864092,15.974988296627998
8,17,0,0,0,10.0,20,10.0,17.40329199176743,15,18.333333333333332,28.34831098881798,5,41.0,34.0,20,34.0,0,0.2,17530,0,13,0.9,226.24279589297657,False,0.0471316634783363,5,0.6190000000000002,15218,101,0,0.0,1010.0,False,-0.06682889192236928,0,0.2,27797,0,6,0.0,170.08986593290786,False,0.012309658823165785,0,0.2,26678,36,27,1.0,1391.922908401713,False,-0.006137259768331094,3,0.48200000000000004,39573,0,5,0.5,170.0,False,-0.00817806677504064,4,0.663,39370,0,0,0.0,0.0,False,-0.01538076778792047,0.39999999999999997,166166,0.0,0.0,21,0,0,15,6,6.0,16,31,15,108.0,63.0,6,11,15,1077,1.0516061866655946,17.026594483293593
9,15,0,0,0,10.000000000000002,20,10.0,18.09657621546295,14,23.0,32.21030882804492,31,39.87096774193548,33.99999999999999,20,34.0,1,0.21000000000000002,17723,1,10,1.0,190.9657621546295,False,0.05753949083490499,0,0.6140000000000001,15128,110,0,0.0,1100.0000000000002,False,-0.06949967357113182,0,0.2,27797,0,6,0.0,193.26185296826952,False,0.012730309932982353,4,0.24000000000000002,27464,40,10,1.0,1045.9661368989673,False,0.016119633607431454,6,0.5390000000000001,38857,11,10,1.0,694.3133971084941,False,-0.01952840568827698,9,0.7490000000000001,38855,0,10,1.0,339.99999999999994,False,-0.0240090033762661,0.6666666666666666,165824,0.0,0.0,17,0,0,14,10,8.642857142857142,16,30,16,93.0,57.0,6,9,16,1326,0.9672509683296084,17.9938454516232
