index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,13,10.0,15.0,0,,24.0,0,,33.0,0,,0,0.2,15283,0,10,1.0,150.0,False,-0.0016251706429175063,0,0.2,15353,0,3,0.3,45.0,False,-0.0004875511928752519,0,0.2,25766,0,0,0.0,0.0,False,0.0,0,0.2,25766.0,0,0,0.0,0.0,False,0.0,0,0.2,35061,0,0,0.0,0.0,False,0.0,0,0.2,35061,0,0,0.0,0.0,False,0.0,0.21666666666666667,152290,0.0,0.0,4,0,0,93,0,0.0,289,382,162,0.0,0.0,0,0,162,130,3.0451723620062694,3.0451723620062694
1,162,0,0,0,10.0,13,10.0,15.0,0,,18.048387096774192,17,2.2941176470588234,33.0,0,,0,0.2,15213,0,17,0.7,255.0,False,-0.0027627900929597608,0,0.2,15293,0,9,0.6,135.0,False,-0.0014626535786257558,0,0.2,25766,0,0,0.0,0.0,False,0.0,17,0.37000000000000005,25204.0,0,0,0.0,0.0,False,-0.021811689823798806,0,0.2,35061,0,0,0.0,0.0,False,0.0,0,0.2,35022,17,0,0.0,306.8225806451613,False,0.0032632067061003174,0.21666666666666665,151559,0.0,0.0,4,0,0,29,3,3.0,77,106,63,1314.0,313.0,94,68,63,130,5.851897081010975,8.897069443017244
2,63,0,0,0,10.0,13,10.0,15.6875,3,26.0,12.026939655172411,37,2.945945945945946,33.0,0,,0,0.2,15083,3,27,1.0,453.5625,False,-0.004759718520444647,0,0.2,15371,0,6,0.0,94.125,False,0.0022793018266918028,0,0.2,25766,0,0,0.0,0.0,False,0.0,37,0.7230000000000001,23486.0,3,0,0.0,47.0625,False,-0.08757543856244664,0,0.2,34972,19,10,1.0,558.5118534482758,False,0.005426426135139833,0,0.2,35002,25,0,0.0,300.6734913793103,False,0.002605081021352847,0.3333333333333333,149680,0.0,0.0,5,0,0,11,9,9.0,15,26,37,193.0,157.0,14,49,37,208,1.5519972170004621,10.449066660017706
3,37,0,0,0,10.0,18,10.0,17.721183800623052,21,21.904761904761905,9.055582761998041,39,2.6923076923076925,33.0,20,33.0,0,0.2,15377,4,18,1.0,358.98130841121497,False,0.0112780767214202,0,0.2,15357,0,11,0.7,194.93302180685356,False,0.004645811018879721,0,0.2,25362,9,10,1.0,250.04648182558788,False,-0.010827321240674028,39,1.0760000000000003,21659.0,5,0,0.0,88.60591900311526,False,-0.15767666849718398,0,0.2,35186,16,13,1.0,573.8893241919686,False,0.01174937001500203,13,0.33000000000000007,34729,57,0,0.0,516.1682174338883,False,-0.0021082083021891416,0.6166666666666667,147670,0.0,0.0,11,0,0,7,11,11.0,14,21,35,110.0,78.0,8,29,35,871,1.0653216950013302,11.514388355019037
4,35,0,0,0,10.0,11,10.0,17.721183800623052,0,,6.7110325943994065,57,2.175438596491228,33.0,20,33.0,0,0.2,15267,5,28,1.0,546.1931464174454,False,0.010212349555270265,0,0.2,15357,0,11,0.0,194.93302180685356,False,0.004645811018879721,0,0.2,25362,0,19,0.9,127.50961929358873,False,-0.013205200277621888,57,1.6070000000000004,18436.0,5,0,0.0,88.60591900311526,False,-0.2827639928781511,0,0.2,35389,26,15,1.0,669.4868474543846,False,0.018902581892336085,12,0.43700000000000006,34501,94,0,0.0,630.8370638735443,False,-0.00697588397544921,0.48333333333333334,144312,0.0,0.0,7,0,0,8,14,14.0,13,21,36,119.0,81.0,8,27,36,374,1.048198239004705,12.562586594023742
5,36,0,0,0,9.999999999999998,14,10.0,19.722792858889704,24,24.541666666666668,6.629161890386444,18,5.944444444444445,33.0,20,33.0,0,0.2,15472,9,23,1.0,543.6242357544631,False,0.023455250463318648,0,0.2,15601,0,2,0.0,39.44558571777941,False,0.015453604164265038,0,0.2,25398,0,18,0.0,119.324914026956,False,-0.011966837808993354,17,1.7200000000000006,17317.0,29,0,0.0,571.9609929078015,False,-0.3168136110978072,0,0.2,35764,23,13,1.0,581.4707234788882,False,0.02834304103532265,8,0.5050000000000001,34332,105,0,0.0,696.0619984905767,False,-0.010865890897427642,0.3333333333333333,143884,0.0,0.0,13,0,0,11,6,6.0,13,24,37,110.0,88.0,11,25,37,1161,1.038427314022556,13.601013908046298
6,37,0,0,0,9.999999999999996,12,10.0,22.915977810623893,36,29.444444444444443,6.57409817401476,25,6.24,33.0,20,33.0,12,0.32000000000000006,16167,11,10,1.0,339.1597781062389,False,0.06198920165462645,0,0.2,15630,0,1,0.0,22.915977810623893,False,0.01680153343985641,0,0.2,25470,0,16,0.0,105.18557078423616,False,-0.009446837483811355,23,1.9330000000000005,15456.0,65,0,0.0,1489.538557690553,False,-0.3712346006813135,0,0.2,36048,20,13,1.0,560.4819634802952,False,0.03614389155301188,10,0.5970000000000002,34106,123,0,0.0,808.6140754038155,False,-0.015706710085225454,0.3333333333333333,142877,0.0,0.0,11,0,0,10,8,7.75,14,24,32,124.0,102.0,10,27,32,1102,1.0540592210018076,14.655073129048105
7,32,0,0,0,9.999999999999996,10,10.0,22.915977810623893,0,,5.981369343127779,40,3.625,33.0,20,33.0,0,0.30800000000000005,16067,11,20,1.0,568.3195562124779,False,0.06293699396127148,0,0.2,15630,0,1,0.0,22.915977810623893,False,0.01680153343985641,0,0.2,25542,0,14,0.0,83.7391708037889,False,-0.007068633648921246,38,2.2900000000000005,13734.0,65,0,0.0,1489.538557690553,False,-0.43806686024818453,0,0.2,36285,33,13,1.0,626.3851883232167,False,0.04384337566417405,10,0.687,33939,140,0,0.0,837.391708037889,False,-0.020059443426629464,0.3333333333333333,141197,0.0,0.0,8,0,0,7,10,10.0,15,22,26,125.0,104.0,9,23,26,502,1.0064024170278572,15.661475546075962
8,26,0,0,0,9.999999999999996,9,10.0,23.156399352065918,21,24.285714285714285,5.651997503471941,23,3.0869565217391304,33.0,20,33.0,1,0.31800000000000006,16469,10,10,1.0,331.56399352065915,False,0.0813743740987017,0,0.2,15630,0,1,0.0,23.156399352065918,False,0.01680934796047796,0,0.2,25578,0,13,0.0,73.47596754513523,False,-0.005870605302624872,22,2.4720000000000004,12460.0,86,0,0.0,1991.450344277669,False,-0.47777205727940564,0,0.2,36542,26,14,1.0,608.9519350902705,False,0.05092484434400431,11,0.7870000000000001,33764,160,0,0.0,904.3196005555105,False,-0.024096295020742314,0.3333333333333333,140443,0.0,0.0,8,0,0,12,8,7.125,12,24,21,163.0,75.0,12,14,21,813,1.0483893110067584,16.70986485708272
9,21,0,0,0,9.999999999999996,11,10.0,23.18618481512765,15,23.4,5.923446827666488,18,8.666666666666666,32.99999999999999,20,33.0,4,0.35700000000000004,16611,11,10,1.0,341.86184815127643,False,0.09094005877108739,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.2,25315,3,22,1.0,199.87438465404568,False,-0.013625041049172445,17,2.6200000000000006,11947.0,88,0,0.0,2040.3842637312332,False,-0.4967324329789018,0,0.2,36902,17,12,1.0,496.69859607033015,False,0.05959183417572704,8,0.8560000000000001,33561,177,0,0.0,1048.4500884969682,False,-0.02783077937741401,0.5,139991,0.0,0.0,8,0,0,10,7,6.230769230769231,12,22,23,114.0,97.0,8,13,23,567,1.0519389139954,17.76180377107812
