index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,34.0,0,,41.0,0,,0,0.2,20354,8,0,0.0,80.0,False,-0.001957521777429774,0,0.2,20314,12,0,0.0,120.0,False,-0.002936282666144661,0,0.2,32856,0,0,0.0,0.0,False,0.0,0,0.2,32856,0,0,0.0,0.0,False,0.0,0,0.2,38393,0,0,0.0,0.0,False,0.0,0,0.2,38393,0,0,0.0,0.0,False,0.0,0.0,183166,0.0,0.0,8,0,0,0,0,0.0,454,454,78,0.0,0.0,0,0,78,200,1.6532068587839603,1.6532068587839603
1,78,0,0,0,10.0,20,10.0,22.0,0,,34.0,0,,41.0,0,,0,0.2,20264,17,0,0.0,170.0,False,-0.004159733777038269,0,0.2,20204,23,0,0.0,230.0,False,-0.0056278751101106,0,0.2,32856,0,0,0.0,0.0,False,0.0,0,0.2,32856,0,0,0.0,0.0,False,0.0,0,0.2,38393,0,0,0.0,0.0,False,0.0,0,0.2,38393,0,0,0.0,0.0,False,0.0,0.0,182966,0.0,0.0,9,0,0,14,0,0.0,25,39,19,313.0,366.0,19,59,19,200,2.4879532670602202,4.141160125844181
2,19,0,0,0,10.0,20,10.0,15.958333333333334,27,5.888888888888889,34.0,0,,41.0,0,,20,0.4,19527,29,0,0.0,290.0,False,-0.03729078986003719,7,0.27,20026,31,0,0.0,310.0,False,-0.01238132524224332,0,0.2,32716,7,10,1.0,451.70833333333337,False,0.0026130437870302,0,0.2,32837,0,10,1.0,340.0,False,0.004595812028244461,0,0.2,38393,0,0,0.0,0.0,False,0.0,0,0.2,38393,0,0,0.0,0.0,False,0.0,0.3333333333333333,181892,0.0,0.0,11,0,0,10,6,6.0,22,32,10,206.0,96.0,12,7,10,200,0.9532315041869879,5.0943916300311685
3,10,0,0,0,10.0,20,10.0,15.425141242937856,6,9.666666666666666,34.0,0,,41.0,20,41.0,1,0.39,19384,41,0,0.0,410.0,False,-0.041352647548203975,5,0.31300000000000006,19871,39,0,0.0,390.0,False,-0.01800920035235392,0,0.2,32716,0,17,0.7,578.0,False,0.004534940345751156,0,0.2,32779,0,16,0.6,544.0,False,0.005934989043097152,9,0.29000000000000004,38281,0,0,0.0,0.0,False,-0.0029171984476336833,11,0.31000000000000005,38213,0,0,0.0,0.0,False,-0.004688354647982705,0.21666666666666665,181244,0.0,0.0,10,0,0,9,9,9.0,15,24,8,82.0,42.0,6,4,8,200,0.8649358404800296,5.959327470511198
4,8,0,0,0,10.0,20,10.0,14.892702116115032,10,11.5,35.8,5,52.0,41.0,20,41.0,0,0.389,19274,52,0,0.0,520.0,False,-0.044044239992169915,10,0.40800000000000003,19606,48,0,0.0,480.0,False,-0.028775570128217676,0,0.2,32716,0,17,0.0,608.5999999999999,False,0.005000608716825021,0,0.2,32924,0,21,1.0,751.8,False,0.013510469929388893,10,0.38100000000000006,37873,0,5,0.5,205.0,False,-0.010874378141848775,10,0.399,38057,0,0,0.0,0.0,False,-0.00875159534290105,0.25,180450,0.0,0.0,11,0,0,6,12,12.0,17,23,13,72.0,21.0,5,3,13,460,0.9402999645099044,6.899627435021102
5,13,0,0,0,10.0,20,10.0,14.892702116115032,0,,37.22,5,50.0,41.0,20,41.0,0,0.389,19194,60,0,0.0,600.0,False,-0.046001761769599685,0,0.398,19486,60,0,0.0,600.0,False,-0.03171185279436234,0,0.2,32716,0,17,0.0,632.74,False,0.005367969320672103,0,0.2,33174,0,16,0.0,595.52,False,0.01874117360603853,6,0.43100000000000005,38008,0,0,0.0,0.0,False,-0.010027869663740786,9,0.47900000000000004,37679,5,0,0.0,186.1,False,-0.016173521214804705,0.0,180257,0.0,0.0,14,0,0,10,7,6.666666666666666,21,31,10,174.0,36.0,11,2,10,614,1.1942141903564334,8.093841625377536
6,10,0,0,0,10.0,20,10.0,14.127563996240395,6,5.666666666666667,39.72545454545455,10,51.0,41.0,20,41.0,6,0.44900000000000007,18962,70,0,0.0,700.0,False,-0.05490848585690516,0,0.398,19386,70,0,0.0,700.0,False,-0.03415875501614955,0,0.2,32716,0,17,0.0,675.3327272727273,False,0.006016142063439446,0,0.2,33650,0,12,0.6,476.7054545454546,False,0.031420523717821086,7,0.49500000000000005,37674,0,5,0.5,205.0,False,-0.016057614669340765,13,0.6000000000000001,37177,10,0,0.0,397.25454545454545,False,-0.026498911970221823,0.18333333333333335,179565,0.0,0.0,11,0,0,7,12,12.0,19,26,13,110.0,36.0,8,2,13,710,1.3814978646114469,9.475339489988983
7,13,0,0,0,10.0,20,10.0,13.574365026097858,7,8.428571428571429,40.85155963302752,5,52.0,41.00000000000001,20,41.0,2,0.463,18834,78,0,0.0,780.0,False,-0.05921503376725066,5,0.44800000000000006,19191,82,0,0.0,820.0,False,-0.04076539101497504,0,0.2,32716,0,17,0.0,694.4765137614678,False,0.0063074706866550105,0,0.2,33851,0,14,0.7,571.9218348623853,False,0.03898712312610153,3,0.5180000000000001,37591,0,5,0.5,205.00000000000003,False,-0.01821946709035501,12,0.7070000000000001,36975,10,0,0.0,408.51559633027523,False,-0.03161363274125124,0.19999999999999998,179158,0.0,0.0,12,0,0,11,10,9.5,17,28,12,125.0,57.0,9,4,12,583,1.0766440704464912,10.551983560435474
8,12,0,0,0,10.0,20,10.0,13.461752530833222,5,12.0,41.697853839037926,5,50.0,41.00000000000001,20,41.0,0,0.461,18734,88,0,0.0,880.0,False,-0.06166193598903788,5,0.49300000000000005,19021,92,0,0.0,920.0,False,-0.046637956347264364,0,0.2,32716,0,17,0.0,708.8635152636448,False,0.006526410933522669,0,0.2,34041,0,14,0.5,583.769953746531,False,0.044950236695680205,5,0.5650000000000001,37494,0,5,0.5,205.00000000000003,False,-0.02074596931732347,10,0.7950000000000002,36819,10,0,0.0,416.97853839037924,False,-0.03556665878688329,0.16666666666666666,178825,0.0,0.0,13,0,0,8,8,7.75,17,25,14,106.0,60.0,7,5,14,614,1.7003545546904206,12.252338115125895
9,14,0,0,0,10.000000000000002,20,10.0,13.3137083743613,1,4.0,43.84549617139763,16,50.375,41.00000000000001,20,41.0,1,0.47100000000000003,18602,99,0,0.0,990.0000000000002,False,-0.0654301654105902,0,0.4880000000000001,18931,101,0,0.0,1010.0000000000002,False,-0.04884016834687286,0,0.2,33022,0,11,0.0,482.30045788537393,False,0.012391959731637637,0,0.2,34537,0,5,0.1,219.22748085698814,False,0.05449883553775555,4,0.6000000000000001,36855,6,10,1.0,673.0729770283858,False,-0.03129381688031178,11,0.8950000000000002,36637,10,0,0.0,438.4549617139763,False,-0.04002741435009024,0.18333333333333335,178584,0.0,0.0,13,0,0,6,9,9.0,20,26,16,121.0,81.0,7,7,16,1211,0.8607531087473035,13.113091223873198
