index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,31.0,0,,0,0.2,18079,8,0,0.0,80.0,False,-0.0022027644694091082,0,0.2,18039,12,0,0.0,120.0,False,-0.0033041467041136628,0,0.2,28775,0,0,0.0,0.0,False,0.0,0,0.2,28775,0,0,0.0,0.0,False,0.0,0,0.2,35551,0,0,0.0,0.0,False,0.0,0,0.2,35551,0,0,0.0,0.0,False,0.0,0.0,164770,0.0,0.0,5,0,0,81,0,0.0,270,351,92,0.0,0.0,0,0,92,200,1.0465456929523498,1.0465456929523498
1,92,0,0,0,10.0,20,10.0,16.0,0,,20.735849056603772,8,8.0,31.0,0,,0,0.2,17949,21,0,0.0,210.0,False,-0.0057822567321989095,0,0.2,17969,19,0,0.0,190.0,False,-0.0052315656148466325,0,0.2,28775,0,0,0.0,0.0,False,0.0,8,0.28,28615,0,0,0.0,0.0,False,-0.005560382276281494,0,0.2,35487,0,8,0.8,248.0,False,0.0016877162386430761,0,0.2,35551,0,0,0.0,0.0,False,0.0,0.13333333333333333,164346,0.0,0.0,6,0,0,18,1,1.0,41,59,51,702.0,300.0,47,45,51,200,3.116980511986185,4.163526204938535
2,51,0,0,0,10.0,20,10.0,14.885245901639344,16,11.75,14.659973226238288,27,3.9259259259259265,31.0,0,,10,0.30000000000000004,17758,30,0,0.0,300.0,False,-0.013822347045542156,6,0.26,17808,30,0,0.0,300.0,False,-0.01106889145878077,0,0.2,28735,0,5,0.5,73.29986613119144,False,-0.00011642283004006961,27,0.542,27501,11,0,0.0,163.7377049180328,False,-0.041429405648687474,0,0.2,35487,0,8,0.0,248.0,False,0.0016877162386430761,0,0.2,35445,17,10,1.0,559.2195448460509,False,0.00488340053509121,0.25,162734,0.0,0.0,5,0,0,10,13,13.0,35,45,27,500.0,211.0,35,16,27,200,1.5390418419847265,5.702568046923261
3,27,0,0,0,10.0,20,10.0,13.196451204055766,24,9.333333333333334,13.722080021554628,7,4.714285714285714,31.0,12,31.0,14,0.43000000000000005,17474,41,0,0.0,410.0,False,-0.026433173632909302,10,0.35400000000000004,17588,39,0,0.0,390.0,False,-0.02070598601244562,0,0.2,28575,10,15,1.0,337.7957123638771,False,-0.0010808738077519183,7,0.5850000000000001,27259,15,0,0.0,197.9467680608365,False,-0.049245060502852545,0,0.2,35487,0,8,0.0,248.0,False,0.0016877162386430761,2,0.22000000000000003,35710,14,10,1.0,502.1091203017648,False,0.011534262331604896,0.3333333333333333,162093,0.0,0.0,7,0,0,12,9,9.0,11,23,26,183.0,194.0,11,16,26,510,1.0585496420389973,6.761117688962258
4,26,0,0,0,10.0,20,10.0,12.286778002340174,23,9.478260869565217,13.563953574114768,1,3.0,30.999999999999996,6,31.0,3,0.44600000000000006,17375,50,0,0.0,500.0,False,-0.029406905666611596,20,0.544,17148,50,0,0.0,500.0,False,-0.04190759403050829,0,0.2,28405,20,25,1.0,584.8343993996727,False,-0.0026961876733331883,1,0.5880000000000001,27186,18,0,0.0,221.16200404212313,False,-0.05137859245799955,0,0.2,35487,0,8,0.0,247.99999999999997,False,0.0016877162386430761,0,0.21800000000000003,35893,5,14,1.0,501.8197678705738,False,0.016677727319492793,0.3333333333333333,161494,0.0,0.0,8,0,0,12,6,6.0,10,22,19,166.0,159.0,12,14,19,386,0.9861659469897859,7.747283635952044
5,19,0,0,0,10.0,20,10.0,11.879404217443588,21,10.238095238095237,13.017918085498119,18,11.166666666666666,30.999999999999996,9,31.0,11,0.553,17117,62,0,0.0,620.0,False,-0.04031058979018669,10,0.6240000000000001,16966,58,0,0.0,580.0,False,-0.04972740789691062,0,0.2,28450,25,30,1.0,687.5226480010333,False,0.0006520008340752647,13,0.7170000000000001,26707,24,0,0.0,285.1057012186461,False,-0.0669138887711791,0,0.2,35487,0,8,0.0,247.99999999999997,False,0.0016877162386430761,0,0.21800000000000003,35971,13,15,1.0,634.2329351114755,False,0.020734057201084004,0.3333333333333333,160698,0.0,0.0,9,0,0,10,10,10.0,12,22,19,132.0,102.0,10,9,19,649,0.7745826170430519,8.521866252995096
6,19,0,0,0,10.0,20,10.0,11.21431767193532,29,9.03448275862069,14.396075622733376,5,34.0,30.999999999999996,7,31.0,23,0.7720000000000002,16588,74,0,0.0,740.0,False,-0.06613800319400848,6,0.6740000000000002,16827,66,0,0.0,660.0,False,-0.05517924995869817,0,0.2,28415,40,35,1.0,952.435353673081,False,0.0040388419404531325,0,0.7040000000000002,26650,28,0,0.0,314.00089481418894,False,-0.06839268644979685,0,0.2,35487,0,8,0.0,247.99999999999997,False,0.0016877162386430761,0,0.21800000000000003,36018,8,18,1.0,673.1686049818669,False,0.02260370460721031,0.3333333333333333,159985,0.0,0.0,8,0,0,11,7,7.0,10,21,23,134.0,117.0,10,9,23,587,0.8324525119969621,9.354318764992058
7,23,0,0,0,10.0,20,10.0,10.874079789074692,16,8.5,14.265061808459626,15,13.666666666666666,30.999999999999993,12,31.0,10,0.8490000000000002,16338,86,0,0.0,860.0,False,-0.07660113442370174,6,0.728,16685,74,0,0.0,740.0,False,-0.06079629935569139,0,0.2,28470,45,40,1.0,1059.9360628467462,False,0.00781817659160291,10,0.8040000000000003,26348,29,0,0.0,315.34831388316604,False,-0.0788644949803099,0,0.2,35312,0,13,0.5,402.9999999999999,False,-0.0010548226491519225,0,0.21800000000000003,36360,8,16,1.0,610.1204944676768,False,0.031336959501387755,0.4166666666666667,159513,0.0,0.0,9,0,0,11,7,7.0,12,23,21,165.0,139.0,12,11,21,747,0.7413721310440451,10.095690896036103
8,21,0,0,0,10.0,20,10.0,11.108724313861716,28,12.071428571428571,14.634323749458805,13,16.76923076923077,30.999999999999996,11,31.0,10,0.9390000000000003,16187,92,0,0.0,920.0,False,-0.08326449694366429,18,0.9020000000000001,16326,88,0,0.0,880.0,False,-0.0767112726471722,0,0.2,28515,50,45,1.0,1213.9807844187321,False,0.012058745168005747,8,0.8740000000000001,25944,42,0,0.0,466.5664211821921,False,-0.09027686496642584,0,0.2,35312,0,13,0.0,402.99999999999994,False,-0.0010548226491519225,0,0.21800000000000003,36483,11,15,1.0,625.9775612440468,False,0.035019796366403795,0.3333333333333333,158767,0.0,0.0,10,0,0,11,8,8.0,12,23,24,181.0,147.0,12,9,24,716,0.7647295770002529,10.860420473036356
9,24,0,0,0,10.000000000000002,20,10.0,10.822931803263138,24,9.291666666666668,15.841619983958617,5,35.0,31.0,8,31.0,10,1.0290000000000001,15922,106,0,0.0,1060.0000000000002,False,-0.0940029737320337,14,1.0240000000000002,16075,94,0,0.0,940.0000000000001,False,-0.08888154634065752,0,0.2,28525,60,50,1.0,1441.4569073937191,False,0.016358938442983778,0,0.8660000000000003,25886,46,0,0.0,497.85486295010435,False,-0.09174882948826929,0,0.2,35312,0,13,0.0,403.0,False,-0.0010548226491519225,0,0.21800000000000003,36556,6,17,1.0,622.0497199037517,False,0.037017942109979315,0.3333333333333333,158276,0.0,0.0,9,0,0,14,7,7.0,11,25,19,195.0,150.0,14,10,19,623,0.8351782640093006,11.695598737045657
10,19,0,0,0,10.000000000000002,20,10.0,10.89694359626534,21,11.380952380952381,16.866532042183483,6,29.833333333333332,31.0,10,31.0,16,1.1790000000000003,15682,115,0,0.0,1150.0000000000002,False,-0.10474145052040311,5,1.0600000000000003,15910,105,0,0.0,1050.0000000000002,False,-0.09493914863153258,0,0.2,28615,60,55,1.0,1581.475878096012,False,0.021919650357880294,1,0.8760000000000003,25708,57,0,0.0,621.1257849871243,False,-0.0957927752391464,0,0.2,35312,0,13,0.0,403.0,False,-0.0010548226491519225,0,0.21800000000000003,36687,2,17,1.0,560.733064084367,False,0.03984041326663627,0.3333333333333333,157914,0.0,0.0,10,0,0,11,4,4.0,11,22,18,174.0,144.0,11,8,18,685,0.7933218189864419,12.488920556032099
11,18,0,0,0,10.000000000000002,20,10.0,10.637168030477039,22,8.954545454545455,16.152854624282703,4,3.0,30.999999999999996,11,31.0,12,1.283,15413,127,0,0.0,1270.0000000000002,False,-0.1162508948730657,10,1.1550000000000002,15700,113,0,0.0,1130.0000000000002,False,-0.10430089762652128,0,0.2,28450,70,65,1.0,1794.5373127117687,False,0.019887703087954317,4,0.9150000000000003,25576,59,0,0.0,627.5929137981453,False,-0.10026771652826857,0,0.2,35312,0,13,0.0,402.99999999999994,False,-0.0010548226491519225,0,0.21800000000000003,37016,0,12,0.6,371.99999999999994,False,0.04644032516666198,0.26666666666666666,157467,0.0,0.0,7,0,0,11,6,6.0,10,21,22,147.0,147.0,9,9,22,541,1.1208279210259207,13.60974847705802
12,22,0,0,0,10.000000000000002,20,10.0,10.681969060194655,24,10.958333333333334,15.967464471839298,1,3.0,30.999999999999996,12,31.0,11,1.3810000000000002,15159,142,0,0.0,1420.0000000000002,False,-0.12610826587367147,13,1.2750000000000001,15489,118,0,0.0,1180.0000000000002,False,-0.11454375240927364,0,0.2,28320,75,75,1.0,1998.7075149025463,False,0.018917593655995615,1,0.921,25418,68,0,0.0,726.3738960932366,False,-0.10404215645363617,0,0.2,35312,0,13,0.0,402.99999999999994,False,-0.0010548226491519225,0,0.21800000000000003,37385,0,1,0.1,30.999999999999996,False,0.052023853056172825,0.18333333333333335,157083,0.0,0.0,9,0,0,11,7,7.0,13,24,19,173.0,134.0,12,10,19,572,0.9098044590209611,14.51955293607898
13,19,0,0,0,10.000000000000002,20,10.0,10.44510737269184,15,8.0,14.306381334287137,10,3.7,30.999999999999996,13,31.0,10,1.4700000000000004,14929,152,0,0.0,1520.0000000000002,False,-0.13602070598601246,5,1.3120000000000003,15334,128,0,0.0,1280.0000000000002,False,-0.12032600914147255,0,0.2,28200,80,85,1.0,2051.6510032297538,False,0.015667263305469192,10,1.0200000000000002,25144,68,0,0.0,710.2673013430451,False,-0.1138441824267064,0,0.2,35312,0,13,0.0,402.99999999999994,False,-0.0010548226491519225,12,0.3380000000000001,37227,0,10,1.0,309.99999999999994,False,0.05150347388259121,0.3333333333333333,156146,0.0,0.0,6,0,0,8,10,9.5,11,19,20,138.0,136.0,8,11,20,200,1.4872034059953876,16.006756342074368
14,20,0,0,0,10.000000000000002,20,10.0,10.172573131364087,27,8.62962962962963,15.684193757035377,5,34.0,30.999999999999996,12,31.0,15,1.6100000000000003,14629,160,0,0.0,1600.0000000000002,False,-0.15033867503717166,12,1.4270000000000003,15054,140,0,0.0,1400.0000000000002,False,-0.13244121372322265,0,0.2,28165,95,90,1.0,2377.971885612772,False,0.020121144841229763,0,1.0100000000000002,25116,70,0,0.0,712.0801191954861,False,-0.11478574944925302,0,0.2,35312,0,13,0.0,402.99999999999994,False,-0.0010548226491519225,2,0.3460000000000001,37355,0,5,0.5,154.99999999999997,False,0.05292396838344913,0.25,155631,0.0,0.0,8,0,0,9,7,6.5,11,20,20,135.0,140.0,8,12,20,618,1.3498462230199948,17.356602565094363
15,20,0,0,0,10.000000000000002,20,10.0,10.302558229417007,23,11.217391304347826,16.626571458409337,7,25.285714285714285,31.0,13,31.0,5,1.6450000000000002,14454,172,0,0.0,1720.0000000000002,False,-0.15667162288672284,18,1.5950000000000002,14759,148,0,0.0,1480.0000000000002,False,-0.1464838372157057,0,0.2,28260,95,95,1.0,2558.2673203435024,False,0.02655547037955698,2,1.0300000000000002,24884,83,0,0.0,855.1123330416116,False,-0.12036294816608847,0,0.2,35312,0,13,0.0,403.0,False,-0.0010548226491519225,8,0.42400000000000004,37253,0,7,0.7,217.0,False,0.050926837501054825,0.2833333333333333,154922,0.0,0.0,7,0,0,11,8,7.5,10,21,27,177.0,150.0,10,10,27,499,1.200357931025792,18.556960496120155
