index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,34.0,0,,0,0.2,25434,2,10,1.0,220.0,False,-0.00039132816780151837,0,0.2,25474.0,8,0,0.0,80.0,False,-0.0015653126712060735,0,0.2,36095,0,0,0.0,0.0,False,0.0,0,0.2,36095,0,0,0.0,0.0,False,0.0,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.2,48393,0,0,0.0,0.0,False,0.0,0.16666666666666666,219884,0.0,0.0,5,0,0,62,0,0.0,215,277,68,0.0,0.0,0,0,68,200,0.7809914061799645,0.7809914061799645
1,68,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,34.0,0,,0,0.2,25344,1,20,1.0,410.0,False,-0.00019566408390075919,0,0.2,25364.0,19,0,0.0,190.0,False,-0.003717617594114424,0,0.2,36095,0,0,0.0,0.0,False,0.0,0,0.2,36095,0,0,0.0,0.0,False,0.0,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.2,48393,0,0,0.0,0.0,False,0.0,0.16666666666666666,219684,0.0,0.0,6,0,0,33,0,0.0,25,58,59,792.0,312.0,44,24,59,200,2.546542621217668,3.3275340273976326
2,59,0,0,0,10.0,20,10.0,17.076923076923077,20,10.5,27.0,0,,34.0,0,,0,0.2,25264,4,25,1.0,466.9230769230769,False,-0.002212509256416255,15,0.35000000000000003,25019.0,26,0,0.0,260.0,False,-0.015848790795961493,0,0.2,35990,0,10,1.0,270.0,False,0.000831140047097936,0,0.2,35990,0,10,1.0,270.0,False,0.000831140047097936,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.2,48393,0,0,0.0,0.0,False,0.0,0.5,219049,0.0,0.0,9,0,0,26,3,3.0,18,44,49,476.0,152.0,30,29,49,250,2.5526333255693316,5.880167352966964
3,49,0,0,0,10.0,20,10.0,15.401273885350319,20,10.5,27.0,0,,34.0,11,34.0,0,0.2,25174,3,35,1.0,569.0445859872611,False,-0.0037363116148692297,20,0.5350000000000001,24489.0,37,0,0.0,370.0,False,-0.03443687876653362,0,0.2,35885,0,20,1.0,540.0,False,0.001662280094195872,0,0.2,35885,0,20,1.0,540.0,False,0.001662280094195872,0,0.2,48393,0,0,0.0,0.0,False,0.0,11,0.31000000000000005,48241,0,0,0.0,0.0,False,-0.0031409501374165686,0.5,218067,0.0,0.0,6,0,0,23,8,8.0,15,38,35,386.0,81.0,24,25,35,200,2.090895793400705,7.971063146367669
4,35,0,0,0,10.0,20,10.0,14.039741679085942,30,10.833333333333334,27.0,0,,34.0,9,34.0,0,0.2,25174,4,35,1.0,531.390958768008,False,-0.0044730578624088205,20,0.7150000000000001,23984.0,46,0,0.0,460.0,False,-0.05243797448540346,0,0.2,35775,0,30,1.0,810.0,False,0.0023548968001108187,0,0.2,35670,10,30,1.0,950.3974167908594,False,0.0013907385620011083,0,0.2,48393,0,0,0.0,0.0,False,0.0,9,0.389,48136,0,0,0.0,0.0,False,-0.005310685429710908,0.5,217132,0.0,0.0,9,0,0,21,7,7.0,11,32,24,276.0,76.0,17,18,24,310,1.7196366982534528,9.690699844621122
5,24,0,0,0,10.0,20,10.0,15.58572291676349,17,23.823529411764707,24.88679245283019,8,13.0,34.0,10,34.0,0,0.2,25404,6,33,1.0,574.3288562531952,False,0.005367630434632467,5,0.7450000000000001,23839.0,54,0,0.0,540.0,False,-0.0565469202473194,0,0.2,35529,2,32,1.0,827.548804324093,False,-0.0042173596852182966,0,0.2,35615,5,40,1.0,1073.4003126970251,False,0.0015708590205986996,0,0.2,48393,0,0,0.0,0.0,False,0.0,10,0.48000000000000004,47904,0,8,0.8,272.0,False,-0.007294443411237163,0.6333333333333333,216684,0.0,0.0,10,0,0,11,5,5.0,11,22,24,129.0,42.0,8,16,24,654,1.142649833112955,10.833349677734077
6,24,0,0,0,10.0,20,10.0,19.969275481222166,47,29.0,24.88679245283019,0,,34.0,13,34.0,14,0.34,26341,5,10,1.0,249.69275481222166,False,0.03568311721867846,0,0.7400000000000002,23729.0,65,0,0.0,650.0,False,-0.058699225170227756,0,0.2,34630,23,42,1.0,1504.5386190869776,False,-0.019745967321138997,0,0.2,35151,11,50,1.0,1464.0016529349534,False,-0.005873366769151513,0,0.2,48393,0,0,0.0,0.0,False,0.0,5,0.52,48128,0,0,0.0,0.0,False,-0.0054759985948380965,0.5,216372,0.0,0.0,11,0,0,12,4,3.8235294117647056,10,22,28,136.0,60.0,9,15,28,1342,2.167086809873581,13.000436487607658
7,28,0,0,0,10.0,20,10.0,19.14192043917916,50,17.0,26.415559772296017,5,41.0,34.00000000000001,13,34.0,0,0.32600000000000007,26231,6,20,1.0,442.8384087835832,False,0.03515767411723371,50,1.2400000000000002,22689.0,74,0,0.0,740.0,False,-0.09763637786647883,0,0.2,34630,13,52,1.0,1622.454073868722,False,-0.018112563043791094,0,0.2,34506,51,55,1.0,2429.0937298744184,False,-0.010374099877068502,0,0.2,48393,0,0,0.0,0.0,False,0.0,13,0.645,47727,0,5,0.5,170.00000000000003,False,-0.012005868617362015,0.5833333333333334,214176,0.0,0.0,8,0,0,12,9,9.0,14,26,39,168.0,96.0,11,17,39,405,1.3859295127913356,14.386366000398993
8,39,0,0,0,10.0,20,10.0,18.7765947376837,94,18.148936170212767,22.724896836313615,18,13.0,34.00000000000001,8,34.0,16,0.4860000000000001,26833,9,10,1.0,277.76594737683695,False,0.055485754625045715,58,1.7700000000000002,20907.0,81,0,0.0,810.0,False,-0.1660014087814041,0,0.2,33821,69,44,1.0,2295.4804976979744,False,-0.03120265275387201,0,0.2,33843,69,65,1.0,2772.70333126056,False,-0.02398249991327658,0,0.2,48393,0,0,0.0,0.0,False,0.0,3,0.6620000000000001,47642,8,10,1.0,521.799174690509,False,-0.010127506305762169,0.6666666666666666,211439,0.0,0.0,13,0,0,16,7,6.888888888888889,15,31,36,251.0,147.0,17,22,36,1162,1.7609829092398286,16.147348909638822
9,36,0,0,0,10.000000000000002,20,10.0,18.915609412767406,47,19.595744680851062,20.68231300479925,18,14.0,34.0,14,34.0,4,0.51,27043,9,10,1.0,279.15609412767407,False,0.06373084632792668,33,2.0420000000000003,20185.0,91,0,0.0,910.0000000000001,False,-0.19229866165766613,0,0.2,33667,73,36,1.0,2125.4027553047936,False,-0.03782514537602448,0,0.2,33328,92,75,1.0,3291.4095413345453,False,-0.031065112323943076,0,0.2,48393,0,0,0.0,0.0,False,0.0,4,0.6990000000000002,47696,16,10,1.0,670.9170080767881,False,-0.007470946127778868,0.6666666666666666,210312,0.0,0.0,13,0,0,14,7,5.9523809523809526,16,30,31,279.0,105.0,17,19,31,758,1.6317293038591743,17.779078213497996
