index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,21.0,0,,29.0,0,,0,0.2,13556,2,10,1.0,160.0,False,-0.0029248318221702253,0,0.2,13596,0,8,0.8,112.0,False,-0.0017548990933021352,0,0.2,19567,0,0,0.0,0.0,False,0.0,0,0.2,19567.0,0,0,0.0,0.0,False,0.0,0,0.2,27247,0,0,0.0,0.0,False,0.0,0,0.2,27247,0,0,0.0,0.0,False,0.0,0.3,120780,0.0,0.0,5,0,0,0,0,0.0,348,348,90,0.0,0.0,0,0,90,200,1.9759332789690234,1.9759332789690234
1,90,0,0,0,10.0,20,10.0,14.0,0,,19.327272727272728,10,11.8,29.0,0,,0,0.2,13506,0,17,0.7,238.0,False,-0.003729160573267037,0,0.2,13446,5,18,1.0,302.0,False,-0.005776542848786195,0,0.2,19567,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,19416.0,0,0,0.0,0.0,False,-0.007717074666530383,0,0.2,27247,0,0,0.0,0.0,False,0.0,0,0.2,27129,10,0,0.0,193.27272727272728,False,-0.0007840729755068827,0.2833333333333333,120311,0.0,0.0,6,0,0,21,3,3.0,71,92,59,1440.0,135.0,80,10,59,200,5.375811056990642,7.3517443359596655
2,59,0,0,0,10.0,20,10.0,13.09433962264151,8,8.0,16.695104895104897,22,10.772727272727273,29.0,0,,0,0.2,13366,4,27,1.0,393.54716981132077,False,-0.008279205549454464,0,0.2,13450,1,20,1.0,271.8867924528302,False,-0.006585010512838868,0,0.2,19503,0,8,0.8,133.56083916083918,False,0.00014209738745950477,22,0.51,18944.0,0,0,0.0,0.0,False,-0.031839321306280984,0,0.2,27236,0,1,0.1,29.0,False,0.00012845450875325723,0,0.2,26903,31,0,0.0,517.5482517482518,False,-0.003127899369687445,0.48333333333333334,119402,0.0,0.0,7,0,0,15,5,5.0,13,28,28,276.0,169.0,17,42,28,264,2.2373941259575076,9.589138461917173
3,28,0,0,0,10.0,20,10.0,13.09433962264151,0,,14.887719298245617,24,10.041666666666666,29.0,20,29.0,0,0.2,13266,4,37,1.0,524.4905660377358,False,-0.010803942452554213,0,0.2,13350,1,30,1.0,402.8301886792453,False,-0.009109747415938618,0,0.2,19503,0,8,0.0,119.10175438596494,False,-0.00022737889339286983,24,0.728,18417.0,0,0,0.0,0.0,False,-0.05877242295701947,9,0.29000000000000004,27176,0,0,0.0,0.0,False,-0.0026057914632803612,10,0.30000000000000004,26558,55,0,0.0,818.8245614035089,False,-0.010261229467399872,0.3333333333333333,118270,0.0,0.0,6,0,0,12,9,8.666666666666666,14,26,27,237.0,40.0,14,14,27,200,1.3931642129900865,10.98230267490726
4,27,0,0,0,10.0,20,10.0,13.09433962264151,0,,13.340686875074104,47,10.72340425531915,29.0,20,29.0,0,0.2,13156,5,47,1.0,665.433962264151,False,-0.013694283333425374,0,0.2,13260,0,40,1.0,523.7735849056604,False,-0.011268880341267223,0,0.2,19503,0,8,0.0,106.72549500059283,False,-0.0005436322634896662,47,1.1740000000000002,16807.0,0,0,0.0,0.0,False,-0.14105381509684672,11,0.39100000000000007,26964,0,9,0.9,261.0,False,-0.005596946452820494,9,0.38000000000000006,26054,93,0,0.0,1240.6838793818915,False,-0.021017288520169382,0.48333333333333334,115744,0.0,0.0,6,0,0,8,11,11.0,13,21,24,147.0,65.0,9,18,24,200,1.4575884599471465,12.439891134854406
5,24,0,0,0,10.0,20,10.0,13.09433962264151,0,,12.795551697949444,29,10.655172413793103,28.999999999999996,20,29.0,0,0.2,13066,4,57,1.0,786.377358490566,False,-0.015853416258753847,0,0.2,13150,1,50,1.0,664.7169811320755,False,-0.01415922122213825,0,0.2,19503,0,8,0.0,102.36441358359555,False,-0.0006550719685288246,29,1.4170000000000003,16082.0,0,0,0.0,0.0,False,-0.17810599478714162,5,0.43000000000000005,27090,0,10,1.0,289.99999999999994,False,-0.00044041545858259626,6,0.43100000000000005,25798,112,0,0.0,1433.1017901703376,False,-0.026881825702456452,0.5,114689,0.0,0.0,8,0,0,9,8,7.333333333333333,13,22,20,165.0,57.0,10,14,20,403,1.3700470610056072,13.809938195860013
6,20,0,0,0,10.0,20,10.0,16.310893512851894,34,20.823529411764707,12.287413308338172,29,10.03448275862069,29.0,20,29.0,0,0.2,13146,6,57,1.0,989.720930232558,False,-0.002569430746104223,0,0.2,13578,0,35,0.9,570.8812729498163,False,0.013705808458241327,0,0.2,19503,0,8,0.0,98.29930646670537,False,-0.00075894857498077,29,1.6780000000000004,14632.0,34,0,0.0,554.5703794369645,False,-0.23803929116786002,0,0.42500000000000004,27192,0,13,1.0,377.0,False,0.004899621976731383,13,0.5550000000000002,25445,131,0,0.0,1609.6511433923006,False,-0.036597586094023186,0.48333333333333334,113496,0.0,0.0,11,0,0,11,8,8.0,9,20,27,162.0,62.0,9,11,27,1111,1.2838193359784782,15.093757531838492
7,27,0,0,0,10.0,20,10.0,17.467450014213966,32,20.125,12.037389747401878,39,11.128205128205128,29.0,20,29.0,0,0.2,13310,8,53,1.0,1005.7748507533402,False,0.0100093174449159,0,0.2,13858,0,25,0.8,436.68625035534916,False,0.02927340780766852,0,0.2,19503,0,8,0.0,96.29911797921503,False,-0.0008100598461896248,39,2.0390000000000006,12844.0,66,0,0.0,1152.8517009381217,False,-0.3141296136112301,0,0.42500000000000004,27453,0,4,0.0,116.0,False,0.009689140088817117,11,0.6520000000000001,24887,170,0,0.0,2046.3562570583192,False,-0.04906308479725628,0.3,111855,0.0,0.0,12,0,0,8,7,7.0,14,22,28,180.0,81.0,10,17,28,1105,1.1937337190029211,16.287491250841413
8,28,0,0,0,10.0,20,10.0,18.15556766121614,17,22.0,11.85209464172623,26,10.692307692307692,29.0,20,29.0,0,0.2,13544,12,46,1.0,955.1561124159424,False,0.025268942396020094,0,0.2,13798,0,31,0.6,562.8225974977004,False,0.02949775510009138,0,0.2,19503,0,8,0.0,94.81675713380984,False,-0.000847938949920462,26,2.2600000000000007,11855.0,83,0,0.0,1506.9121158809396,False,-0.35562651106758986,6,0.48500000000000004,27443,0,9,0.9,261.0,False,0.011982970602268139,10,0.7410000000000001,24593,187,0,0.0,2216.341698002805,False,-0.056733921202282725,0.4166666666666667,110736,0.0,0.0,9,0,0,9,7,7.0,16,25,23,189.0,75.0,13,15,23,690,1.1756300079869106,17.463121258828323
9,23,0,0,0,10.000000000000002,20,10.0,18.5565956640547,28,20.0,12.622133046366413,18,19.88888888888889,29.0,20,29.0,0,0.2,13414,15,56,1.0,1189.1693571870633,False,0.024318856287915462,0,0.2,14288,0,10,0.7,185.565956640547,False,0.051534292067876145,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,10,2.334000000000001,11147.0,111,0,0.0,2059.7821187100717,False,-0.37768226813742345,2,0.49900000000000005,27692,0,0,0.0,0.0,False,0.016332073255771278,9,0.8210000000000002,24147,205,0,0.0,2587.5372745051145,False,-0.06629101782755692,0.2833333333333333,110431,0.0,0.0,11,0,0,9,6,5.4,15,24,22,204.0,45.0,13,10,22,1174,1.7003030779887922,19.163424336817116
