index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,25.0,0,,34.0,0,,0,0.2,18245,0,10,1.0,210.0,False,0.0002725538293813028,0,0.2,18245,0,10,1.0,210.0,False,0.0002725538293813028,0,0.2,24104,0,0,0.0,0.0,False,0.0,0,0.2,24104.0,0,0,0.0,0.0,False,0.0,0,0.2,30015,0,0,0.0,0.0,False,0.0,0,0.2,30015,0,0,0.0,0.0,False,0.0,0.3333333333333333,144728,0.0,0.0,12,0,0,188,0,0.0,578,766,186,0.0,0.0,0,0,186,200,3.3586928610457107,3.3586928610457107
1,186,0,0,0,10.0,20,10.0,21.0,0,,17.17391304347826,24,2.5,34.0,0,,0,0.2,18135,1,20,1.0,430.0,False,0.0002725538293813028,0,0.2,18155,0,19,0.9,399.0,False,0.0005178522758244753,0,0.2,24104,0,0,0.0,0.0,False,0.0,24,0.44000000000000006,23195.0,0,0,0.0,0.0,False,-0.03771158313972785,0,0.2,30008,0,7,0.7,238.0,False,0.0037314675995335665,0,0.2,29962,17,0,0.0,291.95652173913044,False,0.003097726499069269,0.4333333333333333,143559,0.0,0.0,13,0,0,54,4,4.0,104,158,90,2026.0,285.0,135,51,90,200,8.882075870991684,12.240768732037395
2,90,0,0,0,10.0,20,10.0,20.782608695652176,1,11.0,15.748959778085993,10,6.9,34.0,0,,0,0.2,18086,0,26,0.7,540.3478260869566,False,0.0006090985578348238,0,0.2,18015,4,29,1.0,642.6956521739131,False,-0.0004716366264946281,0,0.2,24093,0,1,0.1,15.748959778085993,False,-0.00012966810948208311,10,0.516,22937.0,0,0,0.0,0.0,False,-0.04841520079654829,0,0.2,30008,0,7,0.0,238.0,False,0.0037314675995335665,0,0.2,29893,27,0,0.0,425.2219140083218,False,0.003018855805569303,0.3,143032,0.0,0.0,15,0,0,27,2,2.0,38,65,66,435.0,268.0,41,49,66,211,5.401281251979526,17.64204998401692
3,66,0,0,0,10.0,20,10.0,24.925081433224758,20,33.5,12.355785641142337,23,2.782608695652174,34.0,13,34.0,0,0.2,18266,1,26,1.0,658.0521172638437,False,0.013629111945048789,0,0.2,18305,3,29,1.0,752.827361563518,False,0.018338167390665547,0,0.2,23803,0,11,1.0,135.9136420525657,False,-0.009668236764591597,23,0.7360000000000002,21717.0,10,0,0.0,249.2508143322476,False,-0.09385888619456836,0,0.2,30008,0,7,0.0,238.0,False,0.0037314675995335665,13,0.33000000000000007,29622,50,0,0.0,617.7892820571168,False,-0.0028021109102596337,0.5,141721,0.0,0.0,13,0,0,35,11,11.0,21,56,65,405.0,155.0,34,32,65,870,4.574367534019984,22.216417518036906
4,65,0,0,0,10.0,20,10.0,24.322645966925418,4,16.0,9.9758857776042,31,3.903225806451613,34.0,7,34.0,0,0.2,18199,3,33,1.0,832.6473169085388,False,0.014735549656814843,0,0.2,18236,1,38,1.0,934.2605467431658,False,0.0195219554849595,0,0.2,23781,0,13,0.2,129.6865151088546,False,-0.010710120413440574,31,1.0230000000000004,20392.0,12,0,0.0,291.871751603105,False,-0.14794491056249787,0,0.2,30008,0,7,0.0,238.0,False,0.0037314675995335665,7,0.38700000000000007,29429,81,0,0.0,808.0467479859402,False,-0.0060628561055148505,0.3666666666666667,140045,0.0,0.0,13,0,0,31,10,10.0,22,53,60,438.0,184.0,28,37,60,264,4.4521452889894135,26.66856280702632
5,60,0,0,0,10.0,20,10.0,25.208512069980657,18,27.833333333333332,8.979852906761186,15,2.4,34.00000000000001,13,34.0,0,0.2,18252,0,34,1.0,857.0894103793423,False,0.018290798865612967,0,0.2,18484,4,39,1.0,1023.1319707292456,False,0.03546285011526962,0,0.2,23770,0,14,0.1,125.7179406946566,False,-0.01124879811038293,15,1.1420000000000003,19416.0,29,0,0.0,731.046850029439,False,-0.17932611081087294,0,0.2,30008,0,7,0.0,238.00000000000006,False,0.0037314675995335665,13,0.51,29190,96,0,0.0,862.0658790490738,False,-0.013125672512925693,0.35000000000000003,139120,0.0,0.0,16,0,0,35,10,10.0,22,57,52,461.0,135.0,35,25,52,701,3.5244938929681666,30.193056699994486
6,52,0,0,0,10.0,20,10.0,24.8321777556842,5,20.0,8.64972298492268,6,3.0,34.00000000000001,9,34.0,0,0.2,18292,0,35,0.6,869.126221448947,False,0.020799297395719462,0,0.2,18344,8,49,1.0,1296.7767100285257,False,0.03528963505119998,0,0.2,23770,0,14,0.0,121.09612178891753,False,-0.011344670556983906,6,1.1870000000000003,19144.0,34,0,0.0,844.2940436932628,False,-0.18826140798844046,0,0.2,30008,0,7,0.0,238.00000000000006,False,0.0037314675995335665,9,0.5870000000000002,29065,102,0,0.0,882.2717444621135,False,-0.01695366076191711,0.26666666666666666,138623,0.0,0.0,12,0,0,30,7,7.0,28,58,43,545.0,218.0,34,18,43,300,3.0466668769950047,33.23972357698949
7,43,0,0,0,10.0,20,10.0,27.740387640113298,39,32.38461538461539,7.418238532793454,25,2.6,34.00000000000001,6,34.0,0,0.2,18762,0,24,0.9,665.7693033627191,False,0.04087678668200387,0,0.2,18937,9,40,1.0,1199.6155056045318,False,0.06496635338251654,0,0.2,23290,6,24,1.0,344.4800506277227,False,-0.0266246255677953,25,1.4310000000000003,17384.0,57,0,0.0,1581.202095486458,False,-0.24599232294460552,0,0.2,30008,0,7,0.0,238.00000000000006,False,0.0037314675995335665,6,0.6380000000000001,28943,127,0,0.0,942.1162936647687,False,-0.020021384413380527,0.48333333333333334,137324,0.0,0.0,16,0,0,22,7,7.0,22,44,38,286.0,125.0,21,22,38,1463,2.368632672005333,35.60835624899482
8,38,0,0,0,10.0,20,10.0,27.024598248628315,10,20.5,7.246589842257303,8,4.875,34.000000000000014,5,34.0,0,0.2,18897,0,21,0.7,567.5165632211946,False,0.04555782401802109,0,0.2,18807,12,50,1.0,1471.2299124314159,False,0.0652829084881825,0,0.2,23290,0,30,0.6,217.3976952677191,False,-0.029260751425744306,8,1.4860000000000002,16960.0,67,0,0.0,1810.648082658097,False,-0.25882326413337836,0,0.2,30008,0,7,0.0,238.0000000000001,False,0.0037314675995335665,5,0.6820000000000002,28858,135,0,0.0,978.289628704736,False,-0.022250714164505525,0.3833333333333333,136820,0.0,0.0,14,0,0,18,5,5.0,20,38,38,274.0,104.0,17,21,38,405,2.107337851950433,37.71569410094526
9,38,0,0,0,10.000000000000002,20,10.0,31.312603607989864,66,37.22727272727273,6.749802145439015,16,3.4375,34.00000000000001,10,34.0,0,0.2,19117,0,21,1.0,657.5646757677871,False,0.060004488301111734,6,0.26,20694,12,10,1.0,433.12603607989865,False,0.13985080501716812,0,0.2,22970,0,40,1.0,269.9920858175606,False,-0.04144556741998089,16,1.6380000000000003,14302.0,123,0,0.0,3851.450243782753,False,-0.32676215060191766,0,0.2,30008,0,7,0.0,238.00000000000006,False,0.0037314675995335665,10,0.7770000000000001,28669,151,0,0.0,1019.2201239612913,False,-0.027865731734777754,0.5,135760,0.0,0.0,13,0,0,24,10,9.4,17,41,36,270.0,111.0,21,17,36,2117,2.2530297280172817,39.96872382896254
