index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,27.0,0,,36.0,0,,0,0.2,18757,0,8,0.8,120.0,False,-0.0010617401921749748,0,0.2,18717,2,10,1.0,170.0,False,-0.0018580453363062058,0,0.2,38614,0,0,0.0,0.0,False,0.0,0,0.2,38614,0,0,0.0,0.0,False,0.0,0,0.2,48503,0,0,0.0,0.0,False,0.0,0,0.2,48503,0,0,0.0,0.0,False,0.0,0.3,211708,0.0,0.0,9,0,0,79,0,0.0,264,343,116,0.0,0.0,0,0,116,200,1.4826919159968384,1.4826919159968384
1,116,0,0,0,10.0,20,10.0,15.0,0,,24.084745762711865,14,14.714285714285714,36.0,0,,0,0.2,18677,0,16,0.8,240.0,False,-0.0021234803843499495,0,0.2,18597,4,20,1.0,340.0,False,-0.0037160906726124115,0,0.2,38614,0,0,0.0,0.0,False,0.0,14,0.34,38308,0,0,0.0,0.0,False,-0.007924586937380225,0,0.2,48353,0,10,1.0,360.0,False,0.000618518442158217,0,0.2,48447,4,0,0.0,96.33898305084746,False,-0.00016144379676666257,0.4666666666666666,210996,0.0,0.0,9,0,0,28,5,5.0,74,102,50,1476.0,267.0,82,34,50,200,4.434748572006356,5.917440488003194
2,50,0,0,0,10.0,20,10.0,16.375,11,22.0,23.71869328493648,2,14.0,36.0,0,,0,0.2,18789,3,15,1.0,275.625,False,0.004767877050485746,0,0.2,18527,1,30,1.0,501.25,False,-0.0031520411955194565,0,0.2,38372,1,10,1.0,253.5619328493648,False,-0.002983866824864517,2,0.34600000000000003,38270,0,0,0.0,0.0,False,-0.008908685968819599,0,0.2,48353,0,10,0.0,360.0,False,0.000618518442158217,0,0.2,48419,6,0,0.0,142.3121597096189,False,-0.00026480671598027087,0.5,210730,0.0,0.0,12,0,0,21,2,2.0,29,50,45,310.0,157.0,27,23,45,442,1.9873943800339475,7.904834868037142
3,45,0,0,0,10.0,20,10.0,17.2323717948718,12,20.833333333333332,20.018172444902692,28,13.464285714285714,36.0,11,36.0,0,0.2,18689,3,25,1.0,460.809294871795,False,0.004374616310235089,0,0.2,18677,1,28,1.0,492.5064102564104,False,0.004578924729426496,0,0.2,38122,3,20,1.0,452.06056428266925,False,-0.006887908993076729,28,0.6240000000000001,37386,0,0,0.0,0.0,False,-0.03180193712125136,0,0.2,48353,0,10,0.0,360.0,False,0.000618518442158217,11,0.31000000000000005,47878,34,0,0.0,680.6178631266915,False,-0.005869555871526547,0.5,209105,0.0,0.0,16,0,0,25,10,10.0,23,48,37,359.0,100.0,26,19,37,450,1.9877888539922424,9.892623722029384
4,37,0,0,0,10.0,20,10.0,17.93855218855219,27,19.40740740740741,18.3870582025401,23,13.434782608695652,36.0,10,36.0,0,0.2,18823,4,22,1.0,434.6481481481482,False,0.010793867074060253,0,0.2,18867,0,24,1.0,430.52525252525254,False,0.013020259397070947,0,0.2,38090,0,27,0.7,496.4505714685827,False,-0.007141832347483035,23,0.8260000000000001,36233,23,0,0.0,412.5867003367004,False,-0.05631912388852874,0,0.2,48353,0,10,0.0,360.0,False,0.000618518442158217,10,0.399,47423,57,0,0.0,1048.0623175447856,False,-0.011462566052153645,0.45,207789,0.0,0.0,18,0,0,18,10,10.0,20,38,35,228.0,165.0,16,21,35,724,2.754853421007283,12.647477143036667
5,35,0,0,0,10.0,20,10.0,18.263394264103376,14,20.0,16.929163258339962,31,13.0,36.0,10,36.0,0,0.2,18769,1,30,1.0,557.9018279231012,False,0.011198753196451193,0,0.2,19001,3,22,1.0,431.7946738102743,False,0.02016761357462113,0,0.2,38074,0,29,0.2,490.9457344918589,False,-0.007627470159891972,31,1.1130000000000002,34942,35,0,0.0,639.2187992436182,False,-0.08681800902206942,0,0.2,48353,0,10,0.0,360.0,False,0.000618518442158217,10,0.48900000000000005,46877,88,0,0.0,1489.7663667339166,False,-0.018166233359442487,0.3666666666666667,206016,0.0,0.0,12,0,0,22,9,9.0,22,44,27,293.0,87.0,21,14,27,480,1.6207863980089314,14.268263541045599
6,27,0,0,0,10.0,20,10.0,18.94999265003124,18,22.0,16.68842028352183,7,13.142857142857142,36.0,7,36.0,0,0.2,19065,1,22,1.0,426.8998383006873,False,0.023435256099715553,0,0.2,18901,3,32,1.0,636.3997648009997,False,0.020289848829457908,0,0.2,38074,0,29,0.0,483.96418822213303,False,-0.0077178719088655265,7,1.1520000000000001,34406,53,0,0.0,1004.3496104516557,False,-0.09597102591739197,0,0.2,48353,0,10,0.0,360.0,False,0.000618518442158217,7,0.549,46706,95,0,0.0,1585.3999269345738,False,-0.020705936468521736,0.3333333333333333,205505,0.0,0.0,14,0,0,17,6,6.0,21,38,25,255.0,81.0,15,12,25,596,1.505782674998045,15.774046216043644
7,25,0,0,0,10.0,20,10.0,19.821375944338946,55,21.21818181818182,16.143327385903238,21,13.571428571428571,36.0,10,36.0,0,0.2,19175,2,22,1.0,456.07027077545683,False,0.030049112671217643,13,0.33000000000000007,19502,2,10,1.0,218.21375944338945,False,0.04109501936198407,0,0.2,37518,18,39,1.0,986.3745350483273,False,-0.015611248057073571,21,1.3550000000000002,33204,80,0,0.0,1585.7100755471156,False,-0.1195717864563744,0,0.2,48353,0,10,0.0,360.0,False,0.000618518442158217,10,0.6420000000000001,46281,116,0,0.0,1872.6259767647755,False,-0.026507370917626005,0.5,204033,0.0,0.0,11,0,0,12,10,9.117647058823529,21,33,23,210.0,90.0,15,10,23,811,1.6800891010207124,17.454135317064356
8,23,0,0,0,10.0,20,10.0,20.235429625844304,24,22.458333333333332,16.791493624616,53,18.11320754716981,36.0,11,36.0,0,0.2,19411,0,16,0.7,323.76687401350887,False,0.03906585109129671,1,0.32700000000000007,19587,7,10,1.0,272.354296258443,False,0.04704449477778945,0,0.2,37978,8,30,1.0,665.6282457452344,False,-0.007851708632293565,34,1.6740000000000004,31503,104,0,0.0,2104.4846810878075,False,-0.156905724852543,0,0.2,48353,0,10,0.0,360.0,False,0.000618518442158217,11,0.742,45156,169,0,0.0,2837.762422560104,False,-0.03975256764983503,0.45,201988,0.0,0.0,14,0,0,16,11,10.09090909090909,19,35,21,240.0,84.0,15,8,21,946,1.4733583190245554,18.92749363608891
9,21,0,0,0,10.000000000000002,20,10.0,19.947340236076595,45,19.066666666666666,16.331881938891613,26,13.76923076923077,35.99999999999999,9,36.0,2,0.22000000000000003,19628,2,10,1.0,219.47340236076596,False,0.047817417910515664,17,0.4960000000000001,19638,5,10,1.0,249.47340236076596,False,0.049144593150734384,0,0.2,37493,25,40,1.0,1151.9587834575793,False,-0.014114585597742016,26,1.9000000000000004,30352,122,0,0.0,2433.5755088013448,False,-0.18245227755734517,0,0.2,48353,0,10,0.0,359.99999999999994,False,0.000618518442158217,9,0.8210000000000002,44681,195,0,0.0,3184.7169780838644,False,-0.045969146464302627,0.5,200145,0.0,0.0,12,0,0,12,11,11.0,22,34,23,204.0,55.0,13,8,23,787,1.5934223409858532,20.520915977074765
