index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,24.0,0,,35.0,0,,0,0.2,20696,8,0,0.0,80.0,False,-0.0019252984212552945,0,0.2,20656,12,0,0.0,120.0,False,-0.002887947631882942,0,0.2,30957,0,0,0.0,0.0,False,0.0,0,0.2,30957,0,0,0.0,0.0,False,0.0,0,0.2,42798,0,0,0.0,0.0,False,0.0,0,0.2,42798,0,0,0.0,0.0,False,0.0,0.0,188862,0.0,0.0,8,0,0,58,0,0.0,215,273,80,0.0,0.0,0,0,80,200,0.7636983878910542,0.7636983878910542
1,80,0,0,0,10.0,20,10.0,18.0,0,,24.0,0,,35.0,0,,0,0.2,20606,17,0,0.0,170.0,False,-0.004091259145167501,0,0.2,20546,23,0,0.0,230.0,False,-0.005535232961108972,0,0.2,30957,0,0,0.0,0.0,False,0.0,0,0.2,30957,0,0,0.0,0.0,False,0.0,0,0.2,42798,0,0,0.0,0.0,False,0.0,0,0.2,42798,0,0,0.0,0.0,False,0.0,0.0,188662,0.0,0.0,9,0,0,43,0,0.0,41,84,26,1101.0,93.0,64,16,26,200,2.5342954294756055,3.2979938173666596
2,26,0,0,0,10.0,20,10.0,13.631578947368421,31,7.290322580645161,24.0,0,,35.0,0,,11,0.31000000000000005,20260,27,0,0.0,270.0,False,-0.01833846746245668,20,0.4,20071,33,0,0.0,330.0,False,-0.025991528686946475,0,0.2,30846,6,10,1.0,321.7894736842105,False,0.001611743283977995,0,0.2,30842,5,10,1.0,308.1578947368421,False,0.0012623622240016767,0,0.2,42798,0,0,0.0,0.0,False,0.0,0,0.2,42798,0,0,0.0,0.0,False,0.0,0.3333333333333333,187615,0.0,0.0,10,0,0,15,9,9.0,21,36,21,221.0,39.0,17,9,21,200,1.3965916754677892,4.694585492834449
3,21,0,0,0,10.0,20,10.0,12.978417266187051,15,10.0,24.0,0,,35.0,14,35.0,0,0.29900000000000004,20160,37,0,0.0,370.0,False,-0.0207450904890258,15,0.53,19726,43,0,0.0,430.0,False,-0.040190604543704274,0,0.2,30746,6,20,1.0,557.8705035971223,False,0.002194503724474619,0,0.2,30792,0,20,1.0,480.0,False,0.0024227153793972282,0,0.2,42798,0,0,0.0,0.0,False,0.0,14,0.34,42559,0,0,0.0,0.0,False,-0.0055843731015468015,0.3333333333333333,186781,0.0,0.0,10,0,0,9,9,9.0,20,29,24,138.0,58.0,10,11,24,200,1.1437641885131598,5.838349681347609
4,24,0,0,0,10.0,20,10.0,12.20034121374604,7,3.857142857142857,22.51923076923077,7,13.0,35.0,9,35.0,7,0.369,19912,48,0,0.0,480.0,False,-0.030034655371582595,0,0.5150000000000001,19636,52,0,0.0,520.0,False,-0.04235656526761648,0,0.2,30721,1,30,1.0,687.7772642906691,False,0.0034851126448084625,0,0.2,30881,0,15,0.2,337.78846153846155,False,0.0030007504205585324,0,0.2,42798,0,0,0.0,0.0,False,0.0,9,0.41600000000000004,42350,7,0,0.0,157.6346153846154,False,-0.008626166930877496,0.19999999999999998,186298,0.0,0.0,9,0,0,10,8,8.0,19,29,26,157.0,55.0,11,13,26,291,1.0604015504941344,6.898751231841743
5,26,0,0,0,10.0,20,10.0,9.945505384020466,27,3.7777777777777777,21.39605734767025,9,15.555555555555555,35.0,10,35.0,22,0.5820000000000001,19245,59,0,0.0,590.0,False,-0.059491721216788605,5,0.5650000000000001,19481,61,0,0.0,610.0,False,-0.04765113592606854,0,0.2,30667,6,39,1.0,894.1192688632626,False,0.005073477224266975,0,0.2,30973,2,17,1.0,383.6239856784352,False,0.006712924147663497,0,0.2,42798,0,0,0.0,0.0,False,0.0,10,0.5070000000000001,42075,16,0,0.0,342.336917562724,False,-0.012893862825801084,0.3333333333333333,185239,0.0,0.0,12,0,0,10,9,9.0,19,29,27,197.0,60.0,12,14,27,340,0.7930074231699109,7.691758655011654
6,27,0,0,0,10.0,20,10.0,8.584406252683241,42,5.642857142857143,21.39605734767025,0,,35.0,11,35.0,21,0.77,18566,69,0,0.0,690.0,False,-0.0897670388910281,21,0.77,19000,71,0,0.0,710.0,False,-0.06839622641509434,0,0.2,30645,12,49,1.0,1151.4196850680412,False,0.008518585216074527,0,0.2,30758,18,27,1.0,732.2128609353952,False,0.005398017587870219,0,0.2,42798,0,0,0.0,0.0,False,0.0,11,0.6070000000000001,41913,16,0,0.0,342.336917562724,False,-0.016679086434380926,0.3333333333333333,183680,0.0,0.0,9,0,0,10,14,14.0,22,32,27,233.0,39.0,14,13,27,200,0.8381892945617437,8.529947949573398
7,27,0,0,0,10.0,20,10.0,8.263280642021039,28,6.892857142857143,22.47344153448912,4,36.0,34.99999999999999,11,35.0,8,0.8290000000000002,18268,81,0,0.0,810.0,False,-0.10122256449749711,20,0.9490000000000003,18535,79,0,0.0,790.0,False,-0.08885252214093184,0,0.2,30572,22,57,1.0,1462.7783415903427,False,0.011189364951228149,0,0.2,30782,16,35,1.0,918.7829439794558,False,0.009186661239452444,0,0.2,42798,0,0,0.0,0.0,False,0.0,11,0.7060000000000002,41605,20,0,0.0,449.4688306897824,False,-0.022624084879085612,0.3333333333333333,182560,0.0,0.0,14,0,0,9,12,12.0,20,29,26,173.0,48.0,11,16,26,344,1.3947015134617686,9.924649463035166
8,26,0,0,0,10.0,20,10.0,8.106506442530176,17,6.882352941176471,20.497050060473764,19,15.421052631578947,34.99999999999999,10,35.0,7,0.8910000000000002,18018,91,0,0.0,910.0,False,-0.11084905660377359,10,1.0290000000000001,18295,89,0,0.0,890.0,False,-0.0979976896418945,0,0.2,30543,22,66,1.0,1531.1484457269323,False,0.011356857023079312,0,0.2,30987,13,27,1.0,658.8049353856838,False,0.011609731811636853,0,0.2,42798,0,0,0.0,0.0,False,0.0,10,0.7950000000000002,41186,39,0,0.0,799.3849523584768,False,-0.028326265802625362,0.3333333333333333,181827,0.0,0.0,13,0,0,11,8,8.0,21,32,23,171.0,42.0,12,14,23,493,0.8872487349435687,10.811898197978735
9,23,0,0,0,10.000000000000002,20,10.0,7.792847699079139,18,5.444444444444445,19.990684299246585,11,17.181818181818183,34.99999999999999,11,35.0,8,0.9640000000000002,17728,102,0,0.0,1020.0000000000002,False,-0.12216018482864845,10,1.1190000000000002,18055,98,0,0.0,980.0000000000002,False,-0.10738351944551405,0,0.2,30567,20,74,1.0,1635.1675921258302,False,0.013812184516035603,0,0.2,31054,13,28,1.0,661.0461804669332,False,0.013810223543413963,0,0.2,42798,0,0,0.0,0.0,False,0.0,11,0.8950000000000002,40838,50,0,0.0,999.5342149623292,False,-0.034119185301155056,0.3333333333333333,181040,0.0,0.0,11,0,0,12,9,9.0,16,28,26,153.0,45.0,10,13,26,389,0.9297379227355123,11.741636120714247
