index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,27.0,0,,34.0,0,,45.0,0,,0,0.2,23576,0,10,1.0,210.0,False,0.00021118432167595877,0,0.2,23576,10,0,0.0,100.0,False,-0.0021118432167595877,0,0.2,30709,0,0,0.0,0.0,False,0.0,0,0.2,30709.0,0,0,0.0,0.0,False,0.0,0,0.2,42059,0,0,0.0,0.0,False,0.0,0,0.2,42059,0,0,0.0,0.0,False,0.0,0,0.2,56334,0,0,0.0,0.0,False,0.0,0,0.2,56334,0,0,0.0,0.0,False,0.0,0.125,305356,0.0,0.0,7,0,0,0,0,0.0,327,327,106,0.0,0.0,0,0,106,200,1.599529342725873,1.599529342725873
1,106,0,0,0,10.0,20,10.0,21.0,0,,27.0,0,,34.0,0,,45.0,0,,0,0.2,23496,0,18,0.8,378.0,False,0.0003801317790167258,0,0.2,23456,22,0,0.0,220.0,False,-0.004646055076871093,0,0.2,30709,0,0,0.0,0.0,False,0.0,0,0.2,30709.0,0,0,0.0,0.0,False,0.0,0,0.2,42059,0,0,0.0,0.0,False,0.0,0,0.2,42059,0,0,0.0,0.0,False,0.0,0,0.2,56334,0,0,0.0,0.0,False,0.0,0,0.2,56334,0,0,0.0,0.0,False,0.0,0.1,305156,0.0,0.0,7,0,0,45,0,0.0,37,82,44,1164.0,255.0,68,38,44,200,5.074778756126761,6.674308098852634
2,44,0,0,0,10.0,20,10.0,21.0,0,,26.02127659574468,2,4.0,34.0,0,,45.0,0,,0,0.2,23386,1,28,1.0,598.0,False,0.0003801317790167258,0,0.2,23366,31,0,0.0,310.0,False,-0.0065467139719547224,0,0.2,30709,0,0,0.0,0.0,False,0.0,2,0.22000000000000003,30653.0,0,0,0.0,0.0,False,-0.0018235696375655346,0,0.2,42051,0,2,0.2,68.0,False,0.0006181792244228345,0,0.2,42059,0,0,0.0,0.0,False,0.0,0,0.2,56334,0,0,0.0,0.0,False,0.0,0,0.2,56334,0,0,0.0,0.0,False,0.0,0.15,304892,0.0,0.0,7,0,0,20,1,1.0,23,43,34,362.0,145.0,28,16,34,200,2.228918109089136,8.90322620794177
3,34,0,0,0,10.0,20,10.0,18.21311475409836,16,10.375,23.56389452332657,7,8.714285714285714,34.0,0,,45.0,0,,0,0.2,23366,3,28,1.0,539.967213114754,False,-0.0016901669810197527,6,0.26,23187,39,0,0.0,390.0,False,-0.012417638114546376,0,0.2,30543,6,10,1.0,344.91763375785587,False,0.00021032325633940806,7,0.28800000000000003,30476.0,0,0,0.0,0.0,False,-0.007587352242013742,0,0.2,42035,0,4,0.2,136.0,False,0.0010461494567155663,0,0.2,42014,0,5,0.5,170.0,False,0.0009510449606505147,0,0.2,56334,0,0,0.0,0.0,False,0.0,0,0.2,56334,0,0,0.0,0.0,False,0.0,0.3375,304289,0.0,0.0,8,0,0,18,7,7.0,20,38,27,322.0,59.0,23,11,27,300,1.8128384817391634,10.716064689680934
4,27,0,0,0,10.0,20,10.0,18.638640429338107,1,42.0,21.19376613063331,6,3.6666666666666665,37.09090909090909,10,51.0,45.0,20,45.0,0,0.2,23288,5,37,1.0,739.6296958855099,False,-0.0007680838003567086,0,0.254,23107,47,0,0.0,470.0,False,-0.014107112687954046,0,0.2,30543,0,16,0.6,339.10025809013297,False,0.00011560549171469502,6,0.3410000000000001,30249.0,1,0,0.0,18.638640429338107,False,-0.014675850069534386,0,0.2,42018,0,9,0.5,333.81818181818187,False,0.0029936301602293985,5,0.25,42314,0,1,0.1,37.09090909090909,False,0.006503850651357756,12,0.32000000000000006,55868,0,5,0.5,225.0,False,-0.006275073667767245,8,0.28,55969,5,0,0.0,185.45454545454547,False,-0.004833186481924379,0.3375,303356,0.0,0.0,10,0,0,12,10,10.0,17,29,38,151.0,64.0,13,14,38,492,1.8468445651233196,12.562909254804254
5,38,0,0,0,10.0,20,10.0,18.638640429338107,0,,14.267014455816177,30,3.8,38.45871559633027,5,52.0,45.0,20,45.0,0,0.2,23158,8,47,1.0,956.0161001788911,False,-0.0016891345628717962,0,0.254,23037,54,0,0.0,540.0,False,-0.015585402939685758,0,0.2,30543,0,16,0.0,228.27223129305884,False,-0.0016888822284500246,30,0.635,28983.0,1,0,0.0,18.638640429338107,False,-0.055901549375926646,0,0.2,41912,19,19,1.0,1001.7888709907825,False,0.0084142379870038,4,0.28500000000000003,42402,0,1,0.1,38.45871559633027,False,0.00861241013334035,4,0.3480000000000001,56057,0,0,0.0,0.0,False,-0.004917101572762452,11,0.382,55519,10,0,0.0,384.58715596330273,False,-0.011053829339623417,0.2625,301611,0.0,0.0,10,0,0,16,11,10.8,17,33,41,247.0,131.0,17,21,41,425,1.735699588432908,14.298608843237162
6,41,0,0,0,10.0,20,10.0,27.593746975123416,53,36.094339622641506,13.188391009719552,6,1.0,37.31209268645908,20,34.5,45.0,20,45.0,5,0.25,24875,3,10,1.0,305.9374697512342,False,0.05710292004036223,1,0.264,22883,69,0,0.0,690.0,False,-0.018922115222165907,0,0.2,30543,0,16,0.0,211.01425615551284,False,-0.001969874366545455,6,0.665,26874.0,54,0,0.0,1490.0623366566645,False,-0.10062095254393394,0,0.2,42091,10,19,1.0,840.8136711399181,False,0.010756481028316328,9,0.37100000000000005,42508,0,5,0.5,186.56046343229542,False,0.012893322040850893,10,0.44400000000000006,55650,0,5,0.5,225.0,False,-0.010144850356800511,10,0.47100000000000003,54912,25,0,0.0,932.802317161477,False,-0.016963092296291078,0.375,300336,0.0,0.0,12,0,0,16,13,12.1125,16,32,41,260.0,139.0,18,23,41,1712,1.7446546573191881,16.04326350055635
7,41,0,0,0,10.0,20,10.0,28.292331389591816,7,37.57142857142857,14.375650304277269,27,17.296296296296298,36.991614110471964,10,35.0,45.00000000000001,20,45.0,0,0.24500000000000002,25058,1,13,1.0,377.8003080646936,False,0.06634989668999611,0,0.263,22763,81,0,0.0,810.0,False,-0.02145632708227741,0,0.2,30933,0,6,0.0,86.2539018256636,False,0.00869865351893036,17,0.8290000000000002,26010.0,61,0,0.0,1725.8322147651008,False,-0.12491725203091768,0,0.2,42139,12,24,1.0,1060.3065423026542,False,0.014507079843822445,0,0.36200000000000004,42343,5,10,1.0,441.794392626106,False,0.012004498355002578,4,0.47400000000000003,55573,0,5,0.5,225.00000000000003,False,-0.011511698086413178,11,0.5710000000000002,54639,30,0,0.0,1109.748423314159,False,-0.020238679808693164,0.4375,299458,0.0,0.0,13,0,0,14,8,8.0,18,32,40,238.0,113.0,18,23,40,1428,2.6216785311698914,18.66494203172624
8,40,0,0,0,10.0,20,10.0,29.78552521214366,11,42.0,13.973176896489553,6,8.333333333333334,36.47920137494156,11,33.45454545454545,45.00000000000001,20,45.0,0,0.24500000000000002,25390,4,12,1.0,397.42630254572396,False,0.08078700588244901,0,0.263,22693,88,0,0.0,880.0,False,-0.022934617334009123,0,0.2,30933,0,6,0.0,83.83906137893732,False,0.008659335396446284,6,0.8720000000000001,25399.0,72,0,0.0,2144.5578152743437,False,-0.13799606279471263,0,0.2,42247,2,28,1.0,1049.3639922913428,False,0.016944815524517258,0,0.36200000000000004,42553,1,15,1.0,561.161197520613,False,0.018416524376716256,5,0.52,55741,0,0,0.0,0.0,False,-0.010526502644939113,10,0.6600000000000001,54108,41,0,0.0,1495.647256372604,False,-0.026239506724423985,0.375,299064,0.0,0.0,13,0,0,17,8,8.0,16,33,31,230.0,121.0,19,21,31,1255,1.6263208668679,20.29126289859414
9,31,0,0,0,10.000000000000002,20,10.0,29.68990876330864,1,21.0,13.170121868923014,30,11.0,33.63979558203597,11,16.0,45.00000000000001,20,45.0,0,0.24500000000000002,25320,1,22,1.0,663.1779927927901,False,0.08344268442289222,1,0.273,22559,101,0,0.0,1010.0000000000002,False,-0.025848960973137353,0,0.2,30933,0,6,0.0,79.02073121353808,False,0.008580883962576752,30,1.1660000000000001,24316.0,73,0,0.0,2167.363339721531,False,-0.17289128041092952,0,0.2,42399,0,25,0.8,840.9948895508993,False,0.01808168156103213,0,0.36200000000000004,42247,15,25,1.0,1038.5467175847446,False,0.016816219092046225,12,0.6350000000000001,55516,0,0,0.0,0.0,False,-0.014520538218482622,8,0.7300000000000002,53815,52,0,0.0,1749.2693702658705,False,-0.029189571393244997,0.35,297105,0.0,0.0,8,0,0,14,12,12.0,17,31,25,157.0,72.0,16,15,25,376,1.409483952447772,21.700746851041913
