index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,17,10.0,18.0,0,,26.0,0,,37.0,0,,51.0,0,,0,0.2,22589,0,9,0.9,162.0,False,-0.00039684289430750913,0,0.2,22599,0,8,0.8,144.0,False,-0.0003527492393844526,0,0.2,33641,0,0,0.0,0.0,False,0.0,0,0.2,33641.0,0,0,0.0,0.0,False,0.0,0,0.2,47324,0,0,0.0,0.0,False,0.0,0,0.2,47324,0,0,0.0,0.0,False,0.0,0,0.2,62368,0,0,0.0,0.0,False,0.0,0,0.2,62368,0,0,0.0,0.0,False,0.0,0.21250000000000002,331854,0.0,0.0,6,0,0,139,0,0.0,458,597,150,0.0,0.0,0,0,150,170,3.0844598389812745,3.0844598389812745
1,150,0,0,0,9.999999999999998,18,10.0,18.0,0,,26.0,0,,34.34567901234568,36,31.02777777777778,51.0,0,,0,0.2,22539,0,14,0.5,252.0,False,-0.000617311168922792,0,0.2,22469,3,18,1.0,354.0,False,-0.0014550906124608668,0,0.2,33641,0,0,0.0,0.0,False,0.0,0,0.2,33641.0,0,0,0.0,0.0,False,0.0,0,0.2,47324,0,0,0.0,0.0,False,0.0,36,0.56,45886,0,0,0.0,0.0,False,-0.030386273349674583,0,0.2,61359,30,0,0.0,1030.3703703703702,False,-0.007917759344773241,0,0.2,62260,6,0,0.0,206.07407407407408,False,-7.957547080174932e-05,0.1875,329119,0.0,0.0,10,0,0,70,6,6.0,103,173,71,2279.0,0.0,150,0,71,180,10.202857584983576,13.28731742396485
2,71,0,0,0,9.999999999999998,13,10.0,18.0,0,,17.36,30,4.4,30.480921526277896,66,26.21212121212121,51.0,0,,0,0.2,22479,0,20,0.6,360.0,False,-0.0008818730984611314,0,0.2,22399,0,28,1.0,504.0,False,-0.001234622337845584,15,0.35000000000000003,33134,0,0,0.0,0.0,False,-0.015070895633304599,15,0.35000000000000003,33174.0,0,0,0.0,0.0,False,-0.013881870336791415,0,0.2,47304,0,5,0.5,152.40460763138947,False,0.001187606791811581,66,1.1840000000000002,40931,25,0,0.0,434.0,False,-0.13050460654213508,0,0.2,60369,58,0,0.0,1767.893448524118,False,-0.01787861204043645,0,0.2,61520,44,0,0.0,1341.1605471562275,False,-0.0028447236791606144,0.2625,321310,0.0,0.0,8,0,0,18,19,19.0,74,92,45,941.0,16.0,69,2,45,130,3.8152047169860452,17.102522140950896
3,45,0,0,0,9.999999999999998,10,10.0,19.0625,3,35.0,9.318518518518518,81,2.617283950617284,30.5084463298235,7,31.0,51.0,0,,0,0.2,22554,0,20,0.3,381.25,False,0.0028936461043255874,0,0.2,22329,0,35,0.7,667.1875,False,-0.0007234115260813968,49,0.8250000000000002,30445,3,0,0.0,57.1875,False,-0.094153153889599,32,0.655,31775.0,0,0,0.0,0.0,False,-0.055468030082340004,0,0.2,47240,10,15,1.0,550.8118801325377,False,0.004044584989989568,7,1.1880000000000004,40674,86,0,0.0,801.3925925925926,False,-0.13205358177042742,0,0.2,60152,65,0,0.0,1983.0490114385275,False,-0.019633072958580265,0,0.2,61520,44,0,0.0,1342.3716385122339,False,-0.002835014442404447,0.25,316689,0.0,0.0,7,0,0,11,12,12.0,33,44,30,334.0,73.0,25,20,30,205,2.094414007035084,19.19693614798598
4,30,0,0,0,10.0,12,10.0,23.80841121495327,21,33.57142857142857,8.233547204399633,30,3.4,29.110500677111077,37,24.62162162162162,51.0,20,51.0,0,0.2,22831,0,13,0.2,309.5093457943925,False,0.013525934692764119,0,0.2,22637,0,33,1.0,785.6775700934579,False,0.015469764321474922,7,0.8460000000000001,30249,3,0,0.0,71.42523364485982,False,-0.09976776502415412,23,0.8530000000000002,30187.0,21,0,0.0,499.9766355140187,False,-0.09524127351276691,0,0.2,47176,13,25,1.0,834.7986305849721,False,0.005692657325933746,37,1.5510000000000002,38914,103,0,0.0,848.0553620531622,False,-0.16875099989378373,12,0.32000000000000006,59418,78,0,0.0,2270.619052814664,False,-0.02909649938418204,8,0.28,60937,68,0,0.0,1979.5140460435532,False,-0.007074829671918689,0.275,312349,0.0,0.0,10,0,0,12,25,25.0,32,44,26,295.0,27.0,21,9,26,825,1.8102854499593377,21.007221597945318
5,26,0,0,0,9.999999999999998,14,10.0,24.082469053195048,2,32.0,6.132707240534165,71,1.7746478873239437,27.64661367852232,36,21.944444444444443,51.0,20,51.0,0,0.2,22895,0,11,0.0,264.9071595851455,False,0.015364591904077383,0,0.2,22497,4,43,1.0,1075.546169287387,False,0.015687335625190417,26,1.0990000000000002,29081,5,0,0.0,120.41234526597523,False,-0.1337592172458313,45,1.2800000000000002,27840.0,21,0,0.0,505.73185011709603,False,-0.1649217940888039,0,0.2,47122,29,35,1.0,1145.479988723772,False,0.007834079840290074,36,1.8740000000000003,37148,148,0,0.0,907.6406715990564,False,-0.20543867095343737,11,0.41800000000000004,58973,84,0,0.0,2322.315548995875,False,-0.03581712136836299,9,0.36200000000000004,60186,98,0,0.0,2709.3681404951876,False,-0.013265070705368193,0.25,305742,0.0,0.0,9,0,0,13,32,32.0,35,48,30,298.0,6.0,24,2,30,204,1.9048702199943364,22.912091817939654
6,30,0,0,0,9.999999999999998,12,10.0,27.42644294629208,26,34.34615384615385,5.520991537155907,56,3.375,26.96835224664349,45,24.57777777777778,50.99999999999999,20,51.0,0,0.2,22895,0,11,0.0,301.6908724092129,False,0.0161755560741041,0,0.2,23270,6,27,1.0,800.5139595498862,False,0.04370814320626756,46,1.5330000000000004,26106,22,0,0.0,603.3817448184258,False,-0.21501468825512876,10,1.3350000000000002,27227.0,30,0,0.0,822.7932883887624,False,-0.17843118087469512,0,0.2,47135,50,42,1.0,1408.7203712168218,False,0.010890038576798523,42,2.258000000000001,34856,173,0,0.0,955.1315359279719,False,-0.25336899315434064,11,0.5170000000000001,58088,105,0,0.0,2831.6769858975667,False,-0.04592357470259139,9,0.44300000000000006,59566,122,0,0.0,3290.138974090506,False,-0.018550065946555127,0.25,299143,0.0,0.0,11,0,0,19,26,26.0,30,49,23,351.0,20.0,27,3,23,1115,1.766743648040574,24.678835465980228
7,23,0,0,0,10.0,10,10.0,27.964833332966318,19,30.0,5.406970923176561,44,4.818181818181818,25.612019467119335,45,20.08888888888889,50.99999999999999,20,51.0,0,0.2,22895,0,11,0.0,307.6131666626295,False,0.016306123873685602,0,0.2,23740,6,18,1.0,563.3669999933937,False,0.05920382291973614,28,1.7670000000000003,25126,22,0,0.0,615.226333325259,False,-0.24396976407768414,16,1.485,26130.0,49,0,0.0,1370.2768333153497,False,-0.20290305232728886,0,0.2,47351,42,41,1.0,1277.1855769253084,False,0.014064592774546759,34,2.5560000000000005,33036,215,0,0.0,1162.4987484829608,False,-0.289636349965314,10,0.6060000000000001,57710,113,0,0.0,2894.158199784485,False,-0.051483467485052496,10,0.5340000000000001,58645,159,0,0.0,4072.3110952719744,False,-0.0270466337282583,0.25,294633,0.0,0.0,7,0,0,15,20,20.0,30,45,28,226.0,15.0,18,5,28,890,1.451160802040249,26.129996268020477
8,28,0,0,0,10.0,13,10.0,29.677542375963306,31,34.193548387096776,4.973353319813067,81,3.6666666666666665,25.156646910124113,29,21.93103448275862,51.0,20,51.0,0,0.2,23070,0,6,0.0,178.06525425577985,False,0.021166393012385466,8,0.28,24312,9,10,1.0,386.77542375963304,False,0.08053210952333946,28,2.0190000000000006,23863,27,0,0.0,801.2936441510093,False,-0.27874775357226284,53,1.9990000000000003,22287.0,75,0,0.0,2225.815678197248,False,-0.3044229410808649,0,0.2,47374,50,47,1.0,1431.0300707664867,False,0.016176042502392934,25,2.772000000000001,31831,278,0,0.0,1382.5922229080327,False,-0.3127737276761471,9,0.686,57435,116,0,0.0,2918.1710415743973,False,-0.05570027063899434,11,0.6340000000000001,57883,185,0,0.0,4653.979678372961,False,-0.0346012403927258,0.25,288055,0.0,0.0,11,0,0,13,29,28.25,36,49,20,309.0,9.0,25,3,20,930,3.3185873010079376,29.448583569028415
9,20,0,0,0,10.000000000000002,11,10.0,29.88054011745271,5,34.0,4.978865943044355,29,5.0344827586206895,24.84108195651977,53,23.58490566037736,51.00000000000001,20,51.0,0,0.2,23240,0,1,0.0,29.88054011745271,False,0.02539531152426152,0,0.272,24202,10,20,1.0,697.6108023490542,False,0.08253474144250303,12,2.1110000000000007,23489,27,0,0.0,806.7745831712232,False,-0.28978367790536513,17,2.1160000000000005,21657.0,80,0,0.0,2390.443209396217,False,-0.32070326076222144,0,0.2,47639,43,43,1.0,1282.2577596812573,False,0.020203889777715985,39,3.1370000000000005,29882,304,0,0.0,1513.575246685484,False,-0.35257400846625936,6,0.7370000000000001,56838,131,0,0.0,3254.1817363040896,False,-0.06257871235005058,14,0.7630000000000001,56797,223,0,0.0,5539.561276303909,False,-0.04491436893676316,0.25,283744,0.0,0.0,9,0,0,15,20,20.0,30,45,22,235.0,3.0,19,1,22,560,1.5070958610158414,30.955679430044256
