index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,35.0,0,,41.0,0,,0,0.2,19740,0,8,0.8,128.0,False,-0.0008072653884964682,0,0.2,19700,2,10,1.0,180.0,False,-0.0015136226034308778,0,0.2,28597,0,0,0.0,0.0,False,0.0,0,0.2,28597,0,0,0.0,0.0,False,0.0,0,0.2,40135,0,0,0.0,0.0,False,0.0,0,0.2,40135.0,0,0,0.0,0.0,False,0.0,0,0.2,54079,0,0,0.0,0.0,False,0.0,0,0.2,54079,0,0,0.0,0.0,False,0.0,0.225,285062,0.0,0.0,5,0,0,0,0,0.0,168,168,135,0.0,0.0,0,0,135,200,1.9631804559612647,1.9631804559612647
1,135,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,29.142857142857142,18,14.5,41.0,0,,0,0.2,19640,0,18,1.0,288.0,False,-0.0018163471241170535,0,0.2,19600,2,20,1.0,340.0,False,-0.0025227043390514633,0,0.2,28597,0,0,0.0,0.0,False,0.0,0,0.2,28597,0,0,0.0,0.0,False,0.0,0,0.2,40135,0,0,0.0,0.0,False,0.0,18,0.38000000000000006,39455.0,0,0,0.0,0.0,False,-0.01694281798928616,0,0.2,54079,0,0,0.0,0.0,False,0.0,0,0.2,53818,18,0,0.0,524.5714285714286,False,2.3774742242227187e-05,0.25,283921,0.0,0.0,6,0,0,29,4,4.0,55,84,62,1060.0,387.0,73,62,62,200,4.273573078971822,6.2367535349330865
2,62,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,22.99304865938431,44,15.068181818181818,41.0,0,,0,0.2,19560,0,26,0.8,416.0,False,-0.0026236125126135215,0,0.2,19480,4,30,1.0,520.0,False,-0.004036326942482341,0,0.2,28597,0,0,0.0,0.0,False,0.0,0,0.2,28597,0,0,0.0,0.0,False,0.0,3,0.23,40165,0,0,0.0,0.0,False,0.0007474772642332129,41,0.7720000000000002,37002.0,0,0,0.0,0.0,False,-0.0780615422947552,0,0.2,53841,19,10,1.0,846.867924528302,False,0.0034289458433800395,0,0.2,53393,33,0,0.0,758.7706057596822,False,-0.005669755304649859,0.35,280635,0.0,0.0,5,0,0,13,9,9.0,24,37,45,387.0,182.0,27,35,45,200,2.1031338490429334,8.33988738397602
3,45,0,0,0,10.0,20,10.0,14.943396226415095,8,9.0,24.0,0,,21.014344803308983,23,13.217391304347826,41.0,0,,0,0.2,19522,1,28,1.0,428.41509433962267,False,-0.00422767168668962,0,0.2,19390,3,40,1.0,627.7358490566038,False,-0.005859337813910093,0,0.2,28597,0,0,0.0,0.0,False,0.0,0,0.2,28525,0,8,0.8,192.0,False,0.0008392488722593279,0,0.227,40165,0,0,0.0,0.0,False,0.0007474772642332129,23,0.9610000000000001,35986.0,0,0,0.0,0.0,False,-0.10337610564345334,0,0.2,53821,20,20,1.0,1240.2868960661797,False,0.006696563324637777,0,0.2,53109,45,0,0.0,945.6455161489042,False,-0.009193536158685447,0.475,279115,0.0,0.0,7,0,0,14,6,6.0,16,30,36,244.0,119.0,19,26,36,272,1.7155658989795484,10.055453282955568
4,36,0,0,0,10.0,20,10.0,17.34928229665072,15,25.0,24.26086956521739,1,36.0,22.29195558104374,32,26.375,41.0,20,41.0,0,0.2,19412,2,38,1.0,679.2727272727274,False,-0.00344922484175762,0,0.2,19675,2,35,1.0,627.2248803827753,False,0.008507186689777376,1,0.21000000000000002,28229,5,10,1.0,329.3551071354275,False,-0.007109922244720942,0,0.2,28525,0,8,0.0,194.08695652173913,False,0.0008757379536618576,10,0.32700000000000007,39963,0,1,0.1,22.29195558104374,False,-0.00400782414873506,22,1.1580000000000001,35336.0,0,0,0.0,0.0,False,-0.11957144636850629,0,0.2,53947,23,19,1.0,1291.7149783640061,False,0.00950197838684152,9,0.29000000000000004,52466,64,0,0.0,1426.6851571867994,False,-0.016635984789041932,0.5125,277553,0.0,0.0,10,0,0,7,10,10.0,16,23,45,163.0,85.0,11,25,45,1026,1.519811292993836,11.575264575949404
5,45,0,0,0,10.0,20,10.0,17.34928229665072,0,,23.202166064981952,14,20.071428571428573,20.73730027399858,50,16.98,41.0,20,41.0,0,0.2,19292,4,48,1.0,872.7655502392346,False,-0.0046224634147518364,0,0.2,19595,0,45,1.0,780.7177033492824,False,0.008343029852403745,4,0.24900000000000003,28394,0,5,0.5,116.01083032490976,False,-0.0050702725753591785,0,0.2,28525,0,8,0.0,185.61732851985562,False,0.0007276520005569271,4,0.35700000000000004,39849,4,10,1.0,300.18166699991366,False,-0.0033863003986556645,45,1.586,32438.0,0,0,0.0,0.0,False,-0.19177775009343465,0,0.2,53927,50,23,1.0,1979.865013699929,False,0.015494600618538943,14,0.42100000000000004,51633,77,0,0.0,1596.7721210978907,False,-0.030466797452820018,0.5625,273653,0.0,0.0,8,0,0,9,14,13.244444444444444,16,25,39,142.0,145.0,13,32,39,511,1.7299081770470366,13.305172752996441
6,39,0,0,0,10.0,20,10.0,19.55014605647517,36,23.0,23.202166064981952,0,,20.12511191915114,25,16.36,41.0,20,41.0,0,0.2,20010,5,22,1.0,480.10321324245376,False,0.021697861080788385,0,0.2,19505,0,54,0.9,1055.7078870496593,False,0.010739351338286138,0,0.24500000000000002,27566,26,15,1.0,856.3362884430837,False,-0.02108024813016955,0,0.2,28525,0,8,0.0,185.61732851985562,False,0.0007276520005569271,0,0.35300000000000004,40005,0,11,0.4,221.37623111066256,False,-0.00048117315172954624,22,1.7610000000000001,31442.0,0,0,0.0,0.0,False,-0.21659399526597733,0,0.2,54061,53,25,1.0,2091.630931715011,False,0.019005814934771496,12,0.5270000000000001,51234,89,0,0.0,1791.1349608044516,False,-0.036047865522620105,0.5375,272348,0.0,0.0,12,0,0,6,9,9.0,16,22,39,152.0,122.0,11,28,39,1512,2.503988874028437,15.809161627024878
7,39,0,0,0,10.0,20,10.0,20.529990446435487,33,23.0,31.73070794445709,38,42.921052631578945,21.626089343346706,20,33.7,41.0,20,41.0,11,0.31000000000000005,20490,2,10,1.0,225.29990446435488,False,0.03948788860909078,0,0.2,19375,3,64,1.0,1343.9193885718712,False,0.011451044111298448,18,0.42500000000000004,27686,49,10,1.0,1323.2766113199098,False,-0.008719855031648242,0,0.2,28755,0,3,0.0,95.19212383337127,False,0.0071894276293557775,0,0.35300000000000004,40349,0,6,0.0,129.75653606008024,False,0.006948505494706436,15,1.889,29415.0,38,0,0.0,1205.7669018893694,False,-0.252077153333881,0,0.2,54611,49,21,1.0,1920.6783778239885,False,0.027595539653321913,6,0.5750000000000001,50520,103,0,0.0,2227.487202364711,False,-0.04521637602059298,0.5,271201,0.0,0.0,16,0,0,14,6,5.2899159663865545,15,29,36,255.0,100.0,17,22,36,1941,1.6646362749743275,17.473797901999205
8,36,0,0,0,10.0,20,10.0,20.857772731306657,16,23.0,35.56415734789876,37,43.75675675675676,24.718098414872202,19,51.21052631578947,41.00000000000001,20,41.0,6,0.35900000000000004,20634,3,10,1.0,238.57772731306656,False,0.04708823731869491,0,0.2,19285,2,74,1.0,1563.4751821166926,False,0.012448919831399943,24,0.6470000000000001,28112,55,10,1.0,1502.8190737008536,False,0.009315995973368804,0,0.2,28884,0,0,0.0,0.0,False,0.010036017764101129,4,0.393,40866,0,0,0.0,0.0,False,0.01821352933848262,9,1.964,27706.0,75,0,0.0,2667.3118010924068,False,-0.27645058177286147,0,0.2,55021,39,21,1.0,1825.0058381800159,False,0.034292478024556844,10,0.669,49425,122,0,0.0,3015.6080066144086,False,-0.058177776894779806,0.5,269933,0.0,0.0,12,0,0,14,6,5.063888888888889,13,27,36,182.0,116.0,16,20,36,1403,1.375035922974348,18.848833824973553
9,36,0,0,0,10.000000000000002,20,10.0,21.271848266917317,26,23.0,38.54948474756778,33,48.0,25.229689434654883,10,33.6,41.00000000000001,20,41.0,0,0.35300000000000004,20554,1,20,1.0,435.43696533834634,False,0.04801808691569998,0,0.2,19763,4,58,1.0,1273.7671994812044,False,0.02925749746420798,23,0.8530000000000002,28431,71,10,1.0,1895.7960744268075,False,0.0273419602480471,0,0.2,28884,0,0,0.0,0.0,False,0.010036017764101129,4,0.42900000000000005,40974,0,0,0.0,0.0,False,0.020904447489722186,6,2.015,25930.0,108,0,0.0,4163.34435273732,False,-0.3020637305003449,0,0.2,55431,29,21,1.0,1592.6609936049917,False,0.03972578074303328,10,0.7590000000000001,48943,132,0,0.0,3330.3190053744447,False,-0.06418092970122924,0.5,268910,0.0,0.0,10,0,0,13,6,5.696969696969697,15,28,37,227.0,130.0,17,19,37,1208,1.2945712620276026,20.143405087001156
