index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,30.0,0,,41.0,0,,51.0,0,,0,0.2,30172,1,10,1.0,210.0,False,-0.00016511458952513043,0,0.2,30192,0,9,0.9,180.0,False,0.0,0,0.2,41199.0,0,0,0.0,0.0,False,0.0,0,0.2,41199.0,0,0,0.0,0.0,False,0.0,0,0.2,56898,0,0,0.0,0.0,False,0.0,0,0.2,56898,0,0,0.0,0.0,False,0.0,0,0.2,74589,0,0,0.0,0.0,False,0.0,0,0.2,74589,0,0,0.0,0.0,False,0.0,0.2375,405736,0.0,0.0,10,0,0,0,0,0.0,533,533,148,0.0,0.0,0,0,148,200,4.876992224017158,4.876992224017158
1,148,0,0,0,10.0,20,10.0,20.0,0,,30.0,0,,32.17821782178218,56,25.089285714285715,51.0,0,,0,0.2,30062,2,20,1.0,420.0,False,-0.00033022917905026086,0,0.2,30102,0,18,0.9,360.0,False,0.0,0,0.2,41199.0,0,0,0.0,0.0,False,0.0,0,0.2,41199.0,0,0,0.0,0.0,False,0.0,0,0.2,56898,0,0,0.0,0.0,False,0.0,56,0.76,52755,0,0,0.0,0.0,False,-0.0728145101761046,0,0.2,73944,18,0,0.0,579.2079207920792,False,-0.00476472455193074,0,0.2,73829,38,0,0.0,1222.7722772277227,False,-0.0019924367049583766,0.2375,399988,0.0,0.0,10,0,0,34,9,9.0,132,166,50,2084.0,22.0,146,2,50,200,9.962098271993455,14.839090496010613
2,50,0,0,0,10.0,20,10.0,22.181818181818183,10,32.0,19.0125,35,4.885714285714286,31.343028229255772,26,28.423076923076923,51.0,0,,0,0.2,29942,4,30,1.0,705.4545454545455,False,0.0004202916824275829,0,0.2,30342,0,16,0.8,354.90909090909093,False,0.007841441960720697,22,0.42000000000000004,40286.0,0,0,0.0,0.0,False,-0.022160732056603315,13,0.33000000000000007,40363.0,10,0,0.0,221.81818181818184,False,-0.017599721087669887,0,0.2,56805,6,10,1.0,427.5052822925577,False,0.002122265126125387,26,0.9640000000000002,51619,19,0,0.0,361.2375,False,-0.08960563200815491,0,0.2,73535,29,0,0.0,908.9478186484174,False,-0.008037727958221592,0,0.2,73499,53,0,0.0,1661.1804961505559,False,-0.003477855339590492,0.35,396391,0.0,0.0,10,0,0,4,13,13.0,64,68,38,671.0,9.0,49,1,38,520,4.508178433985449,19.347268929996062
3,38,0,0,0,10.0,20,10.0,22.181818181818183,0,,13.426363636363638,38,2.8421052631578947,30.431181125656387,30,27.233333333333334,51.0,0,,0,0.2,29832,5,40,1.0,937.2727272727274,False,0.0006154271064118608,0,0.2,30252,0,25,0.9,554.5454545454546,False,0.0081656669728792,37,0.768,38323.0,0,0,0.0,0.0,False,-0.06980751959999029,1,0.32700000000000007,40328.0,10,0,0.0,221.81818181818184,False,-0.018449256270562677,0,0.2,56805,0,16,0.6,486.8988980105022,False,0.002644195736322067,30,1.2380000000000002,50172,57,0,0.0,765.3027272727273,False,-0.11148632001763917,0,0.2,73038,43,0,0.0,1308.5407884032247,False,-0.012022276820957398,0,0.2,73179,69,0,0.0,2099.7514976702905,False,-0.004828114751033795,0.3125,391929,0.0,0.0,10,0,0,9,9,9.0,38,47,23,389.0,27.0,29,9,23,200,2.264012390980497,21.61128132097656
4,23,0,0,0,10.0,20,10.0,25.964497041420117,35,31.314285714285713,10.771294964028778,40,4.2,30.568385078278187,41,30.975609756097562,51.0,20,51.0,0,0.2,30710,6,24,1.0,683.1479289940828,False,0.025413577851431272,0,0.2,30270,0,25,0.9,649.112426035503,False,0.01032151816319111,4,0.7710000000000001,37686.0,13,0,0.0,337.53846153846155,False,-0.08117261994783286,36,0.6860000000000002,37947.0,32,0,0.0,830.8639053254437,False,-0.06885041013950041,0,0.2,56805,0,16,0.0,489.094161252451,False,0.002663486952550595,41,1.6180000000000003,47862,97,0,0.0,1044.8156115107915,False,-0.14962902376611845,8,0.28,71976,68,0,0.0,2078.6501853229165,False,-0.021097948857586823,12,0.32000000000000006,72583,85,0,0.0,2598.312731653646,False,-0.009476513080657632,0.2375,385839,0.0,0.0,13,0,0,5,20,20.0,29,34,26,242.0,29.0,17,6,26,1296,2.33349009900121,23.94477141997777
5,26,0,0,0,10.0,20,10.0,27.361216730038027,16,34.0,9.214941065535124,87,6.977011494252873,29.951699460676085,56,28.339285714285715,51.0,20,51.0,0,0.2,31164,5,18,1.0,542.5019011406845,False,0.0380837114645777,0,0.2,30160,1,35,1.0,967.642585551331,False,0.011948394847621191,43,1.1970000000000003,36092.0,13,0,0.0,355.69581749049433,False,-0.11964251781001357,44,1.0900000000000003,35322.0,48,0,0.0,1313.3384030418254,False,-0.12671013370419398,0,0.2,56805,0,16,0.0,479.22719137081737,False,0.0025767794243279603,56,2.1370000000000005,43377,184,0,0.0,1695.5491560584628,False,-0.22273586807920784,8,0.35200000000000004,70830,97,0,0.0,2905.3148476855804,False,-0.03092067967337294,12,0.42800000000000005,71745,112,0,0.0,3354.5903395957216,False,-0.0156417813645731,0.25,375495,0.0,0.0,10,0,0,8,22,22.0,32,40,25,314.0,12.0,22,4,25,744,2.261820047046058,26.206591467023827
6,25,0,0,0,10.0,20,10.0,28.983480743132578,24,34.583333333333336,7.952562521626978,127,6.05511811023622,32.754507745143975,31,49.225806451612904,50.99999999999999,20,51.0,4,0.24000000000000002,31770,4,10,1.0,329.83480743132577,False,0.05458415572669119,0,0.2,30088,2,43,1.0,1266.289671954701,False,0.014501843866896158,28,1.4340000000000002,34510.0,24,0,0.0,695.6035378351819,False,-0.15391631425720065,99,2.0360000000000005,26103.0,61,0,0.0,1767.9923253310872,False,-0.34495992226351263,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,15,2.2310000000000008,42165,311,0,0.0,2473.2469442259903,False,-0.23720300411063666,11,0.45400000000000007,69654,112,0,0.0,3668.5048674561253,False,-0.041571110569546946,9,0.506,70999,128,0,0.0,4192.576991378429,False,-0.020025895297038323,0.25,363214,0.0,0.0,13,0,0,9,23,22.363636363636363,33,42,20,279.0,11.0,22,3,20,1732,1.8491028600255959,28.055694327049423
7,20,0,0,0,10.0,20,10.0,29.30376216400551,27,30.444444444444443,7.83368635341236,30,6.7,31.291827212472445,33,22.78787878787879,50.99999999999999,20,51.0,6,0.29600000000000004,32180,1,10,1.0,303.0376216400551,False,0.06768109143451645,0,0.2,30156,5,42,1.0,1280.7580108882314,False,0.016986295668850012,30,1.7060000000000004,33358.0,24,0,0.0,703.2902919361322,False,-0.18178486987625747,0,1.9370000000000005,25281.0,88,0,0.0,2578.7310704324846,False,-0.35507256158605205,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,33,2.5460000000000007,40259,341,0,0.0,2671.2870465136148,False,-0.268961237244599,10,0.543,69364,115,0,0.0,3598.560129434331,False,-0.04592795097511472,10,0.5970000000000002,70160,158,0,0.0,4944.108699570646,False,-0.026236384054145766,0.25,358683,0.0,0.0,11,0,0,7,17,16.375,29,36,22,257.0,3.0,19,1,22,398,1.660096582956612,29.715790910006035
8,22,0,0,0,10.0,20,10.0,31.32298538212779,47,36.08510638297872,7.3178198232049505,37,3.3513513513513513,31.48143304678417,20,33.4,51.0,20,51.0,0,0.29000000000000004,32070,2,20,1.0,646.4597076425558,False,0.0697189701413803,5,0.25,31642,4,10,1.0,353.2298538212779,False,0.0507435085830077,31,1.9860000000000004,30848.0,51,0,0.0,1597.4722544885174,False,-0.23185669246233506,6,1.9970000000000006,24401.0,108,0,0.0,3382.8824212698014,False,-0.3666729481143984,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,20,2.7130000000000005,39595,378,0,0.0,2766.1358931714713,False,-0.279797744268942,7,0.6030000000000002,68748,128,0,0.0,4029.6234299883736,False,-0.05129695109206207,13,0.7170000000000001,69721,165,0,0.0,5194.4364527193875,False,-0.03044392301331709,0.25,354950,0.0,0.0,12,0,0,8,17,16.384615384615387,30,38,18,268.0,3.0,21,1,18,1402,1.6768249640008435,31.39261587400688
9,18,0,0,0,10.000000000000002,20,10.0,32.2210496044351,20,38.6,6.189543291964927,71,1.591549295774648,31.390904745142794,31,30.806451612903224,51.00000000000001,20,51.0,0,0.29000000000000004,31990,0,30,1.0,966.631488133053,False,0.0723636399203001,10,0.34500000000000003,32054,6,10,1.0,382.21049604435103,False,0.06482746344436223,51,2.4650000000000007,27784.0,55,0,0.0,1772.1577282439307,False,-0.30410740881764203,20,2.1910000000000003,22882.0,124,0,0.0,3995.410150949953,False,-0.39610900566822066,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,31,3.003,38142,449,0,0.0,2779.1049380922523,False,-0.3052207025019135,9,0.6860000000000002,67921,145,0,0.0,4551.681188045705,False,-0.05888481419481619,11,0.8140000000000003,69202,179,0,0.0,5618.9719493805605,False,-0.03455622176607435,0.25,347900,0.0,0.0,11,0,0,4,26,25.625,30,34,17,203.0,6.0,16,2,17,348,1.6559048630297184,33.0485207370366
