index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,37.0,0,,44.0,0,,0,0.2,18524,11,0,0.0,110.0,False,-0.0029515938606847697,0,0.2,18544,9,0,0.0,90.0,False,-0.002414940431469357,0,0.2,29281,0,0,0.0,0.0,False,0.0,0,0.2,29281,0,0,0.0,0.0,False,0.0,0,0.2,40129,0,0,0.0,0.0,False,0.0,0,0.2,40129,0,0,0.0,0.0,False,0.0,0,0.2,56233,0,0,0.0,0.0,False,0.0,0,0.2,56233,0,0,0.0,0.0,False,0.0,0.0,288354,0.0,0.0,10,0,0,0,0,0.0,509,509,77,0.0,0.0,0,0,77,200,2.4503646719967946,2.4503646719967946
1,77,0,0,0,10.0,20,10.0,17.0,0,,24.470588235294116,6,13.0,37.0,0,,44.0,0,,0,0.2,18424,21,0,0.0,210.0,False,-0.005634861006761833,0,0.2,18444,19,0,0.0,190.0,False,-0.005098207577546421,0,0.2,29281,0,0,0.0,0.0,False,0.0,6,0.26,29173,0,0,0.0,0.0,False,-0.0036883986202657015,0,0.2,40129,0,0,0.0,0.0,False,0.0,0,0.2,40051,0,6,0.6,222.0,False,0.0008223479279324179,0,0.2,56233,0,0,0.0,0.0,False,0.0,0,0.2,56233,0,0,0.0,0.0,False,0.0,0.075,287968,0.0,0.0,11,0,0,30,1,1.0,41,71,27,799.0,123.0,46,31,27,200,3.3789692359860055,5.8293339079828
2,27,0,0,0,10.0,20,10.0,15.470588235294118,6,4.0,22.823747680890538,8,13.375,37.0,0,,44.0,0,,1,0.21000000000000002,18332,29,0,0.0,290.0,False,-0.00842545883868198,5,0.25,18234,31,0,0.0,310.0,False,-0.01314800901577761,0,0.2,29257,0,6,0.6,136.94248608534323,False,0.0015187747359267038,8,0.3340000000000001,29012,0,0,0.0,0.0,False,-0.009186844711587719,0,0.2,40087,0,3,0.3,111.0,False,0.00033641506142689825,0,0.2,39986,0,11,0.5,407.0,False,0.0015076378678760996,0,0.2,56233,0,0,0.0,0.0,False,0.0,0,0.2,56233,0,0,0.0,0.0,False,0.0,0.175,287374,0.0,0.0,12,0,0,18,4,4.0,21,39,36,175.0,21.0,20,7,36,200,2.5691665739868768,8.398500481969677
3,36,0,0,0,10.0,20,10.0,13.951830443159924,6,2.3333333333333335,22.151590173300328,4,14.0,37.0,0,,44.0,0,,1,0.21900000000000003,18190,42,0,0.0,420.0,False,-0.012557690243640656,5,0.29500000000000004,18064,38,0,0.0,380.0,False,-0.020392830310185683,0,0.2,29243,0,12,0.6,265.81908207960396,False,0.003241335372418988,4,0.36600000000000005,28944,0,0,0.0,0.0,False,-0.011509169768792049,0,0.2,40031,0,7,0.4,259.0,False,0.0007849684766627626,0,0.2,39986,0,11,0.0,407.0,False,0.0015076378678760996,0,0.2,56233,0,0,0.0,0.0,False,0.0,0,0.2,56233,0,0,0.0,0.0,False,0.0,0.125,286924,0.0,0.0,10,0,0,12,3,3.0,30,42,29,354.0,120.0,21,15,29,200,1.9757353190216236,10.3742358009913
4,29,0,0,0,10.0,20,10.0,13.584274276329296,2,5.0,21.515480208353658,4,14.0,37.0,0,,44.0,20,44.0,1,0.228,18088,51,0,0.0,510.0,False,-0.01561661479016851,1,0.30000000000000004,17934,49,0,0.0,490.0,False,-0.024417731029301278,0,0.2,29233,0,14,0.2,301.2167229169512,False,0.0035042642484366987,4,0.4020000000000001,28876,0,0,0.0,0.0,False,-0.01383149482599638,0,0.2,39975,0,11,0.4,407.0,False,0.001233521891898627,0,0.2,39986,0,11,0.0,407.0,False,0.0015076378678760996,10,0.30000000000000004,56068,0,0,0.0,0.0,False,-0.002934220119858446,10,0.30000000000000004,56076,0,0,0.0,0.0,False,-0.0027919549019259156,0.07500000000000001,286236,0.0,0.0,11,0,0,11,13,13.0,29,40,21,231.0,99.0,16,13,21,200,2.0558195780031383,12.430055378994439
5,21,0,0,0,10.0,20,10.0,8.962048622853494,36,3.3333333333333335,19.682600763971923,14,13.642857142857142,39.0,6,54.0,44.0,20,44.0,2,0.24700000000000003,17954,62,0,0.0,620.0,False,-0.01985617688097027,34,0.639,17094,58,0,0.0,580.0,False,-0.06708167865192659,0,0.2,29253,0,18,0.8,354.2868137514946,False,0.005093521630946622,10,0.49800000000000005,28582,28,0,0.0,250.93736143989784,False,-0.019587149321404648,0,0.2,39784,4,21,1.0,897.7304030558877,False,0.0025882828260844776,0,0.2,40310,0,5,0.0,195.0,False,0.006940118119066012,9,0.38000000000000006,55604,6,0,0.0,234.0,False,-0.009104973947681966,11,0.4,55875,0,0,0.0,0.0,False,-0.00636636850248075,0.225,284456,0.0,0.0,12,0,0,7,15,15.0,29,36,17,196.0,42.0,12,9,17,580,1.4462834720034152,13.876338850997854
6,17,0,0,0,10.0,20,10.0,8.476887191718976,6,2.6666666666666665,20.040833746746053,15,21.333333333333332,39.0,0,,43.99999999999999,20,44.0,0,0.24500000000000002,17834,74,0,0.0,740.0,False,-0.023076097456262747,6,0.665,16904,66,0,0.0,660.0,False,-0.07513148009015777,0,0.2,29428,0,18,0.5,360.73500744142893,False,0.011180202305956559,10,0.5880000000000001,28366,29,0,0.0,245.8297285598503,False,-0.027051164090026763,0,0.2,39464,9,31,1.0,1389.3675037207145,False,0.000739708237443171,0,0.2,40310,0,5,0.0,195.0,False,0.006940118119066012,6,0.43100000000000005,55526,6,0,0.0,234.0,False,-0.01049205982252414,14,0.5290000000000001,55577,0,0,0.0,0.0,False,-0.01166574787046752,0.1875,283409,0.0,0.0,11,0,0,6,16,16.0,23,29,16,110.0,42.0,8,9,16,390,0.9869650659966283,14.863303916994482
7,16,0,0,0,10.0,20,10.0,8.102041068255492,32,7.28125,20.796869164196107,10,25.5,41.96958855098391,10,55.6,43.99999999999999,20,44.0,27,0.5150000000000001,17333,85,0,0.0,850.0,False,-0.04701084039927015,5,0.7090000000000001,16724,75,0,0.0,750.0,False,-0.08237630138456585,0,0.2,29585,0,20,0.7,415.93738328392214,False,0.01748467236918,5,0.6280000000000001,28076,54,0,0.0,437.51021768579653,False,-0.03368207681285137,0,0.2,39765,9,31,1.0,1488.229067558266,False,0.00947231512818987,0,0.2,40310,0,5,0.0,209.84794275491953,False,0.007125120769953367,9,0.5150000000000001,55100,11,0,0.0,461.665474060823,False,-0.016043377784745426,11,0.6250000000000001,55107,0,5,0.5,219.99999999999997,False,-0.0180676826774314,0.275,282000,0.0,0.0,16,0,0,10,15,15.0,18,28,15,122.0,42.0,7,9,15,946,1.0488288100459613,15.912132727040444
8,15,0,0,0,10.0,20,10.0,7.123010401740942,32,4.3125,21.70969553001918,39,23.23076923076923,42.75914462577378,3,56.0,43.99999999999999,20,44.0,2,0.508,17219,94,0,0.0,940.0,False,-0.050713749060856496,30,1.0040000000000002,16104,86,0,0.0,860.0,False,-0.11269722013523667,0,0.2,29637,0,17,0.2,369.06482401032605,False,0.01846017595045124,34,0.9630000000000001,27582,84,0,0.0,598.3328737462391,False,-0.04780689058184085,0,0.2,39027,38,38,1.0,2449.815925920132,False,0.00306282147474563,0,0.2,40310,0,5,0.0,213.7957231288689,False,0.007174309391323914,7,0.5760000000000001,55007,11,0,0.0,470.3505908835116,False,-0.01761998656586429,8,0.6940000000000002,55048,0,3,0.3,131.99999999999997,False,-0.019899347358312735,0.1875,279934,0.0,0.0,16,0,0,9,10,10.0,19,28,16,58.0,72.0,6,9,16,658,0.9939708199817687,16.906103547022212
9,16,0,0,0,10.000000000000002,20,10.0,6.860166937777598,5,1.0,21.70969553001918,0,,44.175345967876396,6,55.5,43.99999999999999,20,44.0,0,0.506,17109,105,0,0.0,1050.0000000000002,False,-0.05366534292154127,5,1.0240000000000002,15914,95,0,0.0,950.0000000000001,False,-0.12047869485886015,0,0.2,29632,0,22,0.5,477.61330166042194,False,0.020142981825422998,0,0.9290000000000003,27582,84,0,0.0,576.2540227733183,False,-0.048183907264551774,0,0.2,39360,28,42,1.0,2463.2360054913456,False,0.011528271393398095,0,0.2,40310,0,5,0.0,220.876729839382,False,0.0072625374397490535,11,0.6790000000000002,54599,15,0,0.0,662.6301895181459,False,-0.023165843992689762,6,0.7460000000000002,54999,0,2,0.2,87.99999999999999,False,-0.021161951167463944,0.2125,279505,0.0,0.0,17,0,0,15,8,8.0,16,31,19,198.0,45.0,11,5,19,665,1.171794792986475,18.077898340008687
