index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,37.0,0,,46.0,0,,0,0.2,21557,8,0,0.0,80.0,False,-0.001848685122706475,0,0.2,21517,12,0,0.0,120.0,False,-0.0027730276840597125,0,0.2,32928,0,0,0.0,0.0,False,0.0,0,0.2,32928,0,0,0.0,0.0,False,0.0,0,0.2,45369,0,0,0.0,0.0,False,0.0,0,0.2,45369,0,0,0.0,0.0,False,0.0,0,0.2,55781,0,0,0.0,0.0,False,0.0,0,0.2,55781,0,0,0.0,0.0,False,0.0,0.0,311230,0.0,0.0,11,0,0,0,0,0.0,619,619,114,0.0,0.0,0,0,114,200,2.223927345999982,2.223927345999982
1,114,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,37.0,0,,46.0,0,,0,0.2,21437,20,0,0.0,200.0,False,-0.004621712806766188,0,0.2,21437,20,0,0.0,200.0,False,-0.004621712806766188,0,0.2,32928,0,0,0.0,0.0,False,0.0,0,0.2,32928,0,0,0.0,0.0,False,0.0,0,0.2,45369,0,0,0.0,0.0,False,0.0,0,0.2,45369,0,0,0.0,0.0,False,0.0,0,0.2,55781,0,0,0.0,0.0,False,0.0,0,0.2,55781,0,0,0.0,0.0,False,0.0,0.0,311030,0.0,0.0,12,0,0,51,0,0.0,46,97,35,1383.0,156.0,77,37,35,200,7.777076154015958,10.00100350001594
2,35,0,0,0,10.0,20,10.0,18.0,0,,28.695652173913043,1,15.0,37.0,0,,46.0,0,,0,0.2,21347,29,0,0.0,290.0,False,-0.006701483569810972,0,0.2,21327,31,0,0.0,310.0,False,-0.00716365485048759,0,0.2,32928,0,0,0.0,0.0,False,0.0,1,0.21000000000000002,32908,0,0,0.0,0.0,False,-0.0006073858114674441,0,0.2,45369,0,0,0.0,0.0,False,0.0,0,0.2,45354,0,1,0.1,37.0,False,7.714518724239018e-05,0,0.2,55781,0,0,0.0,0.0,False,0.0,0,0.2,55781,0,0,0.0,0.0,False,0.0,0.0125,310795,0.0,0.0,11,0,0,15,1,1.0,35,50,37,405.0,22.0,27,8,37,200,3.8116258709924296,13.81262937100837
3,37,0,0,0,10.0,20,10.0,14.774193548387096,17,6.235294117647059,28.695652173913043,0,,38.125,3,55.0,46.0,0,,8,0.28,21111,43,0,0.0,430.0,False,-0.014373526829042844,9,0.29000000000000004,21080,37,0,0.0,370.0,False,-0.017192771641170217,0,0.2,32822,7,10,1.0,390.37587657784013,False,0.0027085744135360934,0,0.20900000000000002,32908,0,0,0.0,0.0,False,-0.0006073858114674441,0,0.2,45369,0,0,0.0,0.0,False,0.0,2,0.22000000000000003,45431,0,0,0.0,0.0,False,0.0013665718882937689,0,0.2,55616,3,0,0.0,114.375,False,-0.001932781771570965,0,0.2,55781,0,0,0.0,0.0,False,0.0,0.125,310118,0.0,0.0,8,0,0,14,4,3.6666666666666665,31,45,34,397.0,144.0,24,13,34,200,2.266043860989157,16.078673231997527
4,34,0,0,0,10.0,20,10.0,13.605095541401273,7,4.285714285714286,27.28448275862069,5,15.6,39.22077922077922,3,55.0,46.0,20,46.0,2,0.29200000000000004,20997,52,0,0.0,520.0,False,-0.01756250866571151,5,0.33100000000000007,20870,48,0,0.0,480.0,False,-0.02435642649165781,0,0.2,32822,0,17,0.7,463.83620689655174,False,0.003824043472068615,5,0.259,32771,7,0,0.0,95.23566878980891,False,-0.0033218587708057938,0,0.2,45306,0,4,0.4,156.88311688311688,False,0.0003403548335110304,3,0.24800000000000003,45449,0,1,0.1,39.22077922077922,False,0.00219556061650882,7,0.27,55348,6,0,0.0,235.32467532467533,False,-0.005653137490142893,13,0.33000000000000007,55510,0,0,0.0,0.0,False,-0.004858285079148814,0.15,309073,0.0,0.0,8,0,0,18,17,17.0,22,40,32,305.0,63.0,19,15,32,200,2.042910018004477,18.121583250002004
5,32,0,0,0,10.0,20,10.0,13.230819245773732,5,9.0,23.426596445029627,19,14.947368421052632,34.67270896273917,18,24.166666666666668,46.0,20,46.0,5,0.34,20842,61,0,0.0,610.0,False,-0.022646392753154318,0,0.32600000000000007,20760,59,0,0.0,590.0,False,-0.026898368535379212,0,0.2,32822,0,17,0.0,398.2521395655037,False,0.0028281726731885595,19,0.44400000000000006,32154,12,0,0.0,158.7698309492848,False,-0.021094967338598086,11,0.31000000000000005,44824,4,10,1.0,440.43347540751023,False,-0.007158704452296614,2,0.265,45456,0,5,0.5,173.36354481369585,False,0.003828203672261809,11,0.37300000000000005,55042,12,0,0.0,416.0725075528701,False,-0.00951872046437967,9,0.4070000000000001,55037,2,10,1.0,529.3454179254784,False,-0.008593020760424905,0.3125,306937,0.0,0.0,10,0,0,19,16,15.222222222222221,16,35,41,294.0,88.0,18,14,41,200,2.1447409659740515,20.266324215976056
6,41,0,0,0,10.0,20,10.0,13.230819245773732,0,,21.19106076669829,17,14.0,36.768642447418735,6,55.5,45.99999999999999,20,46.0,0,0.3350000000000001,20772,68,0,0.0,680.0,False,-0.024263992235522485,0,0.32600000000000007,20630,72,0,0.0,720.0,False,-0.029902481859777234,0,0.2,32822,0,17,0.0,360.2480330338709,False,0.0022510937960682864,17,0.5950000000000001,31712,12,0,0.0,158.7698309492848,False,-0.0345181937720286,0,0.29900000000000004,44656,6,20,1.0,862.5192135485644,False,-0.0062099758254692584,1,0.273,45675,0,5,0.5,183.84321223709367,False,0.008770781946230762,11,0.47200000000000003,54507,18,0,0.0,661.8355640535373,False,-0.016906871837601242,0,0.398,55451,0,3,0.2,137.99999999999997,False,-0.004679012567003101,0.2125,306225,0.0,0.0,12,0,0,18,8,7.333333333333334,23,41,37,381.0,116.0,22,19,37,782,1.8597382560255937,22.12606247200165
7,37,0,0,0,10.0,20,10.0,11.685812439729993,11,3.909090909090909,24.200817831463418,29,30.896551724137932,39.182708993541986,8,55.375,45.99999999999999,20,46.0,4,0.37500000000000006,20620,78,0,0.0,780.0,False,-0.028978139298423997,7,0.3960000000000001,20383,82,0,0.0,820.0,False,-0.03900725608910662,0,0.2,33550,0,0,0.0,0.0,False,0.01888969873663751,12,0.6980000000000002,31368,23,0,0.0,268.77368611378984,False,-0.04329486020842764,0,0.29900000000000004,44303,13,27,1.0,1372.5437746346581,False,-0.008369770386886884,0,0.272,45575,2,10,1.0,440.22872559834667,False,0.009392192087089794,8,0.541,54155,22,0,0.0,862.0195978579237,False,-0.02142288953355149,9,0.4880000000000001,55218,0,4,0.4,183.99999999999997,False,-0.008443735322063068,0.3,305172,0.0,0.0,17,0,0,17,14,13.5,24,41,24,321.0,124.0,20,17,24,1463,1.7242270350106992,23.85028950701235
8,24,0,0,0,10.0,20,10.0,11.509859841399482,1,1.0,24.200817831463418,0,,36.04612694349696,23,28.47826086956522,45.99999999999999,20,46.0,0,0.37100000000000005,20520,88,0,0.0,880.0,False,-0.03128899570180709,1,0.399,20262,92,0,0.0,920.0,False,-0.04228867218191062,0,0.2,33550,0,0,0.0,0.0,False,0.01888969873663751,0,0.6860000000000002,31367,24,0,0.0,276.2366361935876,False,-0.04321190724924706,0,0.29900000000000004,44790,3,17,1.0,685.3866115338385,False,-0.005208549763783294,0,0.272,45743,0,9,0.2,324.41514249147264,False,0.011818809567011333,13,0.663,53888,22,0,0.0,793.014792756933,False,-0.02682799884587105,3,0.5090000000000001,54720,13,10,1.0,928.5996502654605,False,-0.010697193934624157,0.275,304840,0.0,0.0,17,0,0,19,7,6.75,19,38,21,243.0,53.0,16,8,21,993,1.5709979690145701,25.42128747602692
9,21,0,0,0,10.000000000000002,20,10.0,11.509859841399482,0,,24.09278141337588,1,15.0,36.349227402225175,16,37.6875,46.0,20,46.0,0,0.37100000000000005,20420,98,0,0.0,980.0000000000002,False,-0.03359985210519018,0,0.398,20162,102,0,0.0,1020.0000000000002,False,-0.04459952858529371,0,0.2,33550,0,0,0.0,0.0,False,0.01888969873663751,1,0.6960000000000002,31347,24,0,0.0,276.2366361935876,False,-0.043819293060714505,0,0.29900000000000004,45115,0,9,0.3,327.14304662002655,False,-0.0019931776475123385,0,0.272,46006,0,5,0.1,181.74613701112588,False,0.01604340118815851,7,0.7200000000000002,53405,34,0,0.0,1235.873731675656,False,-0.03151723945720174,3,0.536,54924,7,10,1.0,714.4445918155762,False,-0.008959640452702682,0.175,304929,0.0,0.0,19,0,0,15,8,7.333333333333333,13,28,28,189.0,23.0,13,8,28,1171,1.814548255992122,27.23583573201904
