index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,22.0,0,,28.0,0,,41.0,0,,0,0.2,16493,11,0,0.0,110.0,False,-0.003312654339577185,0,0.2,16513,9,0,0.0,90.0,False,-0.002710353550563151,0,0.2,20145,0,0,0.0,0.0,False,0.0,0,0.2,20145,0,0,0.0,0.0,False,0.0,0,0.2,26841,0,0,0.0,0.0,False,0.0,0,0.2,26841,0,0,0.0,0.0,False,0.0,0,0.2,39127,0,0,0.0,0.0,False,0.0,0,0.2,39127,0,0,0.0,0.0,False,0.0,0.0,205232,0.0,0.0,6,0,0,0,0,0.0,270,270,76,0.0,0.0,0,0,76,200,1.3507267350214534,1.3507267350214534
1,76,0,0,0,10.0,20,10.0,18.0,0,,20.51923076923077,7,11.0,28.0,0,,41.0,0,,0,0.2,16393,21,0,0.0,210.0,False,-0.006324158284647353,0,0.2,16413,19,0,0.0,190.0,False,-0.0057218574956333194,0,0.2,20145,0,0,0.0,0.0,False,0.0,7,0.27,20040,0,0,0.0,0.0,False,-0.0052122114668652275,0,0.2,26764,0,7,0.7,196.0,False,0.0007823851570358779,0,0.2,26841,0,0,0.0,0.0,False,0.0,0,0.2,39127,0,0,0.0,0.0,False,0.0,0,0.2,39127,0,0,0.0,0.0,False,0.0,0.0875,204850,0.0,0.0,6,0,0,48,1,1.0,34,82,46,1240.0,32.0,70,6,46,200,3.852050916000735,5.202777651022188
2,46,0,0,0,10.0,20,10.0,16.037037037037038,9,6.222222222222222,19.551136363636367,6,12.0,28.0,0,,41.0,0,,5,0.25,16243,30,0,0.0,300.0,False,-0.012648316569294707,4,0.24000000000000002,16217,30,0,0.0,300.0,False,-0.014214298620731192,0,0.2,20089,0,9,0.9,175.9602272727273,False,0.0015874963334010408,6,0.32300000000000006,19956,0,0,0.0,0.0,False,-0.00938198064035741,0,0.2,26692,0,13,0.6,364.0,False,0.0012294623896278083,0,0.2,26841,0,0,0.0,0.0,False,0.0,0,0.2,39127,0,0,0.0,0.0,False,0.0,0,0.2,39127,0,0,0.0,0.0,False,0.0,0.1875,204292,0.0,0.0,6,0,0,11,4,4.0,24,35,38,350.0,80.0,23,23,38,200,1.934925916022621,7.1377035670448095
3,38,0,0,0,10.0,20,10.0,14.92150170648464,10,9.5,19.828318219291017,1,33.0,29.3,5,41.0,41.0,0,,10,0.34500000000000003,15988,41,0,0.0,410.0,False,-0.02469433234957538,0,0.23600000000000002,16127,39,0,0.0,390.0,False,-0.016924652171294345,0,0.2,20027,0,18,1.0,356.9097279472383,False,0.003000986049819825,0,0.31700000000000006,19956,0,0,0.0,0.0,False,-0.00938198064035741,0,0.2,26897,0,8,0.0,234.4,False,0.006452814723743554,0,0.2,26808,0,1,0.1,29.3,False,-0.0006836556015051058,0,0.2,38922,5,0,0.0,146.5,False,-0.0033672400132900553,0,0.2,39127,0,0,0.0,0.0,False,0.0,0.1375,203852,0.0,0.0,8,0,0,12,2,2.0,18,30,40,268.0,73.0,18,20,40,438,1.7355633109691553,8.873266878013965
4,40,0,0,0,10.0,20,10.0,13.78890023833844,6,3.8333333333333335,18.369661623313707,10,12.0,29.3,0,,41.0,20,41.0,0,0.3350000000000001,15908,49,0,0.0,490.0,False,-0.027103535505631514,6,0.29600000000000004,15893,51,0,0.0,510.0,False,-0.027404685900138528,0,0.2,20064,0,19,0.6,349.02357084296045,False,0.004641935240579819,5,0.36700000000000005,19886,0,0,0.0,0.0,False,-0.012856788284934226,0,0.2,26897,0,8,0.0,234.4,False,0.006452814723743554,0,0.2,26688,0,11,1.0,322.3,False,0.00030363995380207353,9,0.29000000000000004,38804,5,0,0.0,146.5,False,-0.006383060290847752,11,0.31000000000000005,38967,0,0,0.0,0.0,False,-0.004089247833976538,0.2,203107,0.0,0.0,7,0,0,11,9,9.0,18,29,30,265.0,75.0,17,23,30,260,1.6663468379992992,10.539613716013264
5,30,0,0,0,10.0,20,10.0,12.435741019066986,15,7.666666666666667,18.034163149249004,6,15.333333333333334,29.57608695652174,1,42.0,41.0,20,41.0,10,0.43500000000000005,15648,61,0,0.0,610.0,False,-0.03914955128591219,5,0.34,15718,59,0,0.0,590.0,False,-0.035535746551827986,0,0.2,19982,5,28,1.0,567.1352732743071,False,0.005984990649647822,5,0.41200000000000003,19807,0,0,0.0,0.0,False,-0.016778356912385207,0,0.2,26897,0,8,0.0,236.6086956521739,False,0.006493958787902385,0,0.2,26638,0,16,0.6,473.2173913043478,False,0.0012521402202664645,15,0.43100000000000005,38496,6,0,0.0,177.45652173913044,False,-0.013859272091661315,5,0.34900000000000003,38919,0,0,0.0,0.0,False,-0.005316022184169499,0.2,202105,0.0,0.0,8,0,0,9,11,11.0,13,22,34,154.0,74.0,10,20,34,275,1.3986871790257283,11.938300895038992
6,34,0,0,0,10.0,20,10.0,11.570437988238394,5,1.0,17.05722657500079,13,13.384615384615385,29.869103773584907,1,42.0,41.0,20,41.0,0,0.42500000000000004,15538,72,0,0.0,720.0,False,-0.04246220562548937,5,0.385,15519,68,0,0.0,680.0,False,-0.0448111787026441,0,0.2,20010,0,37,1.0,631.1173832750293,False,0.008962953171383178,12,0.527,19581,0,0,0.0,0.0,False,-0.027997021593447507,0,0.2,26897,0,8,0.0,238.95283018867926,False,0.006537625837127569,0,0.2,26506,3,25,1.0,797.899274064625,False,0.0023825355624721156,9,0.506,38330,7,0,0.0,209.08372641509436,False,-0.017697705849987342,11,0.45400000000000007,38763,0,0,0.0,0.0,False,-0.009303038822296624,0.25,201144,0.0,0.0,8,0,0,12,11,11.0,16,28,28,216.0,54.0,16,18,28,275,1.670054787013214,13.608355682052206
7,28,0,0,0,10.0,20,10.0,10.201333150955927,17,5.411764705882353,17.170309478239226,10,17.8,28.162201062887515,7,18.857142857142858,41.0,20,41.0,5,0.4750000000000001,15368,83,0,0.0,830.0,False,-0.04938866469915076,12,0.5,15167,77,0,0.0,770.0,False,-0.06330181292537493,0,0.2,20017,7,44,1.0,826.9029490992174,False,0.014169842370295805,7,0.5850000000000001,19463,0,0,0.0,0.0,False,-0.03385455448001986,0,0.2,26864,0,9,0.1,253.45980956598763,False,0.005578402622219541,0,0.2,26493,2,28,1.0,822.8822487173289,False,0.0023635901925660573,6,0.5570000000000002,38132,14,0,0.0,394.27081488042523,False,-0.02039166285582305,14,0.5830000000000001,38522,0,0,0.0,0.0,False,-0.015462468372223785,0.2625,200026,0.0,0.0,11,0,0,12,12,12.0,13,25,26,196.0,45.0,13,15,26,431,2.1415065829642117,15.749862265016418
8,26,0,0,0,10.0,20,10.0,10.112358935340687,10,9.5,17.688334239474415,2,33.0,28.603703903385814,15,29.8,41.00000000000001,20,41.0,10,0.5700000000000001,15113,94,0,0.0,940.0,False,-0.06143468047943143,0,0.4880000000000001,15077,86,0,0.0,860.0,False,-0.06601216647593808,0,0.2,19988,7,52,1.0,990.5798930000544,False,0.016792749888311066,0,0.5780000000000001,19463,0,0,0.0,0.0,False,-0.03385455448001986,0,0.2,26831,0,10,0.1,286.03703903385815,False,0.004955795965758682,0,0.2,26907,0,16,0.3,457.659262454173,False,0.010984301301258775,10,0.6510000000000001,37843,22,0,0.0,629.2814858744879,False,-0.024774689014306205,10,0.669,38076,0,7,0.7,287.00000000000006,False,-0.023193702558335676,0.2625,199298,0.0,0.0,12,0,0,9,8,8.0,14,23,22,160.0,45.0,11,15,22,713,1.1261679849703796,16.876030249986798
9,22,0,0,0,10.000000000000002,20,10.0,9.896986763314338,7,7.714285714285714,18.480262099025243,3,33.0,30.036984036976015,6,42.0,41.00000000000001,20,41.0,5,0.6100000000000001,14983,101,0,0.0,1010.0000000000002,False,-0.06715653797506475,2,0.508,14907,99,0,0.0,990.0000000000002,False,-0.07233632476058544,0,0.2,20033,4,59,1.0,1129.9234108957467,False,0.022485068525583178,0,0.5780000000000001,19463,0,0,0.0,0.0,False,-0.03385455448001986,0,0.2,27008,0,6,0.1,180.2219042218561,False,0.009579037744902513,0,0.2,26883,0,17,0.2,510.6287286285923,False,0.011076873600622091,10,0.7410000000000001,37457,28,0,0.0,841.0355530353285,False,-0.03193401547479584,3,0.6890000000000001,38335,0,0,0.0,0.0,False,-0.020241776778183864,0.1625,199069,0.0,0.0,12,0,0,4,7,6.25,12,16,27,98.0,53.0,6,16,27,715,1.1377651329967193,18.013795382983517
10,27,0,0,0,10.000000000000002,20,10.0,8.579359993728454,18,3.4444444444444446,18.480262099025243,0,,26.35204724533152,17,15.411764705882353,41.00000000000001,20,41.0,5,0.655,14788,114,0,0.0,1140.0000000000002,False,-0.07498644823224719,13,0.6360000000000001,14521,106,0,0.0,1060.0000000000002,False,-0.09347708245497802,0,0.2,19971,12,69,1.0,1378.0904047574832,False,0.025566900093260868,0,0.5780000000000001,19463,0,0,0.0,0.0,False,-0.03385455448001986,0,0.2,27008,0,6,0.0,158.11228347198912,False,0.009167174909131296,0,0.2,27145,0,0,0.0,0.0,False,0.011325956558995567,10,0.8310000000000002,37143,39,0,0.0,1027.7298425679292,False,-0.03757341678932792,10,0.786,38111,0,6,0.6,246.00000000000006,False,-0.02282311447338155,0.2,198150,0.0,0.0,8,0,0,10,10,10.0,13,23,25,157.0,69.0,11,16,25,462,1.3966985560255125,19.41049393900903
11,25,0,0,0,10.000000000000002,20,10.0,7.842861104807986,10,2.0,18.753170955697943,1,33.0,26.16345949359887,15,25.4,41.00000000000001,20,41.0,0,0.6500000000000001,14688,124,0,0.0,1240.0000000000002,False,-0.07799795217731735,10,0.7230000000000001,14201,116,0,0.0,1160.0000000000002,False,-0.10973920375835693,0,0.2,19984,12,78,1.0,1556.8616678021353,False,0.03064933402338385,0,0.5780000000000001,19463,0,0,0.0,0.0,False,-0.03385455448001986,0,0.2,27008,0,6,0.0,156.98075696159322,False,0.009146096586595041,15,0.35000000000000003,26911,0,1,0.1,26.16345949359887,False,0.0030953291511791057,15,0.9710000000000001,36476,54,0,0.0,1412.8268126543392,False,-0.049699353225977703,0,0.776,38316,0,1,0.0,41.00000000000001,False,-0.020203440079740332,0.1375,197047,0.0,0.0,8,0,0,7,8,8.0,15,22,28,144.0,64.0,10,15,28,438,1.2210419639595784,20.631535902968608
12,28,0,0,0,10.000000000000002,20,10.0,7.676771502118712,2,1.0,16.999178661567925,16,11.75,24.73503086261546,10,15.0,41.0,20,41.0,0,0.6500000000000001,14558,137,0,0.0,1370.0000000000002,False,-0.08191290730590857,2,0.7330000000000001,14089,123,0,0.0,1230.0000000000002,False,-0.11437691983376498,0,0.2,19982,4,88,1.0,1526.6348082264522,False,0.02979982149978784,16,0.738,19139,0,0,0.0,0.0,False,-0.0499379498634897,0,0.2,27008,0,6,0.0,148.41018517569276,False,0.00898644210677123,9,0.42500000000000004,26567,6,10,1.0,349.3453805955621,False,-0.003700581561872414,13,1.086,36102,64,0,0.0,1583.0419752073894,False,-0.05708280758546024,6,0.8360000000000001,38291,0,0,0.0,0.0,False,-0.02136631993252741,0.25,195736,0.0,0.0,6,0,0,12,11,10.65,14,26,27,203.0,69.0,14,14,27,200,1.4671245040372014,22.09866040700581
13,27,0,0,0,10.000000000000002,20,10.0,7.1531787149953905,25,5.6,16.87123398695833,5,15.4,22.03693350041801,21,13.0,41.00000000000001,20,41.0,10,0.7500000000000002,14318,146,0,0.0,1460.0000000000002,False,-0.09365777269168223,15,0.881,13634,134,0,0.0,1340.0000000000002,False,-0.13846895139432633,0,0.2,19875,19,97,1.0,1772.4200923198705,False,0.030588733986594025,4,0.762,19079,0,0,0.0,0.0,False,-0.05291635641598411,0,0.2,27008,0,6,0.0,132.22160100250807,False,0.00868487763128251,11,0.526,26389,1,10,1.0,237.2405689911384,False,-0.012420540050833812,10,1.1730000000000003,35693,85,0,0.0,1873.1393475355308,False,-0.06382882220032805,10,0.9300000000000002,38157,0,0,0.0,0.0,False,-0.024791064993482763,0.25,194153,0.0,0.0,8,0,0,11,13,13.0,15,26,23,218.0,57.0,14,13,23,363,1.25424123799894,23.35290164500475
14,23,0,0,0,10.000000000000002,20,10.0,7.389649264929104,10,9.5,17.152981619723885,1,33.0,19.656626866732907,33,13.727272727272727,41.00000000000001,20,41.0,10,0.8400000000000001,14053,158,0,0.0,1580.0000000000002,False,-0.10600493886646992,0,0.8660000000000003,13554,142,0,0.0,1420.0000000000002,False,-0.14087815455038247,0,0.2,19813,19,106,1.0,1958.6193877243848,False,0.032132523894871826,0,0.758,19079,0,0,0.0,0.0,False,-0.05291635641598411,0,0.2,27008,0,6,0.0,117.93976120039744,False,0.00841883240565545,23,0.7450000000000001,25835,0,2,0.2,39.313253733465814,False,-0.036747638803817526,9,1.253,35116,118,0,0.0,2319.481970274483,False,-0.07287190469146004,11,1.0300000000000002,38001,0,0,0.0,0.0,False,-0.028778081631609886,0.15,192459,0.0,0.0,6,0,0,11,11,10.09090909090909,15,26,22,211.0,24.0,15,8,22,233,1.5250126229948364,24.877914267999586
15,22,0,0,0,10.000000000000002,20,10.0,7.350417299010509,10,7.0,17.434834704005983,8,19.25,19.656626866732907,0,,41.00000000000001,20,41.0,5,0.8800000000000001,13908,166,0,0.0,1660.0000000000002,False,-0.11232909715111727,5,0.9160000000000001,13349,154,0,0.0,1540.0000000000002,False,-0.14961151599108594,0,0.2,19842,19,113,1.0,2109.7942502338756,False,0.03732425540416673,5,0.808,19004,0,0,0.0,0.0,False,-0.056639364606602134,0,0.2,26975,0,7,0.1,137.59638806713036,False,0.007555537946930691,0,0.7220000000000002,25714,0,9,0.7,176.90964180059615,False,-0.03869249204946548,12,1.364,34912,118,0,0.0,2319.481970274483,False,-0.07808569567978012,8,1.0990000000000002,37905,0,0,0.0,0.0,False,-0.03123163033199581,0.22499999999999998,191609,0.0,0.0,8,0,0,7,9,9.0,18,25,23,196.0,27.0,13,9,23,299,1.3282151610474102,26.206129429046996
16,23,0,0,0,10.000000000000002,20,10.0,7.370309823906419,6,7.666666666666667,17.500151449228962,7,18.0,18.766724522166058,16,13.0,41.00000000000001,20,41.0,5,0.925,13723,178,0,0.0,1780.0000000000002,False,-0.11985785701379269,1,0.921,13248,162,0,0.0,1620.0000000000002,False,-0.15328555080407155,0,0.2,19862,15,121,1.0,2228.0729727153007,False,0.04125274193882604,5,0.8530000000000002,18934,0,0,0.0,0.0,False,-0.06011417225117895,0,0.2,26975,0,7,0.0,131.36707165516242,False,0.007439496882663913,7,0.7920000000000003,25558,0,7,0.7,131.36707165516242,False,-0.045352872999233185,10,1.4520000000000002,34558,134,0,0.0,2514.741085970252,False,-0.0846379599001936,10,1.191,37771,0,0,0.0,0.0,False,-0.03465637539295116,0.2125,190629,0.0,0.0,9,0,0,12,10,9.875,13,25,25,182.0,29.0,13,10,25,370,1.2573163250344805,27.463445754081476
17,25,0,0,0,10.000000000000002,20,10.0,7.187568300642352,9,5.444444444444445,17.77936801757658,1,33.0,18.766724522166058,0,,41.00000000000001,20,41.0,5,0.9700000000000002,13528,191,0,0.0,1910.0000000000002,False,-0.12768776727097514,4,0.9600000000000002,13094,169,0,0.0,1690.0000000000002,False,-0.16045293019333856,0,0.2,19846,14,130,1.0,2411.9437984939486,False,0.04502218412742493,0,0.8480000000000001,18934,0,0,0.0,0.0,False,-0.06011417225117895,0,0.2,26975,0,7,0.0,131.36707165516242,False,0.007439496882663913,0,0.7850000000000001,25525,0,8,0.1,150.13379617732846,False,-0.04623274475285326,14,1.582,34304,134,0,0.0,2514.741085970252,False,-0.09112964083663135,6,1.241,37705,0,0,0.0,0.0,False,-0.03634319012446648,0.1375,189911,0.0,0.0,7,0,0,5,8,8.0,19,24,24,178.0,39.0,12,13,24,233,1.196906647994183,28.66035240207566
