index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,35.0,0,,41.0,0,,0,0.2,22961,0,10,1.0,170.0,False,-0.0006504488096786782,0,0.2,22961,10,0,0.0,100.0,False,-0.0021681626989289277,0,0.2,35333,0,0,0.0,0.0,False,0.0,0,0.2,35333,0,0,0.0,0.0,False,0.0,0,0.2,48181,0,0,0.0,0.0,False,0.0,0,0.2,48181,0,0,0.0,0.0,False,0.0,0,0.2,58724,0,0,0.0,0.0,False,0.0,0,0.2,58724,0,0,0.0,0.0,False,0.0,0.125,330398,0.0,0.0,7,0,0,0,0,0.0,227,227,79,0.0,0.0,0,0,79,200,1.2206220999360085,1.2206220999360085
1,79,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,35.0,0,,41.0,0,,0,0.2,22871,0,19,0.9,323.0,False,-0.0012358527383894888,0,0.2,22851,21,0,0.0,210.0,False,-0.004553141667750748,0,0.2,35333,0,0,0.0,0.0,False,0.0,0,0.2,35333,0,0,0.0,0.0,False,0.0,0,0.2,48181,0,0,0.0,0.0,False,0.0,0,0.2,48181,0,0,0.0,0.0,False,0.0,0,0.2,58724,0,0,0.0,0.0,False,0.0,0,0.2,58724,0,0,0.0,0.0,False,0.0,0.1125,330198,0.0,0.0,8,0,0,46,0,0.0,35,81,50,1131.0,167.0,66,13,50,200,3.8108674362301826,5.031489536166191
2,50,0,0,0,10.0,20,10.0,16.659574468085108,2,9.0,19.651515151515152,21,6.0476190476190474,35.0,0,,41.0,0,,0,0.2,22760,2,28,1.0,486.468085106383,False,-0.0025049198840817353,1,0.21000000000000002,22759,29,0,0.0,290.0,False,-0.006808030874636833,0,0.2,35315,0,2,0.2,39.303030303030305,False,4.6741435811062895e-05,21,0.41000000000000003,34625,0,0,0.0,0.0,False,-0.02003792488608383,0,0.2,48062,7,10,1.0,487.56060606060606,False,0.002589823852354744,0,0.2,48173,0,4,0.4,140.0,False,0.0012868143043938483,0,0.2,58724,0,0,0.0,0.0,False,0.0,0,0.2,58724,0,0,0.0,0.0,False,0.0,0.32499999999999996,329142,0.0,0.0,9,0,0,22,4,4.0,23,45,47,370.0,165.0,29,21,47,209,2.082007395103574,7.113496931269765
3,47,0,0,0,10.0,20,10.0,16.482678983833722,1,9.0,18.046686746987948,7,4.428571428571429,35.0,0,,41.0,0,,0,0.2,22670,1,38,1.0,636.3418013856815,False,-0.00315810673028752,1,0.21900000000000003,22637,40,0,0.0,400.0,False,-0.009713368891201595,0,0.2,35332,0,1,0.1,18.046686746987948,False,0.00022707789809802402,5,0.43900000000000006,34475,0,0,0.0,0.0,False,-0.02428324795516939,0,0.2,48062,0,17,0.7,595.0,False,0.0037047798924887405,0,0.2,48142,0,11,0.7,385.0,False,0.0031859031568460595,0,0.2,58724,0,0,0.0,0.0,False,0.0,0,0.2,58724,0,0,0.0,0.0,False,0.0,0.3125,328766,0.0,0.0,9,0,0,15,2,2.0,23,38,46,267.0,174.0,21,26,46,226,1.9805592559278011,9.094056187197566
4,46,0,0,0,10.0,20,10.0,17.921040480221645,26,20.076923076923077,15.439089881288863,11,1.2727272727272727,32.333333333333336,9,19.0,41.0,20,41.0,0,0.2,23032,7,22,1.0,464.2628905648762,False,0.008808440452818056,0,0.21800000000000003,22597,44,0,0.0,440.0,False,-0.010580633970773167,0,0.2,34810,16,11,1.0,456.56663637772385,False,-0.008341116854247767,11,0.5440000000000002,34095,0,0,0.0,0.0,False,-0.0350380663968528,0,0.2,48062,0,17,0.0,549.6666666666667,False,0.0032343316521727603,0,0.2,48299,1,12,1.0,403.43908988128885,False,0.006635801351998561,13,0.33000000000000007,58319,0,9,0.9,369.0,False,-0.0037548532116340847,7,0.27,58644,0,0,0.0,0.0,False,-0.001362305020093999,0.4875,327858,0.0,0.0,13,0,0,22,11,11.0,19,41,46,327.0,156.0,24,22,46,893,2.3907207660377026,11.484776953235269
5,46,0,0,0,10.0,20,10.0,17.625998379442066,2,9.0,14.655536294094986,9,9.11111111111111,29.872483221476514,11,19.0,41.0,20,41.0,0,0.2,22972,3,32,1.0,594.0319481421461,False,0.009020249515245361,2,0.23800000000000002,22433,58,0,0.0,580.0,False,-0.01465677984475955,0,0.2,34862,8,16,1.0,375.4965677410563,False,-0.008016633632283545,4,0.5730000000000001,33983,0,0,0.0,0.0,False,-0.03820790762177002,0,0.2,48062,0,17,0.0,507.83221476510073,False,0.0028001931753710504,0,0.2,48426,0,11,1.0,328.5973154362417,False,0.008495022056788398,0,0.31700000000000006,58397,1,12,1.0,521.8724832214765,False,-0.00112498737124958,13,0.393,58410,0,0,0.0,0.0,False,-0.005347047203868947,0.5,327545,0.0,0.0,12,0,0,15,7,7.0,19,34,30,250.0,137.0,18,28,30,766,1.9435126036405563,13.428289556875825
6,30,0,0,0,10.0,20,10.0,19.368560350862325,14,26.142857142857142,14.052881131530627,8,9.125,30.13542282672975,14,31.142857142857142,41.0,20,41.0,0,0.2,23210,4,30,1.0,621.0568105258698,False,0.01992664694778786,2,0.256,22319,67,0,0.0,670.0,False,-0.01764884436928147,0,0.2,34896,2,21,1.0,333.8476244638679,False,-0.007643737802282948,3,0.5990000000000002,33563,10,0,0.0,193.68560350862325,False,-0.047353952346126514,0,0.2,48327,0,12,0.0,361.625073920757,False,0.0067830168938042045,0,0.2,48524,0,10,0.8,301.3542282672975,False,0.010246302777726705,0,0.31700000000000006,58725,0,5,0.1,205.0,False,0.0017624821197466112,12,0.5000000000000001,57768,14,0,0.0,421.8959195742165,False,-0.012687351682666194,0.3625,327332,0.0,0.0,17,0,0,10,7,7.0,16,26,29,183.0,81.0,11,19,29,1382,1.4757218025624752,14.9040113594383
7,29,0,0,0,10.0,20,10.0,18.41277862269841,36,16.77777777777778,15.87823950910909,5,40.0,30.434149804756835,18,31.444444444444443,41.0,20,41.0,0,0.2,23149,1,39,1.0,728.0983662852381,False,0.019602323539422352,35,0.604,22049,80,0,0.0,800.0,False,-0.026538311434890074,0,0.2,34492,28,26,1.0,928.3920286723919,False,-0.010664364352412931,0,0.5960000000000001,33563,10,0,0.0,184.1277862269841,False,-0.0474892057534461,0,0.2,48484,0,10,0.5,304.34149804756834,False,0.009447100496539762,1,0.21000000000000002,48691,0,0,0.0,0.0,False,0.010585085407110686,4,0.35700000000000004,58531,0,7,0.7,287.0,False,-0.0008429262311831619,11,0.5980000000000001,57383,25,0,0.0,760.8537451189209,False,-0.016357419920995517,0.4,326342,0.0,0.0,13,0,0,20,9,7.290909090909091,11,31,25,183.0,84.0,16,13,25,807,1.6450180374085903,16.54902939684689
8,25,0,0,0,10.0,20,10.0,20.53216300624605,58,23.74137931034483,18.391139612275296,16,28.4375,28.780788640340095,12,19.0,41.00000000000001,20,41.0,0,0.2,23811,3,26,1.0,563.8362381623973,False,0.04474732748281505,35,0.919,21829,88,0,0.0,880.0,False,-0.03434369715103421,0,0.2,34337,53,25,1.0,1547.983129637923,False,-0.006283316876037599,5,0.6460000000000001,32641,33,0,0.0,677.5613792061197,False,-0.06660117483363825,0,0.2,48484,0,10,0.0,287.80788640340097,False,0.009275522367773638,12,0.32900000000000007,47960,6,10,1.0,398.1547240770527,False,-0.00045500587288495824,3,0.38300000000000006,58794,0,0,0.0,0.0,False,0.0011920168925822492,10,0.687,57005,37,0,0.0,1064.8891796925834,False,-0.02020562989840109,0.375,324861,0.0,0.0,13,0,0,8,8,8.0,21,29,30,182.0,83.0,14,11,30,1709,1.4056226927787066,17.954652089625597
9,30,0,0,0,10.000000000000002,20,10.0,20.932133508800685,22,23.318181818181817,18.391139612275296,0,,28.38693122392309,14,26.285714285714285,41.00000000000001,20,41.0,0,0.2,24175,7,15,1.0,383.9820026320103,False,0.05663201948380401,1,0.8940000000000001,21757,94,0,0.0,940.0000000000001,False,-0.03616495381813451,0,0.2,33824,65,35,1.0,2004.27856450168,False,-0.014345249985825082,0,0.6410000000000002,32641,33,0,0.0,690.7604057904226,False,-0.06641439439347883,0,0.2,48484,0,10,0.0,283.8693122392309,False,0.009234649677665768,4,0.35700000000000004,48160,0,6,0.6,170.32158734353854,False,0.001331661727066065,6,0.44000000000000006,58571,0,3,0.3,123.00000000000003,False,-0.0015581363667325114,14,0.8170000000000002,56526,48,0,0.0,1362.5726987483083,False,-0.025827832753658582,0.3625,324138,0.0,0.0,10,0,0,8,10,9.363636363636363,22,30,25,228.0,93.0,14,16,25,863,1.4564586952328682,19.411110784858465
