index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,31.0,0,,43.0,0,,60.0,0,,0,0.2,29769,2,10,1.0,250.0,False,0.0001672856234735187,0,0.2,29809,8,0,0.0,80.0,False,-0.0013382849877881496,0,0.2,43575,0,0,0.0,0.0,False,0.0,0,0.2,43575,0,0,0.0,0.0,False,0.0,0,0.2,60329,0,0,0.0,0.0,False,0.0,0,0.2,60329,0,0,0.0,0.0,False,0.0,0,0.2,74958,0,0,0.0,0.0,False,0.0,0,0.2,74958,0,0,0.0,0.0,False,0.0,0.125,417302,0.0,0.0,5,0,0,29,0,0.0,114,143,76,0.0,0.0,0,0,76,200,1.0156618421897292,1.0156618421897292
1,76,0,0,0,10.0,20,10.0,23.0,0,,31.0,0,,38.21818181818182,10,16.7,60.0,0,,0,0.2,29649,4,20,1.0,500.0,False,0.0003345712469470374,0,0.2,29729,16,0,0.0,160.0,False,-0.002676569975576299,0,0.2,43575,0,0,0.0,0.0,False,0.0,0,0.2,43575,0,0,0.0,0.0,False,0.0,7,0.27,60133,0,0,0.0,0.0,False,-0.00324885212750087,3,0.23,60182,0,0,0.0,0.0,False,-0.002436639095625653,0,0.2,74791,0,10,1.0,600.0,False,0.0017743269564289336,0,0.2,74958,0,0,0.0,0.0,False,0.0,0.25,416592,0.0,0.0,5,0,0,39,2,2.0,39,78,35,1131.0,51.0,67,9,35,200,3.608332207426429,4.623994049616158
2,35,0,0,0,10.0,20,10.0,22.53191489361702,2,12.0,31.0,0,,29.26412213740458,16,1.5625,60.0,0,,0,0.2,29521,8,29,1.0,733.4255319148936,False,-4.3067149872959345e-05,1,0.21000000000000002,29653,22,0,0.0,220.0,False,-0.004215597711532671,0,0.2,43575,0,0,0.0,0.0,False,0.0,0,0.2,43551,0,2,0.2,62.0,False,0.0001606425702811245,0,0.263,60133,0,0,0.0,0.0,False,-0.00324885212750087,16,0.387,59256,0,0,0.0,0.0,False,-0.017785807820451194,0,0.2,74791,0,10,0.0,600.0,False,0.0017743269564289336,0,0.2,74933,6,10,1.0,775.5847328244274,False,0.004839941919637943,0.275,415413,0.0,0.0,7,0,0,21,3,3.0,16,37,28,258.0,38.0,26,9,28,212,2.358969914726913,6.982963964343071
3,28,0,0,0,10.0,20,10.0,22.53191489361702,0,,31.0,0,,27.006624383368568,12,15.916666666666666,60.0,0,,0,0.2,29381,12,39,1.0,998.7446808510638,False,-0.0002886566822064152,0,0.20900000000000002,29593,28,0,0.0,280.0,False,-0.005219311452373783,0,0.2,43575,0,0,0.0,0.0,False,0.0,0,0.2,43551,0,2,0.0,62.0,False,0.0001606425702811245,7,0.3330000000000001,59937,0,0,0.0,0.0,False,-0.00649770425500174,5,0.42100000000000004,59031,0,0,0.0,0.0,False,-0.021515357456612906,0,0.2,74791,0,10,0.0,600.0,False,0.0017743269564289336,0,0.2,74742,8,20,1.0,1416.0529950669486,False,0.006564029156774088,0.25,414601,0.0,0.0,6,0,0,9,2,2.0,13,22,20,223.0,146.0,13,15,20,200,1.51800418458879,8.500968148931861
4,20,0,0,0,10.0,20,10.0,22.53191489361702,0,,31.0,0,,26.307918912762887,2,4.0,60.0,11,60.0,0,0.2,29301,10,49,1.0,1204.063829787234,False,0.0004694675263012411,0,0.20900000000000002,29473,40,0,0.0,400.0,False,-0.007226738934056007,0,0.2,43575,0,0,0.0,0.0,False,0.0,0,0.2,43551,0,2,0.0,62.0,False,0.0001606425702811245,0,0.32600000000000007,59937,0,0,0.0,0.0,False,-0.00649770425500174,2,0.43600000000000005,58937,0,0,0.0,0.0,False,-0.023073480415720465,0,0.2,74791,0,10,0.0,600.0,False,0.0017743269564289336,0,0.2,75394,0,19,1.0,1140.0,False,0.01342084900877825,0.25,414959,0.0,0.0,8,0,0,9,1,1.0,11,20,19,172.0,103.0,10,10,19,860,1.1170967072248459,9.618064856156707
5,19,0,0,0,10.0,20,10.0,21.29587482219061,28,19.428571428571427,31.0,0,,25.36841178296364,10,19.8,60.0,10,60.0,0,0.2,29211,9,59,1.0,1346.4566145092458,False,-0.00015964711918687945,28,0.48900000000000005,28893,51,0,0.0,510.0,False,-0.02479172939877547,0,0.2,43575,0,0,0.0,0.0,False,0.0,0,0.2,43007,18,12,1.0,755.3257467994309,False,-0.004368035033856268,8,0.406,59713,0,0,0.0,0.0,False,-0.010210678115002736,2,0.45400000000000007,58849,0,0,0.0,0.0,False,-0.024532148717863713,0,0.2,74791,0,10,0.0,600.0,False,0.0017743269564289336,0,0.2,75796,0,19,1.0,1140.0,False,0.01878385229061608,0.375,413835,0.0,0.0,8,0,0,9,5,5.0,11,20,19,169.0,102.0,10,9,19,800,1.1432591248303652,10.761323980987072
6,19,0,0,0,10.0,20,10.0,25.875283894539347,38,33.5,31.0,0,,23.781865700066298,5,4.0,60.0,8,60.0,0,0.2,30374,10,31,1.0,902.1338007307197,False,0.03131810700810868,0,0.461,28803,60,0,0.0,600.0,False,-0.026297300010037137,0,0.2,43269,9,0,0.0,232.8775550508541,False,-0.004350228857706735,0,0.2,42040,37,22,1.0,1639.3855040979558,False,-0.01641554212165285,0,0.398,59713,0,0,0.0,0.0,False,-0.010210678115002736,5,0.502,58614,0,0,0.0,0.0,False,-0.028427456115632615,0,0.2,74791,0,10,0.0,600.0,False,0.0017743269564289336,0,0.2,76256,0,16,0.5,960.0,False,0.023719949838576268,0.3125,413860,0.0,0.0,10,0,0,12,1,1.0,12,24,19,187.0,92.0,12,7,19,1953,1.1796990688890219,11.941023049876094
7,19,0,0,0,10.0,20,10.0,28.072941947667836,37,33.486486486486484,33.8,5,59.0,21.26999858624968,12,8.583333333333332,60.00000000000001,12,60.0,6,0.26,31335,11,10,1.0,390.72941947667834,False,0.05491534376320185,0,0.461,28713,69,0,0.0,690.0,False,-0.027802870621298804,0,0.2,42963,18,0,0.0,505.31295505802103,False,-0.008246552437658983,0,0.2,41402,55,27,1.0,2456.6118071217306,False,-0.02167972682591239,0,0.398,59713,0,0,0.0,0.0,False,-0.010210678115002736,12,0.6170000000000001,57720,5,0,0.0,169.0,False,-0.04184554691773442,0,0.2,74791,0,10,0.0,600.0000000000001,False,0.0017743269564289336,0,0.2,76873,2,14,1.0,882.5399971724995,False,0.031434536655010226,0.375,413510,0.0,0.0,11,0,0,11,4,3.6666666666666665,11,22,15,179.0,102.0,11,8,15,2148,1.1109820688143373,13.052005118690431
8,15,0,0,0,10.0,20,10.0,28.4504722776642,21,30.523809523809526,33.8,0,,21.26999858624968,0,,60.0,11,60.0,6,0.31400000000000006,31673,8,10,1.0,364.504722776642,False,0.06578515043622471,5,0.5110000000000001,28508,82,0,0.0,820.0,False,-0.03248686807855733,0,0.2,42387,34,0,0.0,967.3160574405828,False,-0.016163900660463828,0,0.2,41337,50,37,1.0,2673.12361388321,False,-0.02068704975463893,0,0.398,59713,0,0,0.0,0.0,False,-0.010210678115002736,0,0.6050000000000001,57720,5,0,0.0,169.0,False,-0.04184554691773442,0,0.2,74791,0,10,0.0,600.0,False,0.0017743269564289336,0,0.2,77533,0,5,0.2,300.0,False,0.036353691400517626,0.275,413662,0.0,0.0,8,0,0,12,2,1.375,8,20,12,169.0,89.0,10,5,12,860,0.9708898225799203,14.022894941270351
9,12,0,0,0,10.000000000000002,20,10.0,28.08806527692239,28,26.5,34.795918367346935,4,46.0,21.26999858624968,0,,60.0,9,60.0,8,0.38800000000000007,31951,9,10,1.0,370.8806527692239,False,0.07519289124375558,10,0.6060000000000001,28243,91,0,0.0,910.0000000000001,False,-0.03984743551139215,0,0.2,42081,43,0,0.0,1207.7868069076628,False,-0.020427001641908606,0,0.2,41085,59,43,1.0,3153.420341134339,False,-0.020959032230242876,0,0.398,59529,4,0,0.0,139.18367346938774,False,-0.012107082220247365,0,0.6050000000000001,57720,5,0,0.0,173.97959183673467,False,-0.04180427661790573,0,0.2,74791,0,10,0.0,600.0,False,0.0017743269564289336,4,0.24000000000000002,77789,0,0,0.0,0.0,False,0.0377678166439873,0.25,413189,0.0,0.0,8,0,0,8,4,3.888888888888889,10,18,13,136.0,70.0,8,4,13,990,0.9066965784877539,14.929591519758105
