index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,27.0,0,,36.0,0,,44.0,0,,0,0.2,27731,0,9,0.9,189.0,False,0.00016174831961467955,0,0.2,27711,11,0,0.0,110.0,False,-0.001976923906401639,0,0.2,35935,0,0,0.0,0.0,False,0.0,0,0.2,35935,0,0,0.0,0.0,False,0.0,0,0.2,47295,0,0,0.0,0.0,False,0.0,0,0.2,47295,0,0,0.0,0.0,False,0.0,0,0.2,59350,0,0,0.0,0.0,False,0.0,0,0.2,59350,0,0,0.0,0.0,False,0.0,0.1125,340602,0.0,0.0,5,0,0,58,0,0.0,190,248,94,0.0,0.0,0,0,94,200,1.2168288780376315,1.2168288780376315
1,94,0,0,0,10.0,20,10.0,21.0,0,,27.0,0,,32.63461538461539,7,11.0,44.0,0,,0,0.2,27631,0,19,1.0,399.0,False,0.00034146867474210127,0,0.2,27611,21,0,0.0,210.0,False,-0.0037741274576758564,0,0.2,35935,0,0,0.0,0.0,False,0.0,0,0.2,35935,0,0,0.0,0.0,False,0.0,3,0.23,47223,0,0,0.0,0.0,False,-0.001522359657469077,4,0.24000000000000002,47143,0,0,0.0,0.0,False,-0.0032138703879902738,0,0.2,59350,0,0,0.0,0.0,False,0.0,0,0.2,59273,0,7,0.7,308.0,False,0.0012973883740522326,0.2125,340101,0.0,0.0,4,0,0,31,2,2.0,69,100,65,1469.0,54.0,91,3,65,200,4.4311212142929435,5.647950092330575
2,65,0,0,0,10.0,20,10.0,20.574468085106382,2,11.0,24.62857142857143,25,20.36,27.537828947368418,14,10.5,44.0,0,,0,0.2,27522,2,28,1.0,596.0851063829787,False,-3.441453608827977e-05,1,0.21000000000000002,27517,29,0,0.0,290.0,False,-0.005715107293052011,25,0.45000000000000007,35273,0,0,0.0,0.0,False,-0.01842215110616391,0,0.2,35913,0,2,0.2,49.25714285714286,False,7.314794569554912e-05,5,0.277,46994,7,0,0.0,172.4,False,-0.004541706311449475,9,0.32600000000000007,46373,18,0,0.0,443.31428571428575,False,-0.014807968223762754,0,0.2,59203,4,10,1.0,550.1513157894736,False,0.0021579723318406116,0,0.2,59273,0,7,0.0,308.0,False,0.0012973883740522326,0.275,338068,0.0,0.0,6,0,0,7,14,14.0,38,45,29,530.0,193.0,37,28,29,211,2.201590547338128,7.849540639668703
3,29,0,0,0,10.0,20,10.0,19.940397350993376,3,11.0,24.576119402985075,4,23.75,25.013871173469383,8,7.75,44.0,0,,0,0.2,27463,0,36,0.9,717.8543046357615,False,3.332562876530383e-05,2,0.229,27358,42,0,0.0,420.0,False,-0.009093849969447539,4,0.4650000000000001,35225,1,0,0.0,19.940397350993376,False,-0.019480445285223448,0,0.2,35891,0,4,0.2,98.3044776119403,False,0.0001433766190612912,3,0.30200000000000005,46905,8,0,0.0,196.6089552238806,False,-0.00616757632705482,5,0.36700000000000005,46072,21,0,0.0,516.0985074626866,False,-0.02040280677172343,0,0.2,59141,2,20,1.0,930.0277423469388,False,0.004313628831903437,0,0.2,59273,0,7,0.0,308.0,False,0.0012973883740522326,0.2625,337328,0.0,0.0,6,0,0,10,8,8.0,17,27,11,266.0,36.0,17,12,11,211,1.1468492411077023,8.996389880776405
4,11,0,0,0,10.0,20,10.0,21.903998454703494,11,29.181818181818183,22.283399734395747,15,13.066666666666666,21.31400402710932,25,12.96,44.0,12,44.0,0,0.2,27703,0,33,0.7,722.8319490052153,False,0.008749361076259234,1,0.23700000000000002,27214,55,0,0.0,550.0,False,-0.011933431580460802,15,0.6110000000000001,34902,2,0,0.0,43.80799690940699,False,-0.028136802603180595,0,0.2,35581,0,14,1.0,311.96759628154047,False,-0.005510399383866173,14,0.43900000000000006,46321,23,0,0.0,512.5181938911022,False,-0.01517583049063223,11,0.4720000000000001,45643,21,0,0.0,467.95139442231067,False,-0.029982541553839576,0,0.2,59345,17,18,1.0,1154.3380684608585,False,0.009640590298743526,0,0.2,59273,0,7,0.0,308.0,False,0.0012973883740522326,0.3375,335982,0.0,0.0,9,0,0,7,7,7.0,8,15,9,96.0,12.0,7,4,9,1038,0.6981633147224784,9.694553195498884
5,9,0,0,0,10.0,20,10.0,23.294028788220793,11,29.181818181818183,21.831146891909725,8,18.0,19.410706829633988,11,6.7272727272727275,44.0,8,44.0,0,0.2,27904,2,32,1.0,765.4089212230654,False,0.01673931420910586,0,0.23600000000000002,27134,63,0,0.0,630.0,False,-0.013371194421480177,8,0.6760000000000002,34464,12,0,0.0,279.5283454586495,False,-0.0370456609787304,0,0.2,35570,0,15,0.1,327.4672033786459,False,-0.005600845924883147,1,0.43500000000000005,46207,29,0,0.0,633.103259865382,False,-0.016311414950149237,10,0.5610000000000002,45168,23,0,0.0,502.1163785139237,False,-0.039664696283815186,0,0.2,59623,18,20,1.0,1229.3927229334117,False,0.014956973234485322,0,0.2,59273,0,7,0.0,308.0,False,0.0012973883740522326,0.2625,335343,0.0,0.0,9,0,0,7,6,6.0,9,16,10,74.0,39.0,6,3,10,873,0.6918486338108778,10.386401829309762
6,10,0,0,0,10.0,20,10.0,25.212689822680286,59,26.89830508474576,21.634080300027925,7,19.714285714285715,18.25961638158149,9,8.555555555555555,44.0,10,44.0,3,0.23,28886,0,10,1.0,252.12689822680287,False,0.04281166921079043,24,0.47600000000000003,26750,75,0,0.0,750.0,False,-0.025017073433737106,7,0.738,34072,21,0,0.0,529.466486276286,False,-0.04447660378076684,0,0.2,34271,40,25,1.0,1549.3596004079095,False,-0.02474802281330297,2,0.45400000000000007,46131,31,0,0.0,670.6564893008657,False,-0.0175213395781704,7,0.6210000000000001,44772,28,0,0.0,605.7542484007819,False,-0.046942020843632665,0,0.2,59986,17,20,1.0,1190.4134784868854,False,0.020744848175963608,0,0.2,59273,0,7,0.0,308.0,False,0.0012973883740522326,0.375,334141,0.0,0.0,9,0,0,8,10,9.176470588235293,9,17,10,94.0,24.0,7,3,10,1216,0.706020169891417,11.092421999201179
7,10,0,0,0,10.0,20,10.0,24.341678705733813,26,21.0,23.005707295865058,31,26.0,17.349786837138303,10,10.4,43.99999999999999,10,44.0,0,0.227,28776,1,20,1.0,496.83357411467625,False,0.043255698467249075,26,0.7120000000000002,26556,84,0,0.0,840.0,False,-0.030372740016534273,4,0.7710000000000001,34028,21,0,0.0,511.17525282041004,False,-0.04595554121580063,2,0.22000000000000003,34383,56,10,1.0,1593.191080479744,False,-0.02102141254376322,4,0.4920000000000001,46016,32,0,0.0,736.1826334676819,False,-0.019260147653370464,6,0.6740000000000002,43728,58,0,0.0,1334.3310231601733,False,-0.061313764423721544,0,0.2,60322,17,20,1.0,1174.946376231351,False,0.02627587511568116,0,0.2,59273,0,7,0.0,307.99999999999994,False,0.0012973883740522326,0.375,333082,0.0,0.0,8,0,0,10,8,7.095238095238095,7,17,10,111.0,24.0,7,3,10,774,0.6430626837536693,11.735484682954848
8,10,0,0,0,10.0,20,10.0,23.757023227002747,24,21.0,21.520558523789834,19,14.578947368421053,16.066953466640296,11,7.0,43.99999999999999,4,44.0,0,0.227,28686,0,30,1.0,712.7106968100825,False,0.04390048339042603,24,0.9260000000000002,26350,95,0,0.0,950.0,False,-0.03580029474138241,19,0.9570000000000003,33524,21,0,0.0,498.89748776705767,False,-0.06015169767960129,0,0.21800000000000003,33879,70,20,1.0,2093.402796365989,False,-0.02808678452252692,2,0.508,45745,49,0,0.0,1054.5073676657018,False,-0.021624829604971932,9,0.7580000000000002,43293,60,0,0.0,1291.23351142739,False,-0.07096697841814792,0,0.2,60421,18,26,1.0,1433.205162399525,False,0.03011967280875755,0,0.2,59273,0,7,0.0,307.99999999999994,False,0.0012973883740522326,0.375,331171,0.0,0.0,6,0,0,10,9,9.0,7,17,14,108.0,22.0,7,3,14,376,0.7110419748350978,12.446526657789946
9,14,0,0,0,10.000000000000002,20,10.0,23.973607362822918,28,24.928571428571427,23.923503824305595,15,39.46666666666667,15.4363974882978,10,10.4,43.99999999999999,11,44.0,0,0.227,28916,0,29,0.9,695.2346135218646,False,0.05185353893680783,18,1.082,26168,106,0,0.0,1060.0000000000002,False,-0.04036519176161892,5,0.9880000000000002,33174,31,0,0.0,743.1818282475105,False,-0.06649253056563915,0,0.21800000000000003,33963,78,20,1.0,2348.4114507862996,False,-0.02220103727861002,5,0.556,45420,54,0,0.0,1291.8692065125022,False,-0.02598721633880424,5,0.7990000000000002,42693,70,0,0.0,1674.6452677013917,False,-0.07959990202239785,0,0.2,60801,18,25,1.0,1377.8551547893603,False,0.03605606701591709,0,0.2,59273,0,7,0.0,307.99999999999994,False,0.0012973883740522326,0.3625,330408,0.0,0.0,12,0,0,10,5,5.0,10,20,12,149.0,23.0,10,4,12,1466,0.8165897391736507,13.263116396963596
