index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,34.0,0,,48.0,0,,0,0.2,16941,0,7,0.7,126.0,False,-0.0004114984421844689,0,0.2,16881,13,0,0.0,130.0,False,-0.003821056963141497,0,0.2,23549,0,0,0.0,0.0,False,0.0,0,0.2,23549,0,0,0.0,0.0,False,0.0,0,0.2,33702,0,0,0.0,0.0,False,0.0,0,0.2,33702,0,0,0.0,0.0,False,0.0,0,0.2,44440,0,0,0.0,0.0,False,0.0,0,0.2,44440,0,0,0.0,0.0,False,0.0,0.0875,237204,0.0,0.0,6,0,0,0,0,0.0,376,376,128,0.0,0.0,0,0,128,200,1.7933241268619895,1.7933241268619895
1,128,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,34.0,0,,48.0,0,,0,0.2,16881,0,13,0.6,234.0,False,-0.0007642113926282993,0,0.2,16741,27,0,0.0,270.0,False,-0.007936041384986185,0,0.2,23549,0,0,0.0,0.0,False,0.0,0,0.2,23549,0,0,0.0,0.0,False,0.0,0,0.2,33702,0,0,0.0,0.0,False,0.0,0,0.2,33702,0,0,0.0,0.0,False,0.0,0,0.2,44440,0,0,0.0,0.0,False,0.0,0,0.2,44440,0,0,0.0,0.0,False,0.0,0.075,237004,0.0,0.0,6,0,0,50,0,0.0,65,115,79,1569.0,261.0,102,26,79,200,5.781432954594493,7.574757081456482
2,79,0,0,0,10.0,20,10.0,15.836363636363636,10,6.1,22.29090909090909,10,1.1,34.0,0,,48.0,0,,0,0.2,16851,0,16,0.8,253.38181818181818,False,-0.0019580912885244677,5,0.25,16516,39,0,0.0,390.0,False,-0.017635647522191523,0,0.2,23488,0,10,1.0,222.90909090909088,False,0.0021425345218287033,10,0.30000000000000004,23199,0,0,0.0,0.0,False,-0.01486262686313644,0,0.2,33698,0,4,0.4,136.0,False,0.0018989970921607026,0,0.2,33695,0,6,0.6,204.0,False,0.002818823808676043,0,0.2,44440,0,0,0.0,0.0,False,0.0,0,0.2,44440,0,0,0.0,0.0,False,0.0,0.35,236327,0.0,0.0,8,0,0,34,5,5.0,26,60,75,366.0,271.0,46,33,75,250,4.413772492669523,11.988529574126005
3,75,0,0,0,10.0,20,10.0,14.855462184873948,10,10.0,19.606956521739132,8,3.0,34.0,0,,48.0,0,,0,0.2,16841,1,16,1.0,247.68739495798317,False,-0.0027133209406271772,0,0.24500000000000002,16426,48,0,0.0,480.0,False,-0.020280994650520252,0,0.2,23388,0,20,1.0,392.13913043478266,False,0.0014892167487958157,8,0.37000000000000005,22939,0,0,0.0,0.0,False,-0.025903435390037793,0,0.2,33674,0,12,0.8,408.0,False,0.005222242003441932,0,0.2,33695,0,6,0.0,204.0,False,0.002818823808676043,0,0.2,44440,0,0,0.0,0.0,False,0.0,0,0.2,44440,0,0,0.0,0.0,False,0.0,0.35,235843,0.0,0.0,9,0,0,26,3,3.0,20,46,61,368.0,282.0,32,43,61,300,2.8799695456400514,14.868499119766057
4,61,0,0,0,10.0,20,10.0,14.855462184873948,0,,14.349966555183947,23,2.5217391304347827,34.0,0,,48.0,20,48.0,0,0.2,16741,1,26,1.0,396.24201680672263,False,-0.004225441866829534,0,0.24500000000000002,16326,58,0,0.0,580.0,False,-0.02322026923755217,0,0.2,23402,0,19,0.0,272.649364548495,False,-0.0004533236114379546,22,0.5820000000000001,22279,0,0,0.0,0.0,False,-0.05393010318909508,0,0.2,33616,13,22,1.0,934.5495652173913,False,0.011313120367001736,0,0.2,33695,0,6,0.0,204.0,False,0.002818823808676043,11,0.31000000000000005,44245,0,0,0.0,0.0,False,-0.004387938793879388,9,0.29000000000000004,44300,0,0,0.0,0.0,False,-0.0031503150315031502,0.25,234604,0.0,0.0,7,0,0,22,7,7.0,12,34,57,256.0,214.0,20,41,57,214,2.288593754172325,17.15709287393838
5,57,0,0,0,10.0,20,10.0,14.356615661566156,2,1.0,14.823104172921047,16,16.8125,34.2962962962963,9,35.77777777777778,48.0,20,48.0,0,0.2,16611,4,36,1.0,556.8381638163817,False,-0.007147194056305196,2,0.265,16214,65,0,0.0,650.0,False,-0.02774675210158133,0,0.2,23414,0,20,0.2,296.4620834584209,False,0.0005618515320909643,15,0.7100000000000002,22054,0,0,0.0,0.0,False,-0.06348464902968279,0,0.2,33669,19,23,1.0,1070.4537941003148,False,0.01490199089223669,0,0.2,33695,0,6,0.0,205.77777777777777,False,0.002845198768289434,13,0.42900000000000005,43903,0,4,0.4,192.0,False,-0.009923492349234923,7,0.35100000000000003,43963,0,5,0.5,240.0,False,-0.008033303330333034,0.38749999999999996,233523,0.0,0.0,9,0,0,20,8,8.0,9,29,63,187.0,238.0,16,41,63,536,2.06997178401798,19.22706465795636
6,63,0,0,0,10.0,20,10.0,16.759409476942615,13,26.0,14.329575675935729,3,2.0,35.76119402985074,5,50.0,48.00000000000001,20,48.0,0,0.2,16839,5,33,1.0,603.0605127391063,False,0.007614499815975037,0,0.263,16124,74,0,0.0,740.0,False,-0.03039209922991006,0,0.2,23076,3,30,1.0,480.1654987088997,False,-0.009890749103806985,3,0.7250000000000001,21964,0,0,0.0,0.0,False,-0.06730646736591787,0,0.2,33913,12,28,1.0,1173.2683409470496,False,0.023667265161519322,0,0.2,33695,0,6,0.0,214.56716417910445,False,0.002975597355929882,2,0.43600000000000005,43827,0,5,0.5,240.00000000000003,False,-0.011093609360936094,9,0.43400000000000005,44080,0,0,0.0,0.0,False,-0.008100810081008101,0.4375,233518,0.0,0.0,12,0,0,19,4,3.4166666666666665,12,31,67,242.0,276.0,20,43,67,1124,3.165828213095665,22.392892871052027
7,67,0,0,0,10.0,20,10.0,15.817065811458404,25,13.68,13.664648312129028,10,9.0,38.37774725274725,10,51.0,48.00000000000001,20,48.0,0,0.2,16985,9,32,1.0,596.146105966669,False,0.015993948209002087,14,0.403,15812,80,0,0.0,800.0,False,-0.04696960790077009,0,0.2,22734,18,40,1.0,831.2931170914123,False,-0.016958403390984565,10,0.8220000000000001,21734,0,0,0.0,0.0,False,-0.07707333644740753,0,0.2,34333,12,28,1.0,1238.5527028224712,False,0.03709798680823802,0,0.2,33695,0,6,0.0,230.2664835164835,False,0.003208511119762782,4,0.4740000000000001,43521,0,10,1.0,480.00000000000006,False,-0.015279027902790279,11,0.5350000000000001,43885,0,0,0.0,0.0,False,-0.012488748874887488,0.5,232699,0.0,0.0,12,0,0,25,7,7.0,15,40,51,310.0,225.0,27,40,51,1236,2.4608599822968245,24.85375285334885
8,51,0,0,0,10.0,20,10.0,15.817065811458404,0,,13.664648312129028,0,,39.56402396544517,5,52.0,48.00000000000001,20,48.0,0,0.2,16885,9,42,1.0,754.3167640812529,False,0.01476446899304137,0,0.389,15712,90,0,0.0,900.0,False,-0.04990888248780201,0,0.2,22734,8,50,1.0,809.7689420981186,False,-0.01741541165021617,0,0.812,21734,0,0,0.0,0.0,False,-0.07707333644740753,0,0.2,34593,2,33,1.0,1332.9420874839486,False,0.04621301536235151,0,0.2,33695,0,6,0.0,237.38414379267104,False,0.003314108121071077,0,0.4700000000000001,43693,0,6,0.5,288.00000000000006,False,-0.013568856885688568,11,0.6340000000000001,43684,0,0,0.0,0.0,False,-0.01701170117011701,0.4375,232730,0.0,0.0,10,0,0,22,4,4.0,14,36,38,214.0,167.0,23,28,38,892,2.131394269876182,26.985147123225033
9,38,0,0,0,10.000000000000002,20,10.0,16.9357171257197,35,19.285714285714285,15.912148767631681,47,19.36170212765958,39.56402396544517,0,,48.00000000000001,20,48.0,0,0.2,17270,10,37,1.0,726.621533651629,False,0.036582844443349374,20,0.5890000000000001,15362,99,0,0.0,990.0000000000002,False,-0.06783845746869673,0,0.2,23226,18,44,1.0,1004.9774540387486,False,0.007621925645223823,31,1.122,20015,15,0,0.0,254.03575688579554,False,-0.14467629714880048,0,0.2,33683,39,43,1.0,2321.826832451778,False,0.03388266026425412,0,0.2,33695,0,6,0.0,237.38414379267104,False,0.003314108121071077,4,0.51,43936,0,0,0.0,0.0,False,-0.01134113411341134,10,0.7230000000000001,43513,0,0,0.0,0.0,False,-0.02085958595859586,0.375,230700,0.0,0.0,10,0,0,19,11,10.25,10,29,34,191.0,138.0,17,21,34,1511,1.9871565932407975,28.97230371646583
