index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,32.0,0,,43.0,0,,0,0.2,23146,0,10,1.0,170.0,False,-0.0006452723049126731,0,0.2,23146,10,0,0.0,100.0,False,-0.002150907683042244,0,0.2,33319,0,0,0.0,0.0,False,0.0,0,0.2,33319,0,0,0.0,0.0,False,0.0,0,0.2,46181,0,0,0.0,0.0,False,0.0,0,0.2,46181,0,0,0.0,0.0,False,0.0,0,0.2,56487,0,0,0.0,0.0,False,0.0,0,0.2,56487,0,0,0.0,0.0,False,0.0,0.125,318266,0.0,0.0,7,0,0,0,0,0.0,271,271,68,0.0,0.0,0,0,68,200,1.0364462845027447,1.0364462845027447
1,68,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,32.0,0,,43.0,0,,0,0.2,23026,2,20,1.0,360.0,False,-0.001720726146433795,0,0.2,23066,18,0,0.0,180.0,False,-0.003871633829476039,0,0.2,33319,0,0,0.0,0.0,False,0.0,0,0.2,33319,0,0,0.0,0.0,False,0.0,0,0.2,46181,0,0,0.0,0.0,False,0.0,0,0.2,46181,0,0,0.0,0.0,False,0.0,0,0.2,56487,0,0,0.0,0.0,False,0.0,0,0.2,56487,0,0,0.0,0.0,False,0.0,0.125,318066,0.0,0.0,8,0,0,42,0,0.0,32,74,42,995.0,48.0,59,9,42,200,3.0905367266386747,4.126983011141419
2,42,0,0,0,10.0,20,10.0,17.0,0,,17.35820895522388,22,3.772727272727273,30.775510204081634,4,17.0,43.0,0,,0,0.2,22926,2,30,1.0,530.0,False,-0.0023659984513464682,0,0.2,22966,28,0,0.0,280.0,False,-0.006022541512518282,0,0.2,33319,0,0,0.0,0.0,False,0.0,22,0.42000000000000004,32574,0,0,0.0,0.0,False,-0.022359614634292747,0,0.2,46123,7,10,1.0,429.2625647273835,False,0.0033916823447671302,4,0.24000000000000002,46072,0,5,0.5,153.87755102040816,False,-0.0006942514126977101,0,0.2,56419,0,4,0.4,172.0,False,0.0003186573901959743,0,0.2,56487,0,0,0.0,0.0,False,0.0,0.3625,316886,0.0,0.0,8,0,0,18,4,4.0,15,33,42,232.0,69.0,18,24,42,200,2.1205046828836203,6.24748769402504
3,42,0,0,0,10.0,20,10.0,18.413793103448278,13,23.307692307692307,16.682020802377412,7,10.857142857142858,29.62993762993763,4,17.0,43.0,0,,0,0.2,23116,3,28,1.0,545.5862068965517,False,0.006142695665846827,1,0.21000000000000002,22858,37,0,0.0,370.0,False,-0.008732685193151509,4,0.24000000000000002,32952,3,10,1.0,222.06158733411894,False,-0.007682379613221949,3,0.42800000000000005,32511,0,0,0.0,0.0,False,-0.024250427683904077,0,0.2,46123,0,17,0.7,503.7089397089397,False,0.004197710527153418,0,0.23600000000000002,46064,0,8,0.7,237.03950103950103,False,3.2908566721167415e-05,0,0.2,56419,0,4,0.0,172.0,False,0.0003186573901959743,0,0.2,56419,0,4,0.4,172.0,False,0.0003186573901959743,0.475,316462,0.0,0.0,9,0,0,20,3,3.0,11,31,40,213.0,81.0,15,27,40,568,2.037981888279319,8.285469582304358
4,40,0,0,0,10.0,20,10.0,18.12406015037594,1,3.0,16.682020802377412,0,,28.561640938887717,4,17.0,43.0,20,43.0,0,0.2,23036,1,38,1.0,698.7142857142857,False,0.005994886985164816,1,0.21900000000000003,22720,49,0,0.0,490.0,False,-0.01208810117869741,0,0.23600000000000002,32949,0,14,0.4,233.54829123328378,False,-0.0076000436502704025,0,0.42500000000000004,32511,0,0,0.0,0.0,False,-0.024250427683904077,0,0.2,46123,0,17,0.0,485.54789596109117,False,0.004001081569921525,0,0.23600000000000002,46132,0,4,0.0,114.24656375555087,False,0.00017590095229161204,8,0.28,56412,0,4,0.4,172.0,False,0.00019473507178642874,4,0.24000000000000002,56549,0,0,0.0,0.0,False,0.0010975976773416893,0.22499999999999998,316432,0.0,0.0,10,0,0,16,6,5.25,16,32,51,200.0,71.0,16,24,51,483,2.110903578810394,10.396373161114752
5,51,0,0,0,10.0,20,10.0,18.238337320574168,19,18.526315789473685,16.682020802377412,0,,32.21834689343201,20,40.0,43.0,20,43.0,0,0.2,23239,5,35,1.0,688.3418062200959,False,0.01450446971995385,6,0.278,22537,55,0,0.0,550.0,False,-0.018669878688806676,0,0.23600000000000002,32665,7,24,1.0,528.0368605010771,False,-0.011704480018892021,0,0.42500000000000004,32443,2,0,0.0,36.476674641148335,False,-0.02574391976588211,0,0.2,46368,0,12,0.0,386.62016272118416,False,0.008235206716194808,11,0.34600000000000003,46209,0,0,0.0,0.0,False,0.0006063099543102142,8,0.35200000000000004,56149,0,10,1.0,430.0,False,-0.0021774921663391578,8,0.31600000000000006,55963,0,10,1.0,430.0,False,-0.005470285198364225,0.5,315573,0.0,0.0,11,0,0,18,12,10.8,11,29,46,184.0,114.0,15,36,46,874,1.92654915060848,12.322922311723232
6,46,0,0,0,10.0,20,10.0,15.071219853485884,37,9.91891891891892,17.299504554898512,2,36.0,33.58705095351269,5,49.0,43.0,20,43.0,0,0.2,23369,6,37,1.0,617.6351345789777,False,0.01857599446311152,29,0.562,21800,64,0,0.0,640.0,False,-0.04843844102211133,0,0.23600000000000002,32610,26,32,1.0,945.4358619473853,False,-0.00709151142070022,0,0.42500000000000004,32203,10,0,0.0,150.71219853485883,False,-0.03123274710323154,0,0.2,46613,0,7,0.0,235.1093566745888,False,0.011900016854058856,0,0.3350000000000001,46137,0,2,0.2,67.17410190702537,False,-0.0002254812378788646,0,0.3440000000000001,56407,0,4,0.0,172.0,False,0.00010621913006532477,4,0.34800000000000003,56116,0,5,0.5,215.0,False,-0.004664790128702179,0.3375,315255,0.0,0.0,18,0,0,18,3,3.0,15,33,48,219.0,108.0,18,28,48,1445,1.980556784197688,14.30347909592092
7,48,0,0,0,10.0,20,10.0,18.69055006718842,31,28.903225806451612,17.299504554898512,0,,34.86774062263344,5,49.0,43.0,20,43.0,0,0.2,24175,5,16,1.0,349.0488010750147,False,0.04747158223081417,0,0.5330000000000001,21690,75,0,0.0,750.0,False,-0.0508044394734578,0,0.23600000000000002,32272,29,42,1.0,1268.6051432542017,False,-0.012386248938230426,0,0.42500000000000004,31645,28,0,0.0,523.3354018812757,False,-0.04238819589601616,0,0.2,46858,0,2,0.0,69.73548124526688,False,0.0154147320461366,0,0.3350000000000001,46137,0,2,0.0,69.73548124526688,False,-0.00019774927735141508,6,0.404,56507,0,0,0.0,0.0,False,0.0003540637668844159,5,0.394,56027,0,5,0.5,215.0,False,-0.0062403738913378295,0.3125,315311,0.0,0.0,14,0,0,17,6,5.25,13,30,41,167.0,106.0,16,32,41,1599,2.082092427648604,16.385571523569524
8,41,0,0,0,10.0,20,10.0,20.13807501117803,12,33.0,20.165068379451686,22,27.5,36.07780086127677,6,47.0,43.0,20,43.0,0,0.2,24461,6,14,1.0,341.9330501564924,False,0.059621720944603177,0,0.533,21600,84,0,0.0,840.0,False,-0.05274025638819582,0,0.23600000000000002,32867,19,35,1.0,1088.4008184931915,False,0.002767202174332785,5,0.4750000000000001,31114,40,0,0.0,805.5230004471213,False,-0.05409041387125779,0,0.2,46905,0,1,0.0,36.07780086127677,False,0.016068056136303712,3,0.36500000000000005,45653,12,10,1.0,602.758829166188,False,-0.004907225599638581,9,0.4880000000000001,56328,0,1,0.1,43.0,False,-0.002434188397330359,6,0.44900000000000007,55949,0,5,0.5,215.0,False,-0.007621222582187052,0.45,314877,0.0,0.0,13,0,0,19,7,6.6,14,33,34,235.0,79.0,18,23,34,1453,2.8021479351446033,19.187719458714128
9,34,0,0,0,10.000000000000002,20,10.0,20.550975173979506,18,23.0,19.746616042394148,2,5.0,37.78063567903574,10,47.0,43.00000000000001,20,43.0,1,0.21000000000000002,24721,9,10,1.0,295.5097517397951,False,0.06980791860405651,3,0.5630000000000002,21470,91,0,0.0,910.0000000000001,False,-0.056826980985976085,0,0.23600000000000002,32552,24,45,1.0,1381.8211260832447,False,-0.0022836650847377353,2,0.49000000000000005,30967,43,0,0.0,883.6919324811188,False,-0.057329272600001244,0,0.2,46905,0,1,0.0,37.78063567903574,False,0.016086492666670695,0,0.36200000000000004,46113,4,10,1.0,456.79282095993403,False,0.0034732121539153985,13,0.6090000000000001,55879,0,5,0.5,215.00000000000003,False,-0.008860445766282508,1,0.45300000000000007,55921,0,5,0.5,215.00000000000003,False,-0.008116911855825235,0.5,314528,0.0,0.0,12,0,0,13,10,9.0,20,33,20,197.0,74.0,17,17,20,1197,1.5387218659743667,20.726441324688494
