index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,38.0,0,,49.0,0,,0,0.2,15496,1,10,1.0,170.0,False,-0.0016019479687299756,0,0.2,15516,0,9,0.9,144.0,False,-0.0011534025374855825,0,0.2,21514,0,0,0.0,0.0,False,0.0,0,0.2,21514,0,0,0.0,0.0,False,0.0,0,0.2,35001,0,0,0.0,0.0,False,0.0,0,0.2,35001.0,0,0,0.0,0.0,False,0.0,0,0.2,47708,0,0,0.0,0.0,False,0.0,0,0.2,47708,0,0,0.0,0.0,False,0.0,0.2375,239458,0.0,0.0,7,0,0,0,0,0.0,437,437,141,0.0,0.0,0,0,141,200,3.7163972670095973,3.7163972670095973
1,141,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,30.22222222222222,18,10.777777777777779,49.0,0,,0,0.2,15416,0,19,0.9,304.0,False,-0.002434960912469563,0,0.2,15396,2,19,1.0,324.0,False,-0.0030757400999615533,0,0.2,21514,0,0,0.0,0.0,False,0.0,0,0.2,21514,0,0,0.0,0.0,False,0.0,0,0.2,35001,0,0,0.0,0.0,False,0.0,18,0.38000000000000006,34169.0,0,0,0.0,0.0,False,-0.023770749407159796,0,0.2,47708,0,0,0.0,0.0,False,0.0,0,0.2,47514,18,0,0.0,544.0,False,0.0016349459210195354,0.2375,238232,0.0,0.0,7,0,0,43,4,4.0,60,103,61,1335.0,269.0,89,52,61,200,6.545330176013522,10.26172744302312
2,61,0,0,0,10.0,20,10.0,14.636363636363637,10,8.5,23.0,0,,28.0836820083682,15,20.0,49.0,0,,0,0.2,15326,0,28,0.9,409.8181818181818,False,-0.004811669171530816,0,0.2,15371,3,19,1.0,308.0909090909091,False,-0.005187398786014734,0,0.2,21514,0,0,0.0,0.0,False,0.0,0,0.2,21429,0,10,1.0,230.0,False,0.0013944408292274797,0,0.2,35001,0,0,0.0,0.0,False,0.0,15,0.512,33647.0,0,0,0.0,0.0,False,-0.03868460901117111,0,0.2,47708,0,0,0.0,0.0,False,0.0,0,0.2,47214,33,0,0.0,926.7615062761506,False,-0.0006418052918153457,0.3625,237210,0.0,0.0,9,0,0,26,4,4.0,27,53,48,539.0,127.0,38,23,48,285,3.692455839016475,13.954183282039594
3,48,0,0,0,10.0,20,10.0,13.059259259259258,18,8.722222222222221,23.0,0,,23.901999306598864,22,11.636363636363637,49.0,0,,0,0.2,15286,0,31,0.8,404.837037037037,False,-0.0075343766167808605,0,0.2,15368,5,16,1.0,258.9481481481481,False,-0.006954115463663049,0,0.2,21442,0,8,0.8,184.0,False,0.0009296272194849865,0,0.2,21344,0,20,1.0,460.0,False,0.0027888816584549594,0,0.2,35001,0,0,0.0,0.0,False,0.0,22,0.7170000000000001,32599.0,0,0,0.0,0.0,False,-0.06862661066826663,0,0.2,47676,4,10,1.0,585.6079972263955,False,0.0054666722271568486,0,0.2,46990,41,0,0.0,979.9819715705534,False,-0.004779261637769844,0.575,235706,0.0,0.0,10,0,0,15,3,3.0,23,38,37,324.0,98.0,24,24,37,357,2.3452325260150246,16.29941580805462
4,37,0,0,0,10.0,20,10.0,13.059259259259258,0,,22.8125,3,20.0,25.004200997629987,39,27.205128205128204,49.0,20,49.0,0,0.2,15196,0,40,0.9,522.3703703703703,False,-0.009535743612380859,0,0.2,15258,6,26,1.0,399.5407407407407,False,-0.009498246163631291,0,0.2,21442,0,8,0.0,182.5,False,0.0008947661987542995,0,0.2,21404,0,17,0.0,387.8125,False,0.0039000766942456073,13,0.33000000000000007,34815,0,0,0.0,0.0,False,-0.005314133881889089,26,0.9550000000000001,31393.0,3,0,0.0,68.4375,False,-0.10210511842518785,0,0.2,47477,11,14,1.0,961.0462109739299,False,0.0052302151732825835,14,0.34,46116,63,0,0.0,1575.264662850689,False,-0.01686022613764262,0.3625,233101,0.0,0.0,10,0,0,13,15,15.0,23,36,30,214.0,50.0,23,14,30,554,2.287785401043948,18.587201209098566
5,30,0,0,0,10.0,20,10.0,15.054125412541254,15,23.133333333333333,22.8125,0,,24.195192460850482,21,20.142857142857142,49.0,20,49.0,0,0.2,15463,0,33,0.8,496.78613861386134,False,0.006753368531778198,0,0.2,15138,8,36,1.0,621.9485148514851,False,-0.010061882774205855,0,0.2,21442,0,8,0.0,182.5,False,0.0008947661987542995,0,0.2,21057,5,27,1.0,691.2081270627062,False,-0.005177834734063644,0,0.31700000000000006,34815,0,0,0.0,0.0,False,-0.005314133881889089,21,1.1390000000000002,30550.0,3,0,0.0,68.4375,False,-0.12619014456729807,0,0.2,47776,4,16,1.0,880.7807698434019,False,0.010656292129657546,12,0.44600000000000006,45551,81,0,0.0,1959.8105893288891,False,-0.024672899835154603,0.475,231792,0.0,0.0,13,0,0,14,9,9.0,15,29,40,168.0,63.0,16,14,40,939,2.2580890440149233,20.84529025311349
6,40,0,0,0,10.0,20,10.0,15.054125412541254,0,,26.623711340206185,15,37.6,24.65567217330366,27,26.59259259259259,49.0,20,49.0,0,0.2,15363,0,43,1.0,647.3273927392739,False,0.0051687617819836254,0,0.2,15038,8,46,1.0,772.4897689768977,False,-0.011646489524000428,0,0.2,21487,0,7,0.0,186.3659793814433,False,0.0030762754341694724,0,0.2,21576,0,18,0.5,479.2268041237113,False,0.014019401415908506,5,0.3670000000000001,34858,0,1,0.1,24.65567217330366,False,-0.0037333837294176338,22,1.3380000000000003,29103.0,17,0,0.0,452.60309278350513,False,-0.1620438974203094,0,0.2,47886,5,16,1.0,907.2783608665183,False,0.013239691046224107,10,0.534,45046,97,0,0.0,2391.600200810455,False,-0.030732789041560585,0.45,230357,0.0,0.0,14,0,0,17,9,9.0,20,37,33,272.0,63.0,24,16,33,1254,2.4015814749873243,23.246871728100814
7,33,0,0,0,10.0,20,10.0,18.66710141668541,43,24.3953488372093,26.36661936857041,4,23.0,19.26211506171858,112,13.169642857142858,49.00000000000001,20,49.0,0,0.2,15932,0,24,0.8,448.0104340004498,False,0.03524318960657603,0,0.2,15318,10,40,1.0,846.6840566674164,False,0.008672435494919088,0,0.2,21487,0,7,0.0,184.56633557999288,False,0.0030344504875892808,0,0.2,20619,33,24,1.0,1248.8132115963085,False,-0.012577549233143326,4,0.4020000000000001,34998,0,0,0.0,0.0,False,-8.571183680466272e-05,107,2.3860000000000006,17384.0,21,0,0.0,553.6990067399786,False,-0.4954187165118142,0,0.2,47870,79,13,1.0,2158.707089875768,False,0.02601981942101709,7,0.5940000000000001,44125,125,0,0.0,2407.764382714822,False,-0.049868319959809386,0.475,217733,0.0,0.0,15,0,0,12,13,12.8,20,32,29,241.0,57.0,19,14,29,1978,2.1284097229945473,25.37528145109536
8,29,0,0,0,10.0,20,10.0,19.383855517482914,32,21.625,25.344338393054077,49,24.285714285714285,22.963244261449493,95,31.326315789473686,49.00000000000001,20,49.0,3,0.23,16442,0,8,0.8,155.0708441398633,False,0.05853744854991222,0,0.2,15243,12,45,1.0,992.2734982867312,False,0.008531125794141023,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,18,0.38000000000000006,20221,55,10,1.0,1319.5554373921009,False,-0.029433033434226454,0,0.398,34308,20,10,1.0,736.5192104755764,False,-0.009278031906580244,95,3.2290000000000005,9517.0,40,0,0.0,1013.773535722163,False,-0.7136114177348909,0,0.2,45654,152,15,1.0,4225.413127740323,False,0.0012305391940588709,12,0.7070000000000001,43524,137,0,0.0,3145.9644638185805,False,-0.05472913909806966,0.6,206704,0.0,0.0,13,0,0,13,12,10.414285714285715,22,35,23,209.0,42.0,20,9,23,1270,1.8030610179994255,27.178342469094787
9,23,0,0,0,10.000000000000002,20,10.0,20.341078623529786,30,24.133333333333333,30.063173193872007,38,41.21052631578947,24.56855989398505,38,36.3421052631579,49.00000000000001,20,49.0,5,0.277,16546,0,10,1.0,203.41078623529785,False,0.06675031354079512,0,0.2,15568,12,38,1.0,892.9609876941319,False,0.026174579895364994,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,28,0.6420000000000001,19995,75,10,1.0,1826.2126287034541,False,-0.028162763114635697,0,0.398,34098,26,14,1.0,1125.6023415564628,False,-0.009719688843797949,32,3.4540000000000006,7401.0,62,0,0.0,1863.9167380200645,False,-0.7619222773917879,0,0.2,44922,173,16,1.0,5034.360861659414,False,-0.005634685360323072,11,0.8050000000000002,43129,144,0,0.0,3537.8726247338473,False,-0.05890130979360014,0.625,203454,0.0,0.0,13,0,0,13,11,9.759615384615385,15,28,30,135.0,60.0,13,10,30,1432,1.7201019009808078,28.898444370075595
