index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,18,10.0,17.0,0,,24.0,0,,35.0,0,,54.0,0,,0,0.2,14837,0,8,0.8,136.0,False,-0.0008044512971777167,0,0.2,14817,10,0,0.0,100.0,False,-0.0033518804049071527,0,0.2,21629,0,0,0.0,0.0,False,0.0,0,0.2,21629.0,0,0,0.0,0.0,False,0.0,0,0.2,31805,0,0,0.0,0.0,False,0.0,0,0.2,31805,0,0,0.0,0.0,False,0.0,0,0.2,47094,0,0,0.0,0.0,False,0.0,0,0.2,47094,0,0,0.0,0.0,False,0.0,0.1,230710,0.0,0.0,9,0,0,56,0,0.0,209,265,86,0.0,0.0,0,0,86,180,0.9533389480784535,0.9533389480784535
1,86,0,0,0,10.0,19,10.0,17.0,0,,24.0,0,,35.0,0,,54.0,0,,0,0.2,14787,0,13,0.5,221.0,False,-0.0013072333579137896,0,0.2,14677,24,0,0.0,240.0,False,-0.008044512971777168,0,0.2,21629,0,0,0.0,0.0,False,0.0,0,0.2,21629.0,0,0,0.0,0.0,False,0.0,0,0.2,31805,0,0,0.0,0.0,False,0.0,0,0.2,31805,0,0,0.0,0.0,False,0.0,0,0.2,47094,0,0,0.0,0.0,False,0.0,0,0.2,47094,0,0,0.0,0.0,False,0.0,0.0625,230520,0.0,0.0,11,0,0,44,0,0.0,43,87,67,1100.0,222.0,65,21,67,190,3.2588220555335283,4.212161003611982
2,67,0,0,0,10.0,19,10.0,15.6,5,3.0,20.072727272727274,10,2.4,35.0,0,,54.0,0,,0,0.2,14717,0,20,0.7,312.0,False,-0.0029496547563182944,5,0.25,14467,36,0,0.0,360.0,False,-0.018100154186498626,0,0.2,21614,0,5,0.5,100.36363636363637,False,0.0016266040122899735,10,0.30000000000000004,21325.0,0,0,0.0,0.0,False,-0.014055203661750428,0,0.2,31797,0,8,0.8,280.0,False,0.004150290834774407,0,0.2,31789,0,2,0.2,70.0,False,0.0005973903474296494,0,0.2,47094,0,0,0.0,0.0,False,0.0,0,0.2,47094,0,0,0.0,0.0,False,0.0,0.275,229897,0.0,0.0,10,0,0,30,4,4.0,20,50,76,353.0,108.0,28,39,76,190,4.403346214443445,8.615507218055427
3,76,0,0,0,9.999999999999998,15,10.0,14.877551020408163,4,6.75,16.828776978417263,20,8.8,32.58490566037736,8,19.0,54.0,0,,0,0.2,14717,0,20,0.0,297.55102040816325,False,-0.003433967271966146,4,0.28500000000000003,14258,51,0,0.0,509.9999999999999,False,-0.027083193671649797,1,0.21000000000000002,21708,0,1,0.1,16.828776978417263,False,0.0040415362933657285,14,0.43000000000000005,20865.0,3,0,0.0,44.63265306122449,False,-0.03429116803686653,0,0.2,31913,0,1,0.1,32.58490566037736,False,0.003907953241005762,0,0.2,31649,9,12,1.0,542.4778607302837,False,0.0036232960341186435,0,0.2,47094,0,0,0.0,0.0,False,0.0,0,0.2,46942,0,8,0.8,432.0,False,0.0013589841593408926,0.25,229146,0.0,0.0,10,0,0,35,7,6.25,21,56,71,404.0,140.0,38,38,71,374,3.5263544814661145,12.141861699521542
4,71,0,0,0,9.999999999999998,15,10.0,15.936479128856625,11,20.181818181818183,15.09529335912314,15,7.866666666666666,29.565770862800566,23,23.304347826086957,54.0,20,54.0,0,0.2,14869,0,18,0.4,286.85662431941927,False,0.006397285792029838,5,0.33100000000000007,14073,62,0,0.0,619.9999999999999,False,-0.035798082724408396,5,0.259,21629,0,5,0.5,75.47646679561569,False,0.0017447978823713246,9,0.506,20405.0,9,0,0.0,143.42831215970963,False,-0.05327504017384736,10,0.30000000000000004,31637,0,5,0.5,147.82885431400283,False,-0.0029582006867787986,0,0.2,31923,9,10,1.0,431.51534886011393,False,0.010493874372899128,12,0.32000000000000006,46452,4,10,1.0,658.2630834512023,False,-0.00664348873050485,0,0.2,47203,0,9,0.9,486.0,False,0.00747441287637491,0.5375,228191,0.0,0.0,13,0,0,38,12,11.709090909090909,16,54,62,412.0,157.0,32,39,62,1101,2.5674557080492377,14.70931740757078
5,62,0,0,0,9.999999999999998,12,10.0,15.525080042689435,16,14.25,15.553175768004449,29,16.655172413793103,31.544695289051294,13,41.23076923076923,54.0,20,54.0,0,0.2,15089,0,8,0.0,124.20064034151548,False,0.015693525519257033,6,0.38600000000000007,13831,74,0,0.0,739.9999999999999,False,-0.04799892739827043,1,0.264,21693,0,6,0.6,93.31905460802669,False,0.005116257215036052,23,0.7270000000000001,19709.0,19,0,0.0,294.97652081109925,False,-0.08195070227909061,5,0.34,31697,0,7,0.7,220.81286702335905,False,7.566211324251494e-05,0,0.2,31698,21,17,1.0,862.8765110419654,False,0.010200856957113074,5,0.35800000000000004,46693,1,10,1.0,571.5446952890513,False,-0.002446758660455166,0,0.2,47161,0,10,0.6,540.0,False,0.007155900964029388,0.4875,227571,0.0,0.0,18,0,0,27,13,12.333333333333332,16,43,61,303.0,144.0,24,38,61,1527,2.1501448526978493,16.85946226026863
6,61,0,0,0,9.999999999999998,12,10.0,15.967193822443617,3,24.666666666666668,16.056722505932804,4,27.25,33.982877371195514,9,52.666666666666664,54.0,20,54.0,0,0.2,15151,0,6,0.0,95.8031629346617,False,0.018898007740653696,1,0.39,13702,86,0,0.0,859.9999999999999,False,-0.0526245223570423,0,0.263,21801,0,3,0.0,48.17016751779841,False,0.009065841405469448,1,0.7140000000000002,19607.0,22,0,0.0,351.27826409375956,False,-0.08536505931634013,0,0.3350000000000001,31625,0,9,0.2,305.8458963407596,False,-0.0008513457578877362,0,0.2,32135,13,18,1.0,820.4291852586457,False,0.02327352908754357,4,0.393,47025,0,4,0.4,216.0,False,0.0008281309720983565,0,0.2,47170,0,10,0.6,540.0,False,0.007347008111436701,0.275,228216,0.0,0.0,22,0,0,32,4,4.0,14,46,59,408.0,267.0,27,34,59,1628,2.0960103794932365,18.955472639761865
7,59,0,0,0,9.999999999999996,11,10.0,13.870912456122772,23,8.782608695652174,15.407736464685247,35,13.857142857142858,36.14472472631783,9,53.0,54.0,20,54.0,0,0.2,15306,0,1,0.0,13.870912456122772,False,0.026542565946776196,18,0.5690000000000001,13234,97,0,0.0,969.9999999999997,False,-0.08031105450157539,0,0.263,21766,7,13,1.0,297.3969612337676,False,0.013209047141193949,35,1.063,18342.0,28,0,0.0,388.38554877143764,False,-0.14299353763994085,0,0.3350000000000001,31902,1,13,1.0,485.289157906817,False,0.01067896805387229,0,0.2,31850,27,25,1.0,1319.6270027044475,False,0.02216046223399536,9,0.47900000000000004,46750,0,6,0.6,324.0,False,-0.0038646112031256634,0,0.2,47389,0,6,0.3,324.0,False,0.009703996262793562,0.4875,226539,0.0,0.0,16,0,0,32,15,14.5,15,47,55,332.0,191.0,26,33,55,1282,2.039851278066635,20.9953239178285
8,55,0,0,0,9.999999999999995,12,10.0,12.542748653108742,17,7.0,15.620315492849937,15,17.133333333333333,37.22371289782065,5,52.6,54.0,20,54.0,0,0.2,15306,0,1,0.0,12.542748653108742,False,0.026498047484517933,17,0.7210000000000001,12876,109,0,0.0,1089.9999999999993,False,-0.10028826171482201,0,0.263,21719,14,21,1.0,503.62510649337105,False,0.015803437664556098,13,1.1580000000000001,18120.0,28,0,0.0,351.19696228704476,False,-0.15411722774314474,0,0.3350000000000001,31970,0,13,0.2,483.9082676716684,False,0.012795287968427474,0,0.2,31788,31,32,1.0,1675.3885930086087,False,0.02580393952222309,4,0.51,46973,0,1,0.1,54.0,False,-0.001996007984031936,4,0.24000000000000002,47450,0,4,0.4,216.0,False,0.009852635155221471,0.3375,226202,0.0,0.0,16,0,0,28,7,6.0,15,43,57,338.0,170.0,23,32,57,941,1.8733760714530945,22.868699989281595
9,57,0,0,0,9.999999999999996,10,10.0,12.542748653108742,0,,15.548031568415201,40,15.35,36.64905346199891,13,33.61538461538461,54.0,20,54.0,0,0.2,15306,0,1,0.0,12.542748653108742,False,0.026498047484517933,0,0.7040000000000002,12776,119,0,0.0,1189.9999999999995,False,-0.10364014211972916,0,0.263,21791,4,29,1.0,501.0639100964758,False,0.019073094227575856,38,1.5250000000000001,17200.0,28,0,0.0,351.19696228704476,False,-0.19665271250896837,0,0.3350000000000001,32156,0,9,0.6,329.8414811579902,False,0.016221372129507833,0,0.2,31425,55,39,1.0,2284.4548212807936,False,0.023965647245414133,9,0.5960000000000001,46641,0,6,0.6,324.0,False,-0.006179131099503121,6,0.29600000000000004,47343,0,7,0.7,378.0,False,0.009300547840489235,0.4875,224638,0.0,0.0,13,0,0,31,12,11.5,13,44,55,300.0,144.0,20,37,55,825,1.7625757837668061,24.6312757730484
10,55,0,0,0,9.999999999999996,9,10.0,12.797983817937533,1,33.0,15.804928408249793,3,27.333333333333332,34.933849179185295,15,26.533333333333335,53.99999999999999,20,54.0,0,0.2,15339,0,0,0.0,0.0,False,0.02828987061741637,0,0.7040000000000002,12686,128,0,0.0,1279.9999999999995,False,-0.1066568344841456,0,0.263,21863,0,31,0.4,489.9527806557436,False,0.022145101036935257,1,1.497,17148.0,29,0,0.0,371.1415307201885,False,-0.19859583127467315,0,0.3350000000000001,32257,0,4,0.1,139.73539671674118,False,0.016408353980769435,0,0.2,31640,47,40,1.0,2140.1856023551522,False,0.028457563313239297,3,0.617,46667,0,7,0.7,377.99999999999994,False,-0.005053722342548945,4,0.33000000000000007,47531,0,8,0.8,431.99999999999994,False,0.013865885250775046,0.375,225131,0.0,0.0,18,0,0,29,6,5.5,14,43,61,322.0,217.0,22,33,61,1187,1.9575051767751575,26.58878094982356
11,61,0,0,0,9.999999999999998,9,10.0,12.326915773736696,3,1.0,15.783764800342189,11,15.545454545454545,36.121312965773136,12,44.0,53.99999999999999,20,54.0,0,0.2,15339,0,0,0.0,0.0,False,0.02828987061741637,3,0.7340000000000002,12536,137,0,0.0,1369.9999999999998,False,-0.11369578333445063,0,0.263,21932,0,32,0.3,505.08047361095004,False,0.0256849709559145,9,1.586,16956.0,29,0,0.0,357.4805574383642,False,-0.2077886042480382,5,0.385,32368,0,4,0.4,144.48525186309254,False,0.019973042789861565,0,0.2,31667,44,47,1.0,2392.1873606063937,False,0.03326815533102325,3,0.6440000000000001,46640,0,9,0.9,485.99999999999994,False,-0.0044804009003270055,2,0.34600000000000003,47784,0,3,0.3,161.99999999999997,False,0.016371512294559815,0.36249999999999993,225222,0.0,0.0,14,0,0,23,9,8.333333333333334,24,47,62,347.0,123.0,25,36,62,1236,1.8768126433715224,28.46559359319508
12,62,0,0,0,9.999999999999998,10,10.0,11.451993855619378,7,3.0,16.271381778125093,3,36.0,35.9585625289912,14,35.0,53.99999999999999,20,54.0,0,0.2,15339,0,0,0.0,0.0,False,0.02828987061741637,7,0.8010000000000002,12299,147,0,0.0,1469.9999999999998,False,-0.12623181604880337,0,0.263,22034,0,35,0.6,569.4983622343783,False,0.031890017158314736,0,1.5770000000000002,16941.0,30,0,0.0,343.55981566858134,False,-0.208803924923284,0,0.38000000000000006,32296,0,6,0.2,215.75137517394722,False,0.018829608161829055,0,0.2,32121,35,43,1.0,2115.716550981,False,0.04319629855338784,0,0.641,46719,0,10,0.7,539.9999999999999,False,-0.002229583386418652,11,0.45400000000000007,47458,0,7,0.7,377.99999999999994,False,0.0117424725018049,0.39999999999999997,225207,0.0,0.0,15,0,0,25,9,8.4,21,46,53,386.0,118.0,27,35,53,1022,1.794179298914969,30.25977289211005
13,53,0,0,0,9.999999999999998,8,10.0,11.005071436742941,3,1.0,16.441322315335864,43,16.88372093023256,34.56256353675733,11,23.545454545454547,54.00000000000001,20,54.0,0,0.2,15339,0,0,0.0,0.0,False,0.02828987061741637,3,0.8240000000000001,12159,155,0,0.0,1549.9999999999998,False,-0.13293557685861768,0,0.263,22067,0,37,0.3,608.3289256674269,False,0.034313396959346834,42,1.997,15816.0,30,0,0.0,330.1521431022882,False,-0.2611273719750731,4,0.42000000000000004,32328,0,0,0.0,0.0,False,0.01644395535293193,0,0.2,31448,68,52,1.0,2915.26322135422,False,0.03460561580497129,0,0.641,47051,0,8,0.8,432.00000000000006,False,0.0036735040557183507,3,0.4730000000000001,47746,0,3,0.3,162.00000000000003,False,0.015564615449951162,0.3,223954,0.0,0.0,15,0,0,35,10,8.533333333333333,13,48,48,385.0,149.0,28,25,48,975,3.1219213036820292,33.38169419579208
14,48,0,0,0,9.999999999999998,12,10.0,11.005071436742941,0,,16.698132888257327,6,22.666666666666668,34.02654382403139,7,27.285714285714285,54.00000000000001,20,54.0,0,0.2,15339,0,0,0.0,0.0,False,0.02828987061741637,0,0.8210000000000002,12039,167,0,0.0,1669.9999999999998,False,-0.13695783334450626,0,0.263,22139,0,35,0.0,584.4346510890065,False,0.03708989437997619,4,1.9950000000000003,15764.0,30,0,0.0,330.1521431022882,False,-0.26353155154879354,5,0.4660000000000001,32167,0,1,0.1,34.02654382403139,False,0.011916782641471958,0,0.2,31454,63,60,1.0,3093.575001402095,False,0.037597468973464686,5,0.6910000000000001,47220,0,7,0.7,378.00000000000006,False,0.006688750159255956,4,0.51,47868,0,0,0.0,0.0,False,0.016435214677028923,0.225,223990,0.0,0.0,15,0,0,19,6,5.8,17,36,48,235.0,107.0,17,31,48,838,1.7751903552561998,35.15688455104828
