index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,15,10.0,17.0,0,,31.0,0,,45.0,0,,0,0.2,22646,0,2,0.2,34.0,False,-0.00013235683402453013,0,0.2,22536,3,10,1.0,200.0,False,-0.0013235683402453013,0,0.2,37549,0,0,0.0,0.0,False,0.0,0,0.2,37549.0,0,0,0.0,0.0,False,0.0,0,0.2,53868,0,0,0.0,0.0,False,0.0,0,0.2,53868,0,0,0.0,0.0,False,0.0,0.19999999999999998,228016,0.0,0.0,7,0,0,79,0,0.0,221,300,80,0.0,0.0,0,0,80,150,1.0262983376160264,1.0262983376160264
1,80,0,0,0,10.0,14,10.0,17.0,0,,28.64814814814815,9,16.88888888888889,45.0,0,,0,0.2,22626,0,4,0.2,68.0,False,-0.00026471366804906027,0,0.2,22416,5,20,1.0,390.0,False,-0.0024265419571163857,0,0.2,37549,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,37356.0,0,0,0.0,0.0,False,-0.005139950464726091,0,0.2,53716,9,0,0.0,257.8333333333333,False,-0.00042851662087576594,0,0.2,53868,0,0,0.0,0.0,False,0.0,0.19999999999999998,227531,0.0,0.0,8,0,0,48,2,2.0,43,91,44,1278.0,87.0,71,9,44,140,4.4600470950827,5.486345432698727
2,44,0,0,0,10.0,17,10.0,17.0,0,,23.14952153110048,35,15.514285714285714,45.0,0,,0,0.2,22566,0,10,0.6,170.0,False,-0.0006617841701226507,0,0.2,22306,6,30,1.0,570.0,False,-0.0033089208506132534,9,0.29000000000000004,37351,0,0,0.0,0.0,False,-0.005273109803190497,26,0.5410000000000001,36460.0,0,0,0.0,0.0,False,-0.029002103917547737,0,0.2,53173,44,0,0.0,1018.578947368421,False,-0.0034475110699447985,0,0.2,53868,0,0,0.0,0.0,False,0.0,0.26666666666666666,225724,0.0,0.0,8,0,0,19,4,4.0,26,45,34,396.0,144.0,27,17,34,170,2.8101546308025718,8.296500063501298
3,34,0,0,0,10.0,17,10.0,18.79310344827586,13,25.0,21.053934487951807,31,15.96774193548387,45.0,20,45.0,0,0.2,22541,0,14,0.5,263.10344827586204,False,0.00028905515476622076,0,0.2,22486,8,28,1.0,606.2068965517241,False,0.005431194223765213,8,0.36100000000000004,36875,2,10,1.0,248.12555177606978,False,-0.014645855391940228,23,0.7450000000000001,35691.0,1,0,0.0,18.79310344827586,False,-0.04923176245108691,9,0.29000000000000004,52530,75,0,0.0,1579.0450865963855,False,-0.01018187897642033,11,0.31000000000000005,53668,0,0,0.0,0.0,False,-0.003712779386648845,0.4166666666666667,223791,0.0,0.0,10,0,0,21,14,14.0,19,40,31,366.0,186.0,22,12,31,495,2.072065345942974,10.368565409444273
4,31,0,0,0,10.0,10,10.0,18.16062176165803,25,16.84,19.214106938287593,65,16.50769230769231,45.0,20,45.0,0,0.2,22541,0,14,0.0,254.24870466321244,False,9.372418298808576e-05,0,0.2,22807,8,13,1.0,316.0880829015544,False,0.013193507520108342,0,0.35300000000000004,36669,5,13,1.0,340.5864990060289,False,-0.018900816279980536,58,1.3020000000000003,32178.0,13,0,0.0,236.0880829015544,False,-0.1398960280846154,10,0.38100000000000006,51577,122,0,0.0,2344.121046471086,False,-0.02077187712119357,10,0.399,53218,8,10,1.0,603.7128555063007,False,-0.006462901393162031,0.5,218990,0.0,0.0,9,0,0,18,15,15.0,16,34,29,273.0,210.0,16,15,29,640,1.6685579922050238,12.037123401649296
5,29,0,0,0,10.0,12,10.0,18.92429324389075,14,22.714285714285715,18.37957246281897,57,16.263157894736842,45.0,20,45.0,0,0.2,22541,0,14,0.0,264.9401054144705,False,0.0003295708421086461,1,0.21000000000000002,22984,10,10,1.0,289.24293243890753,False,0.02041037087353103,3,0.383,36490,9,10,1.0,354.1143638232065,False,-0.02348778444401712,41,1.6540000000000004,30317.0,13,0,0.0,246.01581217057978,False,-0.18932573687487572,12,0.4910000000000001,50601,169,0,0.0,3106.147746216406,False,-0.03181714797081381,0,0.389,53408,8,12,1.0,687.0365797025518,False,-0.002162354461808877,0.5,216341,0.0,0.0,12,0,0,21,11,9.356060606060606,18,39,29,291.0,186.0,17,12,29,583,1.5384732261300087,13.575596627779305
6,29,0,0,0,10.0,9,10.0,20.936875749101077,35,25.257142857142856,17.894962158565768,58,16.379310344827587,45.00000000000001,20,45.0,0,0.2,22541,0,14,0.0,293.11626048741505,False,0.0009511219555151248,25,0.4590000000000001,23105,9,10,1.0,299.3687574910108,False,0.02597213353681742,15,0.53,35955,12,10,1.0,430.1921305748706,False,-0.03672278715045848,33,1.9430000000000005,28442.0,35,0,0.0,732.7906512185377,False,-0.23277862724415382,11,0.5890000000000001,49884,199,0,0.0,3561.097469554588,False,-0.0409046421850209,0,0.389,53373,26,13,1.0,1050.2690161227101,False,0.0005594139017849873,0.5,213300,0.0,0.0,9,0,0,22,15,14.23076923076923,17,39,31,327.0,165.0,19,10,31,665,1.455532282590866,15.031128910370171
7,31,0,0,0,10.000000000000002,11,10.0,21.554666421496687,14,25.928571428571427,18.027550552558576,52,18.576923076923077,45.00000000000001,20,45.0,0,0.2,22566,0,13,0.0,280.2106634794569,False,0.0017694049121912672,3,0.464,23270,10,10,1.0,315.5466642149669,False,0.03360863549402121,24,0.7550000000000001,35072,16,10,1.0,525.1501682695327,False,-0.05897427137514264,18,2.0900000000000003,27963.0,35,0,0.0,754.413324752384,False,-0.24524736577868403,14,0.7180000000000002,49084,221,0,0.0,3984.088672115445,False,-0.051829577187611955,0,0.389,53171,46,17,1.0,1594.2673254176948,False,0.0018588709940752545,0.5,211126,0.0,0.0,8,0,0,22,14,12.685314685314685,16,38,31,309.0,204.0,18,13,31,593,1.5301928827539086,16.56132179312408
8,31,0,0,0,10.000000000000002,9,10.0,22.023390141829683,12,26.0,20.716438385143196,149,25.06040268456376,45.00000000000001,20,45.0,0,0.2,22566,0,13,0.0,286.3040718437859,False,0.0019038222854448113,2,0.48100000000000004,23450,9,10,1.0,310.23390141829685,False,0.041432848791544484,37,1.1010000000000002,34023,6,10,1.0,339.30472470241006,False,-0.08938580621717745,102,3.0920000000000014,21884.0,47,0,0.0,1035.099336665995,False,-0.4034048931174466,9,0.7940000000000003,48012,256,0,0.0,5303.408226596658,False,-0.05948421858434825,0,0.389,50854,150,16,1.0,3827.4657577714793,False,-0.02042524543540244,0.5,200789,0.0,0.0,12,0,0,22,16,14.566666666666666,17,39,27,312.0,186.0,19,12,27,754,1.6842728173360229,18.245594610460103
9,27,0,0,0,10.0,11,10.0,22.555956301324358,17,25.764705882352942,21.356776597858968,60,25.1,45.0,20,45.0,0,0.2,22666,0,9,0.0,203.00360671191922,False,0.00447815244665847,3,0.5090000000000001,23615,10,10,1.0,325.5595630132436,False,0.04905055067090013,20,1.2640000000000002,34143,0,10,1.0,213.56776597858968,False,-0.08786428711845073,30,3.290000000000001,20460.0,60,0,0.0,1353.3573780794613,False,-0.4370907696865501,11,0.8950000000000002,46318,316,0,0.0,6748.741404923434,False,-0.07751595191093566,0,0.389,51259,140,17,1.0,3754.9487237002554,False,-0.013579966550639885,0.5,198461,0.0,0.0,12,0,0,20,10,8.397435897435898,19,39,24,294.0,147.0,18,9,24,615,1.4617856470867991,19.7073802575469
