index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,15,10.0,23.0,0,,36.0,0,,43.0,0,,0,0.2,19830,0,6,0.6,138.0,False,0.00045248868778280545,0,0.2,19800,9,0,0.0,90.0,False,-0.0022624434389140274,0,0.2,34034,0,0,0.0,0.0,False,0.0,0,0.2,34034.0,0,0,0.0,0.0,False,0.0,0,0.2,44200,0,0,0.0,0.0,False,0.0,0,0.2,44200,0,0,0.0,0.0,False,0.0,0.09999999999999999,196098,0.0,0.0,4,0,0,49,0,0.0,158,207,74,0.0,0.0,0,0,74,150,1.2571835810085759,1.2571835810085759
1,74,0,0,0,10.0,12,10.0,23.0,0,,29.216216216216218,29,18.689655172413794,43.0,0,,0,0.2,19810,0,8,0.2,184.0,False,0.0006033182503770739,0,0.2,19700,19,0,0.0,190.0,False,-0.0047762694821518355,0,0.2,34034,0,0,0.0,0.0,False,0.0,29,0.49000000000000005,32733.0,0,0,0.0,0.0,False,-0.038226479402949994,0,0.2,44200,0,0,0.0,0.0,False,0.0,0,0.2,43658,29,0,0.0,847.2702702702703,False,-0.0026779381191146343,0.03333333333333333,194135,0.0,0.0,4,0,0,45,6,6.0,36,81,44,1260.0,12.0,70,4,44,120,8.143036291003227,9.400219872011803
2,44,0,0,0,10.0,17,10.0,22.53191489361702,2,12.0,27.306220095693778,17,19.823529411764707,43.0,0,,0,0.2,19740,0,15,0.7,337.97872340425533,False,0.0009547190398253489,2,0.22000000000000003,19567,29,0,0.0,290.0,False,-0.008949220713926596,0,0.2,34034,0,0,0.0,0.0,False,0.0,17,0.6310000000000001,32240.0,2,0,0.0,45.06382978723404,False,-0.05204995255057831,0,0.2,44200,0,0,0.0,0.0,False,0.0,0,0.2,43321,46,0,0.0,1256.0861244019138,False,-0.00567775877373396,0.11666666666666665,193102,0.0,0.0,4,0,0,20,4,4.0,19,39,30,381.0,66.0,27,17,30,170,2.9884744299924932,12.388694302004296
3,30,0,0,0,10.0,10,10.0,17.83228247162673,37,12.45945945945946,26.50792888034599,8,19.0,43.0,20,43.0,0,0.2,19740,0,15,0.0,267.48423707440094,False,-0.0008173897165811745,37,0.5880000000000001,18312,39,0,0.0,390.0,False,-0.06953242835595777,0,0.2,33924,0,10,1.0,265.0792888034599,False,0.0006622684492487363,8,0.6940000000000002,31669.0,29,0,0.0,517.1361916771751,False,-0.06189198754661253,11,0.31000000000000005,43951,0,4,0.4,172.0,False,-0.0036877828054298644,9,0.29000000000000004,43124,50,0,0.0,1325.3964440172995,False,-0.009350718959080313,0.2333333333333333,190720,0.0,0.0,3,0,0,14,12,12.0,18,32,26,378.0,102.0,21,9,26,100,1.971204683999531,14.359898986003827
4,26,0,0,0,10.0,15,10.0,17.088760945184116,12,12.666666666666666,25.010886679562734,14,17.0,43.0,20,43.0,0,0.2,19740,0,15,0.0,256.33141417776176,False,-0.0010977522831131436,12,0.671,17940,54,0,0.0,540.0,False,-0.08446455505279035,0,0.2,33900,0,12,0.2,300.1306401547528,False,0.0004720373766637496,14,0.8260000000000001,31177.0,39,0,0.0,666.4616768621805,False,-0.07415435040162517,6,0.35900000000000004,44054,0,0,0.0,0.0,False,-0.0033031674208144797,10,0.38100000000000006,42736,64,0,0.0,1600.696747492015,False,-0.015014742675429758,0.03333333333333333,189547,0.0,0.0,4,0,0,19,11,10.75,15,34,17,396.0,42.0,22,4,17,279,1.5741476039984263,15.934046590002254
5,17,0,0,0,10.0,8,10.0,15.545269289552351,29,11.551724137931034,24.04279731588453,11,17.0,43.0,20,43.0,0,0.2,19740,0,15,0.0,233.17903934328527,False,-0.001679762711330265,29,0.9490000000000001,17070,62,0,0.0,620.0,False,-0.12619406737053795,0,0.2,33790,0,22,1.0,528.9415409494596,False,0.0006014800045462488,11,0.9220000000000002,30666.0,58,0,0.0,901.6256187940364,False,-0.08571390934368517,11,0.463,43889,0,0,0.0,0.0,False,-0.007036199095022624,9,0.4610000000000001,42418,75,0,0.0,1803.2097986913398,False,-0.019918441191274398,0.16666666666666666,187573,0.0,0.0,2,0,0,14,10,10.0,12,26,16,237.0,24.0,14,3,16,80,1.222452986985445,17.1564995769877
6,16,0,0,0,10.0,12,10.0,15.344912953595257,8,13.0,22.31584471894524,30,17.6,43.0,20,43.0,0,0.2,19740,0,15,0.0,230.17369430392884,False,-0.0017553118576186866,8,1.0000000000000002,16830,74,0,0.0,740.0,False,-0.13524384112619406,0,0.2,34036,0,8,0.0,178.52675775156192,False,0.0026815354902680025,16,1.0710000000000002,30056.0,66,0,0.0,1012.764254937287,False,-0.10200440361201607,9,0.542,43597,0,9,0.9,387.0,False,-0.00926470588235294,11,0.562,41888,96,0,0.0,2142.321093018743,False,-0.02807329080295533,0.15,186147,0.0,0.0,5,0,0,16,9,9.0,8,24,14,219.0,9.0,13,3,14,366,1.2672097390168346,18.423709316004533
7,14,0,0,0,10.0,13,10.0,15.944925559752306,16,19.375,20.311003012416087,77,17.68831168831169,43.0,20,43.0,0,0.2,19938,0,9,0.0,143.50433003777076,False,0.006020722223171767,10,1.0920000000000003,16515,87,0,0.0,870.0,False,-0.1478129713423831,7,0.27,33966,0,2,0.2,40.622006024832174,False,-0.0014012163421162568,62,1.6750000000000003,25312.0,80,0,0.0,1275.5940447801845,False,-0.23753314266938674,0,0.533,43698,0,10,0.6,430.0,False,-0.006493212669683258,15,0.7010000000000001,40350,167,0,0.0,3391.9375030734864,False,-0.04873373865301492,0.13333333333333333,179779,0.0,0.0,7,0,0,10,16,15.466666666666667,12,22,12,198.0,24.0,11,3,12,543,1.082621097972151,19.506330413976684
8,12,0,0,0,10.0,12,10.0,17.305914617182204,11,29.272727272727273,20.345665258268554,91,20.40659340659341,43.00000000000001,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,2,1.1020000000000003,16362,99,0,0.0,990.0,False,-0.15248868778280544,30,0.5630000000000001,32881,0,2,0.2,40.69133051653711,False,-0.03328008270381771,59,2.2030000000000007,21049.0,89,0,0.0,1540.2264009292162,False,-0.3589024739829403,0,0.533,44047,0,3,0.2,129.00000000000003,False,-0.002002262443438914,11,0.796,38358,256,0,0.0,5208.49030611675,False,-0.07325237210275162,0.06666666666666667,172933,0.0,0.0,8,0,0,12,15,14.833333333333334,9,21,15,180.0,21.0,10,2,15,805,1.1483781699789688,20.654708583955653
9,15,0,0,0,10.0,10,10.0,15.932277090184474,27,11.0,20.657112998880404,36,22.61111111111111,43.0,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,27,1.37,15803,109,0,0.0,1090.0,False,-0.17807943690296632,3,0.5630000000000001,33017,0,0,0.0,0.0,False,-0.029881882823059293,31,2.4540000000000006,19322.0,116,0,0.0,1848.144142461399,False,-0.40512216985277366,7,0.6030000000000002,43542,11,10,1.0,657.2282429876844,False,-0.007452169196971951,10,0.8850000000000002,37943,271,0,0.0,5598.077622696589,False,-0.07823441603284409,0.16666666666666666,169863,0.0,0.0,4,0,0,10,12,11.6,13,23,15,216.0,24.0,12,3,15,229,1.1644286069786176,21.81913719093427
