index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,13.0,0,,19.0,0,,28.0,0,,0,0.2,13440,1,10,1.0,140.0,False,-0.002952029520295203,0,0.2,13460.0,9,0,0.0,90.0,False,-0.0033210332103321034,0,0.2,17898,0,0,0.0,0.0,False,0.0,0,0.2,17898.0,0,0,0.0,0.0,False,0.0,0,0.2,28681,0,0,0.0,0.0,False,0.0,0,0.2,28681,0,0,0.0,0.0,False,0.0,0.16666666666666666,120058,0.0,0.0,8,0,0,96,0,0.0,334,430,140,0.0,0.0,0,0,140,200,2.479645546991378,2.479645546991378
1,140,0,0,0,10.0,20,10.0,13.0,0,,15.423076923076923,33,10.545454545454545,28.0,0,,0,0.2,13330,2,20,1.0,280.0,False,-0.005904059040590406,0,0.2,13370.0,18,0,0.0,180.0,False,-0.006642066420664207,0,0.2,17898,0,0,0.0,0.0,False,0.0,33,0.53,17067.0,0,0,0.0,0.0,False,-0.04642976868923902,0,0.2,28661,0,2,0.2,56.0,False,0.0002789303022907151,0,0.2,28353,31,0,0.0,478.11538461538464,False,-0.0031010880963811766,0.19999999999999998,118679,0.0,0.0,9,0,0,38,9,9.0,84,122,72,1890.0,195.0,105,35,72,200,5.908717147947755,8.388362694939133
2,72,0,0,0,10.0,20,10.0,12.09433962264151,8,7.0,14.920454545454545,9,11.0,28.0,0,,0,0.2,13260,0,29,0.9,350.7358490566038,False,-0.008459931769129007,8,0.28,13160.0,31,0,0.0,310.0,False,-0.01734317343173432,0,0.2,17891,0,1,0.1,14.920454545454545,False,2.571389388355873e-05,9,0.5870000000000002,16910.0,7,0,0.0,84.66037735849056,False,-0.052836619249120184,0,0.2,28661,0,2,0.0,56.0,False,0.0002789303022907151,0,0.2,28254,40,0,0.0,596.8181818181818,False,-0.004483487643070608,0.16666666666666666,118136,0.0,0.0,9,0,0,36,4,4.0,37,73,52,612.0,95.0,56,16,52,200,3.904188761021942,12.292551455961075
3,52,0,0,0,10.0,20,10.0,12.336481700118064,37,12.64864864864865,14.480941704035875,9,11.0,28.0,14,28.0,0,0.2,13498,0,19,0.8,234.3931523022432,False,0.004811555435507152,19,0.4620000000000001,12869.0,43,0,0.0,430.0,False,-0.03439114391143912,0,0.2,17863,0,5,0.4,72.40470852017937,False,6.717813499223054e-05,9,0.6680000000000001,16362.0,40,0,0.0,493.45926800472256,False,-0.07203432595807574,0,0.2,28661,0,2,0.0,56.0,False,0.0002789303022907151,14,0.34,27967,49,0,0.0,709.5661434977578,False,-0.012524560798128392,0.20000000000000004,117220,0.0,0.0,10,0,0,24,9,9.0,27,51,35,546.0,271.0,32,20,35,518,2.5744592859991826,14.867010741960257
4,35,0,0,0,10.0,20,10.0,12.629510825982358,36,13.249999999999998,13.756750588574448,11,9.0,28.0,13,28.0,1,0.21000000000000002,13718,2,10,1.0,146.29510825982356,False,0.0177968674634621,16,0.6030000000000002,12613.0,51,0,0.0,510.0,False,-0.05033210332103321,0,0.2,17702,1,15,1.0,218.98076965459907,False,-0.004833479448692656,11,0.7690000000000001,15892.0,65,0,0.0,820.9182036888533,False,-0.08914632350852462,0,0.2,28661,0,2,0.0,56.0,False,0.0002789303022907151,13,0.45600000000000007,27696,60,0,0.0,825.4050353144669,False,-0.019953888718760325,0.3333333333333333,116282,0.0,0.0,11,0,0,16,11,10.5,20,36,35,297.0,198.0,19,16,35,542,2.4180171100306325,17.28502785199089
5,35,0,0,0,10.0,20,10.0,12.536359091161602,25,12.16,12.845442735788033,37,11.0,28.0,10,28.0,3,0.23900000000000002,13781,2,10,1.0,145.36359091161603,False,0.02241194062404489,12,0.7070000000000001,12396.0,61,0,0.0,610.0,False,-0.06265682656826568,0,0.2,17470,7,25,1.0,408.89058203283207,False,-0.012490485472320116,37,1.1280000000000001,14893.0,74,0,0.0,927.6905727459585,False,-0.1419798141483417,0,0.2,28661,0,2,0.0,56.0,False,0.0002789303022907151,10,0.5430000000000001,27180,97,0,0.0,1246.0079453714393,False,-0.03061246216360234,0.3333333333333333,114381,0.0,0.0,11,0,0,17,12,11.3,18,35,31,297.0,169.0,19,16,31,221,1.9259740820270963,19.211001934017986
6,31,0,0,0,10.0,20,10.0,12.458441384860507,28,12.142857142857142,13.489572300603509,37,15.243243243243244,28.000000000000004,13,28.0,3,0.266,13890,1,10,1.0,134.58441384860507,False,0.03005846545566813,15,0.8450000000000002,12115.0,72,0,0.0,720.0,False,-0.07933579335793357,0,0.2,17487,13,25,1.0,499.1990455182743,False,-0.009017794012787045,27,1.3610000000000002,14254.0,86,0,0.0,1071.4259590980037,False,-0.17366672368147268,0,0.2,28661,0,2,0.0,56.00000000000001,False,0.0002789303022907151,13,0.6630000000000001,26447,134,0,0.0,1807.6026882808703,False,-0.04637908914820137,0.3333333333333333,112854,0.0,0.0,10,0,0,13,12,11.23076923076923,21,34,35,276.0,192.0,17,14,35,485,1.6207368999603204,20.831738833978307
7,35,0,0,0,10.0,20,10.0,13.076435904939771,70,14.2,12.7111758701486,26,9.0,28.0,8,28.0,14,0.403,14062,0,7,0.7,91.5350513345784,False,0.04116365503079632,46,1.2900000000000003,11348.0,86,0,0.0,860.0,False,-0.1307749077490775,0,0.2,17019,39,35,1.0,954.872155747852,False,-0.02243624550933486,26,1.5940000000000003,13148.0,120,0,0.0,1569.1723085927724,False,-0.22155625464876597,0,0.2,28661,0,2,0.0,56.0,False,0.0002789303022907151,8,0.7300000000000002,26139,160,0,0.0,2033.788139223776,False,-0.0531747822735648,0.2833333333333333,110377,0.0,0.0,11,0,0,19,13,12.933333333333334,18,37,25,330.0,165.0,20,15,25,371,1.7034465509932488,22.535185384971555
8,25,0,0,0,10.0,20,10.0,13.076435904939771,0,,12.652222157258715,3,10.0,28.000000000000004,11,28.0,0,0.389,13952,1,17,1.0,232.29941038397612,False,0.03823983064147518,0,1.2440000000000002,11258.0,95,0,0.0,950.0,False,-0.1340959409594096,0,0.2,17019,29,45,1.0,948.5666383198954,False,-0.02261239696279197,3,1.5980000000000003,13109.0,120,0,0.0,1569.1723085927724,False,-0.2237352690637844,0,0.2,28661,0,2,0.0,56.00000000000001,False,0.0002789303022907151,11,0.8320000000000001,25983,163,0,0.0,2062.3122116331706,False,-0.058116658909501545,0.3333333333333333,109982,0.0,0.0,8,0,0,14,6,6.0,18,32,26,237.0,124.0,14,11,26,200,2.0359509020345286,24.571136287006084
9,26,0,0,0,10.000000000000002,20,10.0,13.672035846484679,48,15.874999999999998,12.058282029080184,30,9.6,28.000000000000007,10,28.0,9,0.4790000000000001,14202,1,10,1.0,146.72035846484678,False,0.05353211654851827,22,1.4640000000000002,11038.0,105,0,0.0,1050.0000000000002,False,-0.1466420664206642,0,0.2,16582,48,55,1.0,1319.4632322306747,False,-0.03666713509244967,30,1.8950000000000002,12106.0,139,0,0.0,1900.4129826613703,False,-0.27052148333161885,0,0.2,28661,0,2,0.0,56.000000000000014,False,0.0002789303022907151,10,0.921,25583,193,0,0.0,2327.2484316124755,False,-0.06744450277862565,0.3333333333333333,108172,0.0,0.0,12,0,0,11,11,10.9,21,32,21,255.0,122.0,15,11,21,504,1.3318923200131394,25.903028607019223
