index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,37.0,0,,49.0,0,,0,0.2,25624,1,10,1.0,200.0,False,-0.00038859096914587707,0,0.2,25644,9,0,0.0,90.0,False,-0.0017486593611564468,0,0.2,38199,0,0,0.0,0.0,False,0.0,0,0.2,38199,0,0,0.0,0.0,False,0.0,0,0.2,48975,0,0,0.0,0.0,False,0.0,0,0.2,48975,0,0,0.0,0.0,False,0.0,0,0.2,67710,0,0,0.0,0.0,False,0.0,0,0.2,67710,0,0,0.0,0.0,False,0.0,0.125,361036,0.0,0.0,7,0,0,68,0,0.0,234,302,110,0.0,0.0,0,0,110,200,1.6116993490140885,1.6116993490140885
1,110,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,34.0,5,7.0,49.0,0,,0,0.2,25534,0,20,1.0,380.0,False,-0.00038859096914587707,0,0.2,25534,20,0,0.0,200.0,False,-0.0038859096914587703,0,0.2,38199,0,0,0.0,0.0,False,0.0,0,0.2,38199,0,0,0.0,0.0,False,0.0,5,0.25,48790,0,0,0.0,0.0,False,-0.003777437468095967,0,0.2,48975,0,0,0.0,0.0,False,0.0,0,0.2,67710,0,0,0.0,0.0,False,0.0,0,0.2,67675,0,5,0.5,245.0,False,0.0012922758824398168,0.1875,360616,0.0,0.0,7,0,0,39,1,1.0,51,90,51,1155.0,428.0,76,34,51,200,6.028567094996106,7.640266444010194
2,51,0,0,0,10.0,20,10.0,17.3,5,2.0,27.134328358208954,22,25.363636363636363,30.470588235294116,6,4.0,49.0,0,,0,0.2,25434,0,30,1.0,519.0,False,-0.001573793425040802,5,0.25,25329,30,0,0.0,300.0,False,-0.009909069713219865,0,0.2,38189,0,5,0.5,135.67164179104478,False,0.001514066360258779,22,0.42000000000000004,37788,0,0,0.0,0.0,False,-0.010759443964501689,6,0.30500000000000005,47992,22,0,0.0,596.955223880597,False,-0.013976975764363535,0,0.2,48975,0,0,0.0,0.0,False,0.0,0,0.2,67686,0,6,0.6,294.0,False,0.0018165706690296854,0,0.2,67675,0,5,0.0,245.0,False,0.0012922758824398168,0.2625,359068,0.0,0.0,6,0,0,22,6,6.0,23,45,40,307.0,74.0,32,19,40,200,2.558974668965675,10.19924111297587
3,40,0,0,0,10.0,20,10.0,14.0546875,19,6.368421052631579,26.559241706161135,3,15.0,26.86926994906622,13,14.153846153846153,49.0,0,,0,0.2,25324,1,40,1.0,572.1875,False,-0.004814884977073133,19,0.43500000000000005,24889,39,0,0.0,390.0,False,-0.025258412994482008,0,0.2,38068,9,15,1.0,524.880813092417,False,0.00344093841582784,3,0.42800000000000005,37731,0,0,0.0,0.0,False,-0.01225162962381214,4,0.3390000000000001,47832,22,0,0.0,584.3033175355449,False,-0.01737311569642111,9,0.29000000000000004,48645,0,3,0.3,80.60780984719865,False,-0.005915183156230815,0,0.2,67502,3,16,1.0,864.6078098471986,False,0.003312714590512418,0,0.2,67675,0,5,0.0,245.0,False,0.0012922758824398168,0.4125,357666,0.0,0.0,7,0,0,15,8,8.0,17,32,39,170.0,57.0,19,21,39,200,2.362593991041649,12.561835104017518
4,39,0,0,0,10.0,20,10.0,17.338914549653584,29,23.862068965517242,25.566877020163155,8,18.5,21.707690045581536,15,3.466666666666667,49.0,9,49.0,0,0.2,25916,0,25,0.9,433.4728637413396,False,0.015494537649439316,5,0.4660000000000001,24674,51,0,0.0,510.0,False,-0.031281573016243104,0,0.2,37712,16,25,1.0,916.5945582985362,False,-0.0007513997971343544,8,0.5050000000000001,37251,12,0,0.0,208.06697459584302,False,-0.02209394258232095,15,0.48500000000000004,47004,26,0,0.0,664.738802524242,False,-0.03345851145968106,0,0.281,48585,0,7,0.4,151.95383031907076,False,-0.006411905764991691,0,0.2,67891,8,17,1.0,1006.6615203646522,False,0.010106790137089539,0,0.2,67675,0,5,0.0,245.0,False,0.0012922758824398168,0.4125,356708,0.0,0.0,11,0,0,18,7,7.0,17,35,26,236.0,69.0,21,18,26,1313,1.6228009319747798,14.184636035992298
5,26,0,0,0,10.0,20,10.0,14.391904356463746,63,10.746031746031745,23.419664456736367,18,16.444444444444443,20.111979050424797,6,3.8333333333333335,49.0,12,49.0,0,0.2,26326,5,15,1.0,265.8785653469562,False,0.028170485842600318,43,0.891,23328,56,0,0.0,560.0,False,-0.08261444004041346,0,0.2,37529,30,27,1.0,1064.0880710257943,False,-0.0036115072249824397,10,0.5970000000000002,36678,51,0,0.0,733.987122179651,False,-0.03021038348936295,6,0.53,46658,30,0,0.0,702.589933702091,False,-0.0401369072618469,0,0.281,48385,4,17,1.0,435.582301684167,False,-0.007599976501437872,0,0.2,68456,4,15,1.0,815.4479162016992,False,0.017039195954819775,0,0.2,67675,0,5,0.0,245.0,False,0.0012922758824398168,0.5,355035,0.0,0.0,15,0,0,15,8,8.0,9,24,34,118.0,57.0,12,14,34,1504,1.3572083649924025,15.5418444009847
6,34,0,0,0,10.0,20,10.0,14.391904356463746,0,,25.649432250429694,27,31.333333333333332,16.618982329665208,15,2.533333333333333,49.0,9,49.0,0,0.2,26196,8,25,1.0,439.79760891159367,False,0.026497971728289247,0,0.8480000000000003,23258,63,0,0.0,630.0,False,-0.08397450843242403,0,0.2,37979,20,26,1.0,954.723325640447,False,0.006737392675730299,16,0.7470000000000001,36416,51,0,0.0,733.987122179651,False,-0.03706920178303556,15,0.6740000000000002,45082,53,0,0.0,1359.4199092727738,False,-0.06561082277414212,0,0.281,48325,0,25,0.8,415.4745582416302,False,-0.009030377149141029,0,0.2,68859,9,16,1.0,933.5708409669869,False,0.023863320343870738,0,0.2,67675,0,5,0.0,245.0,False,0.0012922758824398168,0.475,353790,0.0,0.0,11,0,0,17,8,8.0,15,32,39,249.0,72.0,20,14,39,1091,1.5888175779837184,17.13066197896842
7,39,0,0,0,10.0,20,10.0,16.482905102269115,43,22.651162790697676,25.675750267070622,7,26.0,16.107463254589153,7,11.142857142857142,48.99999999999999,8,49.0,0,0.2,26724,9,13,1.0,304.2777663294985,False,0.04438248555081795,21,1.0580000000000003,23021,72,0,0.0,720.0,False,-0.09143545504002487,0,0.2,37436,42,34,1.0,1565.2575233757038,False,0.0005138553807129616,5,0.7810000000000001,35997,62,0,0.0,1021.9401163406851,False,-0.04426895839759303,7,0.7290000000000001,44716,55,0,0.0,1412.1662646888842,False,-0.07254552052385005,0,0.281,48255,0,30,0.5,483.22389763767455,False,-0.009768005128762957,0,0.2,69173,6,18,1.0,978.6447795275349,False,0.02883359016044551,0,0.2,67675,0,5,0.0,244.99999999999997,False,0.0012922758824398168,0.4375,352997,0.0,0.0,12,0,0,18,4,4.0,14,32,27,241.0,87.0,20,19,27,1342,1.8429172770120203,18.97357925598044
8,27,0,0,0,10.0,20,10.0,18.01184402023279,24,27.75,29.971409977766367,52,36.90384615384615,17.806334671207093,3,56.0,48.99999999999999,12,49.0,9,0.29000000000000004,27035,11,10,1.0,290.11844020232786,False,0.05619255537814425,2,1.0570000000000004,22923,80,0,0.0,800.0,False,-0.09368928266107096,0,0.2,38168,45,22,1.0,1469.9040004213357,False,0.018428545255390602,30,1.076,35498,73,0,0.0,1314.8646134769936,False,-0.053497936942367666,0,0.7220000000000002,43777,72,0,0.0,2157.941518399178,False,-0.084104731818283,0,0.281,47443,25,37,1.0,1408.1196322788214,False,-0.016905363631660883,0,0.2,69593,0,15,0.9,734.9999999999999,False,0.03323733569635209,0,0.2,67675,0,5,0.0,244.99999999999997,False,0.0012922758824398168,0.4875,352112,0.0,0.0,16,0,0,16,3,2.8181818181818183,12,28,25,200.0,66.0,15,12,25,2354,1.5958320630015805,20.56941131898202
9,25,0,0,0,10.000000000000002,20,10.0,17.946439188634113,11,17.0,29.63688018290027,25,28.0,17.956518491616663,12,18.75,49.0,8,49.0,0,0.281,26905,14,20,1.0,498.9287837726823,False,0.055197963468032185,11,1.1650000000000003,22787,87,0,0.0,870.0000000000001,False,-0.09761405144944431,0,0.2,37981,46,32,1.0,1773.9163685299777,False,0.01751245279365915,25,1.2960000000000003,35348,73,0,0.0,1310.0900607702902,False,-0.05748723709036502,6,0.7820000000000003,43519,72,0,0.0,2133.8553731688194,False,-0.0896186281452903,0,0.281,46962,40,41,1.0,1921.6924654722939,False,-0.021483486825193496,0,0.2,69760,2,17,1.0,868.9130369832333,False,0.03669260845505263,0,0.2,67675,0,5,0.0,245.0,False,0.0012922758824398168,0.5,350937,0.0,0.0,11,0,0,11,3,3.0,16,27,25,184.0,27.0,15,10,25,811,1.2313870130456053,21.800798332027625
