index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,33.0,0,,43.0,0,,0,0.2,22378,1,10,1.0,240.0,False,0.0004446816079686944,0,0.2,22398,9,0,0.0,90.0,False,-0.002001067235859125,0,0.2,32311,0,0,0.0,0.0,False,0.0,0,0.2,32311,0,0,0.0,0.0,False,0.0,0,0.2,45804,0,0,0.0,0.0,False,0.0,0,0.2,45804,0,0,0.0,0.0,False,0.0,0.16666666666666666,201006,0.0,0.0,9,0,0,0,0,0.0,701,701,110,0.0,0.0,0,0,110,200,3.9490328149986453,3.9490328149986453
1,110,0,0,0,10.0,20,10.0,21.181818181818183,10,13.0,33.0,0,,43.0,0,,0,0.2,22248,4,20,1.0,463.6363636363637,False,-0.0003638304065199144,10,0.30000000000000004,22178,16,0,0.0,160.0,False,-0.010227676983279971,0,0.2,32311,0,0,0.0,0.0,False,0.0,0,0.2,32181,0,10,1.0,330.0,False,0.001083222431989106,0,0.2,45804,0,0,0.0,0.0,False,0.0,0,0.2,45804,0,0,0.0,0.0,False,0.0,0.3333333333333333,200526,0.0,0.0,10,0,0,68,1,1.0,56,124,51,1650.0,84.0,102,8,51,200,8.270970102981664,12.22000291798031
2,51,0,0,0,10.0,20,10.0,20.825242718446603,2,12.0,33.0,0,,43.0,0,,0,0.2,22128,6,30,1.0,684.7572815533981,False,-0.0007835894354010942,2,0.31000000000000005,22065,24,0,0.0,240.0,False,-0.01347385272145144,0,0.2,32299,0,1,0.1,33.0,False,0.00013927145554145647,0,0.2,32169,0,11,0.1,363.0,False,0.0012224938875305623,0,0.2,45804,0,0,0.0,0.0,False,0.0,0,0.2,45804,0,0,0.0,0.0,False,0.0,0.20000000000000004,200269,0.0,0.0,9,0,0,14,2,2.0,34,48,23,449.0,111.0,28,23,23,200,2.8952252109884284,15.115228128968738
3,23,0,0,0,10.0,20,10.0,20.638859556494193,1,12.0,33.0,0,,43.0,20,43.0,0,0.2,22008,8,40,1.0,905.5543822597677,False,-0.001210548242178755,1,0.31800000000000006,21969,32,0,0.0,320.0,False,-0.01596406972607613,0,0.2,32287,0,2,0.1,66.0,False,0.00027854291108291295,0,0.2,32169,0,11,0.0,363.0,False,0.0012224938875305623,12,0.32000000000000006,45574,0,0,0.0,0.0,False,-0.005021395511309056,8,0.28,45684,0,0,0.0,0.0,False,-0.0026198585276395073,0.18333333333333335,199691,0.0,0.0,9,0,0,5,13,13.0,29,34,25,211.0,57.0,14,9,25,200,2.396561029017903,17.51178915798664
4,25,0,0,0,10.0,20,10.0,19.8157093352935,5,12.8,36.214285714285715,11,49.36363636363637,43.0,20,43.0,0,0.2,21888,10,50,1.0,1090.7854667646752,False,-0.002428284712631732,5,0.36700000000000005,21809,40,0,0.0,400.0,False,-0.02130024902170046,0,0.2,32223,0,7,0.5,253.5,False,0.001199281978273653,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,10,0.40800000000000003,44931,10,0,0.0,362.14285714285717,False,-0.015106291403121396,10,0.372,45455,1,0,0.0,36.214285714285715,False,-0.007224103946005918,0.25,199018,0.0,0.0,12,0,0,9,12,12.0,27,36,16,261.0,56.0,16,9,16,743,2.4982260889955796,20.01001524698222
5,16,0,0,0,10.0,20,10.0,19.637486175561815,1,12.0,33.445205479452056,8,16.0,43.0,20,43.0,0,0.2,21748,14,60,1.0,1318.2491705337088,False,-0.003596380946867022,1,0.3720000000000001,21733,46,0,0.0,460.0,False,-0.02334578441835646,1,0.21000000000000002,32300,0,1,0.1,33.445205479452056,False,0.00017711004734382799,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,10,0.49800000000000005,44638,18,0,0.0,602.013698630137,False,-0.018884664018097363,10,0.4620000000000001,45292,1,0,0.0,33.445205479452056,False,-0.010812972606328564,0.18333333333333335,198423,0.0,0.0,11,0,0,9,13,12.125,23,32,13,164.0,15.0,11,5,13,200,2.0081999879912473,22.018215234973468
6,13,0,0,0,10.0,20,10.0,24.563497298919835,17,36.0,33.445205479452056,0,,43.0,20,43.0,0,0.2,22250,15,53,1.0,1451.8653568427512,False,0.02169746880208899,0,0.37100000000000005,21643,55,0,0.0,550.0,False,-0.02534685165421558,0,0.20900000000000002,31688,7,11,1.0,539.8417413664115,False,-0.010927520946946647,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,11,0.5980000000000001,44456,18,0,0.0,602.013698630137,False,-0.022858116118350615,9,0.542,45153,1,0,0.0,33.445205479452056,False,-0.013847642067510994,0.3333333333333333,197902,0.0,0.0,12,0,0,3,8,8.0,24,27,18,115.0,18.0,7,6,18,812,1.2992643829784356,23.317479617951903
7,18,0,0,0,10.0,20,10.0,26.678179145249793,17,33.0,29.373978996499417,16,16.0,43.0,20,43.0,0,0.2,22681,18,46,1.0,1407.1962406814905,False,0.03987006938548321,0,0.37100000000000005,21573,62,0,0.0,620.0,False,-0.026903237282106012,5,0.259,31188,14,10,1.0,667.2342979984912,False,-0.02443077747518663,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,9,0.6770000000000002,44064,34,0,0.0,998.7152858809802,False,-0.027085895490776068,11,0.6430000000000001,44957,1,0,0.0,29.373978996499417,False,-0.01817118615190263,0.3333333333333333,197175,0.0,0.0,12,0,0,7,11,10.5,26,33,16,140.0,33.0,12,6,16,857,1.4731796610285528,24.790659278980456
8,16,0,0,0,10.0,20,10.0,30.436242673220043,61,34.19672131147541,26.473185963521015,19,17.05263157894737,43.00000000000001,20,43.0,15,0.35000000000000003,24203,16,10,1.0,464.36242673220045,False,0.0865875672966071,0,0.37100000000000005,21453,74,0,0.0,740.0,False,-0.02957132692991818,9,0.3440000000000001,29075,65,10,1.0,2243.087633394513,False,-0.06544075340604573,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,8,0.748,43628,53,0,0.0,1403.0788560666138,False,-0.03219065085945975,12,0.7520000000000002,44726,1,0,0.0,26.473185963521015,False,-0.023246079098293584,0.3333333333333333,195797,0.0,0.0,13,0,0,7,14,13.411764705882353,24,31,16,180.0,29.0,11,5,16,1625,1.346536080003716,26.137195358984172
9,16,0,0,0,10.000000000000002,20,10.0,30.632961698018747,18,31.833333333333332,30.660391141641462,21,45.142857142857146,43.0,20,43.0,7,0.405,24488,14,10,1.0,446.32961698018744,False,0.09886005018187902,1,0.38100000000000006,21317,86,0,0.0,860.0000000000001,False,-0.032950907150480255,11,0.44500000000000006,28973,73,10,1.0,2542.810115371783,False,-0.06395948569571075,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,10,0.8400000000000001,42650,70,0,0.0,2146.2273799149025,False,-0.045430231203444055,10,0.8400000000000001,44444,5,0,0.0,153.30195570820732,False,-0.028018273996722985,0.3333333333333333,194584,0.0,0.0,10,0,0,6,12,10.823529411764707,24,30,17,136.0,51.0,9,7,17,200,2.229631189024076,28.366826548008248
