index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,26.0,0,,0,0.2,15652,2,10,1.0,160.0,False,-0.00253613999492772,0,0.2,15692.0,8,0,0.0,80.0,False,-0.00253613999492772,0,0.2,24805,0,0,0.0,0.0,False,0.0,0,0.2,24805,0,0,0.0,0.0,False,0.0,0,0.2,33480,0,0,0.0,0.0,False,0.0,0,0.2,33480,0,0,0.0,0.0,False,0.0,0.16666666666666666,147914,0.0,0.0,8,0,0,140,0,0.0,443,583,136,0.0,0.0,0,0,136,200,2.634034377988428,2.634034377988428
1,136,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,26.0,0,,0,0.2,15532,4,20,1.0,320.0,False,-0.00507227998985544,0,0.2,15612.0,16,0,0.0,160.0,False,-0.00507227998985544,0,0.2,24805,0,0,0.0,0.0,False,0.0,0,0.2,24805,0,0,0.0,0.0,False,0.0,0,0.2,33480,0,0,0.0,0.0,False,0.0,0,0.2,33480,0,0,0.0,0.0,False,0.0,0.16666666666666666,147714,0.0,0.0,7,0,0,63,0,0.0,42,105,64,1647.0,225.0,91,45,64,200,5.9591161359567195,8.593150513945147
2,64,0,0,0,10.0,20,10.0,12.909090909090908,10,8.0,20.0,0,,26.0,0,,0,0.2,15442,7,25,1.0,392.7272727272727,False,-0.008473013164872176,5,0.25,15497.0,23,0,0.0,230.0,False,-0.01014455997971088,0,0.2,24805,0,0,0.0,0.0,False,0.0,0,0.2,24725,0,10,1.0,200.0,False,0.0008062890546260835,0,0.2,33480,0,0,0.0,0.0,False,0.0,0,0.2,33480,0,0,0.0,0.0,False,0.0,0.3333333333333333,147429,0.0,0.0,9,0,0,15,1,1.0,40,55,42,676.0,77.0,40,24,42,240,2.292020294989925,10.885170808935072
3,42,0,0,0,10.0,20,10.0,10.867924528301886,30,7.5,20.0,0,,26.0,15,26.0,0,0.2,15412,8,25,1.0,351.6981132075472,False,-0.011675814316270959,20,0.44500000000000006,15102.0,32,0,0.0,320.0,False,-0.03233578493532843,0,0.2,24690,5,10,1.0,254.33962264150944,False,0.00049061928323939,0,0.2,24615,5,20,1.0,454.33962264150944,False,0.0014984806015219943,0,0.2,33480,0,0,0.0,0.0,False,0.0,15,0.35000000000000003,33292,0,0,0.0,0.0,False,-0.0056152927120669055,0.5,146591,0.0,0.0,10,0,0,20,9,9.0,19,39,30,311.0,56.0,22,20,30,280,2.1773154680267908,13.062486276961863
4,30,0,0,0,10.0,20,10.0,10.086584714056654,22,7.545454545454546,20.0,0,,26.0,11,26.0,0,0.2,15302,9,35,1.0,443.0304649919829,False,-0.015754803924930835,22,0.645,14667.0,41,0,0.0,410.0,False,-0.0570631498858737,0,0.2,24580,10,20,1.0,500.86584714056653,False,0.0010253143950930289,0,0.2,24559,2,30,1.0,620.1731694281133,False,0.002583615590165523,0,0.2,33480,0,0,0.0,0.0,False,0.0,11,0.44500000000000006,33176,0,0,0.0,0.0,False,-0.00908004778972521,0.5,145764,0.0,0.0,7,0,0,9,10,10.0,17,26,27,172.0,51.0,12,18,27,200,1.6198706129798666,14.68235688994173
5,27,0,0,0,10.0,20,10.0,10.062092845824285,1,8.0,20.0,0,,26.0,10,26.0,0,0.2,15202,9,45,1.0,542.7941780620929,False,-0.018932469627755102,1,0.633,14558.0,51,0,0.0,510.0,False,-0.06080395637839209,0,0.2,24580,0,30,1.0,600.0,False,0.003023583954847813,0,0.2,24551,0,33,0.3,660.0,False,0.003063898407579117,0,0.2,33480,0,0,0.0,0.0,False,0.0,10,0.534,33079,0,0,0.0,0.0,False,-0.011977299880525687,0.3833333333333333,145450,0.0,0.0,8,0,0,9,5,5.0,19,28,25,173.0,46.0,11,16,25,200,1.3984647440374829,16.080821633979212
6,25,0,0,0,10.0,20,10.0,10.542256784061218,28,11.857142857142858,20.0,0,,26.0,6,26.0,0,0.2,15112,8,55,1.0,659.824123123367,False,-0.02092873056291637,28,0.9120000000000001,14159.0,62,0,0.0,620.0,False,-0.08261476033477048,0,0.2,24248,18,40,1.0,989.7606221131019,False,-0.002504321263594052,0,0.2,24551,0,33,0.0,660.0,False,0.003063898407579117,0,0.2,33480,0,0,0.0,0.0,False,0.0,6,0.5840000000000001,33037,0,0,0.0,0.0,False,-0.013231780167264038,0.3333333333333333,144587,0.0,0.0,9,0,0,8,5,5.0,17,25,28,165.0,60.0,10,15,28,200,1.475210567994509,17.55603220197372
7,28,0,0,0,10.0,20,10.0,11.248714924495966,42,12.833333333333334,20.0,0,,26.0,9,26.0,0,0.2,14972,12,65,1.0,851.1664700922378,False,-0.023739333309274746,42,1.3040000000000003,13749.0,68,0,0.0,680.0,False,-0.10670809028658382,0,0.2,23758,43,50,1.0,1483.6947417533265,False,-0.012302061242626025,0,0.2,24502,0,40,0.7,800.0,False,0.003910501914936504,0,0.2,33480,0,0,0.0,0.0,False,0.0,9,0.6680000000000001,32957,0,0,0.0,0.0,False,-0.01562126642771804,0.45,143418,0.0,0.0,9,0,0,12,6,6.0,15,27,22,168.0,81.0,11,17,22,200,1.4883891419740394,19.04442134394776
8,22,0,0,0,10.0,20,10.0,12.575074444148179,72,14.833333333333334,18.641509433962263,8,11.0,26.0,7,26.0,0,0.2,15480,16,44,1.0,713.3032755425198,False,0.00409914010723178,41,1.6720000000000002,12994.0,74,0,0.0,740.0,False,-0.15267562769464874,0,0.2,23082,79,60,1.0,2111.921447125442,False,-0.026891323379854098,0,0.2,24198,16,42,1.0,984.1445873327859,False,-0.004633247584503467,0,0.2,33480,0,0,0.0,0.0,False,0.0,7,0.7290000000000001,32812,8,0,0.0,149.1320754716981,False,-0.01772502874146204,0.5,142046,0.0,0.0,12,0,0,6,8,8.0,17,23,28,111.0,60.0,7,15,28,936,1.3705288769560866,20.414950220903847
9,28,0,0,0,10.000000000000002,20,10.0,13.806297404529836,60,17.4,16.305676855895193,21,11.0,26.0,8,26.0,4,0.24000000000000002,16262,17,10,1.0,308.06297404529835,False,0.040833850305772905,12,1.7510000000000006,12754.0,83,0,0.0,830.0000000000001,False,-0.16503931016992138,0,0.2,22504,111,58,1.0,2478.228269544733,False,-0.04280934751975941,0,0.2,23963,24,43,1.0,1032.4952425122094,False,-0.013132528874980648,0,0.2,33480,0,0,0.0,0.0,False,0.0,8,0.802,32515,29,0,0.0,472.8646288209606,False,-0.021761280931586562,0.5,141478,0.0,0.0,11,0,0,12,7,6.25,21,33,26,243.0,66.0,16,12,26,1071,1.474274901964236,21.889225122868083
10,26,0,0,0,10.000000000000002,20,10.0,14.351086602037487,59,16.305084745762713,20.019075214294332,21,30.952380952380953,26.0,9,26.0,22,0.45600000000000007,16374,16,10,1.0,303.5108660203749,False,0.04779073250128002,27,2.0090000000000003,12403.0,94,0,0.0,940.0000000000001,False,-0.1838067461323865,0,0.2,22888,120,47,1.0,2663.026927316332,False,-0.02360356929416794,0,0.2,23267,54,53,1.0,1835.9696628676238,False,-0.02499557220585316,0,0.2,33480,0,0,0.0,0.0,False,0.0,9,0.8840000000000001,31779,50,0,0.0,1000.9537607147166,False,-0.0358579187467934,0.5,140191,0.0,0.0,11,0,0,9,8,7.375,19,28,24,186.0,55.0,12,14,24,850,1.9100774170365185,23.799302539904602
