index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,28.0,0,,38.0,0,,53.0,0,,0,0.2,23082,10,0,0.0,100.0,False,-0.0021568458286601675,0,0.2,23082,0,10,1.0,200.0,False,0.0,0,0.2,33955,0,0,0.0,0.0,False,0.0,0,0.2,33955,0,0,0.0,0.0,False,0.0,0,0.2,44796,0,0,0.0,0.0,False,0.0,0,0.2,44796,0,0,0.0,0.0,False,0.0,0,0.2,63750,0,0,0.0,0.0,False,0.0,0,0.2,63750,0,0,0.0,0.0,False,0.0,0.125,331166,0.0,0.0,9,0,0,62,0,0.0,208,270,92,0.0,0.0,0,0,92,200,1.3927437402307987,1.3927437402307987
1,92,0,0,0,10.0,20,10.0,20.0,0,,28.0,0,,34.13461538461539,7,9.285714285714286,53.0,0,,0,0.2,23022,16,0,0.0,160.0,False,-0.003450953325856268,0,0.2,22942,4,20,1.0,440.0,False,-0.000862738331464067,0,0.2,33955,0,0,0.0,0.0,False,0.0,0,0.2,33955,0,0,0.0,0.0,False,0.0,0,0.2,44796,0,0,0.0,0.0,False,0.0,7,0.27,44518,0,0,0.0,0.0,False,-0.006205911242075185,0,0.2,63749,0,1,0.1,53.0,False,0.0004,0,0.2,63686,6,0,0.0,204.80769230769232,False,0.0006024132730014732,0.1375,330623,0.0,0.0,10,0,0,46,3,3.0,56,102,52,1376.0,147.0,83,9,52,200,4.092526938766241,5.48527067899704
2,52,0,0,0,10.0,20,10.0,19.1,5,11.0,26.483333333333334,15,21.933333333333334,27.76755852842809,13,4.846153846153846,53.0,0,,5,0.25,22867,25,0,0.0,250.0,False,-0.008196014148908635,0,0.2,22832,5,30,1.0,623.0,False,-0.0016607712880683289,0,0.2,33900,0,5,0.5,132.41666666666669,False,0.00033009375153396435,15,0.35000000000000003,33681,0,0,0.0,0.0,False,-0.008069503754969813,2,0.22000000000000003,44744,0,0,0.0,0.0,False,-0.001160817930172337,11,0.37300000000000005,43649,15,0,0.0,397.25,False,-0.021170975087061346,0,0.2,63749,0,1,0.0,53.0,False,0.0004,0,0.2,63623,19,0,0.0,527.5836120401337,False,0.0021457538199226383,0.1875,329045,0.0,0.0,9,0,0,16,10,10.0,36,52,36,488.0,99.0,34,18,36,200,3.141924489289522,8.627195168286562
3,36,0,0,0,10.0,20,10.0,16.908333333333335,15,10.333333333333334,25.517187500000002,10,20.3,21.18053793453438,25,7.0,53.0,0,,10,0.34500000000000003,22592,36,0,0.0,360.0,False,-0.017686135795013373,0,0.2,22797,4,35,1.0,631.7916666666667,False,-0.002980940672360792,0,0.2,33745,5,15,1.0,467.29947916666674,False,0.0006965024174152778,10,0.43500000000000005,33492,0,0,0.0,0.0,False,-0.013635694301281108,3,0.24800000000000003,44595,0,5,0.5,105.90268967267191,False,-0.003304952566382357,22,0.5820000000000001,42316,20,0,0.0,510.34375000000006,False,-0.04966577652022502,0,0.2,63749,0,1,0.0,53.0,False,0.0004,0,0.2,63448,44,0,0.0,931.9436691195128,False,0.002572107208780511,0.3125,326734,0.0,0.0,10,0,0,21,12,12.0,23,44,27,364.0,49.0,24,12,27,255,2.2152484469115734,10.842443615198135
4,27,0,0,0,10.0,20,10.0,19.094,21,24.714285714285715,25.517187500000002,0,,18.699608524489214,20,9.9,53.0,8,53.0,5,0.385,22457,43,0,0.0,430.0,False,-0.021999827452333708,0,0.2,23131,7,29,1.0,623.726,False,0.011252825468035596,0,0.2,33690,0,25,1.0,637.9296875,False,0.001589304778383154,0,0.42500000000000004,33028,16,0,0.0,305.504,False,-0.022802179355028703,0,0.24500000000000002,44675,0,1,0.0,18.699608524489214,False,-0.0024924144061468654,16,0.72,41595,20,0,0.0,510.34375000000006,False,-0.06576096359049916,0,0.2,63749,0,1,0.0,53.0,False,0.0004,8,0.28,63113,64,0,0.0,1196.7749455673097,False,-0.0006056867014329113,0.25,325438,0.0,0.0,13,0,0,16,7,7.0,26,42,23,290.0,12.0,23,4,23,744,1.7429890222847462,12.585432637482882
5,23,0,0,0,10.0,20,10.0,20.3721935483871,10,29.0,25.11523668639054,10,22.8,15.861428539365804,34,9.029411764705882,52.99999999999999,8,53.0,0,0.38000000000000006,22337,55,0,0.0,550.0,False,-0.024588042446725907,0,0.2,23341,5,29,1.0,640.7936129032258,False,0.020679700045363302,0,0.2,33568,0,29,1.0,728.3418639053256,False,-0.000672333030403077,4,0.4650000000000001,32952,16,0,0.0,325.9550967741936,False,-0.0247392858669681,3,0.275,44560,0,4,0.4,63.445714157463215,False,-0.004560164812065055,30,1.0040000000000002,39666,26,0,0.0,652.996153846154,False,-0.10723059922932683,0,0.2,63749,0,1,0.0,52.99999999999999,False,0.0004,8,0.35200000000000004,62668,98,0,0.0,1554.4199968578487,False,-0.004781019632487476,0.3,322841,0.0,0.0,12,0,0,14,11,10.75,20,34,25,203.0,34.0,16,7,25,658,1.5687977764755487,14.15423041395843
6,25,0,0,0,10.0,20,10.0,22.885944315545245,38,27.5,23.74470062771608,22,19.954545454545453,14.662930292832138,12,4.25,52.99999999999999,9,53.0,5,0.43000000000000005,22197,62,0,0.0,620.0,False,-0.02911741868691226,4,0.24000000000000002,24110,8,10,1.0,308.8594431554525,False,0.046692680596054095,0,0.2,33017,14,34,1.0,1127.7230417599803,False,-0.011018656431159204,17,0.6310000000000001,32195,30,0,0.0,686.5783294663573,False,-0.04172318760909503,0,0.272,44365,3,14,1.0,276.51512598279817,False,-0.006535012880806343,12,1.0940000000000003,38882,35,0,0.0,831.0645219700629,False,-0.12274461422928311,0,0.2,63749,0,1,0.0,52.99999999999999,False,0.0004,9,0.43400000000000005,62448,110,0,0.0,1612.9223322115351,False,-0.0077731581787331095,0.375,320963,0.0,0.0,14,0,0,15,11,10.285714285714285,19,34,27,242.0,84.0,16,9,27,877,1.6221311632543802,15.77636157721281
7,27,0,0,0,10.0,20,10.0,24.84363703848408,31,30.967741935483872,27.93058169784613,30,38.333333333333336,14.175649504074535,17,11.176470588235293,52.99999999999999,5,53.0,0,0.42500000000000004,22097,72,0,0.0,720.0,False,-0.03127426451557243,21,0.44600000000000006,24362,8,10,1.0,328.43637038484076,False,0.05798542771082829,0,0.2,33609,19,20,1.0,1030.64073768812,False,0.004986610774379697,6,0.6740000000000002,31579,46,0,0.0,1142.8073037702677,False,-0.05314670440626902,0,0.272,43409,21,16,1.0,813.3526077199613,False,-0.02188417930484905,9,1.1720000000000002,38433,37,0,0.0,1033.4315228203068,False,-0.13050906863536582,0,0.2,63749,0,1,0.0,52.99999999999999,False,0.0004,5,0.4750000000000001,62188,127,0,0.0,1800.307487017466,False,-0.010381902062608153,0.375,319426,0.0,0.0,11,0,0,15,10,9.375,22,37,23,233.0,60.0,17,10,23,1416,1.4223875105381012,17.19874908775091
8,23,0,0,0,10.0,20,10.0,25.265183085955023,13,29.0,27.080754737965176,12,20.416666666666668,21.345154031461618,41,40.48780487804878,52.99999999999999,11,53.0,0,0.42500000000000004,21977,84,0,0.0,840.0,False,-0.03386247950996463,3,0.45500000000000007,24587,6,10,1.0,312.6518308595502,False,0.0673507857574745,0,0.2,33854,9,18,1.0,714.8402330569684,False,0.007551763113782449,0,0.6680000000000001,31202,59,0,0.0,1490.6458020713465,False,-0.0591275835359837,13,0.402,44259,18,10,1.0,700.9051255979894,False,-0.004164377114050511,12,1.2830000000000004,37873,42,0,0.0,1137.3916989945374,False,-0.14184981137830896,0,0.2,63749,0,1,0.0,52.99999999999999,False,0.0004,11,0.5800000000000001,60293,168,0,0.0,3585.985877285552,False,-0.02610207155070156,0.375,317794,0.0,0.0,13,0,0,12,8,6.88076923076923,24,36,23,216.0,54.0,15,8,23,805,1.38600879535079,18.5847578831017
9,23,0,0,0,10.000000000000002,20,10.0,25.251886003835487,18,25.166666666666668,30.264640453701123,15,50.53333333333333,19.755126529911426,15,5.4,52.99999999999999,11,53.0,5,0.4750000000000001,21797,95,0,0.0,950.0000000000001,False,-0.039254594081615045,3,0.4820000000000001,24828,5,10,1.0,302.5188600383549,False,0.07752823009314026,0,0.2,34159,17,13,1.0,822.7223879633179,False,0.01812284476459025,0,0.6680000000000001,31202,59,0,0.0,1489.8612742262937,False,-0.059139136000201854,0,0.38900000000000007,44094,13,18,1.0,749.0326034365203,False,-0.007310556707780679,13,1.401,36671,52,0,0.0,1573.7613035924585,False,-0.16381193294498997,0,0.2,63749,0,1,0.0,52.99999999999999,False,0.0004,11,0.679,59971,183,0,0.0,3615.188154973791,False,-0.030924014470793817,0.375,316471,0.0,0.0,12,0,0,15,11,10.23076923076923,20,35,16,263.0,33.0,17,6,16,998,1.3495689183473587,19.93432680144906
