index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,27.0,0,,34.0,0,,45.0,0,,0,0.2,21212,10,0,0.0,100.0,False,-0.002346096096096096,0,0.2,21212,0,10,1.0,210.0,False,0.0002346096096096096,0,0.2,27642,0,0,0.0,0.0,False,0.0,0,0.2,27642.0,0,0,0.0,0.0,False,0.0,0,0.2,37859,0,0,0.0,0.0,False,0.0,0,0.2,37859,0,0,0.0,0.0,False,0.0,0,0.2,50708,0,0,0.0,0.0,False,0.0,0,0.2,50708,0,0,0.0,0.0,False,0.0,0.125,274842,0.0,0.0,10,0,0,0,0,0.0,687,687,173,0.0,0.0,0,0,173,200,3.4955765325576067,3.4955765325576067
1,173,0,0,0,10.0,20,10.0,21.0,0,,27.0,0,,24.390625,19,1.631578947368421,45.0,0,,0,0.2,21102,21,0,0.0,210.0,False,-0.004926801801801802,0,0.2,21122,0,19,0.9,399.0,False,0.00044575825825825824,0,0.2,27642,0,0,0.0,0.0,False,0.0,0,0.2,27642.0,0,0,0.0,0.0,False,0.0,0,0.2,37859,0,0,0.0,0.0,False,0.0,19,0.39,36890,0,0,0.0,0.0,False,-0.025594970812752582,0,0.2,50708,0,0,0.0,0.0,False,0.0,0,0.2,50677,19,0,0.0,463.421875,False,0.003958171047960874,0.1125,273642,0.0,0.0,10,0,0,27,4,4.0,90,117,47,1384.0,414.0,95,78,47,200,9.385882519185543,12.88145905174315
2,47,0,0,0,10.0,20,10.0,20.574468085106382,2,11.0,26.272727272727273,10,23.0,14.80823293172691,42,1.6666666666666667,45.0,0,,2,0.22000000000000003,20944,34,0,0.0,340.0,False,-0.009290540540540541,0,0.2,21052,0,26,0.7,534.9361702127659,False,0.0003504169062679338,0,0.2,27620,0,2,0.2,52.54545454545455,False,0.00015457373825077542,10,0.30000000000000004,27500.0,0,0,0.0,0.0,False,-0.005137110194631358,0,0.2,37859,0,0,0.0,0.0,False,0.0,42,0.7910000000000001,33838,10,0,0.0,262.72727272727275,False,-0.10274007141330622,0,0.2,50651,19,10,1.0,731.3564257028113,False,0.006087367138349025,0,0.2,50664,32,0,0.0,473.8634538152611,False,0.0038047591486082533,0.2375,270128,0.0,0.0,10,0,0,16,13,13.0,39,55,44,458.0,161.0,32,15,44,200,2.912240270525217,15.793699322268367
3,44,0,0,0,10.0,20,10.0,20.25349922239502,22,19.636363636363637,23.92737430167598,40,21.025,11.765163671373557,35,3.9714285714285715,45.0,0,,2,0.23800000000000002,20825,43,0,0.0,430.0,False,-0.012762762762762763,0,0.2,21352,1,16,1.0,334.05598755832034,False,0.009714151359757891,0,0.2,27498,2,12,1.0,327.6354900649018,False,0.000716943239724009,40,0.6900000000000002,26062.0,10,0,0.0,202.5349922239502,False,-0.05349585789335165,0,0.2,37845,0,1,0.1,11.765163671373557,False,-0.00021441184828745042,35,1.0990000000000002,30872,49,0,0.0,1172.441340782123,False,-0.16906889589289037,0,0.2,50609,20,20,1.0,1135.3032734274711,False,0.009242163696334649,0,0.2,50567,56,0,0.0,658.8491655969192,False,0.003715874867840498,0.3875,265630,0.0,0.0,13,0,0,15,16,16.0,32,47,29,384.0,149.0,25,19,29,610,2.817558003589511,18.611257325857878
4,29,0,0,0,10.0,20,10.0,20.25349922239502,0,,24.108498129342603,13,25.23076923076923,11.62396722291678,35,11.17142857142857,45.0,20,45.0,0,0.23600000000000002,20675,58,0,0.0,580.0,False,-0.016281906906906906,0,0.2,21302,0,22,0.6,445.57698289269047,False,0.009984444981529025,0,0.2,27498,0,14,0.2,337.51897381079647,False,0.0008957198070109743,13,0.78,25919.0,10,0,0.0,202.5349922239502,False,-0.05866914492033957,4,0.24000000000000002,37941,0,0,0.0,0.0,False,0.0021659314826065136,30,1.3640000000000003,28880,62,0,0.0,1494.7268840192414,False,-0.21742878993080586,0,0.2,50828,19,19,1.0,1075.855377235419,False,0.012974830177047219,9,0.29000000000000004,50304,82,0,0.0,953.165312279176,False,0.001431384715224184,0.225,263347,0.0,0.0,17,0,0,13,13,12.8,23,36,32,244.0,109.0,17,12,32,695,3.1958587877452374,21.807116113603115
5,32,0,0,0,10.0,20,10.0,21.02504522053708,14,24.214285714285715,24.47175870176043,3,34.666666666666664,11.085441716474667,39,9.256410256410257,45.0,20,45.0,5,0.28600000000000003,20520,67,0,0.0,670.0,False,-0.02144331831831832,0,0.2,21471,1,23,1.0,493.57604007235284,False,0.01904035379298874,0,0.2,27588,0,12,0.0,293.6611044211252,False,0.0033583153248882866,1,0.7770000000000001,25562.0,24,0,0.0,504.60108529288993,False,-0.06612037686685318,5,0.28600000000000003,37982,0,1,0.1,11.085441716474667,False,0.0033953015361800495,34,1.6740000000000004,26776,64,0,0.0,1566.1925569126674,False,-0.27205958217448073,0,0.2,51008,25,18,1.0,1087.1360429118668,False,0.016635797536008766,9,0.37100000000000005,50109,105,0,0.0,1163.9713802298402,False,-0.00033553502179305405,0.2625,261016,0.0,0.0,20,0,0,13,13,13.0,22,35,39,244.0,123.0,16,16,39,1064,2.301931958645582,24.109048072248697
6,39,0,0,0,10.0,20,10.0,18.73450388196071,22,12.0,24.823333390492202,9,27.88888888888889,13.525105041887732,41,22.70731707317073,45.0,20,45.0,22,0.5010000000000001,19994,79,0,0.0,790.0,False,-0.04330893393393393,0,0.2,21391,0,32,0.9,599.5041242227427,False,0.01777177468615675,0,0.2,27631,0,11,0.0,273.05666729541423,False,0.004541217482371311,8,0.8560000000000001,25250.0,46,0,0.0,861.7871785701926,False,-0.07094661785380592,14,0.42100000000000004,38073,0,0,0.0,0.0,False,0.005652552893631633,26,1.9000000000000004,25199,73,0,0.0,1812.1033375059308,False,-0.31046642360461274,0,0.2,51062,21,21,1.0,1229.0272058796425,False,0.019099818627037548,13,0.4920000000000001,49172,140,0,0.0,1893.5147058642826,False,-0.011620309360808196,0.2375,257772,0.0,0.0,16,0,0,12,18,17.8,27,39,44,254.0,121.0,19,20,44,558,2.3920567966997623,26.50110486894846
7,44,0,0,0,10.0,20,10.0,19.477117385303465,19,22.526315789473685,24.59118475066041,14,23.285714285714285,14.460338813210182,10,30.9,45.00000000000001,20,45.0,9,0.5690000000000001,19787,88,0,0.0,880.0,False,-0.05091028528528529,0,0.2,21601,1,32,1.0,633.2677563297109,False,0.028417505544522128,0,0.2,27631,0,11,0.0,270.5030322572645,False,0.004495026269033787,14,0.9880000000000002,24682.0,65,0,0.0,1266.0126300447253,False,-0.08418326043620718,5,0.4570000000000001,38114,0,1,0.1,14.460338813210182,False,0.006926494873256149,5,1.9240000000000004,24721,86,0,0.0,2114.8418885567953,False,-0.31909398176712545,0,0.2,51688,16,16,1.0,951.365421011363,False,0.0287071608130015,5,0.5290000000000001,48855,145,0,0.0,2096.7491279154765,False,-0.015867820384204877,0.2625,257079,0.0,0.0,18,0,0,20,8,8.0,24,44,30,335.0,152.0,25,19,30,1195,2.369442407041788,28.870547275990248
8,30,0,0,0,10.0,20,10.0,19.53047708901837,44,19.636363636363637,24.768291822479373,12,26.0,13.696807366510335,11,2.090909090909091,45.00000000000001,20,45.0,28,0.8400000000000001,19103,99,0,0.0,990.0,False,-0.08042417417417418,0,0.2,22039,0,26,1.0,507.7924043144776,False,0.046025535011131616,0,0.2,27631,0,11,0.0,272.4512100472731,False,0.0045302657196887195,12,1.0940000000000003,23746.0,109,0,0.0,2128.822002703002,False,-0.10243792050678309,0,0.45200000000000007,38114,0,1,0.0,13.696807366510335,False,0.0069164109903392165,11,2.0290000000000004,23916,98,0,0.0,2427.2925986029786,False,-0.3362305845558126,0,0.2,52000,9,19,1.0,978.2712662985931,False,0.03512533787862455,13,0.6540000000000001,48561,153,0,0.0,2095.611527076081,False,-0.021676939269187522,0.25,255110,0.0,0.0,16,0,0,14,14,14.0,19,33,30,178.0,108.0,13,17,30,1043,1.9162197094410658,30.786766985431314
9,30,0,0,0,10.000000000000002,20,10.0,20.50971346953354,28,24.642857142857142,24.768291822479373,0,,15.43328204842332,15,34.0,45.00000000000001,20,45.0,9,0.9020000000000001,18834,111,0,0.0,1110.0000000000002,False,-0.09023085585585586,0,0.2,22557,0,15,0.8,307.6457020430031,False,0.0656354565982311,0,0.2,27631,0,11,0.0,272.4512100472731,False,0.0045302657196887195,0,1.0820000000000003,23056.0,137,0,0.0,2809.830745326095,False,-0.11508156527519547,9,0.542,38215,0,0,0.0,0.0,False,0.009403312290340474,5,2.0680000000000005,23721,98,0,0.0,2427.2925986029786,False,-0.3413812752766452,0,0.2,51905,9,20,1.0,1038.89953843581,False,0.03384968386088796,11,0.7510000000000001,48348,158,0,0.0,2438.4585636508846,False,-0.022496858842284397,0.225,254267,0.0,0.0,15,0,0,14,11,10.8,22,36,24,232.0,102.0,16,14,24,1203,1.5654038302600384,32.35217081569135
