index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,35.0,0,,41.0,0,,0,0.2,22119,7,0,0.0,70.0,False,-0.0015773581504349003,0,0.2,22059,3,10,1.0,200.0,False,-0.001352021271801343,0,0.2,33996,0,0,0.0,0.0,False,0.0,0,0.2,33996,0,0,0.0,0.0,False,0.0,0,0.2,46358,0,0,0.0,0.0,False,0.0,0,0.2,46358.0,0,0,0.0,0.0,False,0.0,0,0.2,56501,0,0,0.0,0.0,False,0.0,0,0.2,56501,0,0,0.0,0.0,False,0.0,0.125,317888,0.0,0.0,12,0,0,0,0,0.0,557,557,68,0.0,0.0,0,0,68,200,1.783286176621914,1.783286176621914
1,68,0,0,0,10.0,20,10.0,17.0,0,,24.470588235294116,6,13.0,26.83606557377049,16,3.875,41.0,0,,0,0.2,21989,20,0,0.0,200.0,False,-0.004506737572671143,0,0.2,21989,0,20,1.0,340.0,False,-0.001352021271801343,0,0.2,33996,0,0,0.0,0.0,False,0.0,6,0.26,33888,0,0,0.0,0.0,False,-0.0031768443346276033,0,0.2,46280,0,6,0.6,161.01639344262293,False,5.4104938118810847e-05,16,0.36000000000000004,45630.0,0,0,0.0,0.0,False,-0.015703869882220976,0,0.2,56501,0,0,0.0,0.0,False,0.0,0,0.2,56439,16,0,0.0,429.37704918032784,False,0.0027024039324996885,0.2,316712,0.0,0.0,11,0,0,21,4,4.0,64,85,42,981.0,27.0,64,4,42,200,3.5854852441698313,5.368771420791745
2,42,0,0,0,10.0,20,10.0,16.82608695652174,1,9.0,22.30955993930197,20,17.35,19.899869960988294,22,2.590909090909091,41.0,0,,1,0.21000000000000002,21847,33,0,0.0,330.0,False,-0.007976925503627923,0,0.2,21919,0,27,0.7,454.30434782608694,False,-0.0019310390773336359,6,0.26,33885,0,1,0.1,22.30955993930197,False,-0.0029369696443802477,14,0.394,33657,0,0,0.0,0.0,False,-0.009971761383692199,0,0.2,46131,1,16,1.0,340.70747931511465,False,-0.0012219306342474718,22,0.5640000000000001,44256.0,9,0,0.0,200.78603945371773,False,-0.04317716424938832,0,0.2,56475,3,10,1.0,469.69960988296486,False,0.00369639130177315,0,0.2,56408,25,0,0.0,497.49674902470736,False,0.002756559609783077,0.35,314578,0.0,0.0,11,0,0,23,9,9.0,33,56,27,411.0,41.0,34,8,27,200,2.8848384097218513,8.253609830513597
3,27,0,0,0,10.0,20,10.0,18.01960784313725,30,19.666666666666668,22.391620858713413,8,23.0,14.216825594866766,43,5.069767441860465,41.0,0,,10,0.30900000000000005,21597,43,0,0.0,430.0,False,-0.01699040064897021,0,0.2,22319,0,17,1.0,306.33333333333326,False,0.012761578559947176,0,0.254,33635,0,11,1.0,246.30782944584755,False,-0.006996296190053922,8,0.4600000000000001,33253,20,0,0.0,360.392156862745,False,-0.016555004164273135,0,0.2,46131,0,17,0.1,241.68603511273503,False,-0.0022899387903626152,43,0.9720000000000002,41133.0,17,0,0.0,380.657554598128,False,-0.10860415079815638,0,0.2,56394,2,20,1.0,848.4336511897335,False,0.005614357721011373,0,0.2,56271,59,0,0.0,838.7927100971392,False,0.003352088547965017,0.3875,310733,0.0,0.0,14,0,0,13,13,13.0,31,44,27,332.0,33.0,21,6,27,700,1.8714623153209686,10.125072145834565
4,27,0,0,0,10.0,20,10.0,18.735049205147615,15,21.8,22.716802595412965,6,26.0,12.372056290628546,25,4.92,41.0,20,41.0,2,0.31900000000000006,21433,57,0,0.0,570.0,False,-0.021226733967281086,0,0.2,22568,0,10,0.6,187.35049205147615,False,0.02130223290935768,0,0.254,33608,0,14,0.3,318.0352363357815,False,-0.0067355683560451005,6,0.512,32923,32,0,0.0,599.5215745647237,False,-0.02274500566883267,0,0.2,46131,0,17,0.0,210.32495694068527,False,-0.002628187616585155,25,1.1790000000000003,39674.0,23,0,0.0,522.4864596944982,False,-0.13854689093905587,0,0.2,56886,0,10,0.2,410.0,False,0.010442293056760057,8,0.28,56042,84,0,0.0,1039.2527284127978,False,0.0010730140034052578,0.13749999999999998,309265,0.0,0.0,18,0,0,9,11,11.0,29,38,26,265.0,37.0,19,8,26,1001,1.741561884060502,11.866634029895067
5,26,0,0,0,10.0,20,10.0,18.458675581730024,19,17.42105263157895,22.959828790426545,14,24.0,11.30826052787559,15,3.2666666666666666,41.0,20,41.0,7,0.387,21268,64,0,0.0,640.0,False,-0.027085492811753573,2,0.22000000000000003,22664,3,10,1.0,214.58675581730023,False,0.026242434445385047,0,0.254,33640,6,10,1.0,340.3503413946456,False,-0.005466079224105108,0,0.506,32896,35,0,0.0,646.0536453605508,False,-0.022854841078942444,0,0.2,46131,0,17,0.0,192.240428973885,False,-0.002823240552074167,15,1.3040000000000003,38641.0,37,0,0.0,849.5136652457821,False,-0.1573027992445124,1,0.21000000000000002,57272,2,10,1.0,432.61652105575115,False,0.0174741732098171,9,0.36200000000000004,55879,87,0,0.0,983.8186659251762,False,-0.002302448930769539,0.375,308391,0.0,0.0,20,0,0,12,13,12.25,22,34,21,176.0,70.0,12,14,21,1073,1.5246034190058708,13.391237448900938
6,21,0,0,0,10.0,20,10.0,19.82567476933674,18,26.0,22.919149016606163,16,22.75,10.014813468804633,31,5.193548387096774,41.0,20,41.0,0,0.38000000000000006,21168,74,0,0.0,740.0,False,-0.029338861598089145,8,0.29800000000000004,22864,3,10,1.0,228.2567476933674,False,0.03556394492075734,0,0.254,33614,5,10,1.0,328.3198640127453,False,-0.006407814683892927,6,0.5660000000000001,32632,44,0,0.0,872.3296898508165,False,-0.0272924801469171,0,0.2,46131,0,17,0.0,170.25182896967874,False,-0.003060401344215944,31,1.5990000000000002,36472.0,53,0,0.0,1214.7148978801267,False,-0.20015191662841228,0,0.20900000000000002,57641,0,3,0.2,123.0,False,0.021265110352029166,11,0.4630000000000001,55530,118,0,0.0,1181.7479893189466,False,-0.006727774824171743,0.275,306052,0.0,0.0,18,0,0,10,15,14.88888888888889,26,36,24,188.0,39.0,13,8,24,1011,1.313786905258894,14.705024354159832
7,24,0,0,0,10.0,20,10.0,19.076271393732547,39,17.358974358974358,24.599484633933326,17,31.941176470588236,10.573252842606312,32,12.875,41.0,20,41.0,19,0.5700000000000001,20753,86,0,0.0,860.0,False,-0.045337779981071705,10,0.39,23094,1,10,1.0,200.7627139373255,False,0.04530989936313779,0,0.254,33524,21,14,1.0,744.9944841434501,False,-0.0029268960444839382,11,0.6700000000000002,32234,57,0,0.0,1087.3474694427553,False,-0.03583734160720736,0,0.2,46386,0,12,0.0,126.87903411127574,False,0.001972464667492949,27,1.8380000000000003,34508.0,70,0,0.0,1721.963924375333,False,-0.23704685357030789,10,0.30900000000000005,57586,2,10,1.0,431.1465056852126,False,0.023018588216891893,7,0.522,55052,138,0,0.0,1459.108892279671,False,-0.01273332425727264,0.375,303137,0.0,0.0,16,0,0,15,18,18.0,28,43,13,279.0,24.0,21,3,13,1138,1.4964696485549212,16.201494002714753
8,13,0,0,0,10.0,20,10.0,18.90480925580647,2,9.0,27.642111821651486,25,37.64,10.573252842606312,0,,41.00000000000001,20,41.0,2,0.5710000000000002,20599,99,0,0.0,990.0,False,-0.04934877642074902,0,0.38000000000000006,23024,0,18,0.8,340.28656660451645,False,0.04529917000776326,0,0.254,34161,13,11,1.0,549.8257503636505,False,0.012940136344917872,12,0.7790000000000001,32099,57,0,0.0,1077.5741275809687,False,-0.039952139551991846,0,0.2,46386,0,12,0.0,126.87903411127574,False,0.001972464667492949,0,1.8110000000000004,33567.0,95,0,0.0,2626.000623056891,False,-0.24759479892298095,0,0.29900000000000004,57996,0,2,0.2,82.00000000000001,False,0.027185359551158386,10,0.6150000000000001,54908,138,0,0.0,1459.108892279671,False,-0.01528195171519374,0.25,302740,0.0,0.0,20,0,0,12,6,6.0,18,30,10,111.0,25.0,10,3,10,1265,1.2531302887946367,17.45462429150939
9,10,0,0,0,10.000000000000002,20,10.0,19.431254540901936,10,25.0,26.872957210791146,38,24.92105263157895,12.239447603054145,26,21.692307692307693,41.00000000000001,20,41.0,0,0.5690000000000002,20519,107,0,0.0,1070.0000000000002,False,-0.05115147144981748,0,0.38000000000000006,23154,2,18,1.0,369.76258173623484,False,0.05182213217666941,0,0.254,34461,3,14,1.0,434.5151645737818,False,0.020068760509674356,31,1.0770000000000002,31104,67,0,0.0,1301.8940542404298,False,-0.06592107815271751,0,0.2,46386,0,12,0.0,146.87337123664975,False,0.0021881160882334444,26,2.071,31796.0,133,0,0.0,3574.1033090352225,False,-0.2755716024306999,6,0.35900000000000004,57494,6,10,1.0,483.43668561832493,False,0.021853035217237915,12,0.7250000000000001,54644,148,0,0.0,1811.4382452520135,False,-0.016836531696323893,0.375,299558,0.0,0.0,15,0,0,11,18,18.0,22,33,16,111.0,21.0,8,2,16,832,1.0243866294622421,18.479010920971632
