index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,35.0,0,,48.0,0,,0,0.2,18691,2,10,1.0,190.0,False,-0.0013290096220296636,0,0.2,18731,8,0,0.0,80.0,False,-0.0021264153952474615,0,0.2,28530,0,0,0.0,0.0,False,0.0,0,0.2,28530,0,0,0.0,0.0,False,0.0,0,0.2,40380,0,0,0.0,0.0,False,0.0,0,0.2,40380.0,0,0,0.0,0.0,False,0.0,0,0.2,49284,0,0,0.0,0.0,False,0.0,0,0.2,49284,0,0,0.0,0.0,False,0.0,0.125,273810,0.0,0.0,11,0,0,0,0,0.0,726,726,141,0.0,0.0,0,0,141,200,3.1942742951214314,3.1942742951214314
1,141,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,27.06779661016949,14,1.5714285714285714,48.0,0,,0,0.2,18581,3,20,1.0,370.0,False,-0.0023922173196533943,0,0.2,18641,17,0,0.0,170.0,False,-0.004518632714900856,0,0.2,28530,0,0,0.0,0.0,False,0.0,0,0.2,28530,0,0,0.0,0.0,False,0.0,0,0.2,40380,0,0,0.0,0.0,False,0.0,14,0.34,39702.0,0,0,0.0,0.0,False,-0.016790490341753343,0,0.2,49262,14,0,0.0,378.9491525423729,False,0.0033981530774935074,0,0.2,49284,0,0,0.0,0.0,False,0.0,0.125,272910,0.0,0.0,8,0,0,53,3,3.0,104,157,86,1996.0,50.0,134,7,86,200,7.860212543047965,11.054486838169396
2,86,0,0,0,10.0,20,10.0,17.857142857142858,11,21.363636363636363,21.89830508474576,14,8.714285714285717,20.300944669365723,21,3.1904761904761907,48.0,0,,0,0.2,18725,2,20,1.0,377.14285714285717,False,0.0054527366206702215,1,0.21000000000000002,18511,28,0,0.0,280.0,False,-0.008505661580989846,6,0.26,28193,1,10,1.0,236.84019370460047,False,-0.00766140564835962,8,0.28,28293,0,0,0.0,0.0,False,-0.008307045215562565,0,0.2,40291,1,10,1.0,224.907751778403,False,0.0005808290215255399,21,0.536,38579.0,3,0,0.0,65.69491525423729,False,-0.04378782918209217,0,0.2,49207,29,0,0.0,588.7273954116059,False,0.004410431330772765,0,0.2,49272,0,6,0.6,288.0,False,0.002678354029705381,0.45,271071,0.0,0.0,14,0,0,35,10,10.0,61,96,70,610.0,68.0,72,14,70,434,5.547901871614158,16.602388709783554
3,70,0,0,0,10.0,20,10.0,17.87114845938375,21,17.904761904761905,21.89830508474576,0,,13.703767277983557,44,3.7045454545454546,48.0,0,,0,0.2,18909,2,18,1.0,341.68067226890753,False,0.014291655740495112,9,0.29900000000000004,18308,38,0,0.0,380.0,False,-0.016639200467811387,0,0.254,27821,11,20,1.0,634.5487347481364,False,-0.013730306085731872,0,0.272,28289,1,0,0.0,17.87114845938375,False,-0.008134049273407282,0,0.2,40291,0,11,0.1,150.74144005781912,False,-0.0003375255069612095,44,0.9550000000000001,35563.0,3,0,0.0,65.69491525423729,False,-0.11847826999437548,0,0.2,49092,61,0,0.0,835.929803956997,False,0.0045849545892885975,0,0.2,49224,2,16,1.0,795.4075345559671,False,0.006852198832846042,0.3875,267497,0.0,0.0,12,0,0,40,8,8.0,35,75,51,549.0,97.0,53,17,51,484,3.323690195567906,19.92607890535146
4,51,0,0,0,10.0,20,10.0,15.174546179932173,36,10.36111111111111,19.94762684124386,8,7.0,11.739638811435867,32,5.625,48.0,20,48.0,0,0.2,19108,3,15,1.0,257.6181926989826,False,0.022636175447849162,23,0.52,17701,47,0,0.0,470.0,False,-0.046515336771038224,0,0.254,27453,36,30,1.0,1144.712467714874,False,-0.01768817967551919,8,0.35200000000000004,28092,2,0,0.0,30.349092359864347,False,-0.014820380435333586,0,0.2,40291,0,11,0.0,129.13602692579454,False,-0.0006050516725383822,32,1.231,33664.0,11,0,0.0,219.42389525368247,False,-0.16360297306520946,13,0.33000000000000007,48683,79,0,0.0,927.4314661034335,False,-0.0027855747696673406,0,0.2,49506,6,19,1.0,982.4378328686153,False,0.014471611809802516,0.375,264498,0.0,0.0,15,0,0,14,17,17.0,34,48,46,288.0,121.0,27,24,46,845,3.5307497326284647,23.456828637979925
5,46,0,0,0,10.0,20,10.0,15.534662931714108,29,16.655172413793103,20.066462332634295,7,21.0,11.250014565604538,24,8.833333333333334,48.0,20,48.0,0,0.2,19318,2,13,1.0,221.9506181122834,False,0.03285180527649474,17,0.6670000000000001,17333,58,0,0.0,580.0,False,-0.0631545372388496,0,0.254,27046,46,40,1.0,1517.2529881642208,False,-0.02542493886848548,7,0.41400000000000003,27946,11,0,0.0,170.88129224885517,False,-0.017474916013865093,0,0.2,40291,0,11,0.0,123.7501602216499,False,-0.0006717414534218582,24,1.4390000000000003,32399.0,18,0,0.0,361.1963219874173,False,-0.1931748845717259,10,0.4170000000000001,48278,103,0,0.0,1158.7515002572675,False,-0.008656445294038006,0,0.2,49986,0,15,0.6,720.0,False,0.02154857560262966,0.325,262597,0.0,0.0,19,0,0,13,17,17.0,27,40,44,206.0,129.0,19,27,44,980,2.294009723700583,25.750838361680508
6,44,0,0,0,10.0,20,10.0,16.414708403135474,11,25.0,20.17221612391755,18,20.5,9.936481438488808,25,3.2,48.00000000000001,20,48.0,0,0.2,19533,0,10,0.8,164.14708403135475,False,0.04274485896633236,0,0.6500000000000001,17193,72,0,0.0,720.0,False,-0.06687576418053266,0,0.254,26771,47,50,1.0,1780.102101143245,False,-0.030457376425810624,18,0.5870000000000002,27621,11,0,0.0,180.56179243449023,False,-0.028696778961891142,0,0.2,40291,0,11,0.0,109.30129582337689,False,-0.0008506526024842255,25,1.6650000000000003,30674.0,36,0,0.0,726.1997804610319,False,-0.23137444551187433,8,0.4870000000000001,48091,119,0,0.0,1182.4412911801683,False,-0.012210440597555364,0,0.2,50544,0,12,0.9,576.0000000000001,False,0.031409788166544925,0.3375,260718,0.0,0.0,18,0,0,20,12,12.0,28,48,38,198.0,93.0,22,22,38,1051,2.0528030898422003,27.803641451522708
7,38,0,0,0,10.0,20,10.0,16.19724077997027,16,14.75,19.119996372158976,24,16.208333333333332,9.187670777446751,28,5.5,48.00000000000001,20,48.0,2,0.22000000000000003,19615,0,8,0.8,129.57792623976215,False,0.046185155659979875,4,0.6900000000000002,17019,84,0,0.0,840.0,False,-0.07293604805698793,0,0.254,26567,49,60,1.0,1940.8645805480817,False,-0.034790315798316075,24,0.8090000000000002,26994,15,0,0.0,242.95861169955404,False,-0.04958011546267865,0,0.2,40291,0,11,0.0,101.06437855191426,False,-0.0009526451392778538,28,1.9200000000000004,28765.0,60,0,0.0,1147.1997823295385,False,-0.2734373479156818,13,0.6090000000000002,47799,129,0,0.0,1185.209530290631,False,-0.018107199798204045,0,0.2,50741,8,15,1.0,793.5013662195742,False,0.037613641001334824,0.35,257791,0.0,0.0,16,0,0,17,16,15.166666666666668,25,42,25,181.0,98.0,18,20,25,536,1.6118136895820498,29.415455141104758
8,25,0,0,0,10.0,20,10.0,16.74641088074809,10,22.8,19.73416242026292,30,21.4,11.853162120188447,27,26.59259259259259,48.00000000000001,20,48.0,0,0.21800000000000003,19735,0,8,0.8,133.97128704598472,False,0.052681178221412585,2,0.706,16885,96,0,0.0,960.0,False,-0.07686991653819573,0,0.254,26769,47,61,1.0,1990.8652190311982,False,-0.02683376763001755,21,0.9950000000000001,26388,17,0,0.0,284.68898497271755,False,-0.07008957264331027,0,0.2,40821,0,1,0.0,11.853162120188447,False,0.011068018352156806,17,2.0620000000000007,27525.0,90,0,0.0,1776.0746178236627,False,-0.2963586600071364,14,0.7360000000000002,47473,129,0,0.0,1529.0579135043097,False,-0.021233484361006534,0,0.2,50311,25,19,1.0,1208.3290530047113,False,0.03309724305053069,0.35,255907,0.0,0.0,21,0,0,12,15,15.0,26,38,26,189.0,70.0,15,10,26,1620,1.549268196336925,30.964723337441683
9,26,0,0,0,10.000000000000002,20,10.0,15.69399786585324,20,10.0,17.682867559881853,17,5.588235294117647,11.767856030834304,2,5.0,48.00000000000001,20,48.0,0,0.21800000000000003,19679,0,15,0.9,235.40996798779858,False,0.05240045632841949,18,0.8840000000000001,16519,107,0,0.0,1070.0000000000002,False,-0.09340279623624476,0,0.254,26671,51,71,1.0,2055.8774879101265,False,-0.029129381564841822,17,1.1440000000000003,25814,23,0,0.0,360.9619509146245,False,-0.08887203030293338,0,0.2,40821,0,1,0.0,11.767856030834304,False,0.011066962060807843,2,2.0650000000000004,27356.0,107,0,0.0,1892.0668289073583,False,-0.2991076420392848,9,0.812,47332,131,0,0.0,1541.5891400392939,False,-0.02396732063104368,0,0.2,50839,15,18,1.0,1040.5178404625146,False,0.04210816736123812,0.3625,255031,0.0,0.0,18,0,0,11,9,9.0,26,37,24,189.0,64.0,16,10,24,762,1.5073814066126943,32.47210474405438
