index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,27.0,0,,38.0,0,,49.0,0,,0,0.2,17536,0,8,0.8,136.0,False,-0.0006811989100817438,0,0.2,17496,12,0,0.0,120.0,False,-0.0034059945504087193,0,0.2,27871,0,0,0.0,0.0,False,0.0,0,0.2,27871.0,0,0,0.0,0.0,False,0.0,0,0.2,38189,0,0,0.0,0.0,False,0.0,0,0.2,38189.0,0,0,0.0,0.0,False,0.0,0,0.2,53163,0,0,0.0,0.0,False,0.0,0,0.2,53163,0,0,0.0,0.0,False,0.0,0.1,273478,0.0,0.0,5,0,0,0,0,0.0,415,415,109,0.0,0.0,0,0,109,200,2.8215394895523787,2.8215394895523787
1,109,0,0,0,10.0,20,10.0,17.0,0,,27.0,0,,21.86904761904762,39,3.2564102564102564,49.0,0,,0,0.2,17446,0,17,0.9,289.0,False,-0.0014475476839237056,0,0.2,17386,23,0,0.0,230.0,False,-0.006528156221616712,0,0.2,27871,0,0,0.0,0.0,False,0.0,0,0.2,27871.0,0,0,0.0,0.0,False,0.0,0,0.2,38189,0,0,0.0,0.0,False,0.0,39,0.5900000000000001,35376.0,0,0,0.0,0.0,False,-0.07365995443714159,0,0.2,53036,39,0,0.0,852.8928571428572,False,0.005632609682888993,0,0.2,53163,0,0,0.0,0.0,False,0.0,0.1125,270338,0.0,0.0,6,0,0,47,6,6.0,73,120,51,1676.0,41.0,106,3,51,200,10.842616193927824,13.664155683480203
2,51,0,0,0,10.0,20,10.0,15.51923076923077,7,6.0,20.676923076923078,20,6.45,18.023674242424242,30,8.333333333333334,49.0,0,,0,0.2,17356,0,26,0.9,403.5,False,-0.003306653042688465,7,0.27,17171,34,0,0.0,340.0,False,-0.015610808356039963,0,0.2,27829,0,7,0.7,144.73846153846154,False,0.0010896354909845011,20,0.4,27163.0,0,0,0.0,0.0,False,-0.02540274837644864,0,0.2,38184,0,5,0.5,90.11837121212122,False,0.0010489718402174367,30,0.851,33450.0,15,0,0.0,310.1538461538462,False,-0.1200325506539338,0,0.2,52841,59,0,0.0,1063.3967803030303,False,0.0039444423781861875,0,0.2,53108,0,10,1.0,490.0,False,0.003573914188439328,0.3875,267102,0.0,0.0,6,0,0,17,11,11.0,40,57,43,533.0,28.0,45,6,43,200,3.5505202868953347,17.214675970375538
3,43,0,0,0,10.0,20,10.0,12.242283950617283,18,3.7222222222222223,17.111724137931038,14,2.2142857142857144,17.712724215246638,12,15.25,49.0,0,,0,0.2,17253,3,33,1.0,433.9953703703703,False,-0.008288051476771904,15,0.41300000000000003,16786,41,0,0.0,410.0,False,-0.03547910990009083,0,0.2,27762,8,17,1.0,388.83758194976593,False,0.0030647910363777206,14,0.52,26643.0,0,0,0.0,0.0,False,-0.044060134189659504,0,0.2,38153,4,15,1.0,334.1377597804237,False,0.003432110814376181,12,0.9410000000000001,33023.0,15,0,0.0,256.67586206896556,False,-0.13191395608592835,0,0.2,52658,71,0,0.0,1257.6034192825114,False,0.002328719403368106,0,0.2,53108,0,10,0.0,490.0,False,0.003573914188439328,0.375,265386,0.0,0.0,7,0,0,14,9,9.0,27,41,35,339.0,45.0,28,15,35,227,2.4697456937283278,19.684421664103866
4,35,0,0,0,10.0,20,10.0,12.242283950617283,0,,17.67202346041056,20,19.5,16.42196323348883,34,12.764705882352942,49.0,20,49.0,0,0.2,17153,3,43,1.0,556.4182098765432,False,-0.01048994635908989,0,0.398,16686,51,0,0.0,510.0,False,-0.03831743869209809,0,0.2,28080,0,19,0.8,335.7684457478006,False,0.013522450678981784,14,0.6460000000000001,26181.0,0,0,0.0,0.0,False,-0.06063650389293531,0,0.2,38123,1,25,1.0,428.22110429763137,False,0.0038783563892433276,34,1.2690000000000001,30699.0,28,0,0.0,494.8166568914957,False,-0.18965125223373883,9,0.29000000000000004,52308,98,0,0.0,1609.3523968819054,False,-0.0009465944653056984,1,0.21000000000000002,53365,0,7,0.7,343.0,False,0.007025562891484679,0.4375,262595,0.0,0.0,10,0,0,13,13,13.0,24,37,33,279.0,58.0,24,11,33,1008,2.2147472985088825,21.899168962612748
5,33,0,0,0,10.0,20,10.0,11.86952917771883,2,1.0,16.93067159581023,45,15.666666666666666,13.259217033736832,54,6.388888888888889,49.0,20,49.0,0,0.2,17023,6,53,1.0,689.085046419098,False,-0.014104080199276359,2,0.41800000000000004,16576,58,0,0.0,580.0,False,-0.04257493188010899,0,0.2,28367,0,12,0.0,203.16805914972278,False,0.02144106883767573,38,1.0120000000000002,24833.0,2,0,0.0,23.73905835543766,False,-0.10857631483700914,0,0.2,37903,2,31,1.0,444.8970712374622,False,-0.0016641300998002362,50,1.7350000000000003,26367.0,62,0,0.0,1049.7016389402343,False,-0.29582207390949966,8,0.36100000000000004,52079,123,0,0.0,1630.8836951496303,False,-0.0050515989019653314,5,0.259,53425,19,10,1.0,741.9251236409998,False,0.011906073054953685,0.375,256573,0.0,0.0,11,0,0,15,19,19.0,18,33,32,227.0,70.0,20,13,32,910,1.8845182256773114,23.78368718829006
6,32,0,0,0,10.0,20,10.0,10.628067484662576,7,1.0,17.374558950675862,9,22.77777777777778,12.147024738490009,44,8.25,49.0,20,49.0,0,0.2,16933,5,63,1.0,719.5682515337423,False,-0.018347858437393862,7,0.4860000000000001,16326,69,0,0.0,690.0,False,-0.05364441416893733,0,0.2,28555,0,8,0.0,138.9964716054069,False,0.027035206336432298,5,1.0240000000000002,24672.0,9,0,0.0,95.65260736196319,False,-0.1130628142628187,0,0.2,37888,0,37,0.6,449.4399153241303,False,-0.0019974349246625373,44,2.1250000000000004,22970.0,67,0,0.0,1164.0954496952827,False,-0.383276657549356,9,0.44300000000000006,51905,134,0,0.0,1627.7013149576612,False,-0.008354482300117875,1,0.264,53571,42,10,1.0,1000.1750390165803,False,0.017081194054291364,0.325,252820,0.0,0.0,11,0,0,13,16,15.333333333333334,17,30,27,233.0,45.0,17,15,27,780,1.5788658428937197,25.36255303118378
7,27,0,0,0,10.0,20,10.0,10.628067484662576,0,,18.176202523255505,14,24.285714285714285,11.971307329806612,23,10.608695652173912,49.00000000000001,20,49.0,0,0.2,16853,3,73,1.0,805.8489263803681,False,-0.020440255268495366,0,0.47900000000000004,16206,81,0,0.0,810.0,False,-0.05705040871934605,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,6,1.0790000000000002,24485.0,9,0,0.0,95.65260736196319,False,-0.11977229723795413,0,0.2,37792,0,33,0.9,395.0531418836182,False,-0.005223321612458848,10,2.1810000000000005,22520.0,72,0,0.0,1308.6865816743964,False,-0.3931670561984551,9,0.5240000000000001,51513,157,0,0.0,1879.4952507796381,False,-0.013359900205221294,1,0.273,54052,32,10,1.0,873.0818345538116,False,0.02493352364006747,0.3625,252304,0.0,0.0,12,0,0,13,7,6.5,16,29,23,180.0,61.0,16,11,23,1203,1.6141974357888103,26.97675046697259
8,23,0,0,0,10.0,20,10.0,15.462658148257498,18,30.27777777777778,16.917235008951288,15,7.8,11.71431511766577,19,9.263157894736842,49.00000000000001,20,49.0,0,0.2,17277,4,66,1.0,1060.5354377849949,False,0.010857613470282539,1,0.48900000000000005,16106,90,0,0.0,900.0,False,-0.06017257039055404,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,15,1.2230000000000003,23526.0,27,0,0.0,417.4917700029524,False,-0.14840709393270865,0,0.2,37788,2,39,1.0,490.6927596068676,False,-0.004075875780894095,15,2.3210000000000006,21784.0,75,0,0.0,1268.7926256713465,False,-0.41296194420289417,13,0.6450000000000002,51215,166,0,0.0,1944.5763095325178,False,-0.01835321267110092,0,0.272,54255,32,13,1.0,1011.8580837653047,False,0.030057164604756118,0.375,250834,0.0,0.0,12,0,0,15,10,10.0,16,31,23,236.0,12.0,19,4,23,1157,1.5386399580165744,28.515390424989164
9,23,0,0,0,10.000000000000002,20,10.0,17.757414620912524,21,24.952380952380953,16.83068801007083,14,16.142857142857142,14.37857342780474,79,20.455696202531644,49.00000000000001,20,49.0,0,0.2,17581,1,65,1.0,1164.231950359314,False,0.031057900498391154,10,0.5880000000000001,15916,103,0,0.0,1030.0000000000002,False,-0.06726839237057221,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,14,1.3480000000000003,22698.0,48,0,0.0,852.3559018038011,False,-0.1703140199166912,0,0.2,38056,0,29,0.3,416.97862940633746,False,0.0019767292860030095,66,2.966000000000001,17993.0,88,0,0.0,1481.100544886233,False,-0.5094516674319014,7,0.7020000000000002,50830,196,0,0.0,2818.200391849729,False,-0.01737862430779174,0,0.272,53566,71,10,1.0,1510.8787133741366,False,0.021790330806897115,0.2875,245523,0.0,0.0,11,0,0,13,11,11.0,17,30,22,209.0,29.0,17,6,22,1484,1.6400151336565614,30.155405558645725
