index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,35.0,0,,50.0,0,,0,0.2,20010,2,10,1.0,180.0,False,-0.0014903129657228018,0,0.2,20050,0,8,0.8,128.0,False,-0.0007948335817188276,0,0.2,31898,0,0,0.0,0.0,False,0.0,0,0.2,31898,0,0,0.0,0.0,False,0.0,0,0.2,44440.0,0,0,0.0,0.0,False,0.0,0,0.2,44440.0,0,0,0.0,0.0,False,0.0,0,0.2,67744,0,0,0.0,0.0,False,0.0,0,0.2,67744,0,0,0.0,0.0,False,0.0,0.225,328224,0.0,0.0,6,0,0,0,0,0.0,461,461,196,0.0,0.0,0,0,196,200,7.470516483997926,7.470516483997926
1,196,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,20.474285714285713,130,15.446153846153846,50.0,0,,0,0.2,19900,3,20,1.0,350.0,False,-0.00273224043715847,0,0.2,19960,0,17,0.9,272.0,False,-0.0016890213611525087,0,0.2,31898,0,0,0.0,0.0,False,0.0,0,0.2,31898,0,0,0.0,0.0,False,0.0,39,0.5900000000000001,42214.0,0,0,0.0,0.0,False,-0.05009000900090009,91,1.11,35423.0,0,0,0.0,0.0,False,-0.2029027902790279,0,0.2,66492,80,0,0.0,1637.942857142857,False,-0.006392131722788306,0,0.2,66988,50,0,0.0,1023.7142857142857,False,-0.003603903772184327,0.2375,314773,0.0,0.0,7,0,0,22,25,25.0,172,194,79,2461.0,162.0,182,14,79,200,13.465732090990059,20.936248574987985
2,79,0,0,0,10.0,20,10.0,13.692307692307692,20,8.5,24.0,0,,19.370601336302897,67,16.776119402985074,50.0,0,,0,0.2,19915,0,20,1.0,273.8461538461538,False,-0.0038786350261759543,0,0.2,19915,3,17,1.0,262.7692307692307,False,-0.004153769727540136,0,0.2,31728,10,10,1.0,376.9230769230769,False,0.0005787678996030792,0,0.2,31898,0,0,0.0,0.0,False,0.0,47,1.0210000000000001,39224.0,0,0,0.0,0.0,False,-0.11737173717371738,20,1.2190000000000003,34792.0,0,0,0.0,0.0,False,-0.2171017101710171,0,0.2,65794,128,0,0.0,2479.436971046771,False,-0.010484788534432878,0,0.2,66562,69,0,0.0,1336.5714922048999,False,-0.007583169784741761,0.375,309828,0.0,0.0,10,0,0,43,14,14.0,39,82,60,947.0,59.0,69,10,60,370,4.981368988985196,25.91761756397318
3,60,0,0,0,10.0,20,10.0,12.248520710059172,26,9.0,24.0,0,,18.025910798889072,104,15.413461538461538,50.0,0,,0,0.2,19982,0,12,0.5,146.98224852071007,False,-0.003701384785874033,0,0.2,19882,8,14,1.0,251.4792899408284,False,-0.006073539743148843,0,0.2,31638,10,20,1.0,602.4852071005917,False,0.0012929526475106278,0,0.2,31754,6,10,1.0,313.49112426035504,False,0.0003995724537644322,51,1.4840000000000002,35818.0,0,0,0.0,0.0,False,-0.194014401440144,53,1.7290000000000003,31366.0,0,0,0.0,0.0,False,-0.2941944194419442,0,0.2,64876,197,0,0.0,3551.104427381147,False,-0.016126118716187732,0,0.2,65877,104,0,0.0,1874.6947230844635,False,-0.013723025485028545,0.4375,301193,0.0,0.0,10,0,0,8,17,17.0,32,40,36,384.0,141.0,27,33,36,434,4.345371063973289,30.26298862794647
4,36,0,0,0,10.0,20,10.0,12.248520710059172,0,,23.914893617021278,2,22.0,18.08039012815738,87,18.252873563218387,50.0,20,50.0,0,0.2,19882,0,22,1.0,269.4674556213018,False,-0.005626739800762557,0,0.2,19782,8,24,1.0,373.96449704142015,False,-0.007998894758037186,0,0.2,31682,0,28,1.0,669.6170212765958,False,0.0037246382418426507,0,0.2,31754,0,16,0.6,382.63829787234044,False,0.0014834519072095642,49,1.9230000000000005,32791.0,2,0,0.0,47.829787234042556,False,-0.26159057395101204,38,2.0560000000000005,29525.0,0,0,0.0,0.0,False,-0.3356210621062106,12,0.32000000000000006,63886,231,0,0.0,4176.570119604355,False,-0.026123567256108645,8,0.28,64909,157,0,0.0,2838.6212501207087,False,-0.020897634844999416,0.45,294211,0.0,0.0,7,0,0,9,21,21.0,30,39,43,301.0,48.0,25,11,43,244,2.509562134044245,32.772550761990715
5,43,0,0,0,10.0,20,10.0,12.248520710059172,0,,23.914893617021278,0,,17.63053345416876,44,14.295454545454545,50.0,20,50.0,0,0.2,19802,0,30,0.8,367.4556213017751,False,-0.0071670238126731595,0,0.2,19662,10,34,1.0,516.4497041420118,False,-0.010421020761499977,0,0.2,31682,0,28,0.0,669.6170212765958,False,0.0037246382418426507,0,0.2,31754,0,16,0.0,382.63829787234044,False,0.0014834519072095642,33,2.2040000000000006,31294.0,2,0,0.0,47.829787234042556,False,-0.29527644253787083,11,2.1280000000000006,29096.0,0,0,0.0,0.0,False,-0.3452745274527453,11,0.41800000000000004,63341,263,0,0.0,4636.8302984463835,False,-0.030771505237021872,9,0.36200000000000004,64487,169,0,0.0,2979.5601537545203,False,-0.026086737174107557,0.225,291118,0.0,0.0,6,0,0,11,14,14.0,28,39,34,342.0,68.0,26,17,34,200,2.564340125012677,35.33689088700339
6,34,0,0,0,10.0,20,10.0,14.487246225923998,20,23.0,23.18393234672304,5,17.0,17.70259124670647,74,18.027027027027028,50.0,20,50.0,0,0.2,19922,1,30,1.0,444.61738677771996,False,0.0007108143759989546,0,0.2,19802,9,34,1.0,582.566371681416,False,-0.0018239848067209126,0,0.2,31307,10,33,1.0,909.9422297011004,False,-0.004264495741095101,0,0.2,31754,0,16,0.0,370.94291754756864,False,0.0013001272422654563,45,2.621000000000001,28646.0,7,0,0.0,162.28752642706127,False,-0.35357462278997454,29,2.407000000000001,27900.0,0,0,0.0,0.0,False,-0.37218721872187216,8,0.48700000000000004,62780,302,0,0.0,5346.182556505353,False,-0.03381714575087566,12,0.4730000000000001,63354,204,0,0.0,3611.32861432812,False,-0.03814855474781446,0.375,285465,0.0,0.0,10,0,0,13,19,19.0,24,37,31,330.0,57.0,25,9,31,745,2.435395236010663,37.772286123014055
7,31,0,0,0,10.0,20,10.0,17.204084153320437,35,23.914285714285715,26.58136342839713,23,32.869565217391305,17.402924917053934,74,15.91891891891892,49.99999999999999,20,50.0,0,0.2,20245,1,23,1.0,405.69393552637007,False,0.015789715239105006,0,0.2,20116,9,26,1.0,537.3061879863313,False,0.012650426924648057,0,0.2,30756,35,30,1.0,1399.583848218129,False,-0.013863191293840869,0,0.2,32224,0,6,0.0,159.48818057038278,False,0.012720047974330436,37,2.946000000000001,26514.0,17,0,0.0,451.8831782827512,False,-0.3982911433586549,37,2.7480000000000007,25471.0,13,0,0.0,345.5577245691627,False,-0.4229572713257295,10,0.5790000000000002,62208,326,0,0.0,5673.353522959583,False,-0.03984593821622884,10,0.5610000000000002,62408,254,0,0.0,4420.342928931699,False,-0.0461417769180171,0.375,279942,0.0,0.0,12,0,0,12,18,18.0,25,37,29,287.0,24.0,23,8,29,1793,2.20447867794428,39.976764800958335
8,29,0,0,0,10.0,20,10.0,17.204084153320437,0,,26.58136342839713,0,,17.405572494859257,27,17.444444444444443,49.99999999999999,20,50.0,0,0.2,20125,3,33,1.0,597.7347770595744,False,0.014598479310968042,0,0.2,20036,7,36,1.0,689.3470295195357,False,0.012452732973659628,0,0.2,30756,25,40,1.0,1493.356640968896,False,-0.012393306148208449,0,0.2,32224,0,6,0.0,159.48818057038278,False,0.012720047974330436,15,3.0590000000000006,25994.0,17,0,0.0,451.8831782827512,False,-0.40999231347566656,12,2.831000000000001,25123.0,13,0,0.0,345.5577245691627,False,-0.43078805440403733,11,0.6790000000000002,61873,333,0,0.0,5796.055640788132,False,-0.0438853947154867,9,0.6410000000000001,61913,274,0,0.0,4769.126863591437,False,-0.05087441792932635,0.375,278044,0.0,0.0,6,0,0,11,14,14.0,25,36,30,262.0,36.0,22,7,30,200,2.039009578002151,42.01577437896049
9,30,0,0,0,10.000000000000002,20,10.0,19.323304343283976,63,23.0,26.961809242060344,38,27.55263157894737,17.24023508897187,25,14.72,50.0,20,50.0,10,0.30000000000000004,20824,3,10,1.0,223.23304343283976,False,0.040020691590482854,0,0.2,20396,7,26,1.0,572.4059129253834,False,0.027431840857560362,0,0.2,30096,78,18,1.0,1992.5303051332362,False,-0.02525972936965895,0,0.2,32482,0,0,0.0,0.0,False,0.018308357890776852,10,3.144000000000001,25680.0,17,0,0.0,458.35075711502583,False,-0.41698525250770674,15,2.9690000000000003,23517.0,51,0,0.0,1375.0522713450775,False,-0.45534369631699956,10,0.768,61554,346,0,0.0,5965.121340784266,False,-0.04734647097319118,10,0.7320000000000002,61529,286,0,0.0,4930.707235445954,False,-0.05535023592166131,0.375,276078,0.0,0.0,15,0,0,9,14,14.0,23,32,29,213.0,48.0,19,11,29,2466,2.06797525199363,44.08374963095412
