index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,30.0,0,,45.0,0,,53.0,0,,0,0.2,29098,11,0,0.0,110.0,False,-0.0018830457408929061,0,0.2,29118,0,9,0.9,207.0,False,0.00046220213640098604,0,0.2,46084,0,0,0.0,0.0,False,0.0,0,0.2,46084,0,0,0.0,0.0,False,0.0,0,0.2,58741,0,0,0.0,0.0,False,0.0,0,0.2,58741,0,0,0.0,0.0,False,0.0,0,0.2,75292,0,0,0.0,0.0,False,0.0,0,0.2,75292,0,0,0.0,0.0,False,0.0,0.1125,418450,0.0,0.0,12,0,0,0,0,0.0,631,631,118,0.0,0.0,0,0,118,200,5.677483248000499,5.677483248000499
1,118,0,0,0,10.0,20,10.0,23.0,0,,30.0,0,,45.0,0,,53.0,0,,0,0.2,28988,22,0,0.0,220.0,False,-0.0037660914817858123,0,0.2,29028,0,18,0.9,414.0,False,0.0009244042728019721,0,0.2,46084,0,0,0.0,0.0,False,0.0,0,0.2,46084,0,0,0.0,0.0,False,0.0,0,0.2,58741,0,0,0.0,0.0,False,0.0,0,0.2,58741,0,0,0.0,0.0,False,0.0,0,0.2,75292,0,0,0.0,0.0,False,0.0,0,0.2,75292,0,0,0.0,0.0,False,0.0,0.1125,418250,0.0,0.0,11,0,0,27,0,0.0,54,81,43,1062.0,657.0,59,59,43,200,10.093769474013243,15.771252722013742
2,43,0,0,0,10.0,20,10.0,22.53191489361702,2,12.0,26.982456140350877,12,15.666666666666666,45.0,0,,53.0,0,,1,0.21000000000000002,28862,33,0,0.0,330.0,False,-0.006196932347302109,0,0.2,28950,0,26,0.9,585.8297872340426,False,0.0011953880312592586,3,0.23,46000,0,2,0.2,53.96491228070175,False,-0.0012372524923975538,9,0.29000000000000004,45872,0,0,0.0,0.0,False,-0.004600295113271417,0,0.2,58693,0,3,0.3,135.0,False,0.00033196574794436593,0,0.2,58601,0,9,0.9,405.0,False,0.0010639927818729678,0,0.2,75292,0,0,0.0,0.0,False,0.0,0,0.2,75292,0,0,0.0,0.0,False,0.0,0.2875,417562,0.0,0.0,13,0,0,12,4,4.0,36,48,45,270.0,72.0,25,18,45,212,6.471171977987979,22.24242470000172
3,45,0,0,0,10.0,20,10.0,25.988941548183252,21,32.95238095238095,26.375690607734807,3,16.0,45.0,0,,53.0,0,,1,0.21900000000000003,28746,43,0,0.0,430.0,False,-0.008456587236373596,0,0.2,29530,0,16,1.0,415.82306477093204,False,0.018142684620154326,0,0.227,45648,1,12,1.0,342.49722884100095,False,-0.005744974081666019,3,0.31100000000000005,45472,10,0,0.0,259.88941548183254,False,-0.0104603613457835,0,0.2,58645,0,6,0.3,270.0,False,0.0006639314958887319,0,0.2,58601,0,9,0.0,405.0,False,0.0010639927818729678,0,0.2,75292,0,0,0.0,0.0,False,0.0,0,0.2,75292,0,0,0.0,0.0,False,0.0,0.2875,417226,0.0,0.0,12,0,0,13,2,2.0,34,47,40,309.0,145.0,22,23,40,880,3.0301636870135553,25.272588387015276
4,40,0,0,0,10.0,20,10.0,25.071182548794486,4,12.0,26.375690607734807,0,,45.0,0,,53.0,20,53.0,3,0.24800000000000003,28615,51,0,0.0,510.0,False,-0.011572172007669131,0,0.2,29422,2,25,1.0,646.7795637198622,False,0.018398718907831162,0,0.227,45624,0,15,0.3,395.63535911602213,False,-0.0056892266392238626,0,0.30800000000000005,45448,12,0,0.0,300.85419058553384,False,-0.010536691795573972,0,0.2,58645,0,6,0.0,270.0,False,0.0006639314958887319,0,0.2,58601,0,9,0.0,405.0,False,0.0010639927818729678,8,0.28,75151,0,0,0.0,0.0,False,-0.0018727089199383734,12,0.32000000000000006,75012,0,0,0.0,0.0,False,-0.003718854592785422,0.1625,416518,0.0,0.0,11,0,0,7,14,14.0,34,41,37,306.0,144.0,17,23,37,212,2.2890641129924916,27.561652500007767
5,37,0,0,0,10.0,20,10.0,25.071182548794486,0,,24.114756748020042,13,15.615384615384615,43.5625,3,22.0,53.0,20,53.0,0,0.24500000000000002,28515,61,0,0.0,610.0,False,-0.013284031772117228,0,0.2,29322,2,35,1.0,897.491389207807,False,0.019266834244176318,0,0.227,45688,0,11,0.0,265.26232422822045,False,-0.005714973480728524,9,0.398,45233,12,0,0.0,300.85419058553384,False,-0.01520208542459923,0,0.2,58508,3,13,1.0,638.6567702440601,False,0.0014696444582494863,0,0.2,58601,0,9,0.0,392.0625,False,0.0009538695289491156,6,0.332,75061,0,0,0.0,0.0,False,-0.0030680550390479733,14,0.44800000000000006,74580,3,0,0.0,130.6875,False,-0.008588644875949637,0.25,415508,0.0,0.0,13,0,0,10,14,14.0,27,37,32,189.0,162.0,13,24,32,330,2.4660414670361206,30.027693967043888
6,32,0,0,0,10.0,20,10.0,21.908011556734255,59,18.966101694915253,23.095362969709342,8,16.0,43.81910569105691,6,45.666666666666664,53.00000000000001,20,53.0,24,0.48500000000000004,28035,73,0,0.0,730.0,False,-0.02766365379348124,0,0.2,30049,0,10,1.0,219.08011556734255,False,0.03254382558832066,0,0.227,45472,0,15,0.8,346.4304445456401,False,-0.009521412588472828,4,0.42900000000000005,44314,63,0,0.0,1380.2047280742581,False,-0.023433244422421496,0,0.2,58654,1,17,1.0,768.0201597176768,False,0.005056265297813098,0,0.2,58601,0,9,0.0,394.3719512195122,False,0.000973527444370281,9,0.41600000000000004,74757,4,0,0.0,175.27642276422765,False,-0.005941690865136848,11,0.5440000000000002,74203,5,0,0.0,219.09552845528455,False,-0.013008715876485706,0.35,414085,0.0,0.0,18,0,0,5,13,13.0,25,30,32,183.0,138.0,11,21,32,1345,2.385803211014718,32.413497178058606
7,32,0,0,0,10.0,20,10.0,22.692346957430043,37,24.864864864864863,24.060711821680368,44,25.318181818181817,44.864088159031986,2,68.0,53.00000000000001,20,53.0,17,0.6310000000000001,27651,84,0,0.0,840.0,False,-0.03892769104354971,10,0.30000000000000004,30379,0,9,0.9,204.23112261687038,False,0.043587906097933234,15,0.377,45262,17,10,1.0,626.3770164931144,False,-0.011040957637215527,14,0.5650000000000001,43579,73,0,0.0,1656.5413278923932,False,-0.03638419703267517,0,0.2,57608,35,26,1.0,2008.5912058936447,False,-0.002191048791358358,0,0.2,58669,0,8,0.0,358.9127052722559,False,0.00182932453713983,8,0.4870000000000001,74544,5,0,0.0,224.32044079515993,False,-0.008444984588036204,12,0.653,73861,6,0,0.0,269.18452895419193,False,-0.017218399504899715,0.3625,411553,0.0,0.0,14,0,0,9,18,17.5,24,33,29,201.0,135.0,12,20,29,686,2.7409029270056635,35.15440010506427
8,29,0,0,0,10.0,20,10.0,22.443762781736798,23,21.08695652173913,25.53103610128233,30,30.0,45.40652255462816,1,68.0,53.00000000000001,20,53.0,12,0.7340000000000002,27346,93,0,0.0,930.0,False,-0.04782936181867981,2,0.31000000000000005,30564,1,10,1.0,234.43762781736797,False,0.05043888023516444,0,0.36200000000000004,44801,28,20,1.0,1139.0460799142768,False,-0.015482097041117582,30,0.851,43375,75,0,0.0,1683.28220863026,False,-0.04052076416293874,0,0.2,56776,55,35,1.0,2993.435274982514,False,-0.007971984857403523,0,0.2,58669,0,8,0.0,363.2521804370253,False,0.0018662618991591817,7,0.549,74434,5,0,0.0,227.0326127731408,False,-0.009887952154457624,13,0.7710000000000001,73467,7,0,0.0,317.8456578823971,False,-0.022128209784024883,0.375,409432,0.0,0.0,11,0,0,10,17,16.1,24,34,31,234.0,153.0,13,16,31,268,2.0302624920150265,37.184662597079296
9,31,0,0,0,10.000000000000002,20,10.0,25.082656888819844,39,34.12820512820513,26.73023556107676,40,30.0,50.05520307191219,10,67.9,53.00000000000001,20,53.0,0,0.7220000000000002,27256,102,0,0.0,1020.0000000000002,False,-0.0493700356066831,29,0.5980000000000001,30741,2,10,1.0,270.82656888819844,False,0.05712179144221107,0,0.36200000000000004,44636,29,25,1.0,1395.6529388026945,False,-0.016278394466596895,35,1.171,41924,103,0,0.0,2583.513659548444,False,-0.06223945773426297,0,0.2,55711,85,43,1.0,4424.443754783749,False,-0.013921760314058798,0,0.2,59213,0,0,0.0,0.0,False,0.008035273488704652,10,0.6420000000000001,74228,5,0,0.0,250.27601535956094,False,-0.012469611543327585,10,0.8580000000000003,72586,17,0,0.0,850.9384522225072,False,-0.030289151223088104,0.375,406295,0.0,0.0,16,0,0,9,16,15.09090909090909,28,37,37,273.0,135.0,16,15,37,1099,2.3594422379974276,39.54410483507672
