index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,28.0,0,,37.0,0,,0,0.2,20813,10,0,0.0,100.0,False,-0.002390857361449816,0,0.2,20813,0,10,1.0,160.0,False,-0.0009563429445799263,0,0.2,31369,0,0,0.0,0.0,False,0.0,0,0.2,31369,0,0,0.0,0.0,False,0.0,0,0.2,37562,0,0,0.0,0.0,False,0.0,0,0.2,37562,0,0,0.0,0.0,False,0.0,0,0.2,51959,0,0,0.0,0.0,False,0.0,0,0.2,51959,0,0,0.0,0.0,False,0.0,0.125,283406,0.0,0.0,8,0,0,9,0,0.0,612,621,208,0.0,0.0,0,0,208,200,4.642115726019256,4.642115726019256
1,208,0,0,0,10.0,20,10.0,14.79245283018868,8,8.0,23.0,0,,28.0,0,,37.0,0,,8,0.28,20625,20,0,0.0,200.0,False,-0.008989623679051309,0,0.2,20713,0,20,1.0,295.8490566037736,False,-0.002490100497208133,0,0.2,31305,0,8,0.8,184.0,False,0.0008926009754853518,0,0.2,31369,0,0,0.0,0.0,False,0.0,0,0.2,37562,0,0,0.0,0.0,False,0.0,0,0.2,37562,0,0,0.0,0.0,False,0.0,0,0.2,51959,0,0,0.0,0.0,False,0.0,0,0.2,51959,0,0,0.0,0.0,False,0.0,0.225,283054,0.0,0.0,8,0,0,80,1,1.0,57,137,53,2160.0,414.0,120,88,53,200,14.716644967964385,19.35876069398364
2,53,0,0,0,10.0,20,10.0,14.79245283018868,0,,22.76086956521739,1,12.0,28.0,0,,37.0,0,,0,0.272,20535,29,0,0.0,290.0,False,-0.011141395304356143,0,0.2,20603,1,30,1.0,453.7735849056604,False,-0.003974236481957094,0,0.2,31305,0,8,0.0,182.08695652173913,False,0.0008621083955774217,1,0.21000000000000002,31353,0,0,0.0,0.0,False,-0.0005100577002773439,0,0.2,37562,0,0,0.0,0.0,False,0.0,0,0.2,37550,0,1,0.1,28.0,False,5.324530110217773e-05,0,0.2,51959,0,0,0.0,0.0,False,0.0,0,0.2,51959,0,0,0.0,0.0,False,0.0,0.1375,282826,0.0,0.0,8,0,0,16,1,1.0,38,54,50,654.0,133.0,38,15,50,200,3.2335691179614514,22.592329811945092
3,50,0,0,0,10.0,20,10.0,13.142428785607196,19,9.0,22.507075471698116,1,12.0,28.0,0,,37.0,0,,11,0.382,20314,38,0,0.0,380.0,False,-0.019557213216659493,0,0.2,20565,2,32,1.0,440.55772113943027,False,-0.006107260528393012,0,0.2,31161,6,18,1.0,483.9819312042092,False,0.0010835846090759844,1,0.21900000000000003,31310,3,0,0.0,39.42728635682159,False,-0.0012523943007934821,0,0.2,37550,0,1,0.1,28.0,False,5.324530110217773e-05,0,0.2,37550,0,1,0.0,28.0,False,5.324530110217773e-05,0,0.2,51959,0,0,0.0,0.0,False,0.0,0,0.2,51959,0,0,0.0,0.0,False,0.0,0.2625,282368,0.0,0.0,10,0,0,14,3,3.0,30,44,33,456.0,155.0,27,23,33,272,2.866573358012829,25.45890316995792
4,33,0,0,0,10.0,20,10.0,13.142428785607196,0,,24.672227036395153,8,35.0,28.0,0,,37.0,20,37.0,0,0.37100000000000005,20254,44,0,0.0,440.0,False,-0.020991727633529383,0,0.2,20425,6,42,1.0,611.9820089955023,False,-0.008703150934932749,0,0.2,31441,0,16,0.6,394.75563258232245,False,0.008587389342700187,0,0.21800000000000003,31310,3,0,0.0,39.42728635682159,False,-0.0012523943007934821,0,0.2,37550,0,1,0.0,28.0,False,5.324530110217773e-05,0,0.2,37270,0,9,0.8,252.0,False,-0.004419359991480752,11,0.31000000000000005,51794,0,0,0.0,0.0,False,-0.003175580746357705,9,0.29000000000000004,51850,0,0,0.0,0.0,False,-0.002097807886987817,0.30000000000000004,281894,0.0,0.0,10,0,0,10,8,8.0,24,34,28,279.0,104.0,18,15,28,480,2.281398519000504,27.740301688958425
5,28,0,0,0,10.0,20,10.0,14.878123798539024,18,20.666666666666668,24.672227036395153,0,,29.5,5,43.0,37.0,20,37.0,0,0.37100000000000005,20124,57,0,0.0,570.0,False,-0.024099842203414143,0,0.2,20727,3,34,1.0,535.8562091503268,False,0.003917568238663184,0,0.2,31441,0,16,0.0,394.75563258232245,False,0.008587389342700187,0,0.21800000000000003,30938,21,0,0.0,312.4405997693195,False,-0.008759593870233073,0,0.2,37550,0,1,0.0,29.5,False,7.321228901549439e-05,0,0.2,37485,0,4,0.0,118.0,False,-0.0004792077099195996,9,0.389,51676,0,0,0.0,0.0,False,-0.005446602128601397,11,0.39100000000000007,51480,5,0,0.0,147.5,False,-0.007799418772493697,0.125,281421,0.0,0.0,11,0,0,7,9,9.0,21,28,28,168.0,82.0,11,17,28,787,2.986309817992151,30.726611506950576
6,28,0,0,0,10.0,20,10.0,14.878123798539024,0,,24.374365362918397,1,12.0,29.5,0,,37.0,20,37.0,0,0.37100000000000005,20054,64,0,0.0,640.0,False,-0.025773442356429015,0,0.2,20597,6,44,1.0,714.637447135717,False,0.0019757434881585477,0,0.2,31441,0,16,0.0,389.98984580669435,False,0.008511426022613032,1,0.228,30922,21,0,0.0,312.4405997693195,False,-0.009269651570510417,0,0.2,37550,0,1,0.0,29.5,False,7.321228901549439e-05,0,0.2,37473,0,5,0.1,147.5,False,-0.0004059954209041052,12,0.5,51486,0,0,0.0,0.0,False,-0.009103331472892088,8,0.4600000000000001,51380,5,0,0.0,147.5,False,-0.00972401316422564,0.1375,280903,0.0,0.0,9,0,0,10,10,10.0,18,28,30,237.0,102.0,14,14,30,200,2.0240697150002234,32.7506812219508
7,30,0,0,0,10.0,20,10.0,17.157932172246536,31,22.322580645161292,24.05941266900147,1,12.0,30.65,5,41.0,37.0,20,37.0,3,0.401,19871,79,0,0.0,790.0,False,-0.030937694257160617,0,0.2,21215,1,26,1.0,456.1062364784099,False,0.02534562799403262,0,0.2,31441,0,16,0.0,384.95060270402354,False,0.008431103999235329,1,0.23700000000000002,30214,52,0,0.0,892.2124729568199,False,-0.02259854517267339,0,0.2,37538,0,2,0.1,61.3,False,0.0001770406261647797,0,0.2,37678,0,0,0.0,0.0,False,0.0030882274639263086,12,0.6080000000000001,51297,0,0,0.0,0.0,False,-0.01274081487326546,8,0.532,51073,10,0,0.0,306.5,False,-0.014102465405415808,0.1375,280327,0.0,0.0,10,0,0,14,11,11.0,22,36,25,249.0,64.0,18,12,25,1073,2.092897943977732,34.84357916592853
8,25,0,0,0,10.0,20,10.0,16.575842241369646,7,9.0,23.413844891308074,2,12.0,31.2375,15,33.0,37.00000000000001,20,37.0,7,0.4680000000000001,19691,90,0,0.0,900.0,False,-0.036914837660785155,0,0.2,21125,0,36,1.0,596.7303206893073,False,0.024404206012750555,0,0.2,31441,0,16,0.0,374.6215182609292,False,0.008266465591203582,2,0.256,30118,59,0,0.0,977.9746922408091,False,-0.02429190136375389,8,0.28,37512,0,2,0.2,62.475,False,-0.0004995074809647274,5,0.25,37713,0,0,0.0,0.0,False,0.004020020233214419,10,0.6960000000000002,51084,5,0,0.0,156.1875,False,-0.015337212994861333,10,0.6240000000000001,50514,20,0,0.0,624.75,False,-0.021798437229353915,0.15,279198,0.0,0.0,8,0,0,11,14,13.6,21,32,23,225.0,75.0,15,10,23,200,1.910447533999104,36.754026699927635
9,23,0,0,0,10.000000000000002,20,10.0,17.554006093845885,21,21.666666666666668,23.084199124922137,1,12.0,29.763961038961035,23,26.304347826086957,37.00000000000001,20,37.0,2,0.48100000000000004,19551,102,0,0.0,1020.0000000000002,False,-0.04074020943910486,0,0.2,21482,0,25,0.8,438.8501523461471,False,0.037700237946400456,0,0.2,31441,0,16,0.0,369.3471859987542,False,0.008182396410449088,1,0.264,29647,80,0,0.0,1404.3204875076708,False,-0.03251107004514537,11,0.382,37279,0,1,0.1,29.763961038961035,False,-0.007138012339079926,10,0.34500000000000003,37748,0,0,0.0,0.0,False,0.004951813002502529,12,0.806,50603,16,0,0.0,476.22337662337657,False,-0.021514815752580213,8,0.6940000000000002,50105,32,0,0.0,952.4467532467531,False,-0.02651661162410022,0.1125,277856,0.0,0.0,9,0,0,10,15,14.714285714285715,20,30,28,252.0,86.0,14,9,28,637,1.855778822035063,38.6098055219627
