index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,22.0,0,,33.0,0,,38.0,0,,0,0.2,16610,10,0,0.0,100.0,False,-0.002992220227408737,0,0.2,16610,0,10,1.0,140.0,False,-0.0017953321364452424,0,0.2,25970,0,0,0.0,0.0,False,0.0,0,0.2,25970,0,0,0.0,0.0,False,0.0,0,0.2,37248,0,0,0.0,0.0,False,0.0,0,0.2,37248,0,0,0.0,0.0,False,0.0,0,0.2,47065,0,0,0.0,0.0,False,0.0,0,0.2,47065,0,0,0.0,0.0,False,0.0,0.125,253786,0.0,0.0,8,0,0,0,0,0.0,292,292,104,0.0,0.0,0,0,104,200,1.9258819020469673,1.9258819020469673
1,104,0,0,0,10.0,20,10.0,14.0,0,,20.51923076923077,7,11.0,33.0,0,,38.0,0,,0,0.2,16550,16,0,0.0,160.0,False,-0.0047875523638539795,0,0.2,16470,4,20,1.0,320.0,False,-0.0047875523638539795,0,0.2,25970,0,0,0.0,0.0,False,0.0,7,0.27,25865,0,0,0.0,0.0,False,-0.004043126684636119,0,0.2,37171,0,7,0.7,231.0,False,0.0010336125429553265,0,0.2,37248,0,0,0.0,0.0,False,0.0,0,0.2,47065,0,0,0.0,0.0,False,0.0,0,0.2,47065,0,0,0.0,0.0,False,0.0,0.2125,253404,0.0,0.0,7,0,0,72,1,1.0,36,108,56,1693.0,150.0,94,10,56,200,6.354693179950118,8.280575081997085
2,56,0,0,0,10.0,20,10.0,13.3,5,7.0,19.0193661971831,10,12.0,33.0,0,,38.0,0,,5,0.25,16390,27,0,0.0,270.0,False,-0.011071214841412328,0,0.2,16380,3,30,1.0,429.0,False,-0.0069120287253141835,0,0.2,25935,0,5,0.5,95.0968309859155,False,0.0004831888907569563,10,0.36300000000000004,25695,0,0,0.0,0.0,False,-0.01058914131690412,0,0.2,37099,0,13,0.6,429.0,False,0.001758483676975945,0,0.2,37200,0,4,0.4,132.0,False,0.0004832474226804124,0,0.2,47065,0,0,0.0,0.0,False,0.0,0,0.2,47065,0,0,0.0,0.0,False,0.0,0.3125,252829,0.0,0.0,7,0,0,6,3,3.0,32,38,57,428.0,107.0,26,30,57,200,2.2569632530212402,10.537538335018326
3,57,0,0,0,10.0,20,10.0,11.147887323943662,26,7.423076923076923,18.19450280112045,6,11.166666666666666,33.0,0,,38.0,0,,26,0.5050000000000001,15863,35,0,0.0,350.0,False,-0.04021543985637343,0,0.2,16260,5,40,1.0,495.9154929577465,False,-0.012091098355543119,0,0.2,25790,10,15,1.0,384.39641525624336,False,0.0004697037977712801,6,0.41300000000000003,25552,6,0,0.0,66.88732394366197,False,-0.014807714209786962,0,0.2,37099,0,13,0.0,429.0,False,0.001758483676975945,0,0.2,37133,0,10,0.6,330.0,False,0.0013423539518900344,0,0.2,47065,0,0,0.0,0.0,False,0.0,0,0.2,47065,0,0,0.0,0.0,False,0.0,0.325,251827,0.0,0.0,7,0,0,15,8,8.0,25,40,36,446.0,117.0,28,29,36,200,2.214055003016256,12.751593338034581
4,36,0,0,0,10.0,20,10.0,10.84687953555878,5,7.0,16.242684721011333,22,11.681818181818182,30.71153846153846,7,16.0,38.0,20,38.0,5,0.5290000000000001,15713,45,0,0.0,450.0,False,-0.046199880311190905,0,0.2,16160,5,50,1.0,592.343976777939,False,-0.01519018621250922,0,0.2,25815,5,20,1.0,379.0880920980205,False,0.00133015194643858,17,0.5770000000000001,25185,6,0,0.0,65.08127721335268,False,-0.028974176410986707,0,0.2,37099,0,13,0.0,399.25,False,0.0013591333762886597,0,0.2,36988,12,13,1.0,594.1622166521361,False,0.0009955194460392648,9,0.29000000000000004,46838,7,0,0.0,214.98076923076923,False,-0.002539246050878935,11,0.31000000000000005,46912,0,0,0.0,0.0,False,-0.003250823329438011,0.375,250710,0.0,0.0,8,0,0,13,11,11.0,20,33,31,277.0,87.0,17,19,31,372,1.962137750000693,14.713731088035274
5,31,0,0,0,10.0,20,10.0,12.652298500182903,20,18.25,16.164514099291452,1,11.0,30.71153846153846,0,,38.0,20,38.0,5,0.5740000000000001,15553,56,0,0.0,560.0,False,-0.052483542788749254,0,0.2,16400,4,45,1.0,609.3534325082306,False,-0.00031856874601349005,0,0.2,25815,0,25,0.5,404.1128524822863,False,0.0018119532630397619,1,0.5700000000000001,24805,26,0,0.0,328.9597610047555,False,-0.03852599613005859,0,0.2,37099,0,13,0.0,399.25,False,0.0013591333762886597,0,0.2,36977,3,23,1.0,754.8589269132589,False,0.002857320217370925,13,0.41100000000000003,46625,7,0,0.0,214.98076923076923,False,-0.00706490205852793,7,0.369,46833,0,0,0.0,0.0,False,-0.004929353022415808,0.3125,250107,0.0,0.0,8,0,0,13,9,9.0,14,27,32,225.0,47.0,15,16,32,530,2.095515958033502,16.809247046068776
6,32,0,0,0,10.0,20,10.0,13.596432843603349,24,16.5,15.96733216036242,3,12.0,32.67613636363636,6,48.0,38.0,20,38.0,0,0.5690000000000002,15433,68,0,0.0,680.0,False,-0.056074207061639736,0,0.2,16716,2,31,1.0,441.48941815170383,False,0.013569402099093391,0,0.2,25619,4,35,1.0,613.242356987098,False,-0.0017088494996708651,3,0.5990000000000001,24563,36,0,0.0,489.4715823697206,False,-0.04475410892626648,0,0.2,37387,0,7,0.0,228.7329545454545,False,0.006802149840870058,0,0.2,36941,0,29,0.6,947.6079545454544,False,0.0044781995616604365,7,0.4680000000000001,46256,13,0,0.0,424.7897727272727,False,-0.01267619491419017,13,0.4920000000000001,46615,0,0,0.0,0.0,False,-0.009561245086582387,0.325,249530,0.0,0.0,9,0,0,8,9,9.0,17,25,30,183.0,77.0,11,21,30,884,1.8490653470507823,18.65831239311956
7,30,0,0,0,10.0,20,10.0,15.19552924502572,37,19.0,15.566898653743413,5,11.0,35.02827809798271,8,49.0,38.0,20,38.0,5,0.6190000000000002,15263,80,0,0.0,800.0,False,-0.06265709156193895,1,0.21000000000000002,17287,0,10,1.0,151.9552924502572,False,0.039077058421611514,0,0.2,25584,0,44,0.9,684.9435407647102,False,-0.0016760966352577854,5,0.646,23820,68,0,0.0,1033.2959886617489,False,-0.06289380075737877,0,0.2,37387,0,7,0.0,245.19794668587895,False,0.0070231683135453665,0,0.2,37278,0,26,0.5,910.7352305475504,False,0.013030702729643882,11,0.5710000000000002,45902,17,0,0.0,595.480727665706,False,-0.01838435432204708,9,0.5690000000000002,46302,4,0,0.0,140.11311239193083,False,-0.01472311577189065,0.3,248823,0.0,0.0,10,0,0,9,10,9.071428571428571,20,29,30,228.0,63.0,14,16,30,952,1.86591396399308,20.52422635711264
8,30,0,0,0,10.0,20,10.0,14.567452441859146,10,7.5,15.11979273043274,8,12.0,37.833391563969,13,48.61538461538461,38.0,20,38.0,10,0.7140000000000002,14998,95,0,0.0,950.0,False,-0.07402752842609216,0,0.20900000000000002,17237,0,15,0.5,218.5117866278872,False,0.03807635507564,0,0.2,25509,0,54,1.0,816.468807443368,False,-0.0020317903842247743,8,0.7210000000000001,23690,68,0,0.0,990.5867660464219,False,-0.06872185664138582,0,0.2,37627,0,2,0.0,75.666783127938,False,0.011190759008912341,0,0.2,37574,0,26,0.8,983.6681806631941,False,0.02195645646294025,8,0.6400000000000001,45612,21,0,0.0,794.5012228433491,False,-0.022431730342681953,12,0.6800000000000002,45685,13,0,0.0,491.83409033159705,False,-0.024096100177078524,0.2875,247932,0.0,0.0,9,0,0,8,11,11.0,19,27,31,204.0,52.0,13,17,31,832,1.6253471160307527,22.14957347314339
9,31,0,0,0,10.000000000000002,20,10.0,15.612936976952907,55,17.70909090909091,14.869968641143691,5,12.0,33.50818579562821,14,16.0,38.0,20,38.0,21,0.9140000000000001,14895,99,0,0.0,990.0000000000002,False,-0.07899461400359066,19,0.399,17417,6,10,1.0,216.1293697695291,False,0.04877706073517442,0,0.2,25215,11,64,1.0,1123.4202997796783,False,-0.007442812865235234,5,0.7630000000000001,22940,102,0,0.0,1592.5195716491965,False,-0.08601233015692733,0,0.2,37627,0,2,0.0,67.01637159125642,False,0.011074639867794908,0,0.2,37738,0,17,0.5,569.6391585256795,False,0.020801642484504924,13,0.7620000000000002,45300,27,0,0.0,904.7210164819617,False,-0.02788992864674434,7,0.738,45476,21,0,0.0,703.6719017081923,False,-0.026286285969316984,0.3125,246608,0.0,0.0,10,0,0,11,12,11.117647058823529,21,32,26,224.0,46.0,17,14,26,424,1.8738811200018972,24.02345459314529
10,26,0,0,0,10.000000000000002,20,10.0,16.0931810046602,49,17.551020408163264,14.679259779719667,4,12.0,30.710464320948073,14,18.0,37.99999999999999,20,38.0,20,1.0930000000000002,14765,106,0,0.0,1060.0000000000002,False,-0.08467983243566726,19,0.5700000000000001,17499,9,10,1.0,250.93181004660198,False,0.05472566756572724,0,0.2,24355,50,74,1.0,1890.9242739322654,False,-0.02578120381339497,4,0.798,22884,102,0,0.0,1641.5044624753402,False,-0.0872255590590038,0,0.2,37627,0,2,0.0,61.42092864189615,False,0.010999529218238453,0,0.2,37942,0,7,0.4,214.97325024663652,False,0.021517574772425847,9,0.8390000000000002,45197,27,0,0.0,829.182536665598,False,-0.030880882432108812,11,0.841,45061,35,0,0.0,1074.8662512331825,False,-0.031160456270761933,0.3,245330,0.0,0.0,9,0,0,6,10,9.285714285714285,22,28,26,237.0,51.0,14,12,26,452,1.3504119570134208,25.37386655015871
11,26,0,0,0,10.000000000000002,20,10.0,15.844693972154548,5,7.0,22.129171946720646,34,34.0,28.981014086049925,11,18.0,38.0,20,38.0,5,1.1230000000000002,14605,117,0,0.0,1170.0000000000002,False,-0.09096349491322561,0,0.5510000000000002,17409,8,20,1.0,396.89387944309095,False,0.05370717772121766,0,0.2,25476,45,50,1.0,1819.4698260829869,False,0.01600827543478995,0,0.794,22884,102,0,0.0,1616.158785159764,False,-0.08771353898421708,0,0.2,37627,0,2,0.0,57.96202817209985,False,0.01095309853109026,4,0.24000000000000002,36828,24,10,1.0,820.9102675817948,False,-0.00025625177752094854,8,0.9100000000000001,44913,38,0,0.0,1101.278535269897,False,-0.03402444985371402,12,0.9500000000000002,44882,35,0,0.0,1014.3354930117473,False,-0.03560676199923776,0.375,244624,0.0,0.0,8,0,0,11,8,7.363636363636363,19,30,24,225.0,78.0,15,11,24,1356,1.6448712050332688,27.018737755191978
12,24,0,0,0,10.000000000000002,20,10.0,15.898316912104441,18,16.38888888888889,21.488290201931086,12,17.25,26.35464380172888,20,16.8,37.99999999999999,20,38.0,5,1.1680000000000004,14485,124,0,0.0,1240.0000000000002,False,-0.09605026929982047,0,0.5510000000000002,17539,11,17,1.0,380.2713875057755,False,0.06098956874643251,0,0.2,25540,40,57,1.0,1860.7652179942495,False,0.01926771694251545,9,0.8840000000000001,22498,115,0,0.0,1828.3064448920106,False,-0.09849236725275294,0,0.2,37594,0,3,0.1,79.06393140518664,False,0.010350407154816103,10,0.336,36568,25,10,1.0,800.7536930655659,False,-0.007507064901933494,11,1.012,44618,46,0,0.0,1212.3136148795286,False,-0.039112784288967056,9,1.0280000000000002,44581,47,0,0.0,1238.6682586812574,False,-0.039618949764355114,0.3875,243423,0.0,0.0,10,0,0,10,10,9.166666666666666,20,30,22,213.0,39.0,16,8,22,559,1.4992758959997445,28.518013651191723
13,22,0,0,0,10.000000000000002,20,10.0,14.960354436947974,20,7.25,20.24038929589027,15,13.4,25.228953803965588,13,18.0,38.00000000000001,20,38.0,20,1.3630000000000002,14060,136,0,0.0,1360.0000000000002,False,-0.11789347695990425,0,0.5510000000000002,17459,9,27,1.0,493.92956979759526,False,0.05960291950321956,0,0.2,25428,50,66,1.0,2083.8834153761563,False,0.019250739610630657,14,1.0150000000000001,22258,115,0,0.0,1720.4407602490169,False,-0.10981053599828615,0,0.2,37561,0,4,0.1,100.91581521586235,False,0.009757783172463803,3,0.35600000000000004,36517,29,10,1.0,839.2608276204737,False,-0.008359363890403914,10,1.1010000000000002,44366,52,0,0.0,1311.9055978062106,False,-0.043409055584763524,10,1.1190000000000004,44315,54,0,0.0,1362.3635054141419,False,-0.04395661844880327,0.3875,241964,0.0,0.0,9,0,0,7,15,14.5,17,24,32,147.0,52.0,9,13,32,359,1.2780924729886465,29.79610612418037
14,32,0,0,0,10.000000000000002,20,10.0,14.53638830824954,10,7.5,19.882719059355605,6,14.666666666666666,24.53271412952091,14,20.214285714285715,38.0,20,38.0,0,1.3430000000000002,13990,143,0,0.0,1430.0000000000002,False,-0.11998803111909037,0,0.5510000000000002,17404,12,27,1.0,512.4824843227376,False,0.056866621314265106,0,0.2,25386,50,75,1.0,2218.0233448641475,False,0.020216082881481415,5,1.0510000000000002,22183,115,0,0.0,1671.6846554486972,False,-0.11363718414615522,0,0.2,37610,0,3,0.0,73.59814238856274,False,0.010706590184554443,3,0.38300000000000006,36546,25,10,1.0,742.3951177790992,False,-0.008881079282389627,15,1.241,43799,66,0,0.0,1619.15913254838,False,-0.052192084005647774,5,1.1590000000000003,44268,54,0,0.0,1324.7665629941293,False,-0.04535465247005064,0.375,241186,0.0,0.0,12,0,0,11,10,9.23076923076923,18,29,30,240.0,96.0,15,17,30,357,1.5343133240239695,31.33041944820434
