index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,31.0,0,,36.0,0,,0,0.2,30052,0,7,0.7,140.0,False,0.0,0,0.2,29992,13,0,0.0,130.0,False,-0.002157891242281389,0,0.2,49606,0,0,0.0,0.0,False,0.0,0,0.2,49606,0,0,0.0,0.0,False,0.0,0,0.2,59113,0,0,0.0,0.0,False,0.0,0,0.2,59113,0,0,0.0,0.0,False,0.0,0.11666666666666665,277482,0.0,0.0,8,0,0,98,0,0.0,320,418,100,0.0,0.0,0,0,100,200,1.223114757973235,1.223114757973235
1,100,0,0,0,10.0,20,10.0,20.0,0,,26.92452830188679,8,4.0,36.0,0,,0,0.2,29962,0,16,0.9,320.0,False,0.0,0,0.2,29882,24,0,0.0,240.0,False,-0.003983799216519488,8,0.28,49342,0,0,0.0,0.0,False,-0.005321936862476314,0,0.2,49606,0,0,0.0,0.0,False,0.0,0,0.2,59113,0,0,0.0,0.0,False,0.0,0,0.2,59081,0,8,0.8,288.0,False,0.0018946762979378479,0.2833333333333334,276986,0.0,0.0,8,0,0,56,1,1.0,53,109,54,1457.0,42.0,93,7,54,200,4.91736993502127,6.140484692994505
2,54,0,0,0,10.0,20,10.0,17.68421052631579,12,9.0,25.961770623742453,2,3.0,36.0,0,,0,0.2,29972,0,15,0.9,265.2631578947369,False,-0.0005766025181803949,2,0.22000000000000003,29732,35,0,0.0,350.0,False,-0.007137640262930748,2,0.29200000000000004,49274,0,0,0.0,0.0,False,-0.006692738781599,0,0.2,49498,2,10,1.0,294.98612729005606,False,0.0007961348152447265,0,0.2,59107,0,2,0.2,72.0,False,0.0005075025798047806,0,0.2,59081,0,8,0.0,288.0,False,0.0018946762979378479,0.35000000000000003,276664,0.0,0.0,11,0,0,21,2,2.0,37,58,50,246.0,31.0,41,13,50,300,4.244107378006447,10.384592071000952
3,50,0,0,0,10.0,20,10.0,16.32744783306581,11,10.0,23.65312688517997,5,3.0,36.0,6,36.0,0,0.2,29997,0,13,0.8,212.25682182985554,False,-0.0006265051817632504,1,0.228,29593,47,0,0.0,470.0,False,-0.009760308080472744,5,0.34,49104,0,0,0.0,0.0,False,-0.010119743579405717,0,0.2,49388,3,20,1.0,522.0448812027968,False,0.0008672830020843229,4,0.24000000000000002,59136,0,5,0.5,180.0,False,0.0019115930505980072,0,0.2,59081,0,8,0.0,288.0,False,0.0018946762979378479,0.3833333333333333,276299,0.0,0.0,11,0,0,29,3,3.0,15,44,41,221.0,118.0,29,21,41,377,3.064401828974951,13.448993899975903
4,41,0,0,0,10.0,20,10.0,18.622203461376106,15,27.2,19.66243052790138,13,5.923076923076923,36.0,10,36.0,1,0.21000000000000002,30309,0,7,0.7,130.35542422963275,False,0.008371878099555648,1,0.23700000000000002,29441,60,0,0.0,600.0,False,-0.012648562512449373,13,0.4650000000000001,48644,0,0,0.0,0.0,False,-0.019392815385235657,0,0.2,48980,8,30,1.0,738.8505435280501,False,-0.005172251909768445,5,0.28600000000000003,59196,3,10,1.0,418.9872915837041,False,0.004948042660529021,0,0.2,59081,0,8,0.0,288.0,False,0.0018946762979378479,0.45,275651,0.0,0.0,11,0,0,16,6,4.404761904761905,16,32,41,191.0,152.0,17,24,41,308,2.869263687985949,16.318257587961853
5,41,0,0,0,10.0,20,10.0,19.660262563714287,10,26.3,16.140007733501736,15,3.933333333333333,35.99999999999999,13,36.0,2,0.229,30452,0,7,0.7,137.621837946,False,0.013239855221200402,1,0.24600000000000002,29289,73,0,0.0,730.0,False,-0.015536816944426001,15,0.6020000000000001,48082,0,0,0.0,0.0,False,-0.030722090069749627,0,0.2,48717,8,40,1.0,802.8824098497837,False,-0.009828625470207372,3,0.31100000000000005,59470,8,10,1.0,489.12006186801386,False,0.010176442253548423,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.45,275091,0.0,0.0,12,0,0,19,7,5.722222222222222,15,34,36,200.0,115.0,21,20,36,524,1.8316858779871836,18.149943465949036
6,36,0,0,0,10.0,20,10.0,21.74601498101415,23,27.782608695652176,17.29774877701794,41,19.0,35.99999999999999,10,36.0,15,0.377,30586,0,9,0.9,195.71413482912735,False,0.01865271454135061,1,0.255,29156,84,0,0.0,840.0,False,-0.018126286435163667,41,0.9970000000000001,47344,0,0,0.0,0.0,False,-0.04559932266258114,0,0.2,48078,21,50,1.0,1321.553753452194,False,-0.017482222377815174,0,0.30800000000000005,59051,39,10,1.0,1034.6122023036996,False,0.007702300697847363,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.48333333333333334,273296,0.0,0.0,11,0,0,18,4,3.4615384615384617,14,32,37,161.0,123.0,16,20,37,560,1.7046219269977883,19.854565392946824
7,37,0,0,0,10.0,20,10.0,17.5800236529449,29,6.0,19.84338925473336,45,25.0,35.99999999999999,11,36.0,0,0.36200000000000004,30486,0,19,1.0,334.02044940595306,False,0.017628650976129586,29,0.544,28264,94,0,0.0,940.0,False,-0.04607927760440874,45,1.4060000000000004,46804,0,0,0.0,0.0,False,-0.05648510260855542,0,0.2,47904,40,60,1.0,1893.8043014017976,False,-0.015221905602126719,1,0.318,58279,74,10,1.0,1828.4108048502687,False,0.0013568149548345337,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,270818,0.0,0.0,11,0,0,14,5,4.333333333333333,15,29,27,140.0,116.0,14,23,27,488,1.741089056013152,21.595654448959976
8,27,0,0,0,10.0,20,10.0,15.298051966383202,44,10.181818181818182,17.06454848467257,39,8.333333333333334,35.99999999999999,13,36.0,0,0.36200000000000004,30608,1,21,1.0,331.25909129404727,False,0.021633010611746405,36,0.8750000000000002,27302,103,0,0.0,1030.0,False,-0.0765221432839785,34,1.7010000000000005,45612,8,0,0.0,122.38441573106562,False,-0.07928088924997917,0,0.2,47715,66,65,1.0,2118.867081285008,False,-0.016763424975960537,3,0.34700000000000003,58293,103,10,1.0,2117.6484939212746,False,0.004040130715081859,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,268611,0.0,0.0,14,0,0,19,4,4.0,15,34,23,180.0,65.0,18,9,23,947,1.556984763010405,23.15263921197038
9,23,0,0,0,10.000000000000002,20,10.0,16.411116751391315,27,21.703703703703702,17.488725246460888,15,21.6,36.0,11,36.0,5,0.41200000000000003,30981,0,10,1.0,164.11116751391316,False,0.03124147081060207,1,0.8490000000000002,27171,114,0,0.0,1140.0000000000002,False,-0.0790452161211075,15,1.8170000000000002,45359,8,0,0.0,131.28893401113052,False,-0.08429132631122113,0,0.2,47129,83,75,1.0,2673.7770838500455,False,-0.022983337863866835,1,0.3540000000000001,58322,108,10,1.0,2248.7823266177757,False,0.005639895848779227,0,0.2,59081,0,8,0.0,288.0,False,0.0018946762979378479,0.5,268043,0.0,0.0,12,0,0,17,5,3.5964912280701755,10,27,23,122.0,70.0,12,11,23,691,1.3492592219845392,24.50189843395492
