index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,33.0,0,,47.0,0,,0,0.2,29976,0,9,0.9,189.0,False,0.00014967072440630612,0,0.2,29956,11,0,0.0,110.0,False,-0.0018293088538548527,0,0.2,49942,0,0,0.0,0.0,False,0.0,0,0.2,49942,0,0,0.0,0.0,False,0.0,0,0.2,63138,0,0,0.0,0.0,False,0.0,0,0.2,63138,0,0,0.0,0.0,False,0.0,0.15,286092,0.0,0.0,9,0,0,132,0,0.0,458,590,116,0.0,0.0,0,0,116,200,1.9270782779785804,1.9270782779785804
1,116,0,0,0,10.0,20,10.0,21.0,0,,28.169811320754718,8,1.0,47.0,0,,0,0.2,29866,1,19,1.0,409.0,False,0.00014967072440630612,0,0.2,29866,20,0,0.0,200.0,False,-0.003326016097917914,8,0.28,49638,0,0,0.0,0.0,False,-0.006087060990749269,0,0.2,49942,0,0,0.0,0.0,False,0.0,0,0.2,63130,0,8,0.8,376.0,False,0.0028508980328803574,0,0.2,63138,0,0,0.0,0.0,False,0.0,0.3,285580,0.0,0.0,7,0,0,34,1,1.0,56,90,54,1082.0,246.0,73,43,54,200,5.520560990960803,7.447639268939383
2,54,0,0,0,10.0,20,10.0,16.333333333333332,21,6.333333333333333,21.569715142428784,19,5.0,47.0,0,,0,0.2,29746,3,29,1.0,503.66666666666663,False,-0.002267234306747418,21,0.41000000000000003,29207,28,0,0.0,280.0,False,-0.0239140557440298,19,0.4620000000000001,48667,11,0,0.0,179.66666666666666,False,-0.02373086113224669,0,0.2,49932,0,10,1.0,215.69715142428782,False,0.0019592442375584726,0,0.2,63130,0,8,0.0,376.0,False,0.0028508980328803574,0,0.2,63043,9,10,1.0,664.127436281859,False,0.003754691598418273,0.5,283725,0.0,0.0,7,0,0,12,9,9.0,28,40,25,325.0,135.0,25,29,25,200,2.8935696889529936,10.341208957892377
3,25,0,0,0,10.0,20,10.0,17.50301204819277,7,27.428571428571427,19.160788233614166,10,4.7,47.0,7,47.0,0,0.2,29810,1,35,1.0,622.6054216867469,False,0.0018393770652356273,3,0.41900000000000004,29060,40,0,0.0,400.0,False,-0.026807689749218388,10,0.5430000000000001,48082,18,0,0.0,315.05421686746985,False,-0.03408900107256945,0,0.2,49932,0,10,0.0,191.60788233614167,False,0.0017180717866339538,0,0.2,63130,0,8,0.0,376.0,False,0.0028508980328803574,0,0.2,63325,9,13,1.0,783.4470941025274,False,0.009166010121499897,0.3333333333333333,283339,0.0,0.0,11,0,0,15,4,4.0,13,28,22,134.0,40.0,12,13,22,673,1.5008377890335396,11.842046746925917
4,22,0,0,0,10.0,20,10.0,16.83126059920859,11,13.181818181818182,16.630743204275444,15,6.0,46.99999999999999,10,47.0,0,0.2,29700,2,45,1.0,777.4067269643866,False,0.0007551175241865496,11,0.526,28799,49,0,0.0,490.0,False,-0.03399188452072108,15,0.6830000000000002,47294,28,0,0.0,471.27529677784054,False,-0.04830327883567102,0,0.2,49928,0,11,0.1,182.93817524702987,False,0.001551181122572547,0,0.2,63130,0,8,0.0,375.99999999999994,False,0.0028508980328803574,0,0.2,63705,14,13,1.0,843.8304048598561,False,0.015662757807183084,0.35000000000000003,282556,0.0,0.0,10,0,0,13,9,9.0,13,26,21,85.0,63.0,11,11,21,670,1.6354153389693238,13.47746208589524
5,21,0,0,0,10.0,20,10.0,22.562605207549876,48,30.166666666666668,13.759047110603314,18,2.5555555555555554,46.99999999999999,8,47.0,0,0.2,31052,0,17,1.0,383.5642885283479,False,0.039173223716629166,10,0.6150000000000001,28429,61,0,0.0,610.0,False,-0.04430253442426661,18,0.8480000000000001,45548,58,0,0.0,1308.6311020378928,False,-0.07488055041810608,0,0.2,49392,8,21,1.0,469.4408309830686,False,-0.006312914671187963,0,0.2,63130,0,8,0.0,375.99999999999994,False,0.0028508980328803574,0,0.2,64035,22,15,1.0,1007.6990364332728,False,0.02218710631025115,0.5,281586,0.0,0.0,13,0,0,16,6,6.0,13,29,25,123.0,66.0,14,7,25,2008,1.480917248991318,14.958379334886558
6,25,0,0,0,10.0,20,10.0,24.95024544540292,20,36.95,13.445564211239864,2,1.0,47.0,12,47.0,3,0.23,31586,3,10,1.0,279.5024544540292,False,0.05520359300296063,0,0.6050000000000001,28359,68,0,0.0,680.0,False,-0.045466640058537885,2,0.8500000000000001,45021,69,0,0.0,1721.5669357328015,False,-0.08129863706166353,0,0.2,49104,7,31,1.0,591.4642086662562,False,-0.010857953138978717,0,0.2,63130,0,8,0.0,376.0,False,0.0028508980328803574,0,0.2,64597,14,13,1.0,799.2378989573581,False,0.02943740614968294,0.5,281797,0.0,0.0,13,0,0,15,2,1.2727272727272727,13,28,24,156.0,78.0,14,11,24,1052,1.56716412701644,16.525543461903
7,24,0,0,0,10.0,20,10.0,25.35720040963237,50,26.24,13.277973554679605,1,1.0,47.00000000000001,10,47.0,19,0.41700000000000004,32073,3,10,1.0,283.57200409632367,False,0.07146896833792857,21,0.8150000000000002,27752,78,0,0.0,780.0,False,-0.06399254972394067,1,0.8580000000000003,43806,104,0,0.0,2637.1488426017663,False,-0.09646040564453005,0,0.2,48969,12,41,1.0,848.6833206574522,False,-0.010985910449546955,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,0,0.2,65066,5,13,1.0,677.3898677733981,False,0.03590064515643033,0.5,280796,0.0,0.0,12,0,0,16,7,6.375,11,27,20,126.0,80.0,12,12,20,670,1.451533213024959,17.977076674927957
8,20,0,0,0,10.0,20,10.0,24.84961422691173,24,21.833333333333332,18.76997282371799,22,35.45454545454545,47.00000000000001,11,47.0,7,0.4680000000000001,32328,1,10,1.0,258.4961422691173,False,0.07953329578708707,7,0.8640000000000001,27471,90,0,0.0,900.0,False,-0.07134304530033925,8,0.937,43512,111,0,0.0,2758.307179187202,False,-0.101134243931088,0,0.2,49173,19,37,1.0,1166.6316647888884,False,-0.003717996227735284,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,0,0.2,64803,17,12,1.0,883.0895380032059,False,0.033364135211783726,0.5,280417,0.0,0.0,14,0,0,13,5,4.411764705882353,12,25,19,131.0,45.0,10,10,19,1431,1.215983279980719,19.193059954908676
9,19,0,0,0,10.000000000000002,20,10.0,24.42992122111383,58,23.344827586206897,25.07745899176247,22,48.0,47.00000000000001,13,47.0,16,0.6210000000000001,32818,0,8,0.8,195.43936976891064,False,0.0947821354647926,32,1.1770000000000003,26575,103,0,0.0,1030.0000000000002,False,-0.09898223907403712,0,0.9290000000000003,42798,135,0,0.0,3298.039364850367,False,-0.11002723794751545,0,0.2,49589,43,25,1.0,1677.4230873019565,False,0.00972551246748183,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,1,0.21000000000000002,64302,29,10,1.0,1197.2463107611118,False,0.0279169938132433,0.4666666666666666,279212,0.0,0.0,13,0,0,15,6,5.333333333333333,11,26,14,73.0,45.0,9,10,14,2046,1.265906061977148,20.458966016885825
