index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,16,10.0,17.0,0,,25.0,0,,30.0,0,,0,0.2,24378,0,9,0.9,153.0,False,-0.0005517410495340853,0,0.2,24398,0,7,0.7,119.0,False,-0.0004291319274153997,0,0.2,34581,0,0,0.0,0.0,False,0.0,0,0.2,34581,0,0,0.0,0.0,False,0.0,0,0.2,43961,0,0,0.0,0.0,False,0.0,0,0.2,43961,0,0,0.0,0.0,False,0.0,0.26666666666666666,205860,0.0,0.0,4,0,0,60,0,0.0,187,247,114,0.0,0.0,0,0,114,160,1.5012411633506417,1.5012411633506417
1,114,0,0,0,10.0,20,10.0,17.0,0,,25.0,0,,30.0,0,,0,0.2,24258,2,19,1.0,343.0,False,-0.0015734837338564655,0,0.2,24318,0,15,0.8,255.0,False,-0.0009195684158901423,0,0.2,34581,0,0,0.0,0.0,False,0.0,0,0.2,34581,0,0,0.0,0.0,False,0.0,0,0.2,43961,0,0,0.0,0.0,False,0.0,0,0.2,43961,0,0,0.0,0.0,False,0.0,0.3,205660,0.0,0.0,5,0,0,46,0,0.0,30,76,58,1020.0,229.0,65,49,58,200,3.398722678422928,4.89996384177357
2,58,0,0,0,9.999999999999998,10,10.0,18.79310344827586,13,25.0,24.73913043478261,1,13.0,30.0,0,,0,0.2,24523,0,14,0.8,263.10344827586204,False,0.007624314375426319,0,0.2,24278,0,19,0.4,357.06896551724134,False,-0.0004685923345341033,1,0.21000000000000002,34564,0,0,0.0,0.0,False,-0.0004915994332147711,0,0.2,34256,3,10,1.0,303.7706146926537,False,-0.00500606381115858,0,0.2,43961,0,0,0.0,0.0,False,0.0,0,0.2,43948,0,1,0.1,30.0,False,4.549487045335638e-05,0.38333333333333336,205530,0.0,0.0,4,0,0,15,1,1.0,27,42,41,433.0,142.0,30,28,41,425,1.918729049153626,6.8186928909271955
3,41,0,0,0,10.0,13,10.0,19.790996784565916,10,25.0,25.578397212543557,16,27.75,30.0,20,30.0,0,0.2,24693,0,12,0.8,237.49196141479098,False,0.014048797642120065,0,0.2,24228,0,24,0.5,474.98392282958196,False,-0.00010250280305741586,0,0.20900000000000002,34314,0,10,1.0,255.78397212543558,False,-0.004022671812188163,6,0.26,34520,0,3,0.3,76.73519163763066,False,-0.0006544751216327523,9,0.29000000000000004,43781,2,0,0.0,51.156794425087114,False,-0.003512695407007512,10,0.30000000000000004,43532,4,10,1.0,402.31358885017426,False,-0.00518284856065409,0.6,205068,0.0,0.0,6,0,0,17,7,6.357142857142858,10,27,40,198.0,86.0,15,26,40,649,1.48256865888834,8.301261549815536
4,40,0,0,0,9.999999999999998,9,10.0,20.646461630337413,11,25.0,23.392474862147264,10,12.1,30.0,20,30.0,0,0.2,24878,0,10,0.9,206.46461630337413,False,0.020975654248475067,0,0.2,24228,0,24,0.0,495.5150791280979,False,0.0003170483719163309,0,0.20900000000000002,34435,0,0,0.0,0.0,False,-0.0042219716029033285,0,0.254,34245,1,13,1.0,324.7486348382518,False,-0.005020840420487381,11,0.39100000000000007,43658,2,0,0.0,46.78494972429453,False,-0.006360354066965031,0,0.29000000000000004,43681,4,11,1.0,423.56989944858907,False,-0.0015517174376312355,0.48333333333333334,205125,0.0,0.0,9,0,0,15,3,3.0,10,25,32,183.0,95.0,13,27,32,756,1.1750523298978806,9.476313879713416
5,32,0,0,0,9.999999999999998,12,10.0,20.27247037667384,2,9.0,24.782425430235993,19,28.842105263157894,29.999999999999996,20,30.0,0,0.2,24776,2,18,1.0,384.90446678012916,False,0.020453336332763777,0,0.2,24228,0,24,0.0,486.5392890401722,False,0.00013362941474928157,10,0.30900000000000005,34227,0,2,0.2,49.564850860471985,False,-0.009520186650755052,0,0.254,34672,0,5,0.1,123.91212715117996,False,0.004423124362383723,11,0.49000000000000005,43105,11,0,0.0,272.6066797325959,False,-0.016371253159248072,0,0.29000000000000004,43830,4,12,1.0,459.1297017209439,False,0.0022420975605757783,0.3833333333333333,204838,0.0,0.0,9,0,0,14,5,5.0,9,23,31,145.0,75.0,12,20,31,835,1.6031852308660746,11.07949911057949
6,31,0,0,0,9.999999999999998,11,10.0,21.72026217813867,22,25.40909090909091,23.4756721087223,16,18.0,30.0,20,30.0,4,0.24000000000000002,25141,3,10,1.0,247.2026217813867,False,0.032556862468967294,0,0.2,24228,0,24,0.0,521.2862922753282,False,0.0008436793419022102,14,0.43900000000000006,33480,12,10,1.0,495.3998672248871,False,-0.024675401705779396,0,0.254,34672,0,5,0.0,117.3783605436115,False,0.004328653892941475,12,0.5990000000000001,42682,27,0,0.0,633.8431469355021,False,-0.021884816690526852,0,0.29000000000000004,44070,0,8,0.4,240.0,False,0.005209162666909306,0.39999999999999997,204273,0.0,0.0,6,0,0,13,6,5.194444444444445,11,24,33,197.0,136.0,13,18,33,675,1.1692684572190046,12.248767567798495
7,33,0,0,0,10.0,7,10.0,22.392513517918793,30,23.966666666666665,28.25850254139265,33,39.09090909090909,30.0,20,30.0,5,0.28600000000000003,25318,0,10,1.0,223.92513517918792,False,0.03931512864106568,0,0.2,24591,0,9,0.0,201.53262166126913,False,0.009145263643560294,22,0.645,33239,32,10,1.0,999.145457987328,False,-0.024360986408904828,0,0.254,34719,0,4,0.0,113.0340101655706,False,0.005624967614666648,9,0.6770000000000002,42545,28,0,0.0,791.2380711589942,False,-0.023211049894690815,3,0.32000000000000006,43049,22,10,1.0,921.6870559106384,False,-0.0102626526249331,0.5,203461,0.0,0.0,7,0,0,22,8,6.46039886039886,11,33,24,301.0,107.0,21,12,24,660,1.3060431340709329,13.554810701869428
8,24,0,0,0,10.0,11,10.0,22.75245741077015,10,26.0,33.38652656308306,33,48.45454545454545,30.0,20,30.0,0,0.281,25468,1,10,1.0,237.52457410770148,False,0.04572348729172187,0,0.2,24591,0,9,0.0,204.77211669693133,False,0.009211462250632003,11,0.7330000000000001,33938,22,10,1.0,834.4193286677739,False,-0.006529317708166675,8,0.3340000000000001,34770,0,10,1.0,333.8652656308306,False,0.010292722385570484,11,0.7780000000000002,40834,61,0,0.0,2036.5781203480667,False,-0.0479677655154788,0,0.31700000000000006,43319,12,11,1.0,730.6383187569967,False,-0.006293779500500413,0.6666666666666666,202920,0.0,0.0,7,0,0,15,7,5.723809523809524,9,24,27,189.0,105.0,13,11,27,640,1.1231144424527884,14.677925144322217
9,27,0,0,0,9.999999999999998,12,10.0,23.188782399690172,14,26.0,34.64424782135496,20,42.0,29.999999999999996,20,30.0,4,0.32100000000000006,25628,3,10,1.0,261.8878239969017,False,0.05276049991819735,0,0.2,24591,0,9,0.0,208.69904159721156,False,0.009291708386406949,0,0.722,33852,23,14,1.0,1018.3614646918434,False,-0.006356648669907708,4,0.36600000000000005,35212,0,3,0.3,103.93274346406488,False,0.019749757720483187,10,0.867,40081,76,0,0.0,2632.962834422977,False,-0.05831347291436761,0,0.31700000000000006,43429,7,11,1.0,572.5097347494847,False,-0.005590071486664448,0.5499999999999999,202793,0.0,0.0,9,0,0,19,6,4.5353535353535355,8,27,31,218.0,119.0,15,12,31,810,1.2802400877699256,15.958165232092142
