index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,26.0,0,,34.0,0,,0,0.2,34619,0,8,0.8,168.0,False,0.00011527709732268942,0,0.2,34579,12,0,0.0,120.0,False,-0.0017291564598403413,0,0.2,43884,0,0,0.0,0.0,False,0.0,0,0.2,43884.0,0,0,0.0,0.0,False,0.0,0,0.2,67256,0,0,0.0,0.0,False,0.0,0,0.2,67256,0,0,0.0,0.0,False,0.0,0.13333333333333333,291478,0.0,0.0,5,0,0,102,0,0.0,307,409,46,0.0,0.0,0,0,46,200,0.8446995867416263,0.8446995867416263
1,46,0,0,0,10.0,20,10.0,21.0,0,,25.608695652173914,1,8.0,34.0,0,,0,0.2,34509,1,18,1.0,388.0,False,0.00011527709732268942,0,0.2,34489,21,0,0.0,210.0,False,-0.003026023804720597,0,0.2,43884,0,0,0.0,0.0,False,0.0,1,0.21000000000000002,43861.0,0,0,0.0,0.0,False,-0.0005241090146750524,0,0.2,67248,0,1,0.1,34.0,False,0.00013381705721422625,0,0.2,67256,0,0,0.0,0.0,False,0.0,0.18333333333333335,291247,0.0,0.0,5,0,0,28,1,1.0,21,49,31,637.0,43.0,40,6,31,200,2.4123424673452973,3.2570420540869236
2,31,0,0,0,10.0,20,10.0,19.448979591836736,4,2.0,25.608695652173914,0,,34.0,0,,0,0.2,34429,0,27,0.9,525.1224489795918,False,-0.00021438011211294422,4,0.24000000000000002,34277,33,0,0.0,330.0,False,-0.007406553502982795,0,0.2,43876,0,4,0.4,102.43478260869566,False,0.0009848097553628737,0,0.20900000000000002,43861.0,0,0,0.0,0.0,False,-0.0005241090146750524,0,0.2,67248,0,1,0.0,34.0,False,0.00013381705721422625,0,0.2,67256,0,0,0.0,0.0,False,0.0,0.21666666666666667,290947,0.0,0.0,5,0,0,22,1,1.0,14,36,24,278.0,24.0,27,4,24,200,2.773526417091489,6.030568471178412
3,24,0,0,0,10.0,20,10.0,17.672097759674134,5,2.0,24.35775862068966,5,14.0,34.0,12,34.0,0,0.2,34309,2,37,1.0,673.8676171079429,False,-0.0015293291289670834,5,0.28600000000000003,34082,41,0,0.0,410.0,False,-0.01187354102423701,1,0.21000000000000002,43905,0,5,0.5,121.78879310344828,False,0.001866156151484018,0,0.20900000000000002,43861.0,0,0,0.0,0.0,False,-0.0005241090146750524,0,0.2,67248,0,1,0.0,34.0,False,0.00013381705721422625,12,0.32000000000000006,67030,0,5,0.5,170.0,False,-0.0020964672296895446,0.3333333333333333,290435,0.0,0.0,4,0,0,13,5,4.2,14,27,21,136.0,37.0,17,7,21,200,1.6489749467000365,7.679543417878449
4,21,0,0,0,10.0,20,10.0,20.571809930592632,12,31.25,21.578753076292045,7,5.0,34.0,7,34.0,0,0.2,34583,2,36,1.0,760.5851575013347,False,0.007616720330576338,1,0.29100000000000004,33958,51,0,0.0,510.0,False,-0.014006167324706763,0,0.20900000000000002,43904,0,6,0.1,129.47251845775227,False,0.001930914666595509,7,0.279,43305.0,11,0,0.0,226.28990923651895,False,-0.010615601252888001,0,0.2,67248,0,1,0.0,34.0,False,0.00013381705721422625,2,0.32800000000000007,67151,0,7,0.7,238.0,False,0.00020815986677768527,0.3,290149,0.0,0.0,6,0,0,16,3,2.6666666666666665,9,25,21,125.0,48.0,16,5,21,710,1.7182889664545655,9.397832384333014
5,21,0,0,0,10.0,20,10.0,22.354302576385123,25,25.96,16.81031879681784,25,8.44,34.0,9,34.0,0,0.2,35084,4,25,1.0,598.8575644096281,False,0.019724740834168523,4,0.33000000000000007,33806,59,0,0.0,590.0,False,-0.017233926049742068,1,0.21900000000000003,43602,5,10,1.0,279.874700850104,False,-0.0032372310996022623,18,0.45200000000000007,42442.0,21,0,0.0,469.4403541040876,False,-0.0275107060192316,0,0.2,67248,0,1,0.0,34.0,False,0.00013381705721422625,2,0.3460000000000001,67164,15,10,1.0,592.1547819522675,False,0.0030343373227092567,0.5,289346,0.0,0.0,8,0,0,13,6,4.642857142857142,9,22,7,152.0,46.0,13,8,7,991,1.1991796884685755,10.59701207280159
6,7,0,0,0,10.0,20,10.0,24.23828106824902,33,28.12121212121212,16.23460039319183,20,14.45,33.99999999999999,7,34.0,0,0.2,35878,6,10,1.0,302.38281068249023,False,0.038335151022832,8,0.406,33525,67,0,0.0,670.0,False,-0.024179371163434105,0,0.21800000000000003,43359,13,15,1.0,558.6166597851147,False,-0.00559866170147307,15,0.5840000000000001,41497.0,36,0,0.0,872.5781184569647,False,-0.04445152996015673,0,0.2,67248,0,1,0.0,33.99999999999999,False,0.00013381705721422625,0,0.3440000000000001,67113,25,13,1.0,847.8650098297956,False,0.004177062342614855,0.5,288620,0.0,0.0,11,0,0,7,5,5.0,5,12,14,39.0,12.0,3,4,14,1422,0.8186504002660513,11.415662473067641
7,14,0,0,0,10.0,20,10.0,26.532231189588348,14,41.42857142857143,16.865640147819903,34,18.235294117647058,34.00000000000001,11,34.0,4,0.24000000000000002,36228,9,10,1.0,355.3223118958835,False,0.049184736042766145,0,0.398,33455,74,0,0.0,740.0,False,-0.025188045765007636,0,0.21800000000000003,43359,3,25,1.0,501.23769726426264,False,-0.00625241890820952,34,0.9090000000000003,40252.0,50,0,0.0,1326.6115594794173,False,-0.0676486696805281,0,0.2,67248,0,1,0.0,34.00000000000001,False,0.00013381705721422625,0,0.3440000000000001,66867,49,12,1.0,1234.4163672431755,False,0.003393127507160622,0.5,287409,0.0,0.0,9,0,0,10,4,4.0,9,19,10,122.0,15.0,9,5,10,994,1.026122096925974,12.441784569993615
8,10,0,0,0,10.0,20,10.0,29.160020088303803,43,34.93023255813954,16.865640147819903,0,,34.0,7,34.0,30,0.536,36494,12,10,1.0,411.60020088303804,False,0.057661606975460966,3,0.42800000000000005,33352,81,0,0.0,810.0,False,-0.02714775641949336,0,0.21800000000000003,42997,6,35,1.0,765.2575257035194,False,-0.011493283136182657,0,0.8750000000000002,39112.0,80,0,0.0,2332.8016070643043,False,-0.08216204531190974,0,0.2,67248,0,1,0.0,34.0,False,0.00013381705721422625,0,0.3440000000000001,67105,39,15,1.0,1167.7599657649762,False,0.006436302826253196,0.5,286308,0.0,0.0,7,0,0,9,4,3.411764705882353,8,17,8,66.0,20.0,7,3,8,438,0.9175495011731982,13.359334071166813
9,8,0,0,0,10.000000000000002,20,10.0,29.160020088303803,0,,19.936978836349038,63,24.666666666666668,34.0,10,34.0,0,0.506,36404,11,20,1.0,693.2004017660761,False,0.05912562900611084,0,0.42500000000000004,33242,92,0,0.0,920.0000000000001,False,-0.028732816507680337,0,0.21800000000000003,43187,0,36,0.6,717.7312381085653,False,-0.007705185966313863,58,1.4550000000000003,38270.0,80,0,0.0,2332.8016070643043,False,-0.10134899271870948,0,0.2,67248,0,1,0.0,34.0,False,0.00013381705721422625,0,0.3440000000000001,65891,92,15,1.0,2344.2020529441115,False,-0.00286813033079497,0.43333333333333335,284242,0.0,0.0,8,0,0,8,2,2.0,7,15,11,77.0,6.0,6,2,11,730,0.932694093324244,14.292028164491057
10,11,0,0,0,10.000000000000002,20,10.0,29.160020088303803,0,,19.049924994273677,15,10.533333333333333,34.0,13,34.0,0,0.506,36294,12,30,1.0,994.8006026491141,False,0.06030145829345399,0,0.4250000000000001,33152,101,0,0.0,1010.0000000000002,False,-0.030029683852560593,0,0.21800000000000003,43317,0,31,0.0,590.547674822484,False,-0.006191918753731541,10,1.4970000000000003,37961.0,80,0,0.0,2332.8016070643043,False,-0.10839028339412649,0,0.2,67248,0,1,0.0,34.0,False,0.00013381705721422625,0,0.3440000000000001,66175,97,12,1.0,2255.8427244445465,False,0.000697653179229722,0.3333333333333333,284147,0.0,0.0,9,0,0,8,2,2.0,11,19,13,121.0,18.0,9,2,13,772,1.2376318043097854,15.529659968800843
11,13,0,0,0,10.000000000000002,20,10.0,27.861919284354506,25,21.44,18.306116274818365,8,5.0,33.99999999999999,12,34.0,0,0.506,36714,11,23,1.0,750.8241435401536,False,0.06888994125969275,8,0.5050000000000001,32853,112,0,0.0,1120.0000000000002,False,-0.03706158678924465,0,0.21800000000000003,42781,15,41,1.0,1168.4795565328704,False,-0.011821169941973525,8,1.5670000000000004,37753.0,80,0,0.0,2228.9535427483606,False,-0.11431326288911262,0,0.2,67248,0,1,0.0,33.99999999999999,False,0.00013381705721422625,0,0.3440000000000001,66543,95,10,1.0,2079.0810461077444,False,0.0048551879840292985,0.5,283892,0.0,0.0,9,0,0,10,3,3.0,11,21,15,114.0,13.0,11,2,15,1118,1.150564530864358,16.6802244996652
12,15,0,0,0,10.000000000000002,20,10.0,28.176251888817827,11,32.0,18.14843256028648,3,11.0,33.99999999999999,10,34.0,0,0.506,36946,13,22,1.0,749.8775415539922,False,0.07556237271324802,0,0.49700000000000005,32773,120,0,0.0,1200.0000000000002,False,-0.03821435776247154,0,0.21800000000000003,42546,13,51,1.0,1291.8613351292422,False,-0.01577042503954466,3,1.5890000000000002,37576.0,83,0,0.0,2338.6289067718794,False,-0.11709701819829693,0,0.2,67248,0,1,0.0,33.99999999999999,False,0.00013381705721422625,0,0.3440000000000001,66850,88,10,1.0,1937.0620653052101,False,0.008364027486805767,0.5,283939,0.0,0.0,10,0,0,10,1,1.0,9,19,17,65.0,42.0,9,6,17,892,1.1734828995540738,17.853707399219275
