index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,15,10.0,21.0,0,,31.0,0,,43.0,0,,0,0.2,37087,0,2,0.2,42.0,False,2.6949093163015065e-05,0,0.2,36977,13,0,0.0,130.0,False,-0.001751691055595979,0,0.2,53291,0,0,0.0,0.0,False,0.0,0,0.2,53291.0,0,0,0.0,0.0,False,0.0,0,0.2,72152,0,0,0.0,0.0,False,0.0,0,0.2,72152,0,0,0.0,0.0,False,0.0,0.03333333333333333,324950,0.0,0.0,7,0,0,112,0,0.0,357,469,88,0.0,0.0,0,0,88,150,1.7348280599690042,1.7348280599690042
1,88,0,0,0,10.0,12,10.0,21.0,0,,26.515625,19,15.894736842105264,43.0,0,,0,0.2,37087,0,2,0.0,42.0,False,2.6949093163015065e-05,0,0.2,36857,25,0,0.0,250.0,False,-0.003368636645376883,0,0.2,53291,0,0,0.0,0.0,False,0.0,19,0.39,52734.0,0,0,0.0,0.0,False,-0.01045204631175996,0,0.2,72152,0,0,0.0,0.0,False,0.0,0,0.2,71850,19,0,0.0,503.796875,False,-0.00069438910217319,0.0,323971,0.0,0.0,6,0,0,52,3,3.0,51,103,57,1470.0,60.0,83,5,57,120,7.157983185024932,8.892811244993936
2,57,0,0,0,10.0,18,10.0,17.714285714285715,11,4.2727272727272725,22.35669456066946,38,16.05263157894737,43.0,0,,0,0.2,37018,0,11,1.0,194.85714285714286,False,0.0002271423566597264,10,0.30000000000000004,36507,33,0,0.0,330.0,False,-0.011722855525911553,0,0.2,53277,0,8,0.8,178.85355648535568,False,0.001415375546390121,38,0.7510000000000001,51059.0,3,0,0.0,53.142857142857146,False,-0.04138463476813294,0,0.2,71982,0,10,1.0,430.0,False,0.000623683335181284,0,0.2,71410,47,0,0.0,1050.7646443514645,False,-0.0030022407947702923,0.4666666666666666,321253,0.0,0.0,10,0,0,17,7,7.0,36,53,33,464.0,129.0,34,23,33,211,4.0729820020496845,12.96579324704362
3,33,0,0,0,9.999999999999998,19,10.0,13.132596685082873,22,2.6363636363636362,20.782230265425717,30,16.266666666666666,43.0,20,43.0,0,0.2,36958,0,17,0.6,223.25414364640886,False,-0.0010071665232111338,22,0.51,35698,46,0,0.0,459.99999999999994,False,-0.03177298083919476,0,0.2,53228,3,18,1.0,413.4779348329115,False,0.0026972465785303104,30,1.0130000000000003,49962.0,12,0,0.0,157.59116022099448,False,-0.06098974348181685,2,0.22000000000000003,72394,0,0,0.0,0.0,False,0.003354030380308238,8,0.28,70817,77,0,0.0,1600.2317304377802,False,-0.007413296024796407,0.26666666666666666,319057,0.0,0.0,12,0,0,19,13,13.0,21,40,29,338.0,174.0,20,13,29,620,2.8614191230153665,15.827212370058987
4,29,0,0,0,9.999999999999998,14,10.0,10.246043707611152,41,5.658536585365853,19.710750853242324,28,15.714285714285714,43.0,20,43.0,0,0.2,36958,0,17,0.0,174.1827430293896,False,-0.0016683813966449398,41,0.8980000000000001,34309,60,0,0.0,599.9999999999999,False,-0.06731883472121163,0,0.2,53220,0,23,0.5,453.34726962457347,False,0.0029211993547181843,28,1.2630000000000003,48746.0,51,0,0.0,522.5482290881688,False,-0.08038366488630197,11,0.32800000000000007,72197,0,0,0.0,0.0,False,0.000623683335181284,9,0.36200000000000004,70241,105,0,0.0,2069.628839590444,False,-0.012143607664441449,0.08333333333333333,315671,0.0,0.0,7,0,0,16,18,18.0,19,35,26,257.0,177.0,15,14,26,140,2.23169115500059,18.058903525059577
5,26,0,0,0,9.999999999999998,9,10.0,9.109024460848168,15,1.8666666666666667,18.34528608218565,63,15.761904761904763,43.0,20,43.0,0,0.2,36958,0,17,0.0,154.85341583441885,False,-0.0019288353163229059,15,1.0070000000000001,33797,69,0,0.0,689.9999999999999,False,-0.07990406122833967,0,0.2,53206,0,31,0.8,568.7038685477551,False,0.003740818041956053,63,1.8650000000000002,44734.0,58,0,0.0,528.3234187291938,False,-0.15561423674983396,10,0.41700000000000004,71629,15,10,1.0,705.1792912327847,False,-0.0023618244038087644,10,0.45300000000000007,69497,143,0,0.0,2623.3759097525476,False,-0.018617807477598947,0.3,309821,0.0,0.0,4,0,0,16,20,20.0,19,35,23,259.0,123.0,15,11,23,90,1.9014827749924734,19.96038630005205
6,23,0,0,0,10.0,13,10.0,8.488012556004957,18,5.055555555555555,17.935833822693272,29,15.620689655172415,43.0,20,43.0,0,0.2,36989,0,16,0.0,135.8082008960793,False,-0.0013500390641108507,17,1.1620000000000001,33246,82,0,0.0,820.0,False,-0.09300132050556499,0,0.2,53356,0,21,0.0,376.6525102765587,False,0.004753640485978487,19,1.9920000000000004,44103.0,76,0,0.0,645.0889542563767,False,-0.16635933877900225,0,0.40700000000000003,71780,15,13,1.0,828.0375073403991,False,0.000582364365093132,13,0.5730000000000002,68934,162,0,0.0,2905.6050792763103,False,-0.02446498309626682,0.16666666666666666,308408,0.0,0.0,9,0,0,19,11,11.0,13,32,18,223.0,72.0,14,9,18,612,1.5156075180275366,21.475993818079587
7,18,0,0,0,10.0,10,10.0,7.919238866608089,23,5.304347826086956,19.04764500214153,19,29.210526315789473,43.0,20,43.0,0,0.2,37020,0,15,0.0,118.78858299912135,False,-0.000743948810209283,22,1.365,32521,92,0,0.0,920.0,False,-0.11119195839060016,0,0.2,53670,0,22,0.9,419.0481900471136,False,0.011043592633344472,11,2.0830000000000006,43815.0,90,0,0.0,712.731497994728,False,-0.1711289758308652,0,0.40700000000000003,71940,9,15,1.0,816.4288050192738,False,0.0027194589548402673,12,0.6800000000000002,68354,177,0,0.0,3371.4331653790505,False,-0.029275465923473756,0.31666666666666665,307320,0.0,0.0,12,0,0,15,9,9.0,17,32,19,181.0,48.0,12,6,19,843,1.270044725970365,22.746038544049952
8,19,0,0,0,10.000000000000002,9,10.0,8.837276488444257,33,12.06060606060606,21.18809418505983,132,24.0,43.00000000000001,20,43.0,0,0.2,37351,0,4,0.0,35.34910595377703,False,0.007051891906564494,22,1.5630000000000004,31927,101,0,0.0,1010.0000000000002,False,-0.12598701053709543,0,0.2,53570,1,20,1.0,432.5991601896408,False,0.009294244433296791,120,3.272000000000001,34914.0,112,0,0.0,989.7749667057567,False,-0.33555595722818343,0,0.4070000000000001,70005,88,13,1.0,2423.552288285265,False,-0.012961856301382824,8,0.748,67526,220,0,0.0,4661.380720713162,False,-0.03181214158503454,0.3333333333333333,295293,0.0,0.0,15,0,0,18,13,13.0,16,34,20,227.0,33.0,13,6,20,1141,1.2192802529898472,23.9653187970398
9,20,0,0,0,10.000000000000002,11,10.0,7.975498356203782,22,2.727272727272727,20.537818368203787,46,16.652173913043477,43.0,20,43.0,0,0.2,37351,0,4,0.0,31.901993424815128,False,0.007005443628221371,22,1.7610000000000006,31134,112,0,0.0,1120.0000000000002,False,-0.14587544129140054,0,0.2,53707,4,20,1.0,442.6583607888909,False,0.011959414917986994,36,3.5120000000000013,33402.0,121,0,0.0,965.0353011006576,False,-0.3641605965256736,0,0.40700000000000003,69992,105,13,1.0,2715.4709286613975,False,-0.011119089362308677,10,0.8400000000000001,67040,239,0,0.0,4908.538590000705,False,-0.03683516333573075,0.3333333333333333,292626,0.0,0.0,10,0,0,17,14,14.0,12,29,19,187.0,102.0,11,9,19,710,1.202925632998813,25.168244430038612
