index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,28.0,0,,36.0,0,,47.0,0,,0,0.2,21406,10,0,0.0,100.0,False,-0.0023249325769552683,0,0.2,21406,10,0,0.0,100.0,False,-0.0023249325769552683,0,0.2,42473,0,0,0.0,0.0,False,0.0,0,0.2,42473,0,0,0.0,0.0,False,0.0,0,0.2,57706,0,0,0.0,0.0,False,0.0,0,0.2,57706.0,0,0,0.0,0.0,False,0.0,0,0.2,72939,0,0,0.0,0.0,False,0.0,0,0.2,72939,0,0,0.0,0.0,False,0.0,0.0,389048,0.0,0.0,6,0,0,103,0,0.0,330,433,56,0.0,0.0,0,0,56,200,0.8416724650305696,0.8416724650305696
1,56,0,0,0,10.0,20,10.0,15.0,0,,28.0,0,,33.9375,3,3.0,47.0,0,,0,0.2,21296,21,0,0.0,210.0,False,-0.004882358411606063,0,0.2,21316,19,0,0.0,190.0,False,-0.00441737189621501,0,0.2,42473,0,0,0.0,0.0,False,0.0,0,0.2,42473,0,0,0.0,0.0,False,0.0,0,0.2,57706,0,0,0.0,0.0,False,0.0,3,0.23,57586.0,0,0,0.0,0.0,False,-0.002079506463799258,0,0.2,72930,0,3,0.3,141.0,False,0.0008431703204047217,0,0.2,72939,0,0,0.0,0.0,False,0.0,0.0375,388719,0.0,0.0,5,0,0,31,1,1.0,27,58,34,751.0,117.0,47,9,34,200,3.054564321995713,3.8962367870262824
2,34,0,0,0,10.0,20,10.0,14.3125,3,4.0,28.0,0,,30.520746887966805,5,1.0,47.0,0,,1,0.21000000000000002,21186,31,0,0.0,310.0,False,-0.007672277503952385,2,0.22000000000000003,21184,29,0,0.0,290.0,False,-0.00823026132242165,0,0.2,42461,0,3,0.3,84.0,False,0.0007063310809219975,0,0.2,42473,0,0,0.0,0.0,False,0.0,0,0.2,57706,0,0,0.0,0.0,False,0.0,5,0.277,57376.0,0,0,0.0,0.0,False,-0.0057186427754479605,0,0.2,72930,0,3,0.0,141.0,False,0.0008431703204047217,0,0.2,72934,0,5,0.5,235.0,False,0.0015423847324476617,0.1,388250,0.0,0.0,6,0,0,21,3,3.0,10,31,39,207.0,110.0,21,13,39,200,2.373372743022628,6.2696095300489105
3,39,0,0,0,10.0,20,10.0,13.1597510373444,5,3.2,28.0,0,,29.548121570282824,4,19.0,47.0,0,,1,0.21900000000000003,21076,41,0,0.0,410.0,False,-0.010462196596298707,4,0.258,21020,39,0,0.0,390.0,False,-0.013531107597879661,0,0.2,42445,0,8,0.5,224.0,False,0.001977727026581593,0,0.2,42473,0,0,0.0,0.0,False,0.0,4,0.24000000000000002,57610,0,0,0.0,0.0,False,-0.0016636051710394067,0,0.272,57376.0,0,0,0.0,0.0,False,-0.0057186427754479605,0,0.2,72930,0,3,0.0,141.0,False,0.0008431703204047217,0,0.2,72858,0,9,0.4,423.0,False,0.0017891662896392876,0.1125,387788,0.0,0.0,6,0,0,15,3,3.0,12,27,38,217.0,182.0,17,22,38,200,1.9405516929691657,8.210161223018076
4,38,0,0,0,10.0,20,10.0,11.675165434021022,8,3.625,28.0,0,,26.15005550758604,6,2.0,47.0,8,47.0,3,0.24800000000000003,20914,54,0,0.0,540.0,False,-0.014972565795591928,5,0.30400000000000005,20858,46,0,0.0,460.0,False,-0.019436436343346044,0,0.2,42443,0,10,0.2,280.0,False,0.0025898806300473243,0,0.2,42446,6,0,0.0,70.05099260412612,False,0.00018895524926573122,0,0.23600000000000002,57610,0,0,0.0,0.0,False,-0.0016636051710394067,6,0.332,57130.0,0,0,0.0,0.0,False,-0.00998163102623644,0,0.2,72930,0,3,0.0,141.0,False,0.0008431703204047217,0,0.2,73222,0,7,0.6,329.0,False,0.006135263713514032,0.1,387553,0.0,0.0,7,0,0,15,6,6.0,16,31,36,272.0,156.0,21,17,36,576,1.87305206496967,10.083213287987746
5,36,0,0,0,10.0,20,10.0,10.358817890195791,8,2.75,26.369230769230768,20,22.7,25.588392015686345,1,1.0,47.0,15,47.0,2,0.265,20814,62,0,0.0,620.0,False,-0.01776248488793825,6,0.35900000000000004,20630,58,0,0.0,580.0,False,-0.027248209801915745,0,0.2,42696,0,9,0.8,237.3230769230769,False,0.008044205459033648,11,0.31000000000000005,42216,6,0,0.0,62.152907341174746,False,-0.005319227422819435,0,0.23600000000000002,57275,3,10,1.0,334.9916124645557,False,-0.004566322284818274,1,0.3360000000000001,56969.0,7,0,0.0,184.58461538461538,False,-0.01117228177845786,0,0.2,72930,0,3,0.0,141.0,False,0.0008431703204047217,8,0.28,73436,0,1,0.1,47.0,False,0.0071361000287911815,0.23750000000000002,386966,0.0,0.0,8,0,0,19,9,8.333333333333332,8,27,34,207.0,129.0,16,20,34,710,1.5818714430206455,11.665084731008392
6,34,0,0,0,10.0,20,10.0,9.816987598855993,3,1.0,28.394482758620693,14,36.857142857142854,25.588392015686345,0,,46.99999999999999,7,47.0,0,0.263,20674,76,0,0.0,760.0,False,-0.021017390495675626,3,0.38300000000000006,20519,64,0,0.0,640.0,False,-0.031014600576583277,1,0.21000000000000002,43079,0,3,0.3,85.18344827586208,False,0.015270683119580165,4,0.3390000000000001,42176,6,0,0.0,58.90192559313596,False,-0.0062992733549180144,0,0.23600000000000002,56855,3,20,1.0,596.951288589589,False,-0.00957481640912919,0,0.3350000000000001,56873.0,11,0,0.0,312.33931034482765,False,-0.011728942308037012,0,0.2,72930,0,3,0.0,140.99999999999997,False,0.0008431703204047217,6,0.332,73408,0,0,0.0,0.0,False,0.006430030573492919,0.1625,386514,0.0,0.0,7,0,0,15,5,3.95,11,26,33,196.0,107.0,15,19,33,405,1.687460878980346,13.352545609988738
7,33,0,0,0,10.0,20,10.0,9.742269823887728,2,8.0,28.905137157107237,35,29.857142857142858,30.401665496685176,15,43.333333333333336,46.999999999999986,13,47.0,2,0.28300000000000003,20574,84,0,0.0,840.0,False,-0.023807309588021946,0,0.38000000000000006,20399,76,0,0.0,760.0,False,-0.033804519668929604,2,0.229,43200,0,2,0.2,57.810274314214475,False,0.01779730975342227,30,0.6350000000000001,41996,6,0,0.0,58.45361894332637,False,-0.01054253738912571,0,0.23600000000000002,56350,28,20,1.0,1417.3771503327062,False,-0.011217402433605686,5,0.385,56768.0,11,0,0.0,317.9565087281796,False,-0.013499839629083797,0,0.2,72930,0,3,0.0,140.99999999999994,False,0.0008431703204047217,13,0.456,72525,5,10,1.0,622.0083274834258,False,-0.001412081825337389,0.275,384742,0.0,0.0,6,0,0,13,7,6.4,12,25,31,154.0,114.0,15,18,31,740,1.7669623690308072,15.119507979019545
8,31,0,0,0,10.0,20,10.0,8.552529249302085,11,3.8181818181818183,29.540204778157,5,41.0,32.647267689413574,5,55.0,46.99999999999999,7,47.0,2,0.30100000000000005,20484,91,0,0.0,910.0,False,-0.02636473542267274,9,0.4700000000000001,20118,89,0,0.0,890.0,False,-0.04384822840137636,3,0.257,43277,0,7,0.7,206.781433447099,False,0.021363942192064417,0,0.6050000000000001,41980,10,0,0.0,85.52529249302084,False,-0.010600554558272024,0,0.23600000000000002,56420,23,25,1.0,1495.6064021329503,False,-0.009326531018152782,0,0.38000000000000006,56768.0,11,0,0.0,324.942252559727,False,-0.01343931088136647,0,0.2,72930,0,3,0.0,140.99999999999997,False,0.0008431703204047217,0,0.44300000000000006,72579,0,13,1.0,610.9999999999999,False,-0.0007471997148302006,0.3375,384556,0.0,0.0,8,0,0,13,4,3.6,13,26,31,150.0,108.0,15,16,31,804,1.4991856379783712,16.618693616997916
9,31,0,0,0,10.000000000000002,20,10.0,8.552529249302085,0,,29.667850990289132,51,29.882352941176475,35.40768590191254,17,43.411764705882355,46.99999999999999,14,47.0,0,0.29900000000000004,20394,100,0,0.0,1000.0000000000002,False,-0.028457174741932482,0,0.4610000000000001,20008,100,0,0.0,1000.0000000000002,False,-0.046405654236027154,4,0.29400000000000004,43675,0,0,0.0,0.0,False,0.028300331975608033,40,1.0050000000000001,41155,10,0,0.0,85.52529249302084,False,-0.030024659283626957,0,0.23600000000000002,55755,58,25,1.0,2605.927504984583,False,-0.011229963045570744,7,0.45000000000000007,56325.0,17,0,0.0,504.35346683491525,False,-0.01956162732787824,0,0.2,72930,0,3,0.0,140.99999999999997,False,0.0008431703204047217,1,0.45300000000000007,72443,7,10,1.0,717.8538013133877,False,-0.0018792840502791356,0.25,382685,0.0,0.0,11,0,0,12,7,6.3,13,25,22,223.0,108.0,15,16,22,1553,1.452474154997617,18.071167771995533
