index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,31.0,0,,43.0,0,,57.0,0,,0,0.2,25147,0,10,1.0,200.0,False,0.0,0,0.2,25147,0,10,1.0,200.0,False,0.0,0,0.2,41105,0,0,0.0,0.0,False,0.0,0,0.2,41105.0,0,0,0.0,0.0,False,0.0,0,0.2,58146,0,0,0.0,0.0,False,0.0,0,0.2,58146,0,0,0.0,0.0,False,0.0,0,0.2,73215,0,0,0.0,0.0,False,0.0,0,0.2,73215,0,0,0.0,0.0,False,0.0,0.25,395226,0.0,0.0,12,0,0,7,0,0.0,863,870,229,0.0,0.0,0,0,229,200,5.639473141171038,5.639473141171038
1,229,0,0,0,10.0,20,10.0,20.0,0,,31.0,0,,39.55555555555556,36,35.25,57.0,0,,0,0.2,25027,2,20,1.0,420.0,False,-0.00039608666376203115,0,0.2,25067,0,18,0.8,360.0,False,0.0,0,0.2,41105,0,0,0.0,0.0,False,0.0,0,0.2,41105.0,0,0,0.0,0.0,False,0.0,0,0.2,58146,0,0,0.0,0.0,False,0.0,36,0.56,56454,0,0,0.0,0.0,False,-0.02909916417294397,0,0.2,73215,0,0,0.0,0.0,False,0.0,0,0.2,71946,36,0,0.0,1424.0,False,-0.00760773065628628,0.225,392065,0.0,0.0,11,0,0,80,6,6.0,111,191,96,2776.0,335.0,170,59,96,200,18.955448143184185,24.594921284355223
2,96,0,0,0,10.0,20,10.0,20.0,0,,30.67391304347826,1,16.0,38.404636459430975,22,34.59090909090909,57.0,0,,0,0.2,24927,2,30,1.0,620.0,False,-0.00039608666376203115,0,0.2,24967,0,28,1.0,560.0,False,0.0,0,0.2,41105,0,0,0.0,0.0,False,0.0,1,0.21000000000000002,41084.0,0,0,0.0,0.0,False,-0.0005108867534363216,0,0.2,58130,0,1,0.1,38.404636459430975,False,5.507374935012806e-05,22,0.744,55710,0,0,0.0,0.0,False,-0.04189454132700444,0,0.2,73054,0,7,0.7,399.0,False,0.0005258485283070409,0,0.2,71346,51,0,0.0,1958.6364594309798,False,-0.012151632456252334,0.35,390323,0.0,0.0,11,0,0,36,5,5.0,45,81,122,727.0,149.0,61,35,122,200,15.047800425440073,39.642721709795296
3,122,0,0,0,10.0,20,10.0,17.75,15,11.0,30.67391304347826,0,,38.14661569597481,48,37.68750000000001,57.0,0,,0,0.2,24935,0,32,1.0,568.0,False,-0.0011090426585336872,0,0.2,24924,2,31,1.0,570.25,False,-0.0015001782389986928,0,0.2,40940,5,10,1.0,395.4891304347826,False,0.0007966078388855841,0,0.20900000000000002,41084.0,0,0,0.0,0.0,False,-0.0005108867534363216,0,0.2,58130,0,1,0.0,38.14661569597481,False,5.285501750747741e-05,48,1.202,52945,0,0,0.0,0.0,False,-0.08944725346541464,0,0.2,72893,0,14,0.7,798.0,False,0.0010516970566140818,0,0.2,69698,92,0,0.0,3509.4886440296823,False,-0.0240695988251746,0.4625,385549,0.0,0.0,13,0,0,44,7,7.0,35,79,66,891.0,192.0,57,65,66,365,8.728777623735368,48.371499333530664
4,66,0,0,0,10.0,20,10.0,21.767857142857142,30,29.0,28.407024793388434,7,15.0,38.658518839706325,16,42.5,57.0,20,57.0,0,0.2,25260,1,27,1.0,597.7321428571429,False,0.012352599177271457,0,0.2,25269,1,26,1.0,575.9642857142857,False,0.012277979279009043,0,0.2,40940,0,15,0.5,426.1053719008265,False,0.0011690228913857146,7,0.279,40060.0,30,0,0.0,653.0357142857142,False,-0.01747919092220277,0,0.2,58130,0,1,0.0,38.658518839706325,False,5.725689505469219e-05,16,1.3140000000000003,52568,7,0,0.0,198.84917355371903,False,-0.09422101973004399,0,0.2,73406,0,5,0.0,285.0,False,0.004555077511438913,11,0.31000000000000005,68770,108,0,0.0,4175.120034688283,False,-0.032198866115630206,0.3125,384403,0.0,0.0,17,0,0,13,8,8.0,26,39,65,215.0,132.0,20,46,65,1583,5.6314244251698256,54.00292375870049
5,65,0,0,0,10.0,20,10.0,21.767857142857142,0,,24.33519820971867,19,15.0,39.904772694517,17,48.88235294117647,57.0,20,57.0,0,0.2,25160,1,37,1.0,815.4107142857142,False,0.012702711496132559,0,0.2,25169,1,36,1.0,793.6428571428571,False,0.012628091597870145,0,0.2,40940,0,15,0.0,365.02797314578004,False,0.0004260792257120171,19,0.4620000000000001,39530.0,30,0,0.0,653.0357142857142,False,-0.030372999461309936,2,0.22000000000000003,58206,0,5,0.5,199.523863472585,False,0.0027475996927783758,14,1.438,52090,21,0,0.0,511.03916240409205,False,-0.09975717020599789,3,0.23,73658,0,0,0.0,0.0,False,0.006050672676364133,12,0.41900000000000004,67654,125,0,0.0,4988.096586814625,False,-0.041889663410403497,0.3125,382407,0.0,0.0,11,0,0,21,13,12.5,25,46,60,326.0,146.0,26,39,60,485,5.020301062613726,59.023224821314216
6,60,0,0,0,10.0,20,10.0,23.965469613259668,33,29.0,21.979828428768723,19,15.0,40.94483678529955,28,45.607142857142854,57.0,20,57.0,0,0.2,25727,1,24,1.0,585.171270718232,False,0.030601086677986108,0,0.2,25359,1,36,1.0,872.756906077348,False,0.02172053919430716,0,0.2,40940,0,15,0.0,329.69742643153086,False,-3.6804959063877924e-06,19,0.633,37966.0,63,0,0.0,1509.824585635359,False,-0.05799994422046758,14,0.35800000000000004,58352,0,5,0.5,204.72418392649774,False,0.0053032382616732395,9,1.5140000000000002,51632,35,0,0.0,769.2939950069053,False,-0.10541314970069383,12,0.34700000000000003,72837,6,10,1.0,815.6690207117973,False,0.0004074917756729739,8,0.4870000000000001,66755,137,0,0.0,5609.442639586038,False,-0.04992527050750495,0.4375,379568,0.0,0.0,15,0,0,15,18,18.0,26,41,61,307.0,153.0,20,40,61,1367,3.4101251857355237,62.43335000704974
7,61,0,0,0,10.0,20,10.0,25.147839361202443,30,29.0,23.698870194685984,5,47.0,42.17082451733925,27,48.44444444444444,57.0,20,57.0,0,0.2,26072,0,19,1.0,477.8089478628464,False,0.04213983736409962,0,0.2,25684,2,31,1.0,799.5830201972758,False,0.0331441957499362,0,0.2,41175,0,10,0.0,236.98870194685983,False,0.0045856793814239,0,0.6140000000000001,37096.0,93,0,0.0,2338.7490605918274,False,-0.06908223986629573,3,0.374,58607,0,5,0.5,210.85412258669623,False,0.009741462203648521,19,1.6950000000000003,51070,35,0,0.0,829.4604568140095,False,-0.11456110087698203,0,0.3350000000000001,73285,0,8,0.7,456.0,False,0.004070204193129823,11,0.5890000000000002,65257,163,0,0.0,6873.844396326297,False,-0.06175070411578035,0.4,378246,0.0,0.0,19,0,0,11,11,11.0,28,39,53,291.0,144.0,20,41,53,2243,6.026754950173199,68.46010495722294
8,53,0,0,0,10.0,20,10.0,24.7880448603835,3,11.0,23.606227183541108,43,23.46511627906977,42.8250459412556,30,46.06666666666667,57.0,20,57.0,0,0.2,25932,4,29,1.0,758.8533009511215,False,0.042160520080625874,0,0.2,25657,0,36,0.8,892.369614973806,False,0.033912338396122364,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,33,0.9440000000000002,35800.0,96,0,0.0,2379.652306596816,False,-0.10011370506511591,0,0.37100000000000005,58382,11,10,1.0,687.9189584315081,False,0.009974193912147893,25,1.9260000000000006,49979,57,0,0.0,1345.554949461843,False,-0.12888629527859313,3,0.36500000000000005,73703,0,0,0.0,0.0,False,0.006665300826333402,9,0.6680000000000001,63687,193,0,0.0,8265.233866662331,False,-0.07369231805871515,0.35,374785,0.0,0.0,17,0,0,9,14,13.666666666666666,28,37,48,236.0,115.0,15,38,48,1512,3.310254462994635,71.77035942021757
9,48,0,0,0,10.000000000000002,20,10.0,25.04602165908476,35,25.82857142857143,23.04009716855058,7,15.142857142857142,42.7619578712044,12,41.916666666666664,57.00000000000001,20,57.0,0,0.2,26388,1,22,1.0,561.0124764998648,False,0.05630396634253301,0,0.2,25905,3,28,1.0,731.2886064543733,False,0.040545185694426486,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,7,0.9810000000000003,34734.0,131,0,0.0,3281.0288373401036,False,-0.11508297242014234,0,0.37100000000000005,58341,8,19,1.0,996.7979769012882,False,0.011925136526169377,11,2.0110000000000006,49796,57,0,0.0,1313.2855386073832,False,-0.13231103138128694,10,0.4620000000000001,73431,0,1,0.1,57.00000000000001,False,0.003339479614833026,10,0.7590000000000001,63026,204,0,0.0,8723.439405725698,False,-0.07959134463070623,0.3875,373266,0.0,0.0,15,0,0,13,14,14.0,26,39,30,245.0,78.0,18,30,30,1169,2.9302357379347086,74.70059515815228
