index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,28.0,0,,38.0,0,,55.0,0,,0,0.2,21656,9,0,0.0,90.0,False,-0.002069346086636623,0,0.2,21636,1,10,1.0,180.0,False,-0.000919709371838499,0,0.2,36813,0,0,0.0,0.0,False,0.0,0,0.2,36813.0,0,0,0.0,0.0,False,0.0,0,0.2,55685,0,0,0.0,0.0,False,0.0,0,0.2,55685,0,0,0.0,0.0,False,0.0,0,0.2,70518,0,0,0.0,0.0,False,0.0,0,0.2,70518,0,0,0.0,0.0,False,0.0,0.125,369324,0.0,0.0,10,0,0,131,0,0.0,471,602,68,0.0,0.0,0,0,68,200,1.1615872330148704,1.1615872330148704
1,68,0,0,0,10.0,20,10.0,17.0,0,,28.0,0,,36.8125,3,19.0,55.0,0,,0,0.2,21596,15,0,0.0,150.0,False,-0.0034489101443943714,0,0.2,21496,5,20,1.0,390.0,False,-0.0025292007725558723,0,0.2,36813,0,0,0.0,0.0,False,0.0,0,0.2,36813.0,0,0,0.0,0.0,False,0.0,3,0.23,55607,0,0,0.0,0.0,False,-0.0014007362844572146,0,0.2,55685,0,0,0.0,0.0,False,0.0,0,0.2,70461,0,3,0.3,165.0,False,0.000361609801752744,0,0.2,70518,0,0,0.0,0.0,False,0.0,0.1625,368989,0.0,0.0,9,0,0,33,1,1.0,35,68,55,785.0,192.0,49,19,55,200,3.0055828650365584,4.167170098051429
2,55,0,0,0,10.0,20,10.0,16.0,3,1.0,25.058823529411764,6,3.0,36.8125,0,,55.0,0,,3,0.23,21396,29,0,0.0,290.0,False,-0.009427021061344616,0,0.2,21436,1,30,1.0,490.0,False,-0.002989055458475122,0,0.2,36810,0,3,0.3,75.17647058823529,False,0.0009395657863830422,6,0.26,36617.0,0,0,0.0,0.0,False,-0.0053242061228370415,0,0.227,55607,0,0,0.0,0.0,False,-0.0014007362844572146,0,0.2,55667,0,6,0.6,220.875,False,0.0016600071832629972,0,0.2,70461,0,3,0.0,165.0,False,0.000361609801752744,0,0.2,70518,0,0,0.0,0.0,False,0.0,0.2375,368512,0.0,0.0,10,0,0,28,3,3.0,29,57,43,454.0,116.0,37,18,43,200,3.6290135059971362,7.796183604048565
3,43,0,0,0,10.0,20,10.0,15.469026548672566,2,4.0,19.47783251231527,15,2.4,35.72077922077922,3,20.0,55.0,0,,2,0.24700000000000003,21272,38,0,0.0,380.0,False,-0.013059873080106687,0,0.2,21326,2,40,1.0,638.7610619469026,False,-0.004627033432656464,0,0.2,36810,0,3,0.0,58.43349753694581,False,0.0007121600730304786,15,0.404,36028.0,2,0,0.0,30.938053097345133,False,-0.02090378326817506,3,0.257,55532,0,0,0.0,0.0,False,-0.002747598096435306,0,0.2,55631,5,16,1.0,668.9216300940438,False,0.005036559487241144,0,0.2,70461,0,3,0.0,165.0,False,0.000361609801752744,0,0.2,70458,0,3,0.3,165.0,False,0.0003190674721347741,0.2875,367518,0.0,0.0,11,0,0,17,6,6.0,22,39,38,280.0,158.0,22,21,38,200,3.01391630503349,10.810099909082055
4,38,0,0,0,10.0,20,10.0,14.791002811621368,2,1.0,19.47783251231527,0,,35.72077922077922,0,,55.0,9,55.0,2,0.265,21152,46,0,0.0,460.0,False,-0.016738710567460683,0,0.2,21206,4,50,1.0,779.5501405810684,False,-0.0069081637868786926,0,0.2,36808,0,5,0.2,97.38916256157636,False,0.0011869334550509293,0,0.389,36028.0,2,0,0.0,29.582005623242736,False,-0.02092220131987005,0,0.254,55532,0,0,0.0,0.0,False,-0.002747598096435306,0,0.2,55631,0,21,0.5,750.1363636363636,False,0.0057657929750953366,0,0.2,70461,0,3,0.0,165.0,False,0.000361609801752744,6,0.26,70529,0,0,0.0,0.0,False,0.00015598854193255623,0.2125,367347,0.0,0.0,12,0,0,19,4,3.6666666666666665,19,38,37,256.0,74.0,20,18,37,310,2.263864134962205,13.07396404404426
5,37,0,0,0,10.0,20,10.0,18.22195896318059,46,21.08695652173913,18.986457114194952,5,13.6,29.98302793631721,25,20.44,55.0,11,55.0,19,0.45300000000000007,20707,55,0,0.0,550.0,False,-0.03513289800423066,0,0.2,21916,5,33,1.0,651.3246457849594,False,0.022793264181572702,0,0.2,36802,1,11,1.0,227.07298721932506,False,0.002785333811687702,1,0.399,35098.0,37,0,0.0,674.2124816376819,False,-0.037429542802302325,20,0.45400000000000007,54816,0,0,0.0,0.0,False,-0.015605638861452815,0,0.2,55663,0,21,0.5,629.6435866626614,False,0.005258539882038755,0,0.2,70461,0,3,0.0,165.0,False,0.000361609801752744,11,0.364,69781,15,10,1.0,999.7454190447581,False,-0.003362649117638432,0.4375,365244,0.0,0.0,12,0,0,20,12,12.0,18,38,29,250.0,69.0,18,19,29,1180,2.0909884850261733,15.164952529070433
6,29,0,0,0,10.0,20,10.0,16.924536804996904,19,11.736842105263158,18.322067647569792,21,16.61904761904762,29.214180093034717,5,20.0,55.00000000000001,9,55.0,10,0.5340000000000001,20427,65,0,0.0,650.0,False,-0.045709555780373404,0,0.2,22009,5,34,1.0,625.4342513698948,False,0.02647462180101844,0,0.2,36844,10,12,1.0,389.11017982080654,False,0.006127049952745104,12,0.518,34714.0,37,0,0.0,626.2078617848855,False,-0.048512646866801276,5,0.48400000000000004,54691,0,0,0.0,0.0,False,-0.017850408548082966,0,0.2,55314,11,31,1.0,1107.182327007344,False,0.0032790008710366432,0,0.2,70461,0,3,0.0,165.00000000000003,False,0.000361609801752744,0,0.35300000000000004,70176,10,11,1.0,897.1418009303472,False,0.0015112581250910774,0.5,364636,0.0,0.0,17,0,0,16,6,6.0,17,33,25,145.0,61.0,14,15,25,1153,1.6023516369750723,16.767304166045506
7,25,0,0,0,10.0,20,10.0,14.324166479498697,44,9.272727272727273,19.6863882333212,6,35.0,31.483288611977333,5,58.0,55.0,11,55.0,32,0.8440000000000001,19681,76,0,0.0,760.0,False,-0.07748551457739354,0,0.2,22219,4,32,1.0,498.3733273439583,False,0.033210092139794846,0,0.2,36662,41,17,1.0,921.959425625907,False,0.008420387167928457,1,0.516,34664.0,40,0,0.0,572.9666591799479,False,-0.05059399316573022,0,0.47900000000000004,54486,5,0,0.0,98.431941166606,False,-0.020648002683248564,0,0.2,55599,2,36,1.0,1172.7711664978262,False,0.008986003111231274,0,0.2,70461,0,3,0.0,165.0,False,0.000361609801752744,0,0.35300000000000004,70491,5,10,1.0,707.4164430598867,False,0.0046329762830758835,0.5,364263,0.0,0.0,15,0,0,16,3,3.0,14,30,24,128.0,71.0,11,14,24,1600,1.5885789589956403,18.355883125041146
8,24,0,0,0,10.0,20,10.0,14.24132637401085,40,14.0,17.35958366294359,10,2.0,35.286824297231554,10,57.0,55.00000000000001,12,55.0,21,1.0220000000000002,19151,87,0,0.0,870.0,False,-0.0993286121585579,0,0.2,22668,3,23,1.0,357.5505066022495,False,0.050619665837447175,0,0.2,36381,62,27,1.0,1351.6709940881497,False,0.006623624726158634,10,0.6150000000000001,34030.0,49,0,0.0,697.8249923265316,False,-0.06612032444616678,0,0.47900000000000004,54486,5,0,0.0,86.79791831471795,False,-0.020752465490574565,0,0.2,56149,2,36,1.0,1305.044842026223,False,0.020050685481065148,0,0.2,70461,0,3,0.0,165.00000000000003,False,0.000361609801752744,2,0.37300000000000005,70448,5,10,1.0,726.4341214861579,False,0.004158045615914723,0.5,363774,0.0,0.0,17,0,0,22,5,5.0,13,35,18,199.0,54.0,16,8,18,1859,1.688045110029634,20.04392823507078
9,18,0,0,0,10.000000000000002,20,10.0,17.037310611916872,30,30.166666666666668,19.9721240070513,26,26.846153846153847,28.925403563105604,39,19.076923076923077,55.0,13,55.0,0,1.0010000000000003,18991,103,0,0.0,1030.0000000000002,False,-0.1030074496459119,7,0.27,23386,0,7,0.7,119.26117428341811,False,0.07815830898288006,0,0.2,36479,64,27,1.0,1629.635227353065,False,0.013061082054614738,16,0.7650000000000001,33181.0,67,0,0.0,1141.4998109984303,False,-0.08315676784018648,39,0.8690000000000002,52301,10,0,0.0,199.72124007051298,False,-0.05897709221450555,0,0.2,55656,13,46,1.0,1590.2061759945245,False,0.013757799910160014,0,0.2,70461,0,3,0.0,165.0,False,0.000361609801752744,3,0.401,70218,34,10,1.0,1533.4637211455906,False,0.006618620218565364,0.4625,360673,0.0,0.0,17,0,0,14,7,5.911764705882353,15,29,27,126.0,111.0,10,8,27,1449,1.6453073660377413,21.68923560110852
