index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,17,10.0,14.0,0,,20.0,0,,29.0,0,,42.0,0,,0,0.2,18251,2,10,1.0,160.0,False,-0.002177344728104077,0,0.2,18321,0,5,0.5,70.0,False,-0.0008165042730390289,0,0.2,23317,0,0,0.0,0.0,False,0.0,0,0.2,23317.0,0,0,0.0,0.0,False,0.0,0,0.2,35470,0,0,0.0,0.0,False,0.0,0,0.2,35470.0,0,0,0.0,0.0,False,0.0,0,0.2,50872,0,0,0.0,0.0,False,0.0,0,0.2,50872,0,0,0.0,0.0,False,0.0,0.1875,255890,0.0,0.0,9,0,0,151,0,0.0,463,614,200,0.0,0.0,0,0,200,170,3.9415434235706925,3.9415434235706925
1,200,0,0,0,9.999999999999998,17,10.0,14.0,0,,20.0,0,,28.28421052631579,50,27.64,42.0,0,,0,0.2,18201,0,17,0.7,238.0,False,-0.0027761145283326984,0,0.2,18201,2,15,1.0,230.0,False,-0.002993849001143106,0,0.2,23317,0,0,0.0,0.0,False,0.0,0,0.2,23317.0,0,0,0.0,0.0,False,0.0,0,0.2,35470,0,0,0.0,0.0,False,0.0,50,0.7000000000000002,33553.0,0,0,0.0,0.0,False,-0.0540456723992106,0,0.2,50872,0,0,0.0,0.0,False,0.0,0,0.2,49490,50,0,0.0,1414.2105263157894,False,-0.013266526514430468,0.2125,252421,0.0,0.0,9,0,0,59,8,8.0,107,166,118,2400.0,227.0,146,54,118,170,8.51553865429014,12.457082077860832
2,118,0,0,0,10.0,15,10.0,14.0,10,14.0,16.0,30,10.0,25.790106007067138,56,21.982142857142858,42.0,0,,0,0.2,18151,0,22,0.5,308.0,False,-0.0035926188013717273,0,0.2,18241,2,15,1.0,230.0,False,-0.0008165042730390289,0,0.2,23317,0,0,0.0,0.0,False,0.0,30,0.5,22426.0,10,0,0.0,140.0,False,-0.03521036153879144,0,0.2,35420,0,5,0.5,128.9505300353357,False,0.00040809881639884324,56,1.2100000000000002,30646.0,25,0,0.0,400.0,False,-0.13036368762334366,0,0.2,50490,15,10,1.0,806.851590106007,False,0.00042117068432538353,0,0.2,48641,81,0,0.0,2088.998586572438,False,-0.023323256540214218,0.375,247332,0.0,0.0,7,0,0,33,11,11.0,44,77,96,679.0,224.0,59,59,96,290,5.727180394344032,18.184262472204864
3,96,0,0,0,9.999999999999998,18,10.0,12.449612403100776,15,7.333333333333333,14.581005586592179,22,10.227272727272727,23.877502413904086,28,15.178571428571429,42.0,0,,0,0.2,18111,5,17,1.0,261.6434108527132,False,-0.007031641966885034,0,0.2,18211,0,20,0.5,248.9922480620155,False,-0.0019326044292086637,0,0.2,23207,5,10,1.0,208.05811788142566,False,-0.00025607672767884914,22,0.6900000000000002,21943.0,10,0,0.0,124.49612403100775,False,-0.056257320323562045,0,0.2,35265,5,15,1.0,431.06756414152215,False,0.000296977222181127,28,1.4340000000000002,29639.0,32,0,0.0,466.5921787709497,False,-0.15781516522736183,0,0.2,50094,32,20,1.0,1604.0800772449306,False,0.00047255933760152215,0,0.2,48612,82,0,0.0,1957.9551979401351,False,-0.025181286386026406,0.5625,245082,0.0,0.0,12,0,0,30,8,8.0,28,58,72,550.0,187.0,39,57,72,290,3.7411601236090064,21.92542259581387
4,72,0,0,0,10.0,18,10.0,11.215189873417721,17,7.0,14.371712448860317,5,11.0,23.51898272719382,33,22.0,42.0,20,42.0,0,0.2,18090,9,10,1.0,202.15189873417722,False,-0.009793917077617524,0,0.2,18171,0,24,0.4,269.1645569620253,False,-0.0035609232768487506,0,0.2,23192,5,15,1.0,271.65163609999337,False,0.000464288632757126,0,0.6680000000000001,21894.0,17,0,0.0,190.65822784810126,False,-0.05694003885902774,0,0.2,35210,0,25,1.0,587.9745681798455,False,0.0009581980290365409,33,1.7360000000000002,28637.0,32,0,0.0,459.89479836353013,False,-0.18615879900812615,0,0.2,50346,31,21,1.0,1611.0884645430083,False,0.005495050956744428,11,0.31000000000000005,47826,106,0,0.0,2493.012169082545,False,-0.035372973648740494,0.55,243366,0.0,0.0,17,0,0,25,10,10.0,28,53,63,486.0,150.0,32,40,63,732,3.099766186438501,25.02518878225237
5,63,0,0,0,10.0,9,10.0,11.820663036735818,5,20.0,13.189137116381485,32,10.34375,22.7620750370592,60,20.8,42.0,20,42.0,0,0.2,18000,8,20,1.0,316.41326073471635,False,-0.011583113038628468,0,0.2,18271,0,19,0.0,224.59259769798052,False,0.0006693320368509583,0,0.2,23192,0,20,0.5,263.7827423276297,False,0.0002955513644043434,32,0.9880000000000002,20950.0,22,0,0.0,260.054586808188,False,-0.09593741504464147,0,0.2,35155,0,30,0.5,682.862251111776,False,0.0007451684678851412,60,2.303000000000001,25258.0,59,0,0.0,778.1590898665075,False,-0.2769360150850506,0,0.2,50243,54,22,1.0,2153.152052001197,False,0.00879808197044738,11,0.40900000000000003,46878,133,0,0.0,3027.3559799288737,False,-0.04875613323705695,0.375,237947,0.0,0.0,10,0,0,27,19,19.0,22,49,49,441.0,102.0,32,31,49,568,2.738854934461415,27.764043716713786
6,49,0,0,0,10.0,10,10.0,13.365492493673196,25,17.4,12.694678088297996,18,10.0,22.85449951047639,27,23.51851851851852,42.0,20,42.0,5,0.25,18250,8,10,1.0,213.65492493673196,False,-0.0007714624969590436,0,0.2,18271,0,19,0.0,253.94435737979072,False,0.0014681932768981206,0,0.2,22957,5,30,1.0,447.6678051173059,False,-0.005839777734757739,18,1.1360000000000001,20417.0,32,0,0.0,427.6957597975423,False,-0.1152014461595072,0,0.2,35459,0,18,0.0,411.380991188575,False,0.005488877800797525,15,2.3930000000000007,24807.0,77,0,0.0,977.4902127989457,False,-0.2868411303524253,0,0.2,50273,64,21,1.0,2344.6879686704888,False,0.01127032521495609,9,0.48800000000000004,46544,140,0,0.0,3199.629931466695,False,-0.05362842102269719,0.375,236978,0.0,0.0,13,0,0,25,9,9.0,18,43,42,375.0,96.0,23,26,42,1266,2.1470685051754117,29.911112221889198
7,42,0,0,0,10.0,9,10.0,14.97343862708442,25,20.2,12.39343828184502,19,10.736842105263158,23.099433656522187,23,25.217391304347824,41.99999999999999,20,42.0,10,0.34500000000000003,18390,7,10,1.0,219.7343862708442,False,0.007014707589974524,0,0.2,18376,0,14,0.0,209.62814077918188,False,0.0059775771808606775,0,0.2,22757,5,40,1.0,570.6047244092229,False,-0.011781002607341724,19,1.308,19742.0,47,0,0.0,703.7516154729677,False,-0.13823065541293975,0,0.2,35585,0,19,0.5,438.8892394739216,False,0.009428943324977773,19,2.568000000000001,24266.0,91,0,0.0,1127.8028836478968,False,-0.2999745857957725,0,0.2,50163,67,26,1.0,2639.6620549869863,False,0.012007214725064712,15,0.6290000000000002,46002,150,0,0.0,3464.915048478328,False,-0.061675233443954126,0.4375,235281,0.0,0.0,9,0,0,25,11,11.0,14,39,31,315.0,80.0,20,22,31,781,1.8250285862013698,31.736140808090568
8,31,0,0,0,10.0,8,10.0,15.32394773378251,20,17.0,13.815477032201512,49,17.040816326530614,22.973710470685045,34,22.235294117647058,42.0,20,42.0,10,0.43500000000000005,18460,5,10,1.0,203.23947733782512,False,0.010376122076583352,0,0.2,18376,0,14,0.0,214.53526827295514,False,0.006111133533094474,0,0.2,22717,0,50,1.0,690.7738516100756,False,-0.010919632636915713,49,1.7790000000000001,18516.0,62,0,0.0,950.0847594945157,False,-0.18552805336247125,0,0.2,35040,39,24,1.0,1090.1726555523,False,0.0032446103122681915,29,2.8390000000000004,23291.0,91,0,0.0,1257.2084099303377,False,-0.32563844925387175,0,0.2,50359,82,23,1.0,2849.844258596174,False,0.01792581634883801,7,0.6840000000000002,45509,159,0,0.0,3652.8199648389223,False,-0.06951938232388222,0.5,232268,0.0,0.0,10,0,0,23,13,12.333333333333332,18,41,26,383.0,24.0,23,8,26,916,1.7284231781959534,33.46456398628652
9,26,0,0,0,10.0,12,10.0,16.90634408186166,50,20.2,14.301237986685276,73,15.26027397260274,24.463009252984197,101,27.564356435643564,42.00000000000001,20,42.0,26,0.685,18510,7,10,1.0,239.0634408186166,False,0.014072816962022103,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,22387,8,59,1.0,979.0237938693245,False,-0.018891285459764883,72,2.45,15343.0,94,0,0.0,1589.1963436949961,False,-0.3079041827058585,0,0.2,34487,73,29,1.0,1753.4176413645669,False,-0.0029966501076323392,96,3.770000000000001,18423.0,120,0,0.0,1716.1485584022332,False,-0.4564117767352378,0,0.2,48568,147,26,1.0,4688.062360188677,False,0.000786900064757395,13,0.8070000000000002,44567,185,0,0.0,4525.656711802077,False,-0.07945769075520841,0.5,220951,0.0,0.0,15,0,0,17,20,19.444444444444443,18,35,29,209.0,96.0,14,12,29,966,1.6948199504986405,35.15938393678516
10,29,0,0,0,10.0,12,10.0,17.486411600794273,32,20.0,14.951773513626073,44,17.84090909090909,25.56088555310152,72,29.833333333333332,42.0,20,42.0,22,0.8790000000000002,18602,9,10,1.0,264.8641160079427,False,0.019782921887974043,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,22107,12,69,1.0,1241.5093116497303,False,-0.025271061636365527,44,2.818000000000001,14347.0,112,0,0.0,1958.4780992889587,False,-0.3427010743387023,0,0.2,33878,107,35,1.0,2494.470760316543,False,-0.009719893426606367,68,4.354000000000001,17519.0,120,0,0.0,1794.2128216351286,False,-0.48079767660508704,0,0.2,46972,203,27,1.0,6322.859767279609,False,-0.014518204834883608,11,0.9040000000000001,44203,191,0,0.0,4882.129140642391,False,-0.0831092827032318,0.5,216294,0.0,0.0,11,0,0,10,13,12.285714285714285,25,35,31,234.0,77.0,16,13,31,674,3.042338101193309,38.20172203797847
11,31,0,0,0,10.0,7,10.0,17.486411600794273,0,,15.217177119547276,59,16.1864406779661,25.562320674564706,97,25.567010309278352,42.0,20,42.0,0,0.8570000000000002,18532,6,20,1.0,409.72823201588545,False,0.019915307604808793,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,22107,2,79,1.0,1237.1298156458236,False,-0.025364973717763403,59,3.364000000000001,12804.0,112,0,0.0,1958.4780992889587,False,-0.40887596819297173,0,0.2,33143,136,45,1.0,3219.8405186138416,False,-0.020216513693066807,97,5.256000000000001,12521.0,140,0,0.0,2130.4047967366187,False,-0.6169663829047558,0,0.2,45303,274,27,1.0,8138.075864830729,False,-0.02948502255827642,10,0.9930000000000003,43649,207,0,0.0,5291.400379634894,False,-0.08997680079773845,0.5,206725,0.0,0.0,8,0,0,14,15,15.0,21,35,34,220.0,53.0,15,16,34,490,1.6937549095600843,39.895476947538555
12,34,0,0,0,10.0,11,10.0,17.486411600794273,0,,16.08673528953694,83,18.674698795180724,25.415178827482556,120,24.958333333333332,42.0,20,42.0,0,0.8570000000000002,18422,7,30,1.0,594.5923480238282,False,0.018959020957591506,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,22658,0,62,0.2,997.3775879512903,False,-0.006875292963260915,64,3.9450000000000007,10889.0,112,0,0.0,1958.4780992889587,False,-0.4910048870075705,0,0.2,32532,170,52,1.0,4056.3342982503727,False,-0.025650771098810723,117,6.3290000000000015,3645.0,179,0,0.0,2879.525616827112,False,-0.8566461006931616,0,0.2,43208,365,30,1.0,10536.540272031132,False,-0.04709329029691063,13,1.1130000000000002,42811,226,0,0.0,5743.830415011058,False,-0.1020027675832377,0.4,192831,0.0,0.0,11,0,0,14,20,20.0,24,38,31,299.0,59.0,18,16,31,1129,1.7300192061811686,41.62549615371972
13,31,0,0,0,10.0,13,10.0,17.668557736457796,12,20.0,16.277883603147185,26,18.46153846153846,25.628944266100472,91,26.67032967032967,42.0,20,42.0,0,0.8570000000000002,18532,10,28,1.0,594.7196166208182,False,0.024950182804986554,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,22448,2,71,1.0,1191.0668512963657,False,-0.011728205787700658,25,4.131000000000001,10639.0,112,0,0.0,1978.878466483273,False,-0.5012892210300794,0,0.2,32167,186,60,1.0,4565.4230061514045,False,-0.028764829346611082,89,7.102000000000002,-950.0,179,0,0.0,2913.741164963346,False,-0.9857098792646837,0,0.2,41790,423,33,1.0,12227.0434245605,False,-0.05835190847066658,13,1.2300000000000002,41850,249,0,0.0,6381.607122259017,False,-0.11462487102670417,0.5,185142,0.0,0.0,15,0,0,15,14,14.0,22,37,23,283.0,72.0,17,14,23,809,1.5074459817260504,43.132942135445774
14,23,0,0,0,10.0,7,10.0,17.222001387075718,7,7.714285714285714,16.20410049787635,61,15.852459016393443,24.914523276038388,52,18.307692307692307,42.0,20,42.0,0,0.8570000000000002,18516,7,31,1.0,603.8820429993473,False,0.024328616923394216,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,22887,0,63,0.9,1020.8583313662101,False,0.0034493788087277375,44,4.546000000000001,9268.0,112,0,0.0,1928.8641553524803,False,-0.5611600086770923,0,0.2,31913,200,70,1.0,4984.836728897957,False,-0.03001357867355562,52,7.533000000000002,-17082.0,216,0,0.0,3500.085707541292,False,-1.432251399668152,0,0.2,41596,454,32,1.0,12655.193567321428,False,-0.0579572892030839,9,1.3070000000000004,41416,260,0,0.0,6477.776051769981,False,-0.12221088170535875,0.4875,167180,0.0,0.0,11,0,0,11,18,89.35086248805592,23,34,21,192.0,27.0,14,9,21,586,1.4011635882779956,44.53410572372377
15,21,0,0,1,10.0,8,10.0,16.650475860791563,25,13.44,16.02942110846407,10,10.5,24.914523276038388,0,,42.0,20,42.0,0,0.8570000000000002,18772,5,16,1.0,316.407613772665,False,0.03043948652149219,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,22551,15,73,1.0,1419.9048788297505,False,-0.002403720915431844,10,4.602000000000001,9102.0,112,0,0.0,1864.853296408655,False,-0.5696518999783708,0,0.2,31808,200,80,1.0,5199.046083775886,False,-0.029954241841332288,0,7.481000000000002,-21448.0,216,0,0.0,3462.3549594282395,True,-1.555873203278429,0,0.2,41974,444,33,1.0,12448.048334561045,False,-0.05256282105518713,11,1.4080000000000004,41224,260,0,0.0,6477.776051769981,False,-0.12598506003528484,0.5,184097,0.0,0.1,11,0,0,17,14,1994.2060606060609,15,32,21,214.0,69.0,13,8,21,794,1.4626512778922915,45.99675700161606
16,21,0,0,0,10.0,10,10.0,16.29582710164302,23,14.0,15.86392092004138,10,11.0,24.997968879746782,10,29.0,42.0,20,42.0,7,0.9270000000000003,18875,5,10,1.0,212.95827101643022,False,0.03323058818290872,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,22229,28,83,1.0,1772.9885952094392,False,-0.008642008079739225,12,4.712000000000001,8924.0,112,2,0.0,1856.860477224101,False,-0.5774572098206437,0,0.2,31988,200,80,1.0,5172.621694388019,False,-0.02525202009602462,0,7.481000000000002,-21448.0,216,0,0.0,3426.606918728938,True,-1.556377122656767,0,0.2,42436,434,32,1.0,12193.118493810103,False,-0.045986805179567276,9,1.487,40802,270,0,0.0,6749.451597531631,False,-0.13161020210005867,0.5,183920,0.0,0.1,12,0,0,12,12,174.78919631093547,13,25,17,170.0,63.0,10,11,17,962,1.2397525450214744,47.236509546637535
17,17,0,0,0,10.0,11,10.0,17.17297855343761,48,20.0,15.593702492651671,15,10.666666666666666,25.221137610171088,3,58.0,42.0,20,42.0,38,1.3000000000000003,18730,6,10,1.0,231.7297855343761,False,0.025848614270708687,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,21804,42,88,1.0,2093.5109185977267,False,-0.019995906021406547,27,4.9700000000000015,7901.0,136,19,0.0,2631.8054306278964,False,-0.6047131828574024,0,0.2,32002,205,87,1.0,5390.947983078477,False,-0.021779701394439188,0,7.481000000000002,-21448.0,216,0,0.0,3368.2397384127607,True,-1.5571998909160876,0,0.2,42898,424,31,1.0,11995.762346712541,False,-0.03884492110873823,9,1.568,40491,273,0,0.0,6885.370567576707,False,-0.13638769295902745,0.5,182492,0.0,0.1,16,0,0,13,16,813.131522117729,15,28,23,121.0,50.0,8,9,23,906,1.2149307038635015,48.45144025050104
18,23,0,0,0,10.0,6,10.0,17.234893865695067,3,21.0,15.404803834473839,10,10.5,25.80655262338153,9,51.77777777777778,42.0,20,42.0,0,1.2620000000000002,18733,2,17,1.0,312.99319571681616,False,0.028223645847172598,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,21804,32,98,1.0,2061.1873794806784,False,-0.02068903848092204,0,4.9430000000000005,7943.0,139,9,0.0,2534.293481841879,False,-0.6050029274383094,0,0.2,32363,205,88,1.0,5428.9614169247125,False,-0.011066233198129306,0,7.481000000000002,-21448.0,216,0,0.0,3327.437628246349,True,-1.5577750545778637,0,0.2,43058,418,33,1.0,12173.13899657348,False,-0.03395641023968504,12,1.6790000000000003,39979,278,0,0.0,7174.221629300066,False,-0.1436131700218188,0.5,182546,0.0,0.1,11,0,0,15,8,722.9333333333333,16,31,22,170.0,43.0,11,12,22,1030,1.2247031684964895,49.676143418997526
19,22,0,0,0,10.0,8,10.0,17.407122669010224,8,21.0,16.44567944782656,48,21.708333333333332,25.80655262338153,0,,42.0,20,42.0,0,1.2620000000000002,18821,0,19,1.0,330.73533071119425,False,0.03349668855019301,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,22247,26,91,1.0,1949.1420191464829,False,-0.004092678750557837,22,5.163000000000001,7677.0,143,0,0.0,2489.218541668462,False,-0.617377481201088,0,0.2,31321,243,98,1.0,6525.342262913244,False,-0.02498812710863772,0,7.481000000000002,-21448.0,216,0,0.0,3552.266760730537,True,-1.554605768808422,0,0.2,43478,408,33,1.0,11915.073470339665,False,-0.028236815238838073,10,1.7670000000000001,39823,278,0,0.0,7174.221629300066,False,-0.14667968991488375,0.5,182033,0.0,0.1,12,0,0,19,10,226.2782828282828,13,32,20,211.0,24.0,14,8,20,1195,1.156505418010056,50.83264883700758
20,20,0,0,0,10.0,10,10.0,17.015687350599148,39,15.435897435897436,16.691307140689513,30,18.833333333333332,27.389372659324593,19,58.0,42.0,20,42.0,20,1.4620000000000002,18983,0,10,1.0,170.15687350599148,False,0.03794450148347917,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,21759,51,100,1.0,2536.930768949508,False,-0.012417318502605162,29,5.431,7312.0,147,0,0.0,2501.3060405380747,False,-0.6327720967419035,0,0.2,31858,263,89,1.0,6827.4679446812315,False,-0.0055896822007155764,0,7.4810000000000025,-21448.0,216,0,0.0,3605.322342388935,True,-1.5538578750720475,0,0.2,43982,398,31,1.0,12202.970318411188,False,-0.015499977213288392,8,1.8370000000000004,38630,297,0,0.0,8134.6436798194045,False,-0.16069111023923371,0.5,181190,0.0,0.1,15,0,0,16,9,95.12903225806451,15,31,12,194.0,51.0,13,7,12,1904,1.3431653585284948,52.17581419553608
21,12,0,0,0,10.0,9,10.0,17.17548156674045,10,20.0,16.566215771128974,5,10.0,27.389372659324593,0,,42.0,20,42.0,0,1.4420000000000002,19093,0,9,0.9,154.57933410066406,False,0.04350822856950261,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,21759,41,110,1.0,2526.4784790605454,False,-0.01264145303725719,5,5.452000000000002,7042.0,157,0,0.0,2696.550605978251,False,-0.640164888150743,0,0.2,31808,258,99,1.0,6985.63156222441,False,-0.004769783447640052,0,7.481000000000002,-21448.0,216,0,0.0,3578.3026065638583,True,-1.5542387566032725,0,0.2,44444,388,30,1.0,11887.076591817942,False,-0.009523150339892882,9,1.9190000000000007,38504,297,0,0.0,8134.6436798194045,False,-0.1631679147682477,0.4875,181316,0.0,0.1,10,0,0,12,10,724.9333333333333,14,26,12,84.0,21.0,5,7,12,752,0.9614207651466131,53.13723496068269
22,12,0,0,0,10.000000000000002,8,10.0,16.85029514318196,29,14.96551724137931,16.353345867075546,12,12.083333333333334,27.389372659324593,0,,42.0,20,42.0,20,1.6420000000000001,19107,0,8,0.8,134.80236114545568,False,0.04373203312681551,0,0.2,18666,0,0,0.0,0.0,False,0.01605791736976757,0,0.2,21449,56,118,1.0,2873.3113403331045,False,-0.018499134958761675,10,5.5470000000000015,6798.0,161,0,0.0,2712.8975180522957,False,-0.650278819787016,0,0.2,31663,260,109,1.0,7237.311545306024,False,-0.005309958481730605,0,7.481000000000002,-21448.0,216,0,0.0,3532.3227072883183,True,-1.5548869085524624,0,0.2,44822,378,31,1.0,11655.182865224697,False,-0.004371924976168704,11,2.020000000000001,38315,297,0,0.0,8134.6436798194045,False,-0.1668831215617687,0.475,180820,0.0,0.1,12,0,0,7,12,489.4222222222222,17,24,13,88.0,21.0,5,7,13,632,0.9004708994179964,54.03770586010069
