index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,28.0,0,,38.0,0,,52.0,0,,0,0.2,17428,8,0,0.0,80.0,False,-0.002284669865204478,0,0.2,17388,12,0,0.0,120.0,False,-0.003427004797806717,0,0.2,32862,0,0,0.0,0.0,False,0.0,0,0.2,32862,0,0,0.0,0.0,False,0.0,0,0.2,45521,0,0,0.0,0.0,False,0.0,0,0.2,45521,0,0,0.0,0.0,False,0.0,0,0.2,58921,0,0,0.0,0.0,False,0.0,0,0.2,58921,0,0,0.0,0.0,False,0.0,0.0,309424,0.0,0.0,5,0,0,0,0,0.0,182,182,56,0.0,0.0,0,0,56,200,0.9870760120102204,0.9870760120102204
1,56,0,0,0,10.0,20,10.0,16.0,0,,23.5,9,1.0,38.0,0,,52.0,0,,0,0.2,17388,12,0,0.0,120.0,False,-0.003427004797806717,0,0.2,17228,28,0,0.0,280.0,False,-0.007996344528215673,0,0.2,32862,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,32565,0,0,0.0,0.0,False,-0.009037794412999817,0,0.2,45512,0,9,0.9,342.0,False,0.0035587970387293776,0,0.2,45521,0,0,0.0,0.0,False,0.0,0,0.2,58921,0,0,0.0,0.0,False,0.0,0,0.2,58921,0,0,0.0,0.0,False,0.0,0.1125,308918,0.0,0.0,5,0,0,25,1,1.0,27,52,39,692.0,132.0,42,14,39,200,2.8155802859691903,3.8026562979794107
2,39,0,0,0,10.0,20,10.0,14.545454545454545,10,8.0,19.3198051948052,13,3.6923076923076925,38.0,0,,52.0,0,,0,0.2,17318,19,0,0.0,190.0,False,-0.005426090929860635,10,0.30000000000000004,16968,41,0,0.0,410.0,False,-0.019134110121087504,0,0.2,32782,0,10,1.0,193.19805194805198,False,0.0005051130781458321,13,0.41100000000000003,32110,0,0,0.0,0.0,False,-0.02288357373257866,0,0.2,45472,0,17,0.8,646.0,False,0.006019199929702774,0,0.2,45513,0,5,0.5,190.0,False,0.0019112058170954065,0,0.2,58921,0,0,0.0,0.0,False,0.0,0,0.2,58921,0,0,0.0,0.0,False,0.0,0.2875,308005,0.0,0.0,5,0,0,22,5,5.0,11,33,41,219.0,149.0,22,17,41,200,2.774441151006613,6.577097448986024
3,41,0,0,0,10.0,20,10.0,12.02919708029197,19,5.473684210526316,18.78638579387187,2,4.0,36.53061224489796,4,20.0,52.0,0,,9,0.29000000000000004,17026,31,0,0.0,310.0,False,-0.018677176148046606,10,0.39,16763,49,0,0.0,490.0,False,-0.028558373315055976,0,0.2,32678,9,20,1.0,483.99048960006513,False,0.0017648117826070569,2,0.41800000000000004,32050,0,0,0.0,0.0,False,-0.02470939078570994,0,0.2,45472,0,17,0.0,621.0204081632653,False,0.005744825554834792,0,0.2,45585,0,3,0.2,109.59183673469389,False,0.0026096948302397733,0,0.2,58921,0,0,0.0,0.0,False,0.0,0,0.2,58841,0,4,0.4,208.0,False,0.00040732506237165016,0.2,307336,0.0,0.0,6,0,0,9,5,5.0,18,27,41,206.0,151.0,17,24,41,280,2.0623210690100677,8.639418517996091
4,41,0,0,0,10.0,20,10.0,11.060420909708078,12,6.083333333333333,17.297409880705395,10,9.6,36.53061224489796,0,,52.0,20,52.0,5,0.33100000000000007,16796,45,0,0.0,450.0,False,-0.02781585560886452,7,0.45000000000000007,16630,55,0,0.0,550.0,False,-0.034441398217957504,0,0.2,32693,9,26,1.0,549.276445085713,False,0.0032146011363536403,6,0.4760000000000001,31844,2,0,0.0,22.120841819416157,False,-0.03064145758293143,0,0.2,45472,0,17,0.0,621.0204081632653,False,0.005744825554834792,0,0.2,45489,0,13,1.0,474.8979591836735,False,0.004513279136922176,9,0.29000000000000004,58779,0,0,0.0,0.0,False,-0.0024100066190322635,7,0.27,58947,0,0,0.0,0.0,False,0.0004412688175692877,0.25,306650,0.0,0.0,6,0,0,12,9,8.428571428571429,14,26,31,234.0,161.0,15,26,31,260,1.6652675149962306,10.304686032992322
5,31,0,0,0,10.0,20,10.0,9.296401460276988,20,3.45,13.540671833498129,27,5.814814814814815,36.53061224489796,0,,52.0,20,52.0,15,0.4760000000000001,16365,56,0,0.0,560.0,False,-0.049291752341786614,5,0.49300000000000005,16485,64,0,0.0,640.0,False,-0.0401530728809687,0,0.2,32700,15,32,1.0,572.747520576095,False,0.003784728874933057,23,0.7000000000000002,30944,6,0,0.0,55.77840876166192,False,-0.05751660871581675,0,0.2,45472,0,17,0.0,621.0204081632653,False,0.005744825554834792,0,0.2,45332,17,23,1.0,1070.3955028021212,False,0.007605231682104034,8,0.36100000000000004,58660,0,0,0.0,0.0,False,-0.004429660053291696,12,0.38300000000000006,58713,0,0,0.0,0.0,False,-0.0035301505405543015,0.25,304671,0.0,0.0,6,0,0,9,13,13.0,9,18,22,90.0,101.0,8,23,22,260,2.7473109050188214,13.051996938011143
6,22,0,0,0,10.0,20,10.0,9.287096639233054,6,9.166666666666666,15.272602308758913,5,41.0,40.31423290203327,10,57.0,52.0,20,52.0,0,0.4610000000000001,16285,64,0,0.0,640.0,False,-0.05157642220699109,6,0.548,16302,76,0,0.0,760.0,False,-0.04717843271647247,0,0.2,32865,10,37,1.0,657.9572518164102,False,0.010102203940971425,0,0.6770000000000002,30929,7,0,0.0,65.00967647463138,False,-0.0578326079289965,0,0.2,45762,0,12,0.0,483.7707948243992,False,0.010607969891087697,0,0.2,45407,12,28,1.0,1312.0697489620384,False,0.011907358680191956,10,0.453,57910,0,10,1.0,520.0,False,-0.012745880076712887,10,0.4710000000000001,58569,0,0,0.0,0.0,False,-0.005974100914784203,0.375,304029,0.0,0.0,7,0,0,8,8,8.0,12,20,21,142.0,64.0,9,13,21,975,1.146755016001407,14.19875195401255
7,21,0,0,0,10.0,20,10.0,9.679281175234687,11,12.363636363636363,16.957514962332727,5,41.0,42.986880218095074,10,56.0,52.0,20,52.0,6,0.5210000000000001,16177,73,0,0.0,730.0,False,-0.055174777244688146,5,0.5920000000000001,16137,87,0,0.0,870.0,False,-0.053461274845784786,0,0.2,33030,5,42,1.0,760.612034294148,False,0.016685107940693552,0,0.6770000000000002,30833,13,0,0.0,125.83065527805093,False,-0.05982851537827812,0,0.2,45762,0,12,0.0,515.8425626171409,False,0.010960244311604946,0,0.2,45762,7,28,1.0,1322.3352508429912,False,0.019818712801157667,0,0.44300000000000006,58046,0,7,0.5,364.0,False,-0.011761511175981398,12,0.5810000000000001,58063,0,5,0.5,260.0,False,-0.012355526891940055,0.375,303810,0.0,0.0,10,0,0,7,5,5.0,14,21,17,138.0,63.0,10,11,17,1381,1.3065711370436475,15.505323091056198
8,17,0,0,0,10.0,20,10.0,9.638193183995044,5,9.0,18.01784646261524,8,27.125,45.98344337663454,17,55.294117647058826,52.0,20,52.0,0,0.5150000000000001,16037,87,0,0.0,870.0,False,-0.05917294950879598,5,0.6370000000000001,16027,93,0,0.0,930.0,False,-0.05803061457619374,0,0.2,33190,0,47,1.0,846.8387837429162,False,0.022865905662207385,3,0.7070000000000001,30743,13,0,0.0,125.29651139193558,False,-0.06257536803310915,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,45825,5,33,1.0,1607.542863742016,False,0.02433539315636752,1,0.453,58120,0,5,0.5,260.0,False,-0.011388129868807386,7,0.639,57552,2,10,1.0,611.9668867532691,False,-0.0180413868845295,0.4375,303916,0.0,0.0,10,0,0,8,6,4.785714285714286,13,21,25,157.0,58.0,11,6,25,1657,1.4002519329660572,16.905575024022255
9,25,0,0,0,10.000000000000002,20,10.0,9.515933252979423,6,8.0,15.84922489569988,35,11.571428571428571,46.869111969681114,5,58.0,52.0,20,52.0,1,0.5250000000000001,15921,97,0,0.0,970.0000000000002,False,-0.06294265478638336,5,0.6820000000000002,15877,103,0,0.0,1030.0000000000002,False,-0.06374228923920494,0,0.2,33347,0,48,0.6,760.7627949935943,False,0.02633380188353721,30,1.0040000000000002,29748,13,0,0.0,123.7071322887325,False,-0.09287768345979042,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,45710,30,38,1.0,2256.5030017188787,False,0.028937226793335866,6,0.5120000000000001,58300,0,0,0.0,0.0,False,-0.010539535988866448,0,0.6320000000000001,57730,0,8,0.7,416.0,False,-0.01668335567963884,0.2875,303055,0.0,0.0,11,0,0,8,6,5.666666666666667,16,24,25,194.0,85.0,14,11,25,1371,1.4718013579840772,18.377376382006332
