index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,26.0,0,,38.0,0,,47.0,0,,0,0.2,20640,12,0,0.0,120.0,False,-0.002890173410404624,0,0.2,20680,8,0,0.0,80.0,False,-0.0019267822736030828,0,0.2,33562,0,0,0.0,0.0,False,0.0,0,0.2,33562,0,0,0.0,0.0,False,0.0,0,0.2,42212,0,0,0.0,0.0,False,0.0,0,0.2,42212,0,0,0.0,0.0,False,0.0,0,0.2,60688,0,0,0.0,0.0,False,0.0,0,0.2,60688,0,0,0.0,0.0,False,0.0,0.0,314244,0.0,0.0,9,0,0,91,0,0.0,337,428,78,0.0,0.0,0,0,78,200,1.9672027850174345,1.9672027850174345
1,78,0,0,0,10.0,20,10.0,16.0,0,,26.0,0,,38.0,0,,47.0,0,,0,0.2,20560,20,0,0.0,200.0,False,-0.004816955684007707,0,0.2,20560,20,0,0.0,200.0,False,-0.004816955684007707,0,0.2,33562,0,0,0.0,0.0,False,0.0,0,0.2,33562,0,0,0.0,0.0,False,0.0,0,0.2,42212,0,0,0.0,0.0,False,0.0,0,0.2,42212,0,0,0.0,0.0,False,0.0,0,0.2,60688,0,0,0.0,0.0,False,0.0,0,0.2,60688,0,0,0.0,0.0,False,0.0,0.0,314044,0.0,0.0,11,0,0,42,0,0.0,34,76,52,890.0,314.0,53,25,52,200,3.1555958639946766,5.122798649012111
2,52,0,0,0,10.0,20,10.0,15.404255319148936,2,2.0,22.272727272727273,10,5.5,38.0,0,,47.0,0,,2,0.22000000000000003,20446,28,0,0.0,280.0,False,-0.00838150289017341,0,0.2,20440,32,0,0.0,320.0,False,-0.007707129094412331,0,0.2,33558,0,2,0.2,44.54545454545455,False,0.0005444469123630277,10,0.30000000000000004,33272,0,0,0.0,0.0,False,-0.008640724629044753,0,0.2,42192,0,5,0.5,190.0,False,0.0017767459490192362,0,0.2,42177,0,5,0.5,190.0,False,0.001421396759215389,0,0.2,60688,0,0,0.0,0.0,False,0.0,0,0.2,60688,0,0,0.0,0.0,False,0.0,0.15,313461,0.0,0.0,9,0,0,26,3,3.0,27,53,50,424.0,165.0,30,22,50,200,3.0298990659648553,8.152697714976966
3,50,0,0,0,10.0,20,10.0,10.863955119214586,29,4.241379310344827,18.274074074074075,18,7.277777777777778,38.0,0,,47.0,0,,24,0.4580000000000001,19771,39,0,0.0,390.0,False,-0.03824662813102119,5,0.25,20295,41,0,0.0,410.0,False,-0.012524084778420038,0,0.2,33480,9,12,1.0,317.06448496182014,False,0.002280324250071892,18,0.4700000000000001,32670,10,0,0.0,108.63955119214586,False,-0.024959186711278475,0,0.2,42176,0,9,0.4,342.0,False,0.003198142708234625,0,0.2,42062,4,15,1.0,643.0962962962963,False,0.004063966363786304,0,0.2,60688,0,0,0.0,0.0,False,0.0,0,0.2,60688,0,0,0.0,0.0,False,0.0,0.3,311830,0.0,0.0,10,0,0,22,9,9.0,20,42,35,280.0,147.0,21,29,35,200,2.122522605000995,10.275220319977961
4,35,0,0,0,10.0,20,10.0,10.12257837266643,21,7.857142857142857,16.917241379310347,19,12.578947368421053,39.8,5,56.0,47.0,13,47.0,6,0.4940000000000001,19592,46,0,0.0,460.0,False,-0.04518304431599229,15,0.395,19975,54,0,0.0,540.0,False,-0.024807321772639692,0,0.2,33441,15,18,1.0,456.3490204175827,False,0.003193329068851319,15,0.6020000000000001,32239,15,0,0.0,151.83867558999646,False,-0.03715751928386271,0,0.2,42400,0,8,0.4,318.4,False,0.008225149246659649,0,0.2,41879,9,25,1.0,1147.255172413793,False,0.005700454520205018,0,0.2,60688,0,0,0.0,0.0,False,0.0,13,0.33000000000000007,60130,0,5,0.5,235.0,False,-0.007258436593725283,0.3625,310344,0.0,0.0,13,0,0,18,14,14.0,15,33,27,201.0,82.0,15,20,27,536,1.857339684967883,12.132560004945844
5,27,0,0,0,10.0,20,10.0,9.968494791477621,6,8.0,15.771232467920024,12,8.916666666666666,41.62,5,58.0,47.0,10,47.0,1,0.49800000000000005,19486,55,0,0.0,550.0,False,-0.04812138728323699,5,0.43000000000000005,19815,65,0,0.0,650.0,False,-0.029865125240847785,0,0.2,33463,11,23,1.0,472.3917894684144,False,0.004087834298736857,7,0.6570000000000001,32043,15,0,0.0,149.52742187216433,False,-0.043031889907154404,0,0.2,42330,0,13,0.5,541.06,False,0.009204254714299224,0,0.2,42132,6,30,1.0,1343.22739480752,False,0.014015296536618926,0,0.2,60688,0,0,0.0,0.0,False,0.0,5,0.3670000000000001,60012,0,5,0.5,235.0,False,-0.009202807803849196,0.375,309969,0.0,0.0,18,0,0,19,7,6.5,17,36,30,147.0,54.0,12,15,30,748,1.9813427210319787,14.113902725977823
6,30,0,0,0,10.0,20,10.0,9.695053809743746,12,8.0,17.27804347150098,5,40.0,43.258,5,58.0,46.99999999999999,12,47.0,4,0.5370000000000001,19304,66,0,0.0,660.0,False,-0.05423892100192678,8,0.5050000000000001,19646,74,0,0.0,740.0,False,-0.035838150289017344,0,0.2,33615,10,28,1.0,580.7357552994649,False,0.01023085268010645,0,0.6500000000000001,31995,18,0,0.0,174.5109685753874,False,-0.04408987890210081,0,0.2,42620,0,8,0.0,346.064,False,0.013764616696673913,0,0.2,41932,1,40,1.0,1747.5980434715011,False,0.014067066752007747,0,0.2,60688,0,0,0.0,0.0,False,0.0,7,0.43200000000000005,59849,0,5,0.5,234.99999999999997,False,-0.011888676509359345,0.3125,309649,0.0,0.0,14,0,0,22,9,8.666666666666668,18,40,31,224.0,86.0,16,14,31,878,1.706745375005994,15.820648100983817
7,31,0,0,0,10.0,20,10.0,9.389853771605138,7,6.0,17.90529819713317,78,18.487179487179485,46.776833333333336,15,57.333333333333336,46.99999999999999,12,47.0,2,0.5530000000000002,19148,78,0,0.0,780.0,False,-0.058863198458574184,5,0.5470000000000002,19511,82,0,0.0,820.0,False,-0.040414258188824666,0,0.2,33953,7,28,1.0,567.0773259209648,False,0.02009828564926058,68,1.33,29017,18,0,0.0,169.01736788889247,False,-0.1329030247320051,2,0.22000000000000003,42910,0,5,0.5,233.8841666666667,False,0.019305933936637334,0,0.2,40970,64,45,1.0,3250.896584616523,False,0.009083869333560634,0,0.2,60688,0,0,0.0,0.0,False,0.0,7,0.4950000000000001,59129,5,10,1.0,703.8841666666666,False,-0.019889564933210268,0.4375,305326,0.0,0.0,17,0,0,23,9,7.733333333333333,17,40,31,285.0,53.0,17,14,31,1291,1.8576138229691423,17.67826192395296
8,31,0,0,0,10.0,20,10.0,9.304349604289987,5,8.0,15.982014238440785,41,9.634146341463415,47.55845762711864,5,56.0,47.0,10,47.0,0,0.5510000000000002,19058,87,0,0.0,870.0,False,-0.06103082851637765,5,0.5920000000000001,19346,93,0,0.0,930.0,False,-0.04571290944123314,0,0.2,34103,2,33,1.0,546.0151690771258,False,0.02425384615155728,36,1.622,27594,18,0,0.0,167.47829287721976,False,-0.17532509545204072,0,0.21800000000000003,42995,0,10,1.0,475.5845762711864,False,0.02418251416979986,0,0.2,40770,85,55,1.0,3974.1863797589917,False,0.012913228226084886,0,0.2,60688,0,0,0.0,0.0,False,0.0,0,0.4880000000000001,59319,0,10,1.0,470.0,False,-0.018685736883733192,0.5,303873,0.0,0.0,18,0,0,19,4,4.0,20,39,31,203.0,102.0,17,14,31,1140,2.1877304760273546,19.865992399980314
9,31,0,0,0,10.000000000000002,20,10.0,9.167564283495553,6,7.5,16.906367339219724,18,25.055555555555557,47.679262653898775,20,48.0,46.99999999999999,10,47.0,1,0.5610000000000002,18924,99,0,0.0,990.0000000000002,False,-0.06459537572254336,5,0.6370000000000001,19211,101,0,0.0,1010.0000000000002,False,-0.050289017341040465,0,0.2,34438,0,31,0.8,524.0973875158114,False,0.03390884612829701,8,1.6660000000000001,27396,18,0,0.0,165.01615710291995,False,-0.18126130509053517,5,0.268,43054,3,10,1.0,527.5117285566469,False,0.02619529669947707,0,0.2,40995,80,60,1.0,4213.265146371505,False,0.021075347606977886,0,0.2,60688,0,0,0.0,0.0,False,0.0,0,0.4880000000000001,58829,10,10,1.0,946.7926265389876,False,-0.022831592517969092,0.475,303535,0.0,0.0,20,0,0,15,5,4.5,22,37,34,182.0,121.0,15,16,34,1630,1.7240816180128604,21.590074017993174
